#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1109713,11537941,terL,RoPhREQ2_gp02,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1109713,11541285,RoPhREQ2_gp39,RoPhREQ2_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541286,RoPhREQ2_gp40,RoPhREQ2_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541287,RoPhREQ2_gp41,RoPhREQ2_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541288,RoPhREQ2_gp42,RoPhREQ2_gp42,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201221,-
1109713,11541289,RoPhREQ2_gp43,RoPhREQ2_gp43,-,-,-,-,putative antirepressor,protein-coding,-,-,-,putative antirepressor,20201221,-
1109713,11541290,RoPhREQ2_gp44,RoPhREQ2_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541291,RoPhREQ2_gp45,RoPhREQ2_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541292,RoPhREQ2_gp46,RoPhREQ2_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541293,RoPhREQ2_gp47,RoPhREQ2_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541294,RoPhREQ2_gp48,RoPhREQ2_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541295,RoPhREQ2_gp49,RoPhREQ2_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541296,RoPhREQ2_gp50,RoPhREQ2_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541297,RoPhREQ2_gp51,RoPhREQ2_gp51,-,-,-,-,"DNA polymerase III, beta subunit",protein-coding,-,-,-,"DNA polymerase III, beta subunit",20201221,-
1109713,11541298,RoPhREQ2_gp52,RoPhREQ2_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541299,RoPhREQ2_gp53,RoPhREQ2_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541300,RoPhREQ2_gp54,RoPhREQ2_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541301,RoPhREQ2_gp55,RoPhREQ2_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541302,RoPhREQ2_gp56,RoPhREQ2_gp56,-,-,-,-,NrdH-redoxin,protein-coding,-,-,-,NrdH-redoxin,20201221,-
1109713,11541303,RoPhREQ2_gp57,RoPhREQ2_gp57,-,-,-,-,YqaJ viral recombinase family protein,protein-coding,-,-,-,YqaJ viral recombinase family protein,20201221,-
1109713,11541304,RoPhREQ2_gp58,RoPhREQ2_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541305,RoPhREQ2_gp59,RoPhREQ2_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541306,RoPhREQ2_gp60,RoPhREQ2_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541307,RoPhREQ2_gp61,RoPhREQ2_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541308,RoPhREQ2_gp62,RoPhREQ2_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541309,RoPhREQ2_gp63,RoPhREQ2_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541310,RoPhREQ2_gp64,RoPhREQ2_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541311,RoPhREQ2_gp65,RoPhREQ2_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541312,RoPhREQ2_gp66,RoPhREQ2_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541313,RoPhREQ2_gp67,RoPhREQ2_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541314,RoPhREQ2_gp68,RoPhREQ2_gp68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541315,RoPhREQ2_gp69,RoPhREQ2_gp69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541316,RoPhREQ2_gp70,RoPhREQ2_gp70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541317,RoPhREQ2_gp71,RoPhREQ2_gp71,-,-,-,-,endonuclease VII domain-containing protein,protein-coding,-,-,-,endonuclease VII domain-containing protein,20201221,-
1109713,11541318,RoPhREQ2_gp72,RoPhREQ2_gp72,-,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20201221,-
1109713,11541319,RoPhREQ2_gp73,RoPhREQ2_gp73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541320,RoPhREQ2_gp74,RoPhREQ2_gp74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541321,RoPhREQ2_gp75,RoPhREQ2_gp75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541322,RoPhREQ2_gp76,RoPhREQ2_gp76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541323,RoPhREQ2_gp77,RoPhREQ2_gp77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541324,RoPhREQ2_gp78,RoPhREQ2_gp78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541325,RoPhREQ2_gp79,RoPhREQ2_gp79,-,-,-,-,GIY-YIG nuclease family protein,protein-coding,-,-,-,GIY-YIG nuclease family protein,20201221,-
1109713,11541326,RoPhREQ2_gp80,RoPhREQ2_gp80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541327,RoPhREQ2_gp81,RoPhREQ2_gp81,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201221,-
1109713,11541328,RoPhREQ2_gp82,RoPhREQ2_gp82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541329,RoPhREQ2_gp01,RoPhREQ2_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541330,RoPhREQ2_gp03,RoPhREQ2_gp03,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1109713,11541331,RoPhREQ2_gp04,RoPhREQ2_gp04,-,-,-,-,ATP-dependent Clp protease proteolytic subunit,protein-coding,-,-,-,ATP-dependent Clp protease proteolytic subunit,20201221,-
1109713,11541332,RoPhREQ2_gp05,RoPhREQ2_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541333,RoPhREQ2_gp06,RoPhREQ2_gp06,-,-,-,-,putative main capsid protein,protein-coding,-,-,-,putative main capsid protein,20201221,-
1109713,11541334,RoPhREQ2_gp07,RoPhREQ2_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541335,RoPhREQ2_gp08,RoPhREQ2_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541336,RoPhREQ2_gp09,RoPhREQ2_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541337,RoPhREQ2_gp10,RoPhREQ2_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541338,RoPhREQ2_gp11,RoPhREQ2_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11542908,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Rhodococcus bacteriophage REQ2).,other,-,-,-,-,20200513,-
