#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2743906,63910960,2,KDJ03_gp02,SEA_MAMAPEARL_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210515,-
2743906,63910972,12,KDJ03_gp13,SEA_MAMAPEARL_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210420,-
2743906,63910973,15,KDJ03_gp15,SEA_MAMAPEARL_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210515,-
2743906,63910974,16,KDJ03_gp16,SEA_MAMAPEARL_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210420,-
2743906,63910975,17,KDJ03_gp17,SEA_MAMAPEARL_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210515,-
2743906,63910976,18,KDJ03_gp18,SEA_MAMAPEARL_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210420,-
2743906,63910977,19,KDJ03_gp19,SEA_MAMAPEARL_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743906,63910978,20,KDJ03_gp20,SEA_MAMAPEARL_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743906,63910979,21,KDJ03_gp21,SEA_MAMAPEARL_21,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210515,-
2743906,63910980,22,KDJ03_gp22,SEA_MAMAPEARL_22,-,-,-,holin,protein-coding,-,-,-,holin,20210420,-
2743906,63910981,23,KDJ03_gp23,SEA_MAMAPEARL_23,-,-,-,tailspike protein,protein-coding,-,-,-,tailspike protein,20210420,-
2743906,63910982,24,KDJ03_gp24,SEA_MAMAPEARL_24,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210515,-
2743906,63910983,25,KDJ03_gp25,SEA_MAMAPEARL_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743906,63910984,26,KDJ03_gp26,SEA_MAMAPEARL_26,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210515,-
2743906,63910985,27,KDJ03_gp27,SEA_MAMAPEARL_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743906,63910986,28,KDJ03_gp28,SEA_MAMAPEARL_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743906,63910987,29,KDJ03_gp29,SEA_MAMAPEARL_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743906,63910988,30,KDJ03_gp30,SEA_MAMAPEARL_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743906,63910989,31,KDJ03_gp31,SEA_MAMAPEARL_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743906,63910990,32,KDJ03_gp32,SEA_MAMAPEARL_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743906,63910991,33,KDJ03_gp33,SEA_MAMAPEARL_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743906,63910992,34,KDJ03_gp34,SEA_MAMAPEARL_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743906,63910993,35,KDJ03_gp35,SEA_MAMAPEARL_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743906,63910994,36,KDJ03_gp36,SEA_MAMAPEARL_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743906,63910995,37,KDJ03_gp37,SEA_MAMAPEARL_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743906,63910996,38,KDJ03_gp38,SEA_MAMAPEARL_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743906,63910997,39,KDJ03_gp39,SEA_MAMAPEARL_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743906,63910998,40,KDJ03_gp40,SEA_MAMAPEARL_40,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210515,-
2743906,63910999,41,KDJ03_gp41,SEA_MAMAPEARL_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743906,63911000,42,KDJ03_gp42,SEA_MAMAPEARL_42,-,-,-,RecA-like DNA recombinase,protein-coding,-,-,-,RecA-like DNA recombinase,20210420,-
2743906,63911001,43,KDJ03_gp43,SEA_MAMAPEARL_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743906,63911002,44,KDJ03_gp44,SEA_MAMAPEARL_44,-,-,-,DNA primase/ polymerase,protein-coding,-,-,-,DNA primase/ polymerase,20210515,-
2743906,63911003,45,KDJ03_gp45,SEA_MAMAPEARL_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743906,63911004,46,KDJ03_gp46,SEA_MAMAPEARL_46,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210515,-
2743906,63911005,47,KDJ03_gp47,SEA_MAMAPEARL_47,-,-,-,adenylosuccinate synthetase,protein-coding,-,-,-,adenylosuccinate synthetase,20210515,-
2743906,63911006,48,KDJ03_gp48,SEA_MAMAPEARL_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2743906,63911007,49,KDJ03_gp49,SEA_MAMAPEARL_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743906,63911008,50,KDJ03_gp50,SEA_MAMAPEARL_50,-,-,-,deoxyuridine triphosphatase,protein-coding,-,-,-,deoxyuridine triphosphatase,20210515,-
2743906,63911009,51,KDJ03_gp51,SEA_MAMAPEARL_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743906,63911010,52,KDJ03_gp52,SEA_MAMAPEARL_52,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210605,-
2743906,63911011,53,KDJ03_gp53,SEA_MAMAPEARL_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743906,63911012,54,KDJ03_gp54,SEA_MAMAPEARL_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743906,63911013,55,KDJ03_gp55,SEA_MAMAPEARL_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743906,63911014,56,KDJ03_gp56,SEA_MAMAPEARL_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743906,63911015,57,KDJ03_gp57,SEA_MAMAPEARL_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743906,63911016,58,KDJ03_gp58,SEA_MAMAPEARL_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743906,63911017,59,KDJ03_gp59,SEA_MAMAPEARL_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743906,63911018,60,KDJ03_gp60,SEA_MAMAPEARL_60,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210515,-
2743906,63911019,1,KDJ03_gp01,SEA_MAMAPEARL_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743906,64409769,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210426,-
