#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301694,54999245,2,HOT94_gp002,SEA_PHISTORY_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
2301694,54999280,37,HOT94_gp037,SEA_PHISTORY_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999281,38,HOT94_gp038,SEA_PHISTORY_38,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2301694,54999282,39,HOT94_gp039,SEA_PHISTORY_39,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
2301694,54999283,40,HOT94_gp040,SEA_PHISTORY_40,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2301694,54999284,41,HOT94_gp041,SEA_PHISTORY_41,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2301694,54999285,42,HOT94_gp042,SEA_PHISTORY_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999286,43,HOT94_gp043,SEA_PHISTORY_43,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2301694,54999287,44,HOT94_gp044,SEA_PHISTORY_44,-,-,-,ribbon-helix-helix DNA binding domain protein,protein-coding,-,-,-,ribbon-helix-helix DNA binding domain protein,20201221,-
2301694,54999288,45,HOT94_gp045,SEA_PHISTORY_45,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2301694,54999289,46,HOT94_gp046,SEA_PHISTORY_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999290,47,HOT94_gp047,SEA_PHISTORY_47,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2301694,54999291,48,HOT94_gp048,SEA_PHISTORY_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999292,49,HOT94_gp049,SEA_PHISTORY_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2301694,54999293,50,HOT94_gp050,SEA_PHISTORY_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999294,51,HOT94_gp051,SEA_PHISTORY_51,-,-,-,integrase,protein-coding,-,-,-,integrase,20210403,-
2301694,54999295,52,HOT94_gp052,SEA_PHISTORY_52,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210403,-
2301694,54999296,53,HOT94_gp053,SEA_PHISTORY_53,-,-,-,metallopeptidase,protein-coding,-,-,-,metallopeptidase,20201221,-
2301694,54999297,54,HOT94_gp054,SEA_PHISTORY_54,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210403,-
2301694,54999298,55,HOT94_gp055,SEA_PHISTORY_55,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210403,-
2301694,54999299,56,HOT94_gp056,SEA_PHISTORY_56,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2301694,54999300,57,HOT94_gp057,SEA_PHISTORY_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999301,58,HOT94_gp058,SEA_PHISTORY_58,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210403,-
2301694,54999302,59,HOT94_gp059,SEA_PHISTORY_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999303,60,HOT94_gp060,SEA_PHISTORY_60,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
2301694,54999304,61,HOT94_gp061,SEA_PHISTORY_61,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2301694,54999305,62,HOT94_gp062,SEA_PHISTORY_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999306,63,HOT94_gp063,SEA_PHISTORY_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999307,64,HOT94_gp064,SEA_PHISTORY_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999308,65,HOT94_gp065,SEA_PHISTORY_65,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210403,-
2301694,54999309,66,HOT94_gp066,SEA_PHISTORY_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999310,67,HOT94_gp067,SEA_PHISTORY_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999311,68,HOT94_gp068,SEA_PHISTORY_68,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210403,-
2301694,54999312,69,HOT94_gp069,SEA_PHISTORY_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999313,70,HOT94_gp070,SEA_PHISTORY_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999314,71,HOT94_gp071,SEA_PHISTORY_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2301694,54999315,72,HOT94_gp072,SEA_PHISTORY_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999316,73,HOT94_gp073,SEA_PHISTORY_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999317,74,HOT94_gp074,SEA_PHISTORY_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999318,75,HOT94_gp075,SEA_PHISTORY_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999319,76,HOT94_gp076,SEA_PHISTORY_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999320,77,HOT94_gp077,SEA_PHISTORY_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999321,78,HOT94_gp078,SEA_PHISTORY_78,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2301694,54999322,79,HOT94_gp079,SEA_PHISTORY_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999323,80,HOT94_gp080,SEA_PHISTORY_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999324,81,HOT94_gp081,SEA_PHISTORY_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999325,82,HOT94_gp082,SEA_PHISTORY_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999326,83,HOT94_gp083,SEA_PHISTORY_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999327,84,HOT94_gp084,SEA_PHISTORY_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999328,85,HOT94_gp085,SEA_PHISTORY_85,-,-,-,G-I-Y-Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y-Y-I-G endonuclease,20210403,-
2301694,54999329,86,HOT94_gp086,SEA_PHISTORY_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999330,87,HOT94_gp087,SEA_PHISTORY_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999331,88,HOT94_gp088,SEA_PHISTORY_88,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210403,-
2301694,54999332,89,HOT94_gp089,SEA_PHISTORY_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999333,90,HOT94_gp090,SEA_PHISTORY_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999334,91,HOT94_gp091,SEA_PHISTORY_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999335,92,HOT94_gp092,SEA_PHISTORY_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999336,93,HOT94_gp093,SEA_PHISTORY_93,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201221,-
2301694,54999337,94,HOT94_gp094,SEA_PHISTORY_94,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2301694,54999338,95,HOT94_gp095,SEA_PHISTORY_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999339,96,HOT94_gp096,SEA_PHISTORY_96,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2301694,54999340,97,HOT94_gp097,SEA_PHISTORY_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999341,98,HOT94_gp098,SEA_PHISTORY_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999342,99,HOT94_gp099,SEA_PHISTORY_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999343,100,HOT94_gp100,SEA_PHISTORY_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999344,101,HOT94_gp101,SEA_PHISTORY_101,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2301694,54999345,102,HOT94_gp102,SEA_PHISTORY_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999346,103,HOT94_gp103,SEA_PHISTORY_103,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2301694,54999347,104,HOT94_gp104,SEA_PHISTORY_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999348,105,HOT94_gp105,SEA_PHISTORY_105,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
2301694,54999349,106,HOT94_gp106,SEA_PHISTORY_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999350,1,HOT94_gp001,SEA_PHISTORY_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2301694,55154121,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
