#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1796994,29125643,2,BJD79_gp02,BARRETLEMON_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210327,-
1796994,29125658,18,BJD79_gp18,BARRETLEMON_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125659,19,BJD79_gp19,BARRETLEMON_19,-,-,-,tape measure,protein-coding,-,-,-,tape measure,20201221,-
1796994,29125660,20,BJD79_gp20,BARRETLEMON_20,-,-,-,LysM,protein-coding,-,-,-,LysM,20201221,-
1796994,29125661,21,BJD79_gp21,BARRETLEMON_21,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1796994,29125662,22,BJD79_gp22,BARRETLEMON_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125663,23,BJD79_gp23,BARRETLEMON_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1796994,29125664,24,BJD79_gp24,BARRETLEMON_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1796994,29125665,25,BJD79_gp25,BARRETLEMON_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125666,26,BJD79_gp26,BARRETLEMON_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125667,27,BJD79_gp27,BARRETLEMON_27,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1796994,29125668,28,BJD79_gp28,BARRETLEMON_28,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201221,-
1796994,29125669,29,BJD79_gp29,BARRETLEMON_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125670,30,BJD79_gp30,BARRETLEMON_30,-,-,-,tail lysozyme,protein-coding,-,-,-,tail lysozyme,20210327,-
1796994,29125671,31,BJD79_gp31,BARRETLEMON_31,-,-,-,baseplate J-like protein,protein-coding,-,-,-,baseplate J-like protein,20201221,-
1796994,29125672,32,BJD79_gp32,BARRETLEMON_32,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1796994,29125673,33,BJD79_gp33,BARRETLEMON_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125674,34,BJD79_gp34,BARRETLEMON_34,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1796994,29125675,35,BJD79_gp35,BARRETLEMON_35,-,-,-,RecT-like recombinase,protein-coding,-,-,-,RecT-like recombinase,20210327,-
1796994,29125676,36,BJD79_gp36,BARRETLEMON_36,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
1796994,29125677,37,BJD79_gp37,BARRETLEMON_37,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20201221,-
1796994,29125678,38,BJD79_gp38,BARRETLEMON_38,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
1796994,29125679,39,BJD79_gp39,BARRETLEMON_39,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
1796994,29125680,40,BJD79_gp40,BARRETLEMON_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125681,41,BJD79_gp41,BARRETLEMON_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125682,42,BJD79_gp42,BARRETLEMON_42,-,-,-,RusA-like protein,protein-coding,-,-,-,RusA-like protein,20201221,-
1796994,29125683,43,BJD79_gp43,BARRETLEMON_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125684,44,BJD79_gp44,BARRETLEMON_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125685,45,BJD79_gp45,BARRETLEMON_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125686,46,BJD79_gp46,BARRETLEMON_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125687,47,BJD79_gp47,BARRETLEMON_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125688,48,BJD79_gp48,BARRETLEMON_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125689,49,BJD79_gp49,BARRETLEMON_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125690,50,BJD79_gp50,BARRETLEMON_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125691,51,BJD79_gp51,BARRETLEMON_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125692,52,BJD79_gp52,BARRETLEMON_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125693,53,BJD79_gp53,BARRETLEMON_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125694,54,BJD79_gp54,BARRETLEMON_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125695,55,BJD79_gp55,BARRETLEMON_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125696,56,BJD79_gp56,BARRETLEMON_56,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
1796994,29125697,57,BJD79_gp57,BARRETLEMON_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125698,58,BJD79_gp58,BARRETLEMON_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125699,59,BJD79_gp59,BARRETLEMON_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125700,60,BJD79_gp60,BARRETLEMON_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125701,61,BJD79_gp61,BARRETLEMON_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125702,62,BJD79_gp62,BARRETLEMON_62,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201221,-
1796994,29125703,63,BJD79_gp63,BARRETLEMON_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125704,64,BJD79_gp64,BARRETLEMON_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125705,65,BJD79_gp65,BARRETLEMON_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125706,66,BJD79_gp66,BARRETLEMON_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125707,67,BJD79_gp67,BARRETLEMON_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125708,68,BJD79_gp68,BARRETLEMON_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125709,69,BJD79_gp69,BARRETLEMON_69,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201221,-
1796994,29125710,70,BJD79_gp70,BARRETLEMON_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125711,71,BJD79_gp71,BARRETLEMON_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125712,72,BJD79_gp72,BARRETLEMON_72,-,-,-,AlpA-like DNA binding protein,protein-coding,-,-,-,AlpA-like DNA binding protein,20201221,-
1796994,29125713,73,BJD79_gp73,BARRETLEMON_73,-,-,-,DNA polymerase III beta subunit,protein-coding,-,-,-,DNA polymerase III beta subunit,20201221,-
1796994,29125714,74,BJD79_gp74,BARRETLEMON_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125715,75,BJD79_gp75,BARRETLEMON_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125716,76,BJD79_gp76,BARRETLEMON_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125717,77,BJD79_gp77,BARRETLEMON_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125718,78,BJD79_gp78,BARRETLEMON_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125719,79,BJD79_gp79,BARRETLEMON_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125720,7,BJD79_gp07,BARRETLEMON_7,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210327,-
1796994,29125721,1,BJD79_gp01,BARRETLEMON_1,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
1796994,29140804,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
