#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1308899,40077637,FDH51_gp02,FDH51_gp02,LKO4_002,-,-,-,helicase,protein-coding,-,-,-,helicase,20201221,-
1308899,40077657,FDH51_gp22,FDH51_gp22,LKO4_0019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077658,FDH51_gp23,FDH51_gp23,LKO4_0020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077659,FDH51_gp24,FDH51_gp24,LKO4_0021,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
1308899,40077660,FDH51_gp25,FDH51_gp25,LKO4_0021.1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077661,FDH51_gp26,FDH51_gp26,LKO4_0021.2,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077662,FDH51_gp27,FDH51_gp27,LKO4_0023,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20201221,-
1308899,40077663,FDH51_gp28,FDH51_gp28,LKO4_0024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077664,FDH51_gp29,FDH51_gp29,LKO4_0025,-,-,-,repressor,protein-coding,-,-,-,repressor,20201221,-
1308899,40077665,FDH51_gp30,FDH51_gp30,LKO4_0026,-,-,-,primase,protein-coding,-,-,-,primase,20201221,-
1308899,40077666,FDH51_gp31,FDH51_gp31,LKO4_0027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077667,FDH51_gp32,FDH51_gp32,LKO4_0028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077668,FDH51_gp33,FDH51_gp33,LKO4_0029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077669,FDH51_gp34,FDH51_gp34,LKO4_0030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077670,FDH51_gp35,FDH51_gp35,LKO4_0031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077671,FDH51_gp36,FDH51_gp36,LKO4_0032,-,-,-,putative pyrophosphatase,protein-coding,-,-,-,putative pyrophosphatase,20201221,-
1308899,40077672,FDH51_gp37,FDH51_gp37,LKO4_0033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077673,FDH51_gp38,FDH51_gp38,LKO4_0034.1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077674,FDH51_gp40,FDH51_gp40,LKO4_0035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077675,FDH51_gp39,FDH51_gp39,LKO4_0034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077676,FDH51_gp41,FDH51_gp41,LKO4_0036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077677,FDH51_gp42,FDH51_gp42,LKO4_0037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077678,FDH51_gp43,FDH51_gp43,LKO4_0038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077679,FDH51_gp44,FDH51_gp44,LKO4_0039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077680,FDH51_gp45,FDH51_gp45,LKO4_0039.1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077681,FDH51_gp46,FDH51_gp46,LKO4_0039.2,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077682,FDH51_gp47,FDH51_gp47,LKO4_0040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077683,FDH51_gp48,FDH51_gp48,LKO4_0041,-,-,-,ribonuclease T,protein-coding,-,-,-,ribonuclease T,20201221,-
1308899,40077684,FDH51_gp49,FDH51_gp49,LKO4_0041.1,-,-,-,RNA polymerase-binding protein,protein-coding,-,-,-,RNA polymerase-binding protein,20201221,-
1308899,40077685,FDH51_gp50,FDH51_gp50,LKO4_0042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077686,FDH51_gp51,FDH51_gp51,LKO4_0042.1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077687,FDH51_gp52,FDH51_gp52,LKO4_0043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077688,FDH51_gp53,FDH51_gp53,LKO4_0046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077689,FDH51_gp54,FDH51_gp54,LKO4_0047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077690,FDH51_gp55,FDH51_gp55,LKO4_0048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077691,FDH51_gp56,FDH51_gp56,LKO4_0048.1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077692,FDH51_gp57,FDH51_gp57,LKO4_0049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077693,FDH51_gp58,FDH51_gp58,LKO4_0049.1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077694,FDH51_gp59,FDH51_gp59,LKO4_0049.2,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077695,FDH51_gp60,FDH51_gp60,LKO4_0050,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1308899,40077696,FDH51_gp61,FDH51_gp61,LKO4_0051,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1308899,40077697,FDH51_gp62,FDH51_gp62,LKO4_0052,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1308899,40077698,FDH51_gp63,FDH51_gp63,LKO4_0053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077699,FDH51_gp64,FDH51_gp64,LKO4_0053.1,-,-,-,GIY-YIG homing endonuclease,protein-coding,-,-,-,GIY-YIG homing endonuclease,20201221,-
1308899,40077700,FDH51_gp65,FDH51_gp65,LKO4_0054,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20201221,-
1308899,40077701,FDH51_gp66,FDH51_gp66,LKO4_0055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077702,FDH51_gp67,FDH51_gp67,LKO4_0056,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1308899,40077703,FDH51_gp68,FDH51_gp68,LKO4_0057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077704,FDH51_gp69,FDH51_gp69,LKO4_0058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077705,FDH51_gp70,FDH51_gp70,LKO4_0059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077706,FDH51_gp71,FDH51_gp71,LKO4_0060,-,-,-,Rz protein,protein-coding,-,-,-,Rz protein,20201221,-
1308899,40077707,FDH51_gp72,FDH51_gp72,LKO4_0061,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1308899,40077708,FDH51_gp73,FDH51_gp73,LKO4_0062,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201221,-
1308899,40077709,FDH51_gp74,FDH51_gp74,LKO4_0063,-,-,-,head-tail connector protein,protein-coding,-,-,-,head-tail connector protein,20201221,-
1308899,40077710,FDH51_gp75,FDH51_gp75,LKO4_0064,-,-,-,tail attachment protein,protein-coding,-,-,-,tail attachment protein,20201221,-
1308899,40077711,FDH51_gp76,FDH51_gp76,LKO4_0065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077712,FDH51_gp77,FDH51_gp77,LKO4_0066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077713,FDH51_gp78,FDH51_gp78,LKO4_0067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077714,FDH51_gp79,FDH51_gp79,LKO4_0067.1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077715,FDH51_gp80,FDH51_gp80,LKO4_0068,-,-,-,phage morphogenesis protein,protein-coding,-,-,-,phage morphogenesis protein,20201221,-
1308899,40077716,FDH51_gp81,FDH51_gp81,LKO4_0069,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1308899,40077717,FDH51_gp82,FDH51_gp82,LKO4_0070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077718,FDH51_gp83,FDH51_gp83,LKO4_0071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077719,FDH51_gp84,FDH51_gp84,LKO4_0072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077720,FDH51_gp85,FDH51_gp85,LKO4_0073,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1308899,40077721,FDH51_gp86,FDH51_gp86,LKO4_0074,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20201221,-
1308899,40077722,FDH51_gp87,FDH51_gp87,LKO4_0075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077723,FDH51_gp88,FDH51_gp88,LKO4_0076,-,-,-,tail component,protein-coding,-,-,-,tail component,20201221,-
1308899,40077724,FDH51_gp89,FDH51_gp89,LKO4_0077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077725,FDH51_gp01,FDH51_gp01,LKO4_001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40120150,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Pseudomonas aeruginosa Siphophage LKO4).,other,-,-,-,-,20200513,-
