#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
4781,36395056,PHALS_00001,PHALS_00001,-,-,Unknown,-,"Component of synaptic membrane glycine-, glutamate-and thienylcyclohexylpiperidine-binding glycoprotein (43kDa)",protein-coding,-,-,-,"Component of synaptic membrane glycine-, glutamate-and thienylcyclohexylpiperidine-binding glycoprotein (43kDa)",20201008,-
4781,36395091,PHALS_00036,PHALS_00036,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395092,PHALS_00037,PHALS_00037,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395093,PHALS_00038,PHALS_00038,-,-,Unknown,-,agc protein kinase,protein-coding,-,-,-,agc protein kinase,20201008,-
4781,36395094,PHALS_00039,PHALS_00039,-,-,Unknown,-,vacuolar protein-sorting-associated,protein-coding,-,-,-,vacuolar protein-sorting-associated,20201008,-
4781,36395095,PHALS_00040,PHALS_00040,-,-,Unknown,-,"Endoplasmic reticulum protein EP58, contains filamin rod domain and KDEL motif",protein-coding,-,-,-,"Endoplasmic reticulum protein EP58, contains filamin rod domain and KDEL motif",20201008,-
4781,36395096,PHALS_00041,PHALS_00041,-,-,Unknown,-,hypothetical protein L915_04191,protein-coding,-,-,-,hypothetical protein L915_04191,20201008,-
4781,36395097,PHALS_00042,PHALS_00042,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395098,PHALS_00043,PHALS_00043,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395099,PHALS_00044,PHALS_00044,-,-,Unknown,-,F-box protein containing LRR,protein-coding,-,-,-,F-box protein containing LRR,20201008,-
4781,36395100,PHALS_00045,PHALS_00045,-,-,Unknown,-,RxLR-like protein,protein-coding,-,-,-,RxLR-like protein,20201008,-
4781,36395101,PHALS_00046,PHALS_00046,-,-,Unknown,-,hypothetical protein L915_11978,protein-coding,-,-,-,hypothetical protein L915_11978,20201008,-
4781,36395102,PHALS_00047,PHALS_00047,-,-,Unknown,-,hypothetical protein F443_12259,protein-coding,-,-,-,hypothetical protein F443_12259,20201008,-
4781,36395103,PHALS_00048,PHALS_00048,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395104,PHALS_00049,PHALS_00049,-,-,Unknown,-,Chromo domain/shadow,protein-coding,-,-,-,Chromo domain/shadow,20201008,-
4781,36395105,PHALS_00050,PHALS_00050,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395106,PHALS_00051,PHALS_00051,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395107,PHALS_00052,PHALS_00052,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395108,PHALS_00053,PHALS_00053,-,-,Unknown,-,atp synthase delta subunit,protein-coding,-,-,-,atp synthase delta subunit,20201008,-
4781,36395109,PHALS_00054,PHALS_00054,-,-,Unknown,-,rab21 rab5 family,protein-coding,-,-,-,rab21 rab5 family,20201008,-
4781,36395110,PHALS_00055,PHALS_00055,-,-,Unknown,-,hypothetical protein L916_01807,protein-coding,-,-,-,hypothetical protein L916_01807,20201008,-
4781,36395111,PHALS_00056,PHALS_00056,-,-,Unknown,-,hypothetical protein F443_01913,protein-coding,-,-,-,hypothetical protein F443_01913,20201008,-
4781,36395112,PHALS_00057,PHALS_00057,-,-,Unknown,-,cellulose synthase 2,protein-coding,-,-,-,cellulose synthase 2,20201008,-
4781,36395113,PHALS_00058,PHALS_00058,-,-,Unknown,-,cellulose synthase 2,protein-coding,-,-,-,cellulose synthase 2,20201008,-
4781,36395114,PHALS_00059,PHALS_00059,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395115,PHALS_00060,PHALS_00060,-,-,Unknown,-,"chromodomain protein, putative",protein-coding,-,-,-,"chromodomain protein, putative",20201008,-
4781,36395116,PHALS_00061,PHALS_00061,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395117,PHALS_00062,PHALS_00062,-,-,Unknown,-,Predicted small membrane protein,protein-coding,-,-,-,Predicted small membrane protein,20201008,-
4781,36395118,PHALS_00063,PHALS_00063,-,-,Unknown,-,"Teneurin-1 and related extracellular matrix proteins, contain EGF-like repeats",protein-coding,-,-,-,"Teneurin-1 and related extracellular matrix proteins, contain EGF-like repeats",20201008,-
4781,36395119,PHALS_00064,PHALS_00064,-,-,Unknown,-,dna repair protein rad51,protein-coding,-,-,-,dna repair protein rad51,20201008,-
4781,36395120,PHALS_00065,PHALS_00065,-,-,Unknown,-,hypothetical protein PHYSODRAFT_348042,protein-coding,-,-,-,hypothetical protein PHYSODRAFT_348042,20201008,-
4781,36395121,PHALS_00066,PHALS_00066,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395122,PHALS_00067,PHALS_00067,-,-,Unknown,-,fructose--bisphosphate 2-phosphatase,protein-coding,-,-,-,fructose--bisphosphate 2-phosphatase,20201008,-
4781,36395123,PHALS_00068,PHALS_00068,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395124,PHALS_00069,PHALS_00069,-,-,Unknown,-,40s ribosomal protein,protein-coding,-,-,-,40s ribosomal protein,20201008,-
4781,36395125,PHALS_00070,PHALS_00070,-,-,Unknown,-,kinesin-like protein,protein-coding,-,-,-,kinesin-like protein,20201008,-
4781,36395126,PHALS_00071,PHALS_00071,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395127,PHALS_00072,PHALS_00072,-,-,Unknown,-,FAM173 family,protein-coding,-,-,-,FAM173 family,20201008,-
4781,36395128,PHALS_00073,PHALS_00073,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395129,PHALS_00074,PHALS_00074,-,-,Unknown,-,peroxisomal biogenesis factor 11 domain-containing protein,protein-coding,-,-,-,peroxisomal biogenesis factor 11 domain-containing protein,20201008,-
4781,36395130,PHALS_00075,PHALS_00075,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395131,PHALS_00076,PHALS_00076,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395132,PHALS_00077,PHALS_00077,-,-,Unknown,-,Ribonuclease H,protein-coding,-,-,-,Ribonuclease H,20201008,-
4781,36395133,PHALS_00078,PHALS_00078,-,-,Unknown,-,trna (5-methylaminomethyl-2-thiouridylate)-methyltransferase,protein-coding,-,-,-,trna (5-methylaminomethyl-2-thiouridylate)-methyltransferase,20201008,-
4781,36395134,PHALS_00079,PHALS_00079,-,-,Unknown,-,Phytanoyl-CoA dioxygenase,protein-coding,-,-,-,Phytanoyl-CoA dioxygenase,20201008,-
4781,36395135,PHALS_00080,PHALS_00080,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395136,PHALS_00081,PHALS_00081,-,-,Unknown,-,hypothetical protein L914_20781,protein-coding,-,-,-,hypothetical protein L914_20781,20201008,-
4781,36395137,PHALS_00082,PHALS_00082,-,-,Unknown,-,RxLR-like protein,protein-coding,-,-,-,RxLR-like protein,20201008,-
4781,36395138,PHALS_00083,PHALS_00083,-,-,Unknown,-,RxLR-like protein,protein-coding,-,-,-,RxLR-like protein,20201008,-
4781,36395139,PHALS_00084,PHALS_00084,-,-,Unknown,-,2-dehydropantoate 2-reductase,protein-coding,-,-,-,2-dehydropantoate 2-reductase,20201008,-
4781,36395140,PHALS_00085,PHALS_00085,-,-,Unknown,-,"Cytosolic Ca2-dependent cysteine protease (calpain), large subunit (EF-Hand protein superfamily)",protein-coding,-,-,-,"Cytosolic Ca2-dependent cysteine protease (calpain), large subunit (EF-Hand protein superfamily)",20201008,-
4781,36395141,PHALS_00086,PHALS_00086,-,-,Unknown,-,myb-like dna-binding,protein-coding,-,-,-,myb-like dna-binding,20201008,-
4781,36395142,PHALS_00087,PHALS_00087,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395143,PHALS_00088,PHALS_00088,-,-,Unknown,-,puromycin-sensitive aminopeptidase,protein-coding,-,-,-,puromycin-sensitive aminopeptidase,20201008,-
4781,36395144,PHALS_00089,PHALS_00089,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395145,PHALS_00090,PHALS_00090,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395146,PHALS_00091,PHALS_00091,-,-,Unknown,-,acyl,protein-coding,-,-,-,acyl,20201008,-
4781,36395147,PHALS_00092,PHALS_00092,-,-,Unknown,-,kinesin family-like protein,protein-coding,-,-,-,kinesin family-like protein,20201008,-
4781,36395148,PHALS_00093,PHALS_00093,-,-,Unknown,-,Telomerase catalytic subunit/reverse transcriptase TERT,protein-coding,-,-,-,Telomerase catalytic subunit/reverse transcriptase TERT,20201008,-
4781,36395149,PHALS_00094,PHALS_00094,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395150,PHALS_00095,PHALS_00095,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395151,PHALS_00096,PHALS_00096,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395152,PHALS_00097,PHALS_00097,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201008,-
4781,36395153,PHALS_00098,PHALS_00098,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395154,PHALS_00099,PHALS_00099,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395155,PHALS_00100,PHALS_00100,-,-,Unknown,-,RxLR-like protein,protein-coding,-,-,-,RxLR-like protein,20201008,-
4781,36395156,PHALS_00101,PHALS_00101,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395157,PHALS_00102,PHALS_00102,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201008,-
4781,36395158,PHALS_00103,PHALS_00103,-,-,Unknown,-,drug metabolite transporter superfamily,protein-coding,-,-,-,drug metabolite transporter superfamily,20201008,-
4781,36395159,PHALS_00104,PHALS_00104,-,-,Unknown,-,Armadillo-type fold,protein-coding,-,-,-,Armadillo-type fold,20201008,-
4781,36395160,PHALS_00105,PHALS_00105,-,-,Unknown,-,cytochrome c peroxidase,protein-coding,-,-,-,cytochrome c peroxidase,20201008,-
4781,36395161,PHALS_00106,PHALS_00106,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395162,PHALS_00107,PHALS_00107,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395163,PHALS_00108,PHALS_00108,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395164,PHALS_00109,PHALS_00109,-,-,Unknown,-,hypothetical protein L914_11304,protein-coding,-,-,-,hypothetical protein L914_11304,20201008,-
4781,36395165,PHALS_00110,PHALS_00110,-,-,Unknown,-,asp-trnaasn glu-trnagln amidotransferase subunit a-like protein,protein-coding,-,-,-,asp-trnaasn glu-trnagln amidotransferase subunit a-like protein,20201008,-
4781,36395166,PHALS_00111,PHALS_00111,-,-,Unknown,-,calpain-like protein,protein-coding,-,-,-,calpain-like protein,20201008,-
4781,36395167,PHALS_00112,PHALS_00112,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395168,PHALS_00113,PHALS_00113,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395169,PHALS_00114,PHALS_00114,-,-,Unknown,-,amino acid-polyamine-organocation family,protein-coding,-,-,-,amino acid-polyamine-organocation family,20201008,-
4781,36395170,PHALS_00115,PHALS_00115,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395171,PHALS_00116,PHALS_00116,-,-,Unknown,-,nad-specific glutamate,protein-coding,-,-,-,nad-specific glutamate,20201008,-
4781,36395172,PHALS_00117,PHALS_00117,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395173,PHALS_00118,PHALS_00118,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201008,-
4781,36395174,PHALS_00119,PHALS_00119,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201008,-
4781,36395175,PHALS_00120,PHALS_00120,-,-,Unknown,-,Protein of unknown function DUF2003,protein-coding,-,-,-,Protein of unknown function DUF2003,20201008,-
4781,36395176,PHALS_00121,PHALS_00121,-,-,Unknown,-,dna polymerase type organellar and viral family protein,protein-coding,-,-,-,dna polymerase type organellar and viral family protein,20201008,-
4781,36395177,PHALS_00122,PHALS_00122,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395178,PHALS_00123,PHALS_00123,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395179,PHALS_00124,PHALS_00124,-,-,Unknown,-,cleavage stimulation factor subunit 3-like,protein-coding,-,-,-,cleavage stimulation factor subunit 3-like,20201008,-
4781,36395180,PHALS_00125,PHALS_00125,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395181,PHALS_00126,PHALS_00126,-,-,Unknown,-,fyve and coiled-coil domain-containing protein 1,protein-coding,-,-,-,fyve and coiled-coil domain-containing protein 1,20201008,-
4781,36395182,PHALS_00127,PHALS_00127,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395183,PHALS_00128,PHALS_00128,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395184,PHALS_00129,PHALS_00129,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395185,PHALS_00130,PHALS_00130,-,-,Unknown,-,"FOG: Transposon-encoded proteins with TYA, reverse transcriptase, integrase domains in various combinations",protein-coding,-,-,-,"FOG: Transposon-encoded proteins with TYA, reverse transcriptase, integrase domains in various combinations",20201008,-
4781,36395186,PHALS_00131,PHALS_00131,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395187,PHALS_00132,PHALS_00132,-,-,Unknown,-,glycoside hydrolase,protein-coding,-,-,-,glycoside hydrolase,20201008,-
4781,36395188,PHALS_00133,PHALS_00133,-,-,Unknown,-,cell division protein,protein-coding,-,-,-,cell division protein,20201008,-
4781,36395189,PHALS_00134,PHALS_00134,-,-,Unknown,-,cell division protein ftsz,protein-coding,-,-,-,cell division protein ftsz,20201008,-
4781,36395190,PHALS_00135,PHALS_00135,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395191,PHALS_00136,PHALS_00136,-,-,Unknown,-,v-type proton atpase subunit isoform,protein-coding,-,-,-,v-type proton atpase subunit isoform,20201008,-
4781,36395192,PHALS_00137,PHALS_00137,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395193,PHALS_00138,PHALS_00138,-,-,Unknown,-,domain-containing protein,protein-coding,-,-,-,domain-containing protein,20201008,-
4781,36395194,PHALS_00139,PHALS_00139,-,-,Unknown,-,transmembrane protein 19,protein-coding,-,-,-,transmembrane protein 19,20201008,-
4781,36395195,PHALS_00140,PHALS_00140,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395196,PHALS_00141,PHALS_00141,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395197,PHALS_00142,PHALS_00142,-,-,Unknown,-,"Protein kinase C-like, phorbol ester/diacylglycerol binding",protein-coding,-,-,-,"Protein kinase C-like, phorbol ester/diacylglycerol binding",20201008,-
4781,36395198,PHALS_00143,PHALS_00143,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395199,PHALS_00144,PHALS_00144,-,-,Unknown,-,"FOG: Transposon-encoded proteins with TYA, reverse transcriptase, integrase domains in various combinations",protein-coding,-,-,-,"FOG: Transposon-encoded proteins with TYA, reverse transcriptase, integrase domains in various combinations",20201008,-
4781,36395200,PHALS_00145,PHALS_00145,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395201,PHALS_00146,PHALS_00146,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395202,PHALS_00147,PHALS_00147,-,-,Unknown,-,Nonsense-mediated mRNA decay protein,protein-coding,-,-,-,Nonsense-mediated mRNA decay protein,20201008,-
4781,36395203,PHALS_00148,PHALS_00148,-,-,Unknown,-,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4,protein-coding,-,-,-,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4,20201008,-
4781,36395204,PHALS_00149,PHALS_00149,-,-,Unknown,-,phosphoserine phosphatase,protein-coding,-,-,-,phosphoserine phosphatase,20201008,-
4781,36395205,PHALS_00150,PHALS_00150,-,-,Unknown,-,Protein required for biogenesis of the ribosomal 60S subunit,protein-coding,-,-,-,Protein required for biogenesis of the ribosomal 60S subunit,20201008,-
4781,36395206,PHALS_00151,PHALS_00151,-,-,Unknown,-,Predicted signal transduction protein,protein-coding,-,-,-,Predicted signal transduction protein,20201008,-
4781,36395207,PHALS_00152,PHALS_00152,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395208,PHALS_00153,PHALS_00153,-,-,Unknown,-,"hypothetical protein F443_12138, partial",protein-coding,-,-,-,"hypothetical protein F443_12138, partial",20201008,-
4781,36395209,PHALS_00154,PHALS_00154,-,-,Unknown,-,puff-specific protein bx42,protein-coding,-,-,-,puff-specific protein bx42,20201008,-
4781,36395210,PHALS_00155,PHALS_00155,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395211,PHALS_00156,PHALS_00156,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395212,PHALS_00157,PHALS_00157,-,-,Unknown,-,GxxExxY protein,protein-coding,-,-,-,GxxExxY protein,20201008,-
4781,36395213,PHALS_00158,PHALS_00158,-,-,Unknown,-,vesicle transport protein sft2a,protein-coding,-,-,-,vesicle transport protein sft2a,20201008,-
4781,36395214,PHALS_00159,PHALS_00159,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395215,PHALS_00160,PHALS_00160,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395216,PHALS_00161,PHALS_00161,-,-,Unknown,-,propionyl-synthetase,protein-coding,-,-,-,propionyl-synthetase,20201008,-
4781,36395217,PHALS_00162,PHALS_00162,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395218,PHALS_00163,PHALS_00163,-,-,Unknown,-,nuclear acid binding,protein-coding,-,-,-,nuclear acid binding,20201008,-
4781,36395219,PHALS_00164,PHALS_00164,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201008,-
4781,36395220,PHALS_00165,PHALS_00165,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201008,-
4781,36395221,PHALS_00166,PHALS_00166,-,-,Unknown,-,tkl protein kinase,protein-coding,-,-,-,tkl protein kinase,20201008,-
4781,36395222,PHALS_00167,PHALS_00167,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395223,PHALS_00168,PHALS_00168,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395224,PHALS_00169,PHALS_00169,-,-,Unknown,-,Signaling protein SWIFT and related BRCT domain proteins,protein-coding,-,-,-,Signaling protein SWIFT and related BRCT domain proteins,20201008,-
4781,36395225,PHALS_00170,PHALS_00170,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395226,PHALS_00171,PHALS_00171,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395227,PHALS_00172,PHALS_00172,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395228,PHALS_00173,PHALS_00173,-,-,Unknown,-,hypothetical protein F443_16437,protein-coding,-,-,-,hypothetical protein F443_16437,20201008,-
4781,36395229,PHALS_00174,PHALS_00174,-,-,Unknown,-,dead deah box rna,protein-coding,-,-,-,dead deah box rna,20201008,-
4781,36395230,PHALS_00175,PHALS_00175,-,-,Unknown,-,transmembrane emp24 domain-containing protein 2-like,protein-coding,-,-,-,transmembrane emp24 domain-containing protein 2-like,20201008,-
