#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1234701,14217041,BN425_orf_02,BN425_orf_02,-,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20201221,-
1234701,14217058,BN425_orf_19,BN425_orf_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217059,BN425_orf_20,BN425_orf_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217060,BN425_orf_21,BN425_orf_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217061,BN425_orf_22,BN425_orf_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217062,BN425_orf_23,BN425_orf_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217063,BN425_orf_24,BN425_orf_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217064,BN425_orf_25,BN425_orf_25,-,-,-,-,constituent protein,protein-coding,-,-,-,constituent protein,20201221,-
1234701,14217065,BN425_orf_26,BN425_orf_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217066,BN425_orf_27,BN425_orf_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217067,BN425_orf_28,BN425_orf_28,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1234701,14217068,BN425_orf_29,BN425_orf_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217069,BN425_orf_30,BN425_orf_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217070,BN425_orf_31,BN425_orf_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217071,BN425_orf_32,BN425_orf_32,-,-,-,-,DNA polymerase1,protein-coding,-,-,-,DNA polymerase1,20201221,-
1234701,14217072,BN425_orf_33,BN425_orf_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217073,BN425_orf_34,BN425_orf_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217074,BN425_orf_35,BN425_orf_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217075,BN425_orf_36,BN425_orf_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217076,BN425_orf_37,BN425_orf_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217077,BN425_orf_38,BN425_orf_38,-,-,-,-,DNA polymerase2,protein-coding,-,-,-,DNA polymerase2,20201221,-
1234701,14217078,BN425_orf_39,BN425_orf_39,-,-,-,-,primase/helicase,protein-coding,-,-,-,primase/helicase,20201221,-
1234701,14217079,BN425_orf_40,BN425_orf_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217080,BN425_orf_41,BN425_orf_41,-,-,-,-,similar to a conserved hypotheical protein of Vibrio cholerae,protein-coding,-,-,-,similar to a conserved hypotheical protein of Vibrio cholerae,20201221,-
1234701,14217081,BN425_orf_42,BN425_orf_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217082,BN425_orf_43,BN425_orf_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217083,BN425_orf_44,BN425_orf_44,-,-,-,-,similar to L-gluamine-D-fructose-6-phosphate aminotransferase gene of Bacillus subilis,protein-coding,-,-,-,similar to L-gluamine-D-fructose-6-phosphate aminotransferase gene of Bacillus subilis,20201221,-
1234701,14217084,BN425_orf_45,BN425_orf_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217085,BN425_orf_46,BN425_orf_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1234701,14217086,BN425_orf_47,BN425_orf_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217087,BN425_orf_48,BN425_orf_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217088,BN425_orf_49,BN425_orf_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217089,BN425_orf_50,BN425_orf_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217090,BN425_orf_51,BN425_orf_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217091,BN425_orf_52,BN425_orf_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217092,BN425_orf_53,BN425_orf_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217093,BN425_orf_54,BN425_orf_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217094,BN425_orf_55,BN425_orf_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217095,BN425_orf_56,BN425_orf_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217096,BN425_orf_57,BN425_orf_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217097,BN425_orf_58,BN425_orf_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217098,BN425_orf_01,BN425_orf_01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14250482,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
