#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1567475,23679417,2,VC60_gp02,PBI_SBASH_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200927,-
1567475,23679483,68,VC60_gp68,PBI_SBASH_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679484,69,VC60_gp69,PBI_SBASH_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679485,70,VC60_gp70,PBI_SBASH_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679486,71,VC60_gp71,PBI_SBASH_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679487,72,VC60_gp72,PBI_SBASH_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679488,73,VC60_gp73,PBI_SBASH_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679489,74,VC60_gp74,PBI_SBASH_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679490,75,VC60_gp75,PBI_SBASH_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679491,76,VC60_gp76,PBI_SBASH_76,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1567475,23679492,77,VC60_gp77,PBI_SBASH_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679493,78,VC60_gp78,PBI_SBASH_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679494,79,VC60_gp79,PBI_SBASH_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679495,80,VC60_gp80,PBI_SBASH_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679496,81,VC60_gp81,PBI_SBASH_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679497,82,VC60_gp82,PBI_SBASH_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679498,83,VC60_gp83,PBI_SBASH_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679499,84,VC60_gp84,PBI_SBASH_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679500,85,VC60_gp85,PBI_SBASH_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679501,86,VC60_gp86,PBI_SBASH_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679502,87,VC60_gp87,PBI_SBASH_87,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200927,-
1567475,23679503,88,VC60_gp88,PBI_SBASH_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679504,89,VC60_gp89,PBI_SBASH_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679505,1,VC60_gp01,PBI_SBASH_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23711163,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Sbash).,other,-,-,-,-,20200513,-
