#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1815608,29126041,2,SEA_BROCALYS_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1815608,29126090,51,SEA_BROCALYS_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1815608,29126091,52,SEA_BROCALYS_52,-,-,-,-,transcription factor WhiB,protein-coding,-,-,-,transcription factor WhiB,20210406,-
1815608,29126092,53,SEA_BROCALYS_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126093,54,SEA_BROCALYS_54,-,-,-,-,transcription factor WhiB,protein-coding,-,-,-,transcription factor WhiB,20210424,-
1815608,29126094,55,SEA_BROCALYS_55,-,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20210424,-
1815608,29126095,56,SEA_BROCALYS_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126096,57,SEA_BROCALYS_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126097,58,SEA_BROCALYS_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126098,59,SEA_BROCALYS_59,-,-,-,-,AAA ATPase,protein-coding,-,-,-,AAA ATPase,20210424,-
1815608,29126099,60,SEA_BROCALYS_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126100,61,SEA_BROCALYS_61,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
1815608,29126101,62,SEA_BROCALYS_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126102,63,SEA_BROCALYS_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126103,64,SEA_BROCALYS_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126104,65,SEA_BROCALYS_65,-,-,-,-,GIY-YIG homing endonuclease,protein-coding,-,-,-,GIY-YIG homing endonuclease,20200629,-
1815608,29126105,66,SEA_BROCALYS_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126106,67,SEA_BROCALYS_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1815608,29126107,68,SEA_BROCALYS_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126108,69,SEA_BROCALYS_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126109,70,SEA_BROCALYS_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126110,71,SEA_BROCALYS_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126111,72,SEA_BROCALYS_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126112,73,SEA_BROCALYS_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126113,74,SEA_BROCALYS_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126114,75,SEA_BROCALYS_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126115,76,SEA_BROCALYS_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126116,77,SEA_BROCALYS_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126117,78,SEA_BROCALYS_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126118,79,SEA_BROCALYS_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126119,80,SEA_BROCALYS_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126120,81,SEA_BROCALYS_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1815608,29126121,82,SEA_BROCALYS_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126122,83,SEA_BROCALYS_83,-,-,-,-,GIY-YIG homing endonuclease,protein-coding,-,-,-,GIY-YIG homing endonuclease,20210123,-
1815608,29126123,84,SEA_BROCALYS_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126124,85,SEA_BROCALYS_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126125,86,SEA_BROCALYS_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126126,87,SEA_BROCALYS_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126127,88,SEA_BROCALYS_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126128,89,SEA_BROCALYS_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126129,90,SEA_BROCALYS_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126130,91,SEA_BROCALYS_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126131,92,SEA_BROCALYS_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126132,93,SEA_BROCALYS_93,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200629,-
1815608,29126133,94,SEA_BROCALYS_94,-,-,-,-,serine/threonine kinase,protein-coding,-,-,-,serine/threonine kinase,20200629,-
1815608,29126134,95,SEA_BROCALYS_95,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
1815608,29126135,96,SEA_BROCALYS_96,-,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20210417,-
1815608,29126136,1,SEA_BROCALYS_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200629,-
1815608,29140818,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
