#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2768139,60333501,2,I5H85_gp002,SEA_ROYALS2015_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2768139,60333546,48,I5H85_gp048,SEA_ROYALS2015_48,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210417,-
2768139,60333547,49,I5H85_gp049,SEA_ROYALS2015_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333548,50,I5H85_gp050,SEA_ROYALS2015_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333549,51,I5H85_gp051,SEA_ROYALS2015_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333550,52,I5H85_gp052,SEA_ROYALS2015_52,-,-,-,excise,protein-coding,-,-,-,excise,20210212,-
2768139,60333551,53,I5H85_gp053,SEA_ROYALS2015_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333552,54,I5H85_gp054,SEA_ROYALS2015_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333553,55,I5H85_gp055,SEA_ROYALS2015_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333554,56,I5H85_gp056,SEA_ROYALS2015_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333555,57,I5H85_gp057,SEA_ROYALS2015_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333556,58,I5H85_gp058,SEA_ROYALS2015_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333557,60,I5H85_gp060,SEA_ROYALS2015_60,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210529,-
2768139,60333558,61,I5H85_gp061,SEA_ROYALS2015_61,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2768139,60333559,62,I5H85_gp062,SEA_ROYALS2015_62,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2768139,60333560,63,I5H85_gp063,SEA_ROYALS2015_63,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2768139,60333561,64,I5H85_gp064,SEA_ROYALS2015_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333562,65,I5H85_gp065,SEA_ROYALS2015_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333563,66,I5H85_gp066,SEA_ROYALS2015_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333564,67,I5H85_gp067,SEA_ROYALS2015_67,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210424,-
2768139,60333565,68,I5H85_gp068,SEA_ROYALS2015_68,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210529,-
2768139,60333566,69,I5H85_gp069,SEA_ROYALS2015_69,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210417,-
2768139,60333567,70,I5H85_gp070,SEA_ROYALS2015_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333568,72,I5H85_gp072,SEA_ROYALS2015_72,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210417,-
2768139,60333569,73,I5H85_gp073,SEA_ROYALS2015_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333570,74,I5H85_gp074,SEA_ROYALS2015_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333571,75,I5H85_gp075,SEA_ROYALS2015_75,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210529,-
2768139,60333572,76,I5H85_gp076,SEA_ROYALS2015_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333573,77,I5H85_gp077,SEA_ROYALS2015_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333574,78,I5H85_gp078,SEA_ROYALS2015_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333575,79,I5H85_gp079,SEA_ROYALS2015_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333576,80,I5H85_gp080,SEA_ROYALS2015_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333577,81,I5H85_gp081,SEA_ROYALS2015_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333578,82,I5H85_gp082,SEA_ROYALS2015_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333579,83,I5H85_gp083,SEA_ROYALS2015_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333580,84,I5H85_gp084,SEA_ROYALS2015_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333581,85,I5H85_gp085,SEA_ROYALS2015_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333582,86,I5H85_gp086,SEA_ROYALS2015_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333583,87,I5H85_gp087,SEA_ROYALS2015_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333584,88,I5H85_gp088,SEA_ROYALS2015_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333585,89,I5H85_gp089,SEA_ROYALS2015_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333586,90,I5H85_gp090,SEA_ROYALS2015_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333587,91,I5H85_gp091,SEA_ROYALS2015_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333588,92,I5H85_gp092,SEA_ROYALS2015_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333589,93,I5H85_gp093,SEA_ROYALS2015_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333590,94,I5H85_gp094,SEA_ROYALS2015_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333591,95,I5H85_gp095,SEA_ROYALS2015_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333592,97,I5H85_gp097,SEA_ROYALS2015_97,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,20210129,-
2768139,60333593,98,I5H85_gp098,SEA_ROYALS2015_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333594,99,I5H85_gp099,SEA_ROYALS2015_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333595,100,I5H85_gp100,SEA_ROYALS2015_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333596,101,I5H85_gp101,SEA_ROYALS2015_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333597,102,I5H85_gp102,SEA_ROYALS2015_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333598,103,I5H85_gp103,SEA_ROYALS2015_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333599,104,I5H85_gp104,SEA_ROYALS2015_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333600,105,I5H85_gp105,SEA_ROYALS2015_105,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210529,-
2768139,60333601,106,I5H85_gp106,SEA_ROYALS2015_106,-,-,-,serine/threonine kinase,protein-coding,-,-,-,serine/threonine kinase,20210529,-
2768139,60333602,107,I5H85_gp107,SEA_ROYALS2015_107,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210529,-
2768139,60333603,108,I5H85_gp108,SEA_ROYALS2015_108,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2768139,60333604,109,I5H85_gp109,SEA_ROYALS2015_109,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2768139,60333605,59,I5H85_gp059,SEA_ROYALS2015_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2768139,60333606,96,I5H85_gp096,SEA_ROYALS2015_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333607,46,I5H85_gp046,SEA_ROYALS2015_46,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
2768139,60333608,71,I5H85_gp071,SEA_ROYALS2015_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333609,1,I5H85_gp001,SEA_ROYALS2015_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2768139,60338913,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
