#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2759390,62361306,2,JMN67_gp002,SEA_JORGENSEN_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210123,-
2759390,62361354,50,JMN67_gp050,SEA_JORGENSEN_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2759390,62361355,51,JMN67_gp051,SEA_JORGENSEN_51,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210123,-
2759390,62361356,52,JMN67_gp052,SEA_JORGENSEN_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361357,53,JMN67_gp053,SEA_JORGENSEN_53,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20210123,-
2759390,62361358,54,JMN67_gp054,SEA_JORGENSEN_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361359,55,JMN67_gp055,SEA_JORGENSEN_55,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210529,-
2759390,62361360,56,JMN67_gp056,SEA_JORGENSEN_56,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210529,-
2759390,62361361,57,JMN67_gp057,SEA_JORGENSEN_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361362,58,JMN67_gp058,SEA_JORGENSEN_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361363,60,JMN67_gp060,SEA_JORGENSEN_60,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210529,-
2759390,62361364,61,JMN67_gp061,SEA_JORGENSEN_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361365,62,JMN67_gp062,SEA_JORGENSEN_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361366,63,JMN67_gp063,SEA_JORGENSEN_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361367,64,JMN67_gp064,SEA_JORGENSEN_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361368,65,JMN67_gp065,SEA_JORGENSEN_65,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210529,-
2759390,62361369,66,JMN67_gp066,SEA_JORGENSEN_66,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210424,-
2759390,62361370,67,JMN67_gp067,SEA_JORGENSEN_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361371,68,JMN67_gp068,SEA_JORGENSEN_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361372,69,JMN67_gp069,SEA_JORGENSEN_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361373,70,JMN67_gp070,SEA_JORGENSEN_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361374,71,JMN67_gp071,SEA_JORGENSEN_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361375,72,JMN67_gp072,SEA_JORGENSEN_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361376,73,JMN67_gp073,SEA_JORGENSEN_73,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210529,-
2759390,62361377,74,JMN67_gp074,SEA_JORGENSEN_74,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210529,-
2759390,62361378,75,JMN67_gp075,SEA_JORGENSEN_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361379,76,JMN67_gp076,SEA_JORGENSEN_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361380,77,JMN67_gp077,SEA_JORGENSEN_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361381,78,JMN67_gp078,SEA_JORGENSEN_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361382,79,JMN67_gp079,SEA_JORGENSEN_79,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210417,-
2759390,62361383,80,JMN67_gp080,SEA_JORGENSEN_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361384,81,JMN67_gp081,SEA_JORGENSEN_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361385,82,JMN67_gp082,SEA_JORGENSEN_82,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210123,-
2759390,62361386,83,JMN67_gp083,SEA_JORGENSEN_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361387,84,JMN67_gp084,SEA_JORGENSEN_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361388,85,JMN67_gp085,SEA_JORGENSEN_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361389,87,JMN67_gp087,SEA_JORGENSEN_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361390,88,JMN67_gp088,SEA_JORGENSEN_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361391,89,JMN67_gp089,SEA_JORGENSEN_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361392,90,JMN67_gp090,SEA_JORGENSEN_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361393,91,JMN67_gp091,SEA_JORGENSEN_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361394,92,JMN67_gp092,SEA_JORGENSEN_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361395,93,JMN67_gp093,SEA_JORGENSEN_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361396,94,JMN67_gp094,SEA_JORGENSEN_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361397,95,JMN67_gp095,SEA_JORGENSEN_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361398,96,JMN67_gp096,SEA_JORGENSEN_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361399,97,JMN67_gp097,SEA_JORGENSEN_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2759390,62361400,98,JMN67_gp098,SEA_JORGENSEN_98,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210123,-
2759390,62361401,99,JMN67_gp099,SEA_JORGENSEN_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361402,100,JMN67_gp100,SEA_JORGENSEN_100,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210529,-
2759390,62361403,101,JMN67_gp101,SEA_JORGENSEN_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361404,102,JMN67_gp102,SEA_JORGENSEN_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361405,59,JMN67_gp059,SEA_JORGENSEN_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2759390,62361406,86,JMN67_gp086,SEA_JORGENSEN_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361407,1,JMN67_gp001,SEA_JORGENSEN_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62369059,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210125,-
