#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1821541,29126399,2,BJD68_gp02,SEA_PHRANN_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1821541,29126414,17,BJD68_gp17,SEA_PHRANN_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821541,29126415,18,BJD68_gp18,SEA_PHRANN_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821541,29126416,19,BJD68_gp19,SEA_PHRANN_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821541,29126417,20,BJD68_gp20,SEA_PHRANN_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821541,29126418,21,BJD68_gp21,SEA_PHRANN_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126419,22,BJD68_gp22,SEA_PHRANN_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126420,23,BJD68_gp23,SEA_PHRANN_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126421,24,BJD68_gp24,SEA_PHRANN_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126422,25,BJD68_gp25,SEA_PHRANN_25,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200927,-
1821541,29126423,26,BJD68_gp26,SEA_PHRANN_26,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200927,-
1821541,29126424,27,BJD68_gp27,SEA_PHRANN_27,-,-,-,holin,protein-coding,-,-,-,holin,20210424,-
1821541,29126425,28,BJD68_gp28,SEA_PHRANN_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126426,29,BJD68_gp29,SEA_PHRANN_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126427,30,BJD68_gp30,SEA_PHRANN_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126428,31,BJD68_gp31,SEA_PHRANN_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126429,32,BJD68_gp32,SEA_PHRANN_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126430,33,BJD68_gp33,SEA_PHRANN_33,-,-,-,HicB-like antitoxin,protein-coding,-,-,-,HicB-like antitoxin,20200927,-
1821541,29126431,34,BJD68_gp34,SEA_PHRANN_34,-,-,-,HicA-like toxin,protein-coding,-,-,-,HicA-like toxin,20200927,-
1821541,29126432,35,BJD68_gp35,SEA_PHRANN_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126433,36,BJD68_gp36,SEA_PHRANN_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126434,37,BJD68_gp37,SEA_PHRANN_37,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20200927,-
1821541,29126435,38,BJD68_gp38,SEA_PHRANN_38,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200927,-
1821541,29126436,39,BJD68_gp39,SEA_PHRANN_39,-,-,-,excise,protein-coding,-,-,-,excise,20210417,-
1821541,29126437,40,BJD68_gp40,SEA_PHRANN_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126438,41,BJD68_gp41,SEA_PHRANN_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126439,42,BJD68_gp42,SEA_PHRANN_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126440,43,BJD68_gp43,SEA_PHRANN_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126441,44,BJD68_gp44,SEA_PHRANN_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126442,45,BJD68_gp45,SEA_PHRANN_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126443,46,BJD68_gp46,SEA_PHRANN_46,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20200927,-
1821541,29126444,47,BJD68_gp47,SEA_PHRANN_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126445,48,BJD68_gp48,SEA_PHRANN_48,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20200927,-
1821541,29126446,49,BJD68_gp49,SEA_PHRANN_49,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210424,-
1821541,29126447,50,BJD68_gp50,SEA_PHRANN_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126448,51,BJD68_gp51,SEA_PHRANN_51,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20200927,-
1821541,29126449,52,BJD68_gp52,SEA_PHRANN_52,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210424,-
1821541,29126450,53,BJD68_gp53,SEA_PHRANN_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126451,54,BJD68_gp54,SEA_PHRANN_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126452,55,BJD68_gp55,SEA_PHRANN_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126453,56,BJD68_gp56,SEA_PHRANN_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126454,57,BJD68_gp57,SEA_PHRANN_57,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20200927,-
1821541,29126455,58,BJD68_gp58,SEA_PHRANN_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126456,59,BJD68_gp59,SEA_PHRANN_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126457,60,BJD68_gp60,SEA_PHRANN_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126458,61,BJD68_gp61,SEA_PHRANN_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126459,62,BJD68_gp62,SEA_PHRANN_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126460,63,BJD68_gp63,SEA_PHRANN_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126461,64,BJD68_gp64,SEA_PHRANN_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126462,65,BJD68_gp65,SEA_PHRANN_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126463,66,BJD68_gp66,SEA_PHRANN_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126464,67,BJD68_gp67,SEA_PHRANN_67,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1821541,29126465,1,BJD68_gp01,SEA_PHRANN_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29140829,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Phrann).,other,-,-,-,-,20200513,-
