#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2723898,65124795,KNU94_gp02,KNU94_gp02,XccvBFoX2_gp02,-,-,-,glycolate dehydrogenase,protein-coding,-,-,-,glycolate dehydrogenase,20210608,-
2723898,65124814,KNU94_gp21,KNU94_gp21,XccvBFoX2_gp21,-,-,-,major tail tube protein,protein-coding,-,-,-,major tail tube protein,20210608,-
2723898,65124815,KNU94_gp22,KNU94_gp22,XccvBFoX2_gp22,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20210608,-
2723898,65124816,KNU94_gp23,KNU94_gp23,XccvBFoX2_gp23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124817,KNU94_gp24,KNU94_gp24,XccvBFoX2_gp24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124818,KNU94_gp25,KNU94_gp25,XccvBFoX2_gp25,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20210608,-
2723898,65124819,KNU94_gp26,KNU94_gp26,XccvBFoX2_gp26,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210608,-
2723898,65124820,KNU94_gp27,KNU94_gp27,XccvBFoX2_gp27,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210608,-
2723898,65124821,KNU94_gp28,KNU94_gp28,XccvBFoX2_gp28,-,-,-,gene D protein,protein-coding,-,-,-,gene D protein,20210608,-
2723898,65124822,KNU94_gp29,KNU94_gp29,XccvBFoX2_gp29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124823,KNU94_gp30,KNU94_gp30,XccvBFoX2_gp30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124824,KNU94_gp31,KNU94_gp31,XccvBFoX2_gp31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124825,KNU94_gt01,KNU94_gt01,-,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2723898,65124826,KNU94_gp80,KNU94_gp80,XccvBFoX2_gp33c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124827,KNU94_gp79,KNU94_gp79,XccvBFoX2_gp34c,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20210608,-
2723898,65124828,KNU94_gp78,KNU94_gp78,XccvBFoX2_gp35c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124829,KNU94_gp77,KNU94_gp77,XccvBFoX2_gp36c,-,-,-,putative MerR transcription regulator,protein-coding,-,-,-,putative MerR transcription regulator,20210608,-
2723898,65124830,KNU94_gp76,KNU94_gp76,XccvBFoX2_gp37c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124831,KNU94_gp75,KNU94_gp75,XccvBFoX2_gp38c,-,-,-,putative replicative DNA helicase,protein-coding,-,-,-,putative replicative DNA helicase,20210608,-
2723898,65124832,KNU94_gp74,KNU94_gp74,XccvBFoX2_gp39c,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20210608,-
2723898,65124833,KNU94_gp73,KNU94_gp73,XccvBFoX2_gp40c,-,-,-,exoribonuclease VIII,protein-coding,-,-,-,exoribonuclease VIII,20210608,-
2723898,65124834,KNU94_gp72,KNU94_gp72,XccvBFoX2_gp41c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124835,KNU94_gp71,KNU94_gp71,XccvBFoX2_gp42,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20210608,-
2723898,65124836,KNU94_gp70,KNU94_gp70,XccvBFoX2_gp43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124837,KNU94_gp69,KNU94_gp69,XccvBFoX2_gp44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124838,KNU94_gp68,KNU94_gp68,XccvBFoX2_gp45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124839,KNU94_gp67,KNU94_gp67,XccvBFoX2_gp46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124840,KNU94_gp66,KNU94_gp66,XccvBFoX2_gp47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124841,KNU94_gp65,KNU94_gp65,XccvBFoX2_gp48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124842,KNU94_gp64,KNU94_gp64,XccvBFoX2_gp49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124843,KNU94_gp63,KNU94_gp63,XccvBFoX2_gp50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124844,KNU94_gp62,KNU94_gp62,XccvBFoX2_gp51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124845,KNU94_gp61,KNU94_gp61,XccvBFoX2_gp52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124846,KNU94_gp60,KNU94_gp60,XccvBFoX2_gp53,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20210608,-
2723898,65124847,KNU94_gp59,KNU94_gp59,XccvBFoX2_gp54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124848,KNU94_gp58,KNU94_gp58,XccvBFoX2_gp55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124849,KNU94_gp57,KNU94_gp57,XccvBFoX2_gp56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124850,KNU94_gp56,KNU94_gp56,XccvBFoX2_gp57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124851,KNU94_gp55,KNU94_gp55,XccvBFoX2_gp58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124852,KNU94_gp54,KNU94_gp54,XccvBFoX2_gp59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124853,KNU94_gp53,KNU94_gp53,XccvBFoX2_gp60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124854,KNU94_gp52,KNU94_gp52,XccvBFoX2_gp61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124855,KNU94_gp51,KNU94_gp51,XccvBFoX2_gp62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124856,KNU94_gp50,KNU94_gp50,XccvBFoX2_gp63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124857,KNU94_gp49,KNU94_gp49,XccvBFoX2_gp64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124858,KNU94_gp48,KNU94_gp48,XccvBFoX2_gp65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124859,KNU94_gp47,KNU94_gp47,XccvBFoX2_gp66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124860,KNU94_gp46,KNU94_gp46,XccvBFoX2_gp67,-,-,-,putative lytic murein transglycosylase,protein-coding,-,-,-,putative lytic murein transglycosylase,20210608,-
2723898,65124861,KNU94_gp45,KNU94_gp45,XccvBFoX2_gp68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124862,KNU94_gp44,KNU94_gp44,XccvBFoX2_gp69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124863,KNU94_gp43,KNU94_gp43,XccvBFoX2_gp70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124864,KNU94_gp42,KNU94_gp42,XccvBFoX2_gp71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124865,KNU94_gp41,KNU94_gp41,XccvBFoX2_gp72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124866,KNU94_gp40,KNU94_gp40,XccvBFoX2_gp73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124867,KNU94_gp39,KNU94_gp39,XccvBFoX2_gp74c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124868,KNU94_gp38,KNU94_gp38,XccvBFoX2_gp75c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124869,KNU94_gp37,KNU94_gp37,XccvBFoX2_gp76c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124870,KNU94_gp36,KNU94_gp36,XccvBFoX2_gp77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124871,KNU94_gp35,KNU94_gp35,XccvBFoX2_gp78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124872,KNU94_gp34,KNU94_gp34,XccvBFoX2_gp79,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210608,-
2723898,65124873,KNU94_gp33,KNU94_gp33,XccvBFoX2_gp80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124874,KNU94_gp32,KNU94_gp32,XccvBFoX2_gp81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124875,KNU94_gp81,KNU94_gp81,XccvBFoX2_gp32c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124876,KNU94_gp01,KNU94_gp01,XccvBFoX2_gp01,-,-,-,small terminase subunit,protein-coding,-,-,-,small terminase subunit,20210608,-
2723898,65243394,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
