#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2041205,64471219,KGG83_gp02,KGG83_gp02,SEA_AMETHYST_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210505,-
2041205,64471235,KGG83_gp17,KGG83_gp17,SEA_AMETHYST_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210505,-
2041205,64471236,KGG83_gp19,KGG83_gp19,SEA_AMETHYST_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210505,-
2041205,64471237,KGG83_gp20,KGG83_gp20,SEA_AMETHYST_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210505,-
2041205,64471238,KGG83_gp21,KGG83_gp21,SEA_AMETHYST_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471239,KGG83_gp22,KGG83_gp22,SEA_AMETHYST_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210505,-
2041205,64471240,KGG83_gp23,KGG83_gp23,SEA_AMETHYST_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471241,KGG83_gp24,KGG83_gp24,SEA_AMETHYST_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210505,-
2041205,64471242,KGG83_gp25,KGG83_gp25,SEA_AMETHYST_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471243,KGG83_gp26,KGG83_gp26,SEA_AMETHYST_26,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210505,-
2041205,64471244,KGG83_gp27,KGG83_gp27,SEA_AMETHYST_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471245,KGG83_gp28,KGG83_gp28,SEA_AMETHYST_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471246,KGG83_gp29,KGG83_gp29,SEA_AMETHYST_29,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210505,-
2041205,64471247,KGG83_gp30,KGG83_gp30,SEA_AMETHYST_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471248,KGG83_gp31,KGG83_gp31,SEA_AMETHYST_31,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210505,-
2041205,64471249,KGG83_gp32,KGG83_gp32,SEA_AMETHYST_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471250,KGG83_gp33,KGG83_gp33,SEA_AMETHYST_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471251,KGG83_gp34,KGG83_gp34,SEA_AMETHYST_34,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210505,-
2041205,64471252,KGG83_gp35,KGG83_gp35,SEA_AMETHYST_35,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210505,-
2041205,64471253,KGG83_gp36,KGG83_gp36,SEA_AMETHYST_36,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20210505,-
2041205,64471254,KGG83_gp37,KGG83_gp37,SEA_AMETHYST_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471255,KGG83_gp38,KGG83_gp38,SEA_AMETHYST_38,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210505,-
2041205,64471256,KGG83_gp39,KGG83_gp39,SEA_AMETHYST_39,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210505,-
2041205,64471257,KGG83_gp40,KGG83_gp40,SEA_AMETHYST_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471258,KGG83_gp41,KGG83_gp41,SEA_AMETHYST_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471259,KGG83_gp42,KGG83_gp42,SEA_AMETHYST_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471260,KGG83_gp43,KGG83_gp43,SEA_AMETHYST_43,-,-,-,MRE11 double-strand break endo/exonuclease,protein-coding,-,-,-,MRE11 double-strand break endo/exonuclease,20210505,-
2041205,64471261,KGG83_gp44,KGG83_gp44,SEA_AMETHYST_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471262,KGG83_gp45,KGG83_gp45,SEA_AMETHYST_45,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210505,-
2041205,64471263,KGG83_gp46,KGG83_gp46,SEA_AMETHYST_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471264,KGG83_gp47,KGG83_gp47,SEA_AMETHYST_47,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20210505,-
2041205,64471265,KGG83_gp48,KGG83_gp48,SEA_AMETHYST_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471266,KGG83_gp49,KGG83_gp49,SEA_AMETHYST_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471267,KGG83_gp50,KGG83_gp50,SEA_AMETHYST_50,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210505,-
2041205,64471268,KGG83_gp51,KGG83_gp51,SEA_AMETHYST_51,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20210505,-
2041205,64471269,KGG83_gp52,KGG83_gp52,SEA_AMETHYST_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471270,KGG83_gp53,KGG83_gp53,SEA_AMETHYST_53,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20210505,-
2041205,64471271,KGG83_gp54,KGG83_gp54,SEA_AMETHYST_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471272,KGG83_gp55,KGG83_gp55,SEA_AMETHYST_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471273,KGG83_gp56,KGG83_gp56,SEA_AMETHYST_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471274,KGG83_gp57,KGG83_gp57,SEA_AMETHYST_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471275,KGG83_gp59,KGG83_gp59,SEA_AMETHYST_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471276,KGG83_gp60,KGG83_gp60,SEA_AMETHYST_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471277,KGG83_gp61,KGG83_gp61,SEA_AMETHYST_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471278,KGG83_gp62,KGG83_gp62,SEA_AMETHYST_62,-,-,-,deoxynucleoside monophosphate,protein-coding,-,-,-,deoxynucleoside monophosphate,20210505,-
2041205,64471279,KGG83_gp63,KGG83_gp63,SEA_AMETHYST_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471280,KGG83_gp64,KGG83_gp64,SEA_AMETHYST_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471281,KGG83_gp65,KGG83_gp65,SEA_AMETHYST_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471282,KGG83_gp66,KGG83_gp66,SEA_AMETHYST_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471283,KGG83_gp68,KGG83_gp68,SEA_AMETHYST_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471284,KGG83_gp69,KGG83_gp69,SEA_AMETHYST_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471285,KGG83_gp70,KGG83_gp70,SEA_AMETHYST_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471286,KGG83_gp71,KGG83_gp71,SEA_AMETHYST_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471287,KGG83_gp72,KGG83_gp72,SEA_AMETHYST_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471288,KGG83_gp73,KGG83_gp73,SEA_AMETHYST_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471289,KGG83_gp74,KGG83_gp74,SEA_AMETHYST_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471290,KGG83_gp75,KGG83_gp75,SEA_AMETHYST_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471291,KGG83_gp76,KGG83_gp76,SEA_AMETHYST_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471292,KGG83_gp78,KGG83_gp78,SEA_AMETHYST_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471293,KGG83_gp79,KGG83_gp79,SEA_AMETHYST_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471294,KGG83_gp58,KGG83_gp58,SEA_AMETHYST_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471295,KGG83_gp67,KGG83_gp67,SEA_AMETHYST_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471296,KGG83_gp77,KGG83_gp77,SEA_AMETHYST_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471297,KGG83_gp01,KGG83_gp01,SEA_AMETHYST_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64792202,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210510,-
