#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2175169,54994472,HOT50_gp02,HOT50_gp02,-,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20210129,-
2175169,54994490,HOT50_gp20,HOT50_gp20,-,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20210129,-
2175169,54994491,HOT50_gp21,HOT50_gp21,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210129,-
2175169,54994492,HOT50_gp22,HOT50_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994493,HOT50_gp23,HOT50_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994494,HOT50_gp24,HOT50_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994495,HOT50_gp25,HOT50_gp25,-,-,-,-,putative exodeoxyribonuclease VIII,protein-coding,-,-,-,putative exodeoxyribonuclease VIII,20210129,-
2175169,54994496,HOT50_gp26,HOT50_gp26,-,-,-,-,putative recombination protein,protein-coding,-,-,-,putative recombination protein,20210129,-
2175169,54994497,HOT50_gp27,HOT50_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2175169,54994498,HOT50_gp28,HOT50_gp28,-,-,-,-,putative tail fiber,protein-coding,-,-,-,putative tail fiber,20210129,-
2175169,54994499,HOT50_gp29,HOT50_gp29,-,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20210129,-
2175169,54994500,HOT50_gp30,HOT50_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994501,HOT50_gp31,HOT50_gp31,-,-,-,-,putative ATP-dependent helicase,protein-coding,-,-,-,putative ATP-dependent helicase,20210129,-
2175169,54994502,HOT50_gp32,HOT50_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2175169,54994503,HOT50_gp33,HOT50_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994504,HOT50_gp34,HOT50_gp34,-,-,-,-,putative Dam methylase,protein-coding,-,-,-,putative Dam methylase,20210129,-
2175169,54994505,HOT50_gp35,HOT50_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994506,HOT50_gp36,HOT50_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994507,HOT50_gp37,HOT50_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994508,HOT50_gp38,HOT50_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2175169,54994509,HOT50_gp39,HOT50_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994510,HOT50_gp40,HOT50_gp40,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
2175169,54994511,HOT50_gp41,HOT50_gp41,-,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20210327,-
2175169,54994512,HOT50_gp42,HOT50_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994513,HOT50_gp43,HOT50_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994514,HOT50_gp44,HOT50_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994515,HOT50_gp45,HOT50_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2175169,54994516,HOT50_gp46,HOT50_gp46,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210129,-
2175169,54994517,HOT50_gp47,HOT50_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994518,HOT50_gp48,HOT50_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994519,HOT50_gp49,HOT50_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994520,HOT50_gp50,HOT50_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994521,HOT50_gp51,HOT50_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994522,HOT50_gp52,HOT50_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994523,HOT50_gp53,HOT50_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994524,HOT50_gp54,HOT50_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994525,HOT50_gp55,HOT50_gp55,-,-,-,-,putative site specific DNA methylase,protein-coding,-,-,-,putative site specific DNA methylase,20201221,-
2175169,54994526,HOT50_gp56,HOT50_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994527,HOT50_gp57,HOT50_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994528,HOT50_gp58,HOT50_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994529,HOT50_gp59,HOT50_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994530,HOT50_gp60,HOT50_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994531,HOT50_gp61,HOT50_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994532,HOT50_gp62,HOT50_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994533,HOT50_gp63,HOT50_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2175169,54994534,HOT50_gp64,HOT50_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994535,HOT50_gp65,HOT50_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994536,HOT50_gp66,HOT50_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994537,HOT50_gp67,HOT50_gp67,-,-,-,-,putative polynucleotide kinase/phosphatase,protein-coding,-,-,-,putative polynucleotide kinase/phosphatase,20210129,-
2175169,54994538,HOT50_gp68,HOT50_gp68,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20210129,-
2175169,54994539,HOT50_gp69,HOT50_gp69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994540,HOT50_gp70,HOT50_gp70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994541,HOT50_gp71,HOT50_gp71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994542,HOT50_gp72,HOT50_gp72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994543,HOT50_gp73,HOT50_gp73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994544,HOT50_gp74,HOT50_gp74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994545,HOT50_gp75,HOT50_gp75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994546,HOT50_gp76,HOT50_gp76,-,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20210129,-
2175169,54994547,HOT50_gp01,HOT50_gp01,-,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20210129,-
2175169,55153946,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200601,-
