#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2070190,65069111,KMC72_gp02,KMC72_gp02,DRAGOLIR_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
2070190,65069136,KMC72_gp27,KMC72_gp27,DRAGOLIR_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2070190,65069137,KMC72_gp28,KMC72_gp28,DRAGOLIR_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2070190,65069138,KMC72_gp29,KMC72_gp29,DRAGOLIR_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2070190,65069139,KMC72_gp30,KMC72_gp30,DRAGOLIR_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2070190,65069140,KMC72_gp31,KMC72_gp31,DRAGOLIR_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2070190,65069141,KMC72_gp32,KMC72_gp32,DRAGOLIR_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2070190,65069142,KMC72_gp33,KMC72_gp33,DRAGOLIR_33,-,-,-,helix-turn-helix domain Cro/C1-type transcriptional regulator,protein-coding,-,-,-,helix-turn-helix domain Cro/C1-type transcriptional regulator,20210607,-
2070190,65069143,KMC72_gp34,KMC72_gp34,DRAGOLIR_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2070190,65069144,KMC72_gp35,KMC72_gp35,DRAGOLIR_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2070190,65069145,KMC72_gp36,KMC72_gp36,DRAGOLIR_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2070190,65069146,KMC72_gp37,KMC72_gp37,DRAGOLIR_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2070190,65069147,KMC72_gp38,KMC72_gp38,DRAGOLIR_38,-,-,-,integrase,protein-coding,-,-,-,integrase,20210607,-
2070190,65069148,KMC72_gp39,KMC72_gp39,DRAGOLIR_39,-,-,-,metallo-endopeptidase,protein-coding,-,-,-,metallo-endopeptidase,20210607,-
2070190,65069149,KMC72_gp40,KMC72_gp40,DRAGOLIR_40,-,-,-,helix-turn-helix XRE family transcriptional regulator,protein-coding,-,-,-,helix-turn-helix XRE family transcriptional regulator,20210607,-
2070190,65069150,KMC72_gp41,KMC72_gp41,DRAGOLIR_41,-,-,-,helix-turn-helix XRE family transcriptional regulator,protein-coding,-,-,-,helix-turn-helix XRE family transcriptional regulator,20210607,-
2070190,65069151,KMC72_gp42,KMC72_gp42,DRAGOLIR_42,-,-,-,KilAC domain antirepressor,protein-coding,-,-,-,KilAC domain antirepressor,20210607,-
2070190,65069152,KMC72_gp43,KMC72_gp43,DRAGOLIR_43,-,-,-,helix-turn-helix domain DNA binding protein# excisionase family,protein-coding,-,-,-,helix-turn-helix domain DNA binding protein# excisionase family,20210607,-
2070190,65069153,KMC72_gp44,KMC72_gp44,DRAGOLIR_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2070190,65069154,KMC72_gp45,KMC72_gp45,DRAGOLIR_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2070190,65069155,KMC72_gp46,KMC72_gp46,DRAGOLIR_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2070190,65069156,KMC72_gp47,KMC72_gp47,DRAGOLIR_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2070190,65069157,KMC72_gp48,KMC72_gp48,DRAGOLIR_48,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210607,-
2070190,65069158,KMC72_gp49,KMC72_gp49,DRAGOLIR_49,-,-,-,replication terminator protein,protein-coding,-,-,-,replication terminator protein,20210607,-
2070190,65069159,KMC72_gp50,KMC72_gp50,DRAGOLIR_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2070190,65069160,KMC72_gp51,KMC72_gp51,DRAGOLIR_51,-,-,-,chromosome segregation protein SMC,protein-coding,-,-,-,chromosome segregation protein SMC,20210607,-
2070190,65069161,KMC72_gp52,KMC72_gp52,DRAGOLIR_52,-,-,-,AAA domain protein,protein-coding,-,-,-,AAA domain protein,20210607,-
2070190,65069162,KMC72_gp53,KMC72_gp53,DRAGOLIR_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2070190,65069163,KMC72_gp54,KMC72_gp54,DRAGOLIR_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2070190,65069164,KMC72_gp55,KMC72_gp55,DRAGOLIR_55,-,-,-,DEAD/DEAH box DNA helicase,protein-coding,-,-,-,DEAD/DEAH box DNA helicase,20210607,-
2070190,65069165,KMC72_gp56,KMC72_gp56,DRAGOLIR_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2070190,65069166,KMC72_gp57,KMC72_gp57,DRAGOLIR_57,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210607,-
2070190,65069167,KMC72_gp58,KMC72_gp58,DRAGOLIR_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2070190,65069168,KMC72_gp59,KMC72_gp59,DRAGOLIR_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2070190,65069169,KMC72_gp60,KMC72_gp60,DRAGOLIR_60,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20210607,-
2070190,65069170,KMC72_gp61,KMC72_gp61,DRAGOLIR_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2070190,65069171,KMC72_gp62,KMC72_gp62,DRAGOLIR_62,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20210607,-
2070190,65069172,KMC72_gp63,KMC72_gp63,DRAGOLIR_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2070190,65069173,KMC72_gp64,KMC72_gp64,DRAGOLIR_64,-,-,-,transcriptional activator,protein-coding,-,-,-,transcriptional activator,20210607,-
2070190,65069174,KMC72_gt01,KMC72_gt01,DRAGOLIR_65,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2070190,65069175,KMC72_gp68,KMC72_gp68,DRAGOLIR_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2070190,65069176,KMC72_gp67,KMC72_gp67,DRAGOLIR_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2070190,65069177,KMC72_gp66,KMC72_gp66,DRAGOLIR_68,-,-,-,HNH endonuclease/restriction endonuclease,protein-coding,-,-,-,HNH endonuclease/restriction endonuclease,20210607,-
2070190,65069178,KMC72_gp65,KMC72_gp65,DRAGOLIR_69,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
2070190,65069179,KMC72_gp01,KMC72_gp01,DRAGOLIR_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210607,-
2070190,65242701,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacillus phage Dragolir).,other,-,-,-,-,20210609,-
