#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2041209,64471299,KGG85_gp02,KGG85_gp02,SEA_TEFUNT_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210505,-
2041209,64471317,KGG85_gp21,KGG85_gp21,SEA_TEFUNT_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471318,KGG85_gp22,KGG85_gp22,SEA_TEFUNT_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210505,-
2041209,64471319,KGG85_gp23,KGG85_gp23,SEA_TEFUNT_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471320,KGG85_gp24,KGG85_gp24,SEA_TEFUNT_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210505,-
2041209,64471321,KGG85_gp25,KGG85_gp25,SEA_TEFUNT_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471322,KGG85_gp26,KGG85_gp26,SEA_TEFUNT_26,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210505,-
2041209,64471323,KGG85_gp27,KGG85_gp27,SEA_TEFUNT_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471324,KGG85_gp28,KGG85_gp28,SEA_TEFUNT_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471325,KGG85_gp29,KGG85_gp29,SEA_TEFUNT_29,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210505,-
2041209,64471326,KGG85_gp30,KGG85_gp30,SEA_TEFUNT_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471327,KGG85_gp31,KGG85_gp31,SEA_TEFUNT_31,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210505,-
2041209,64471328,KGG85_gp32,KGG85_gp32,SEA_TEFUNT_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471329,KGG85_gp33,KGG85_gp33,SEA_TEFUNT_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471330,KGG85_gp34,KGG85_gp34,SEA_TEFUNT_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471331,KGG85_gp35,KGG85_gp35,SEA_TEFUNT_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471332,KGG85_gp36,KGG85_gp36,SEA_TEFUNT_36,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210505,-
2041209,64471333,KGG85_gp37,KGG85_gp37,SEA_TEFUNT_37,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210505,-
2041209,64471334,KGG85_gp38,KGG85_gp38,SEA_TEFUNT_38,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20210505,-
2041209,64471335,KGG85_gp39,KGG85_gp39,SEA_TEFUNT_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471336,KGG85_gp40,KGG85_gp40,SEA_TEFUNT_40,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210505,-
2041209,64471337,KGG85_gp41,KGG85_gp41,SEA_TEFUNT_41,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210505,-
2041209,64471338,KGG85_gp42,KGG85_gp42,SEA_TEFUNT_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471339,KGG85_gp43,KGG85_gp43,SEA_TEFUNT_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471340,KGG85_gp44,KGG85_gp44,SEA_TEFUNT_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471341,KGG85_gp45,KGG85_gp45,SEA_TEFUNT_45,-,-,-,MRE11 double-strand break endo/exonuclease,protein-coding,-,-,-,MRE11 double-strand break endo/exonuclease,20210505,-
2041209,64471342,KGG85_gp46,KGG85_gp46,SEA_TEFUNT_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471343,KGG85_gp47,KGG85_gp47,SEA_TEFUNT_47,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210505,-
2041209,64471344,KGG85_gp48,KGG85_gp48,SEA_TEFUNT_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471345,KGG85_gp49,KGG85_gp49,SEA_TEFUNT_49,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20210505,-
2041209,64471346,KGG85_gp50,KGG85_gp50,SEA_TEFUNT_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471347,KGG85_gp51,KGG85_gp51,SEA_TEFUNT_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471348,KGG85_gp52,KGG85_gp52,SEA_TEFUNT_52,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210505,-
2041209,64471349,KGG85_gp53,KGG85_gp53,SEA_TEFUNT_53,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20210505,-
2041209,64471350,KGG85_gp54,KGG85_gp54,SEA_TEFUNT_54,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20210505,-
2041209,64471351,KGG85_gp55,KGG85_gp55,SEA_TEFUNT_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471352,KGG85_gp56,KGG85_gp56,SEA_TEFUNT_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471353,KGG85_gp57,KGG85_gp57,SEA_TEFUNT_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471354,KGG85_gp58,KGG85_gp58,SEA_TEFUNT_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471355,KGG85_gp59,KGG85_gp59,SEA_TEFUNT_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471356,KGG85_gp60,KGG85_gp60,SEA_TEFUNT_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471357,KGG85_gp61,KGG85_gp61,SEA_TEFUNT_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471358,KGG85_gp62,KGG85_gp62,SEA_TEFUNT_62,-,-,-,deoxynucleoside monophosphate,protein-coding,-,-,-,deoxynucleoside monophosphate,20210505,-
2041209,64471359,KGG85_gp63,KGG85_gp63,SEA_TEFUNT_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471360,KGG85_gp64,KGG85_gp64,SEA_TEFUNT_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471361,KGG85_gp65,KGG85_gp65,SEA_TEFUNT_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471362,KGG85_gp66,KGG85_gp66,SEA_TEFUNT_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471363,KGG85_gp67,KGG85_gp67,SEA_TEFUNT_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471364,KGG85_gp68,KGG85_gp68,SEA_TEFUNT_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471365,KGG85_gp69,KGG85_gp69,SEA_TEFUNT_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471366,KGG85_gp70,KGG85_gp70,SEA_TEFUNT_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471367,KGG85_gp71,KGG85_gp71,SEA_TEFUNT_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471368,KGG85_gp72,KGG85_gp72,SEA_TEFUNT_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471369,KGG85_gp73,KGG85_gp73,SEA_TEFUNT_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471370,KGG85_gp74,KGG85_gp74,SEA_TEFUNT_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471371,KGG85_gp75,KGG85_gp75,SEA_TEFUNT_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471372,KGG85_gp76,KGG85_gp76,SEA_TEFUNT_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471373,KGG85_gp77,KGG85_gp77,SEA_TEFUNT_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471374,KGG85_gp78,KGG85_gp78,SEA_TEFUNT_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471375,KGG85_gp79,KGG85_gp79,SEA_TEFUNT_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471376,KGG85_gp81,KGG85_gp81,SEA_TEFUNT_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471377,KGG85_gp07,KGG85_gp07,SEA_TEFUNT_7,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210505,-
2041209,64471378,KGG85_gp80,KGG85_gp80,SEA_TEFUNT_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471379,KGG85_gp01,KGG85_gp01,SEA_TEFUNT_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64792208,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210510,-
