#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1429904,17777186,2,PBI_HANSHOTFIRST_2,-,-,-,-,HNH domain protein,protein-coding,-,-,-,HNH domain protein,20201221,-
1429904,17777243,59,PBI_HANSHOTFIRST_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777244,60,PBI_HANSHOTFIRST_60,-,-,-,-,DNA methyltransferase,protein-coding,-,-,-,DNA methyltransferase,20201221,-
1429904,17777245,61,PBI_HANSHOTFIRST_61,-,-,-,-,EndoVII,protein-coding,-,-,-,EndoVII,20201221,-
1429904,17777246,62,PBI_HANSHOTFIRST_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777247,63,PBI_HANSHOTFIRST_63,-,-,-,-,NrdH,protein-coding,-,-,-,NrdH,20210424,-
1429904,17777248,64,PBI_HANSHOTFIRST_64,-,-,-,-,DnaB-like helicase,protein-coding,-,-,-,DnaB-like helicase,20201221,-
1429904,17777249,65,PBI_HANSHOTFIRST_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777250,66,PBI_HANSHOTFIRST_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777251,67,PBI_HANSHOTFIRST_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777252,68,PBI_HANSHOTFIRST_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777253,69,PBI_HANSHOTFIRST_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777254,70,PBI_HANSHOTFIRST_70,-,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20201221,-
1429904,17777255,71,PBI_HANSHOTFIRST_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1429904,17777256,72,PBI_HANSHOTFIRST_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777257,73,PBI_HANSHOTFIRST_73,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
1429904,17777258,74,PBI_HANSHOTFIRST_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777259,75,PBI_HANSHOTFIRST_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777260,76,PBI_HANSHOTFIRST_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777261,77,PBI_HANSHOTFIRST_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777262,78,PBI_HANSHOTFIRST_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777263,79,PBI_HANSHOTFIRST_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777264,80,PBI_HANSHOTFIRST_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777265,81,PBI_HANSHOTFIRST_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777266,82,PBI_HANSHOTFIRST_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777267,83,PBI_HANSHOTFIRST_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777268,84,PBI_HANSHOTFIRST_84,-,-,-,-,NifU-like domain protein,protein-coding,-,-,-,NifU-like domain protein,20201221,-
1429904,17777269,85,PBI_HANSHOTFIRST_85,-,-,-,-,tRNA methyl transferase,protein-coding,-,-,-,tRNA methyl transferase,20201221,-
1429904,17777270,86,PBI_HANSHOTFIRST_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777271,87,PBI_HANSHOTFIRST_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777272,88,PBI_HANSHOTFIRST_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777273,89,PBI_HANSHOTFIRST_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777274,90,PBI_HANSHOTFIRST_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777275,91,PBI_HANSHOTFIRST_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777276,1,PBI_HANSHOTFIRST_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17849512,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
