#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2250427,62363428,2,JMN92_gp02,SEA_ROHR_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210123,-
2250427,62363463,37,JMN92_gp61,SEA_ROHR_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363464,38,JMN92_gp60,SEA_ROHR_38,-,-,-,serine/threonine kinase,protein-coding,-,-,-,serine/threonine kinase,20210417,-
2250427,62363465,39,JMN92_gp59,SEA_ROHR_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363466,40,JMN92_gp58,SEA_ROHR_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363467,41,JMN92_gp57,SEA_ROHR_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363468,42,JMN92_gp56,SEA_ROHR_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363469,43,JMN92_gp55,SEA_ROHR_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363470,44,JMN92_gp54,SEA_ROHR_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363471,45,JMN92_gp53,SEA_ROHR_45,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210417,-
2250427,62363472,46,JMN92_gp52,SEA_ROHR_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363473,47,JMN92_gp51,SEA_ROHR_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363474,48,JMN92_gp50,SEA_ROHR_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363475,49,JMN92_gp49,SEA_ROHR_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2250427,62363476,50,JMN92_gp48,SEA_ROHR_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363477,51,JMN92_gp47,SEA_ROHR_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363478,52,JMN92_gp46,SEA_ROHR_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363479,53,JMN92_gp45,SEA_ROHR_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363480,54,JMN92_gp44,SEA_ROHR_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363481,55,JMN92_gp43,SEA_ROHR_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363482,56,JMN92_gp42,SEA_ROHR_56,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210406,-
2250427,62363483,57,JMN92_gp41,SEA_ROHR_57,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210313,-
2250427,62363484,58,JMN92_gp40,SEA_ROHR_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363485,59,JMN92_gp39,SEA_ROHR_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2250427,62363486,60,JMN92_gp38,SEA_ROHR_60,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210417,-
2250427,62363487,61,JMN92_gp37,SEA_ROHR_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2250427,62363488,62,JMN92_gp36,SEA_ROHR_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363489,63,JMN92_gp35,SEA_ROHR_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363490,64,JMN92_gp34,SEA_ROHR_64,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210406,-
2250427,62363491,65,JMN92_gp33,SEA_ROHR_65,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210417,-
2250427,62363492,66,JMN92_gp32,SEA_ROHR_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363493,67,JMN92_gp31,SEA_ROHR_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363494,68,JMN92_gp30,SEA_ROHR_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363495,69,JMN92_gp29,SEA_ROHR_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2250427,62363496,70,JMN92_gp28,SEA_ROHR_70,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210417,-
2250427,62363497,71,JMN92_gp27,SEA_ROHR_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363498,72,JMN92_gp26,SEA_ROHR_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363499,73,JMN92_gp25,SEA_ROHR_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363500,74,JMN92_gp24,SEA_ROHR_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363501,75,JMN92_gp23,SEA_ROHR_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363502,76,JMN92_gp22,SEA_ROHR_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2250427,62363503,77,JMN92_gp21,SEA_ROHR_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363504,78,JMN92_gp20,SEA_ROHR_78,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210123,-
2250427,62363505,79,JMN92_gp19,SEA_ROHR_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363506,80,JMN92_gp18,SEA_ROHR_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363507,81,JMN92_gp17,SEA_ROHR_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363508,82,JMN92_gp16,SEA_ROHR_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363509,83,JMN92_gp15,SEA_ROHR_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363510,84,JMN92_gp14,SEA_ROHR_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363511,85,JMN92_gp13,SEA_ROHR_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363512,86,JMN92_gp12,SEA_ROHR_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363513,87,JMN92_gp11,SEA_ROHR_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363514,88,JMN92_gp10,SEA_ROHR_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363515,89,JMN92_gp09,SEA_ROHR_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2250427,62363516,90,JMN92_gp08,SEA_ROHR_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363517,91,JMN92_gp07,SEA_ROHR_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363518,92,JMN92_gp06,SEA_ROHR_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2250427,62363519,93,JMN92_gp05,SEA_ROHR_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363520,1,JMN92_gp01,SEA_ROHR_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62368993,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210125,-
