#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2591057,56133124,H1N78_gp02,H1N78_gp02,JK16_00002,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210123,-
2591057,56133146,H1N78_gp24,H1N78_gp24,JK16_00024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133147,H1N78_gp25,H1N78_gp25,JK16_00025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133148,H1N78_gp26,H1N78_gp26,JK16_00026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133149,H1N78_gp27,H1N78_gp27,JK16_00027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133150,H1N78_gp28,H1N78_gp28,JK16_00028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133151,H1N78_gp29,H1N78_gp29,JK16_00029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133152,H1N78_gp30,H1N78_gp30,JK16_00030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133153,H1N78_gp31,H1N78_gp31,JK16_00031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591057,56133154,H1N78_gp32,H1N78_gp32,JK16_00032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133155,H1N78_gp33,H1N78_gp33,JK16_00033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133156,H1N78_gp34,H1N78_gp34,JK16_00034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133157,H1N78_gp35,H1N78_gp35,JK16_00035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133158,H1N78_gp36,H1N78_gp36,JK16_00036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133159,H1N78_gp37,H1N78_gp37,JK16_00037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133160,H1N78_gp38,H1N78_gp38,JK16_00038,-,-,-,acid phosphatase,protein-coding,-,-,-,acid phosphatase,20210424,-
2591057,56133161,H1N78_gp39,H1N78_gp39,JK16_00039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133162,H1N78_gp40,H1N78_gp40,JK16_00040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133163,H1N78_gp41,H1N78_gp41,JK16_00041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133164,H1N78_gp42,H1N78_gp42,JK16_00042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133165,H1N78_gp43,H1N78_gp43,JK16_00043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133166,H1N78_gp44,H1N78_gp44,JK16_00044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133167,H1N78_gp45,H1N78_gp45,JK16_00045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133168,H1N78_gp46,H1N78_gp46,JK16_00046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133169,H1N78_gp47,H1N78_gp47,JK16_00047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133170,H1N78_gp48,H1N78_gp48,JK16_00048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133171,H1N78_gp49,H1N78_gp49,JK16_00049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133172,H1N78_gp50,H1N78_gp50,JK16_00050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133173,H1N78_gp51,H1N78_gp51,JK16_00051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133174,H1N78_gp52,H1N78_gp52,JK16_00052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133175,H1N78_gp53,H1N78_gp53,JK16_00053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133176,H1N78_gp54,H1N78_gp54,JK16_00054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133177,H1N78_gp55,H1N78_gp55,JK16_00055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2591057,56133178,H1N78_gp56,H1N78_gp56,JK16_00056,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210123,-
2591057,56133179,H1N78_gp57,H1N78_gp57,JK16_00057,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2591057,56133180,H1N78_gp58,H1N78_gp58,JK16_00058,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20201217,-
2591057,56133181,H1N78_gp59,H1N78_gp59,JK16_00059,-,-,-,major head subunit precursor,protein-coding,-,-,-,major head subunit precursor,20210306,-
2591057,56133182,H1N78_gp60,H1N78_gp60,JK16_00060,-,-,-,HtjA,protein-coding,-,-,-,HtjA,20200724,-
2591057,56133183,H1N78_gp61,H1N78_gp61,JK16_00061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591057,56133184,H1N78_gp62,H1N78_gp62,JK16_00062,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
2591057,56133185,H1N78_gp63,H1N78_gp63,JK16_00063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133186,H1N78_gp64,H1N78_gp64,JK16_00064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2591057,56133187,H1N78_gp65,H1N78_gp65,JK16_00065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133188,H1N78_gp66,H1N78_gp66,JK16_00066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133189,H1N78_gp67,H1N78_gp67,JK16_00067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591057,56133190,H1N78_gp68,H1N78_gp68,JK16_00068,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201217,-
2591057,56133191,H1N78_gp69,H1N78_gp69,JK16_00069,-,-,-,TfmA,protein-coding,-,-,-,TfmA,20201217,-
2591057,56133192,H1N78_gp70,H1N78_gp70,JK16_00070,-,-,-,tail tape-measure protein,protein-coding,-,-,-,tail tape-measure protein,20201217,-
2591057,56133193,H1N78_gp71,H1N78_gp71,JK16_00071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2591057,56133194,H1N78_gp72,H1N78_gp72,JK16_00072,-,-,-,tail tip assembly protein,protein-coding,-,-,-,tail tip assembly protein,20200919,-
2591057,56133195,H1N78_gp73,H1N78_gp73,JK16_00073,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20210403,-
2591057,56133196,H1N78_gp74,H1N78_gp74,JK16_00074,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20201217,-
2591057,56133197,H1N78_gp75,H1N78_gp75,JK16_00075,-,-,-,TspJ,protein-coding,-,-,-,TspJ,20210424,-
2591057,56133198,H1N78_gp76,H1N78_gp76,JK16_00076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133199,H1N78_gp77,H1N78_gp77,JK16_00077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133200,H1N78_gp78,H1N78_gp78,JK16_00078,-,-,-,exodeoxyribonuclease,protein-coding,-,-,-,exodeoxyribonuclease,20210306,-
2591057,56133201,H1N78_gp79,H1N78_gp79,JK16_00079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133202,H1N78_gp80,H1N78_gp80,JK16_00080,-,-,-,ERF superfamily protein,protein-coding,-,-,-,ERF superfamily protein,20210306,-
2591057,56133203,H1N78_gp81,H1N78_gp81,JK16_00081,-,-,-,helix-destabilizing protein,protein-coding,-,-,-,helix-destabilizing protein,20210123,-
2591057,56133204,H1N78_gp82,H1N78_gp82,JK16_00082,-,-,-,chaperone of endosialidase,protein-coding,-,-,-,chaperone of endosialidase,20200724,-
2591057,56133205,H1N78_gp83,H1N78_gp83,JK16_00083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133206,H1N78_gp84,H1N78_gp84,JK16_00084,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201217,-
2591057,56133207,H1N78_gp01,H1N78_gp01,JK16_00001,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200829,-
2591057,56166653,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200727,-
