#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2653768,60334560,2,I5H95_gp002,SEA_TDANISKY_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210212,-
2653768,60334624,66,I5H95_gp067,SEA_TDANISKY_67,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210417,-
2653768,60334625,67,I5H95_gp068,SEA_TDANISKY_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334626,68,I5H95_gp069,SEA_TDANISKY_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334627,69,I5H95_gp070,SEA_TDANISKY_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
2653768,60334628,70,I5H95_gp071,SEA_TDANISKY_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2653768,60334629,72,I5H95_gp072,SEA_TDANISKY_72,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201202,-
2653768,60334630,72,I5H95_gp074,SEA_TDANISKY_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334631,73,I5H95_gp075,SEA_TDANISKY_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334632,74,I5H95_gp076,SEA_TDANISKY_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334633,75,I5H95_gp077,SEA_TDANISKY_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334634,76,I5H95_gp078,SEA_TDANISKY_78,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2653768,60334635,77,I5H95_gp079,SEA_TDANISKY_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334636,78,I5H95_gp080,SEA_TDANISKY_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334637,81,I5H95_gp081,SEA_TDANISKY_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334638,80,I5H95_gp083,SEA_TDANISKY_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334639,81,I5H95_gp084,SEA_TDANISKY_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334640,82,I5H95_gp085,SEA_TDANISKY_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334641,83,I5H95_gp086,SEA_TDANISKY_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334642,84,I5H95_gp087,SEA_TDANISKY_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334643,85,I5H95_gp088,SEA_TDANISKY_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334644,86,I5H95_gp089,SEA_TDANISKY_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334645,87,I5H95_gp090,SEA_TDANISKY_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334646,88,I5H95_gp091,SEA_TDANISKY_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334647,89,I5H95_gp092,SEA_TDANISKY_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334648,90,I5H95_gp093,SEA_TDANISKY_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334649,92,I5H95_gp094,SEA_TDANISKY_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334650,93,I5H95_gp095,SEA_TDANISKY_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334651,94,I5H95_gp096,SEA_TDANISKY_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334652,95,I5H95_gp097,SEA_TDANISKY_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334653,96,I5H95_gp098,SEA_TDANISKY_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334654,100,I5H95_gp099,SEA_TDANISKY_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334655,98,I5H95_gp101,SEA_TDANISKY_102,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210406,-
2653768,60334656,99,I5H95_gp102,SEA_TDANISKY_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334657,100,I5H95_gp103,SEA_TDANISKY_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334658,101,I5H95_gp104,SEA_TDANISKY_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334659,102,I5H95_gp105,SEA_TDANISKY_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334660,103,I5H95_gp106,SEA_TDANISKY_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334661,104,I5H95_gp107,SEA_TDANISKY_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334662,105,I5H95_gp108,SEA_TDANISKY_109,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210212,-
2653768,60334663,106,I5H95_gp109,SEA_TDANISKY_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334664,107,I5H95_gp110,SEA_TDANISKY_111,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210212,-
2653768,60334665,108,I5H95_gp111,SEA_TDANISKY_112,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210212,-
2653768,60334666,53,I5H95_gp054,SEA_TDANISKY_54,-,-,-,excise,protein-coding,-,-,-,excise,20210212,-
2653768,60334667,71,I5H95_gp073,SEA_TDANISKY_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334668,79,I5H95_gp082,SEA_TDANISKY_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334669,97,I5H95_gp100,SEA_TDANISKY_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334670,1,I5H95_gp001,SEA_TDANISKY_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2653768,60338803,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
