#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
29519,3293299,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Borrelia garinii; Borrelia genomic group 20047.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210405,-
29519,39513231,DB281_RS05680,DB281_RS05680,DB281_05705,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513232,DB281_RS05675,DB281_RS05675,DB281_05700,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513233,DB281_RS05670,DB281_RS05670,DB281_05695,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513234,DB281_RS05665,DB281_RS05665,DB281_05690,-,-,-,right-handed parallel beta-helix repeat-containing protein,protein-coding,-,-,-,right-handed parallel beta-helix repeat-containing protein,20210423,-
29519,39513235,DB281_RS05660,DB281_RS05660,DB281_05685,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513236,DB281_RS05655,DB281_RS05655,DB281_05680,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513237,DB281_RS05650,DB281_RS05650,DB281_05675,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513238,DB281_RS05645,DB281_RS05645,DB281_05670,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513239,DB281_RS05640,DB281_RS05640,DB281_05665,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513240,DB281_RS05635,DB281_RS05635,DB281_05660,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513241,DB281_RS05630,DB281_RS05630,DB281_05655,-,-,-,DUF226 domain-containing protein,protein-coding,-,-,-,DUF226 domain-containing protein,20210423,-
29519,39513242,DB281_RS05625,DB281_RS05625,DB281_05650,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513243,DB281_RS05620,DB281_RS05620,DB281_05645,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513244,DB281_RS05510,DB281_RS05510,DB281_05535,-,-,-,DUF735 family protein,protein-coding,-,-,-,DUF735 family protein,20210423,-
29519,39513245,DB281_RS05615,DB281_RS05615,DB281_05640,-,-,-,DUF1073 domain-containing protein,protein-coding,-,-,-,DUF1073 domain-containing protein,20210423,-
29519,39513246,DB281_RS05610,DB281_RS05610,DB281_05635,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513247,DB281_RS05605,DB281_RS05605,DB281_05630,-,-,-,DUF603 domain-containing protein,protein-coding,-,-,-,DUF603 domain-containing protein,20210423,-
29519,39513248,DB281_RS05515,DB281_RS05515,DB281_05540,-,-,-,DUF685 domain-containing protein,protein-coding,-,-,-,DUF685 domain-containing protein,20210423,-
29519,39513249,revA,DB281_RS05540,DB281_05565,-,-,-,fibronectin-binding protein RevA,protein-coding,-,-,-,fibronectin-binding protein RevA,20210423,-
29519,39513250,DB281_RS05505,DB281_RS05505,DB281_05530,-,-,-,DUF276 domain-containing protein,protein-coding,-,-,-,DUF276 domain-containing protein,20210423,-
29519,39513251,DB281_RS05500,DB281_RS05500,DB281_05525,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513252,DB281_RS05595,DB281_RS05595,DB281_05620,-,-,-,ErpL protein,protein-coding,-,-,-,ErpL protein,20210423,-
29519,39513253,DB281_RS05495,DB281_RS05495,DB281_05520,-,-,-,DUF777 family protein,protein-coding,-,-,-,DUF777 family protein,20210423,-
29519,39513254,DB281_RS05590,DB281_RS05590,DB281_05615,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20210423,-
29519,39513255,DB281_RS05490,DB281_RS05490,DB281_05515,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513256,DB281_RS05485,DB281_RS05485,DB281_05510,-,-,-,DUF792 family protein,protein-coding,-,-,-,DUF792 family protein,20210423,-
29519,39513257,DB281_RS05480,DB281_RS05480,DB281_05505,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513258,DB281_RS05475,DB281_RS05475,DB281_05500,-,-,-,DUF1322 family protein,protein-coding,-,-,-,DUF1322 family protein,20210423,-
29519,39513259,DB281_RS05520,DB281_RS05520,DB281_05545,-,-,-,BlyA family holin,protein-coding,-,-,-,BlyA family holin,20210423,-
29519,39513260,DB281_RS05470,DB281_RS05470,DB281_05495,-,-,-,DUF1473 family protein,protein-coding,-,-,-,DUF1473 family protein,20210423,-
29519,39513261,DB281_RS05465,DB281_RS05465,DB281_05490,-,-,-,DUF1463 family protein,protein-coding,-,-,-,DUF1463 family protein,20210423,-
29519,39513262,DB281_RS05460,DB281_RS05460,DB281_05485,-,-,-,DUF787 family protein,protein-coding,-,-,-,DUF787 family protein,20210423,-
29519,39513263,DB281_RS05455,DB281_RS05455,DB281_05480,-,-,-,DUF764 family protein,protein-coding,-,-,-,DUF764 family protein,20210423,-
29519,39513264,DB281_RS05580,DB281_RS05580,DB281_05605,-,-,-,DUF244 domain-containing protein,protein-coding,-,-,-,DUF244 domain-containing protein,20210423,-
29519,39513265,DB281_RS05530,DB281_RS05530,DB281_05555,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513266,DB281_RS05450,DB281_RS05450,DB281_05475,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513267,DB281_RS05445,DB281_RS05445,DB281_05470,-,-,-,DUF1506 family protein,protein-coding,-,-,-,DUF1506 family protein,20210423,-
29519,39513268,DB281_RS05440,DB281_RS05440,DB281_05465,-,-,-,DUF3890 domain-containing protein,protein-coding,-,-,-,DUF3890 domain-containing protein,20210423,-
29519,39513269,DB281_RS05435,DB281_RS05435,DB281_05460,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513270,DB281_RS05430,DB281_RS05430,DB281_05455,-,-,-,DUF228 domain-containing protein,protein-coding,-,-,-,DUF228 domain-containing protein,20210423,-
29519,39513271,DB281_RS05425,DB281_RS05425,DB281_05450,-,-,-,DUF228 domain-containing protein,protein-coding,-,-,-,DUF228 domain-containing protein,20210423,-
29519,39513272,DB281_RS05420,DB281_RS05420,DB281_05445,-,-,-,DUF228 domain-containing protein,protein-coding,-,-,-,DUF228 domain-containing protein,20210423,-
29519,39513273,DB281_RS05570,DB281_RS05570,DB281_05595,-,-,-,chromosome replication/partitioning protein,protein-coding,-,-,-,chromosome replication/partitioning protein,20210423,-
29519,39513274,DB281_RS05415,DB281_RS05415,DB281_05440,-,-,-,DUF1357 family protein,protein-coding,-,-,-,DUF1357 family protein,20210423,-
29519,39513276,DB281_RS05585,DB281_RS05585,DB281_05610,-,-,-,DUF261 domain-containing protein,protein-coding,-,-,-,DUF261 domain-containing protein,20210423,-
29519,39513277,DB281_RS05575,DB281_RS05575,DB281_05600,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513278,DB281_RS05565,DB281_RS05565,DB281_05590,-,-,-,ParA family protein,protein-coding,-,-,-,ParA family protein,20210423,-
29519,39513279,DB281_RS05555,DB281_RS05555,DB281_05580,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513280,DB281_RS05410,DB281_RS05410,DB281_05435,-,-,-,DUF1357 family protein,protein-coding,-,-,-,DUF1357 family protein,20210423,-
29519,39513281,DB281_RS05560,DB281_RS05560,DB281_05585,-,-,-,DUF226 domain-containing protein,protein-coding,-,-,-,DUF226 domain-containing protein,20210423,-
29519,39513282,DB281_RS05535,DB281_RS05535,DB281_05560,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513283,DB281_RS05525,DB281_RS05525,DB281_05550,-,-,-,"holin, BlyB family",protein-coding,-,-,-,"holin, BlyB family",20210423,-
29519,39513284,DB281_RS05550,DB281_RS05550,DB281_05575,-,-,-,ERF family protein,protein-coding,-,-,-,ERF family protein,20210423,-
29519,39513285,DB281_RS05545,DB281_RS05545,DB281_05570,-,-,-,Mlp family lipoprotein,protein-coding,-,-,-,Mlp family lipoprotein,20210423,-
29519,39513286,DB281_RS05365,DB281_RS05365,DB281_05390,-,-,-,PTS lactose/cellobiose transporter subunit IIA,protein-coding,-,-,-,PTS lactose/cellobiose transporter subunit IIA,20210423,-
29519,39513287,DB281_RS05380,DB281_RS05380,DB281_05405,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513288,DB281_RS05350,DB281_RS05350,DB281_05375,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513289,DB281_RS05355,DB281_RS05355,DB281_05380,-,-,-,alpha3-beta1 integrin-binding protein,protein-coding,-,-,-,alpha3-beta1 integrin-binding protein,20210423,-
29519,39513290,guaA,DB281_RS05305,DB281_05330,-,-,-,glutamine-hydrolyzing GMP synthase,protein-coding,-,-,-,glutamine-hydrolyzing GMP synthase,20210423,-
29519,39513291,DB281_RS05325,DB281_RS05325,DB281_05350,-,-,-,chromosome replication/partitioning protein,protein-coding,-,-,-,chromosome replication/partitioning protein,20210423,-
29519,39513292,DB281_RS05360,DB281_RS05360,DB281_05385,-,-,-,PTS sugar transporter subunit IIB,protein-coding,-,-,-,PTS sugar transporter subunit IIB,20210423,-
29519,39513293,DB281_RS05320,DB281_RS05320,DB281_05345,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513294,DB281_RS05340,DB281_RS05340,DB281_05365,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513295,DB281_RS05395,DB281_RS05395,DB281_05420,-,-,-,ankyrin repeat domain-containing protein,protein-coding,-,-,-,ankyrin repeat domain-containing protein,20210423,-
29519,39513296,DB281_RS05375,DB281_RS05375,DB281_05400,-,-,-,telomere resolvase,protein-coding,-,-,-,telomere resolvase,20210423,-
29519,39513297,DB281_RS05385,DB281_RS05385,DB281_05410,-,-,-,acylphosphatase,protein-coding,-,-,-,acylphosphatase,20210423,-
29519,39513298,celB,DB281_RS05370,DB281_05395,-,-,-,PTS cellobiose transporter subunit IIC,protein-coding,-,-,-,PTS cellobiose transporter subunit IIC,20210423,-
29519,39513299,DB281_RS05295,DB281_RS05295,DB281_05320,-,-,-,NCS2 family permease,protein-coding,-,-,-,NCS2 family permease,20210423,-
29519,39513300,DB281_RS05280,DB281_RS05280,DB281_05305,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513301,DB281_RS05300,DB281_RS05300,DB281_05325,-,-,-,cell surface protein,protein-coding,-,-,-,cell surface protein,20210423,-
29519,39513302,DB281_RS05315,DB281_RS05315,DB281_05340,-,-,-,peptide ABC transporter substrate-binding protein,protein-coding,-,-,-,peptide ABC transporter substrate-binding protein,20210423,-
29519,39513303,DB281_RS05390,DB281_RS05390,DB281_05415,-,-,-,PTS transporter subunit EIIC,protein-coding,-,-,-,PTS transporter subunit EIIC,20210423,-
29519,39513304,DB281_RS05335,DB281_RS05335,DB281_05360,-,-,-,DUF226 domain-containing protein,protein-coding,-,-,-,DUF226 domain-containing protein,20210423,-
29519,39513305,DB281_RS05330,DB281_RS05330,DB281_05355,-,-,-,ParA family protein,protein-coding,-,-,-,ParA family protein,20210423,-
29519,39513306,DB281_RS05290,DB281_RS05290,DB281_05315,-,-,-,NCS2 family permease,protein-coding,-,-,-,NCS2 family permease,20210423,-
29519,39513307,DB281_RS05405,DB281_RS05405,DB281_05430,-,-,-,ImmA/IrrE family metallo-endopeptidase,protein-coding,-,-,-,ImmA/IrrE family metallo-endopeptidase,20210423,-
29519,39513308,DB281_RS05400,DB281_RS05400,DB281_05425,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513309,DB281_RS05345,DB281_RS05345,DB281_05370,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513310,DB281_RS05310,DB281_RS05310,DB281_05335,-,-,-,guanosine monophosphate reductase,protein-coding,-,-,-,guanosine monophosphate reductase,20210423,-
29519,39513311,DB281_RS05285,DB281_RS05285,DB281_05310,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513312,DB281_RS05215,DB281_RS05215,DB281_05235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513313,DB281_RS05240,DB281_RS05240,DB281_05260,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513314,DB281_RS05225,DB281_RS05225,DB281_05245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513315,DB281_RS05265,DB281_RS05265,DB281_05285,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513316,DB281_RS05230,DB281_RS05230,DB281_05250,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513317,DB281_RS05220,DB281_RS05220,DB281_05240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513318,DB281_RS05180,DB281_RS05180,DB281_05200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513319,DB281_RS05190,DB281_RS05190,DB281_05210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513320,DB281_RS05205,DB281_RS05205,DB281_05225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513322,DB281_RS05200,DB281_RS05200,DB281_05220,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20210423,-
29519,39513323,DB281_RS05210,DB281_RS05210,DB281_05230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513324,DB281_RS05260,DB281_RS05260,DB281_05280,-,-,-,ParA family protein,protein-coding,-,-,-,ParA family protein,20210423,-
29519,39513325,DB281_RS05235,DB281_RS05235,DB281_05255,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513326,DB281_RS05250,DB281_RS05250,DB281_05270,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513327,DB281_RS05195,DB281_RS05195,DB281_05215,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210423,-
29519,39513328,DB281_RS05245,DB281_RS05245,DB281_05265,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513329,DB281_RS05275,DB281_RS05275,DB281_05300,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513330,DB281_RS05185,DB281_RS05185,DB281_05205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513332,DB281_RS05175,DB281_RS05175,DB281_05195,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513333,DB281_RS05110,DB281_RS05110,DB281_05110,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513334,DB281_RS05020,DB281_RS05020,DB281_05020,-,-,-,complement regulator-acquiring protein,protein-coding,-,-,-,complement regulator-acquiring protein,20210422,-
29519,39513337,DB281_RS05105,DB281_RS05105,DB281_05105,-,-,-,class I SAM-dependent DNA methyltransferase,protein-coding,-,-,-,class I SAM-dependent DNA methyltransferase,20210423,-
29519,39513338,DB281_RS05160,DB281_RS05160,DB281_05175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513339,DB281_RS05170,DB281_RS05170,DB281_05185,-,-,-,transposase,protein-coding,-,-,-,transposase,20210423,-
29519,39513341,DB281_RS05130,DB281_RS05130,DB281_05140,-,-,-,variable large family protein,protein-coding,-,-,-,variable large family protein,20210423,-
29519,39513342,eppA,DB281_RS05100,DB281_05100,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513343,DB281_RS05145,DB281_RS05145,DB281_05155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513344,DB281_RS05115,DB281_RS05115,DB281_05115,-,-,-,virulence associated lipoprotein,protein-coding,-,-,-,virulence associated lipoprotein,20210423,-
29519,39513345,DB281_RS05140,DB281_RS05140,DB281_05150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513346,DB281_RS05150,DB281_RS05150,DB281_05165,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513347,DB281_RS05155,DB281_RS05155,DB281_05170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513348,DB281_RS05085,DB281_RS05085,DB281_05085,-,-,-,chromosome replication/partitioning protein,protein-coding,-,-,-,chromosome replication/partitioning protein,20210423,-
29519,39513351,DB281_RS05030,DB281_RS05030,DB281_05030,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513352,DB281_RS05035,DB281_RS05035,DB281_05035,-,-,-,variable large family protein,protein-coding,-,-,-,variable large family protein,20210423,-
29519,39513354,DB281_RS05045,DB281_RS05045,DB281_05045,-,-,-,Bdr family protein,protein-coding,-,-,-,Bdr family protein,20210422,-
29519,39513355,DB281_RS05050,DB281_RS05050,DB281_05050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513356,DB281_RS05055,DB281_RS05055,DB281_05055,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513358,DB281_RS05165,DB281_RS05165,DB281_05180,-,-,-,P12 family lipoprotein,protein-coding,-,-,-,P12 family lipoprotein,20210422,-
29519,39513359,DB281_RS05065,DB281_RS05065,DB281_05065,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513360,DB281_RS05070,DB281_RS05070,DB281_05070,-,-,-,ParA family protein,protein-coding,-,-,-,ParA family protein,20210423,-
29519,39513361,DB281_RS05075,DB281_RS05075,DB281_05075,-,-,-,DUF226 domain-containing protein,protein-coding,-,-,-,DUF226 domain-containing protein,20210423,-
