#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1150837,54344117,M421DRAFT_100004,M421DRAFT_100004,-,-,Unknown,-,3-ketoacyl-CoA thiolase B,protein-coding,-,-,-,3-ketoacyl-CoA thiolase B,20210320,-
1150837,54344270,M421DRAFT_101307,M421DRAFT_101307,-,-,Unknown,-,aldehyde dehydrogenase,protein-coding,-,-,-,aldehyde dehydrogenase,20210320,-
1150837,54344271,M421DRAFT_101312,M421DRAFT_101312,-,-,Unknown,-,gephyrin,protein-coding,-,-,-,gephyrin,20210320,-
1150837,54344272,M421DRAFT_101317,M421DRAFT_101317,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344273,M421DRAFT_101319,M421DRAFT_101319,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1150837,54344274,M421DRAFT_101339,M421DRAFT_101339,-,-,Unknown,-,aspartate carbamoyltransferase,protein-coding,-,-,-,aspartate carbamoyltransferase,20210320,-
1150837,54344275,M421DRAFT_101343,M421DRAFT_101343,-,-,Unknown,-,histone acetyltransferase ESA1,protein-coding,-,-,-,histone acetyltransferase ESA1,20210320,-
1150837,54344276,M421DRAFT_101346,M421DRAFT_101346,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20210320,-
1150837,54344277,M421DRAFT_10135,M421DRAFT_10135,-,-,Unknown,-,aquaporin-like protein,protein-coding,-,-,-,aquaporin-like protein,20210320,-
1150837,54344278,M421DRAFT_101356,M421DRAFT_101356,-,-,Unknown,-,Metallo-dependent hydrolase,protein-coding,-,-,-,Metallo-dependent hydrolase,20210320,-
1150837,54344279,M421DRAFT_101366,M421DRAFT_101366,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344280,M421DRAFT_101376,M421DRAFT_101376,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1150837,54344281,M421DRAFT_101378,M421DRAFT_101378,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344282,M421DRAFT_101380,M421DRAFT_101380,-,-,Unknown,-,homocitrate synthase,protein-coding,-,-,-,homocitrate synthase,20210320,-
1150837,54344283,M421DRAFT_101383,M421DRAFT_101383,-,-,Unknown,-,beta-tubulin cofactor d,protein-coding,-,-,-,beta-tubulin cofactor d,20210320,-
