#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1476390,19686701,ORF02,HL17_gp02,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201221,-
1476390,19686734,ORF35,HL17_gp35,-,-,-,-,replicative primase/helicase,protein-coding,-,-,-,replicative primase/helicase,20201221,-
1476390,19686735,ORF36,HL17_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476390,19686736,ORF37,HL17_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476390,19686737,ORF38,HL17_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476390,19686738,ORF39,HL17_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476390,19686739,ORF40,HL17_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476390,19686740,ORF41,HL17_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476390,19686741,ORF42,HL17_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476390,19686742,ORF43,HL17_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476390,19686743,ORF44,HL17_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476390,19686744,ORF45,HL17_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476390,19686745,ORF46,HL17_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476390,19686746,ORF47,HL17_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476390,19686747,ORF48,HL17_gp48,-,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20201221,-
1476390,19686748,ORF49,HL17_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476390,19686749,ORF50,HL17_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476390,19686750,ORF51,HL17_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476390,19686751,ORF52,HL17_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476390,19686752,ORF01,HL17_gp01,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1476390,19791162,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
