#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1555238,24721999,ACQ43_gp002,ACQ43_gp002,VpaE1_002,-,-,-,rIIB,protein-coding,-,-,-,rIIB,20200910,-
1555238,24722011,ACQ43_gp014,ACQ43_gp014,VpaE1_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722012,ACQ43_gp015,ACQ43_gp015,VpaE1_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722013,ACQ43_gp016,ACQ43_gp016,VpaE1_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722014,ACQ43_gp017,ACQ43_gp017,VpaE1_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722015,ACQ43_gp018,ACQ43_gp018,VpaE1_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722016,ACQ43_gp019,ACQ43_gp019,VpaE1_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722017,ACQ43_gp020,ACQ43_gp020,VpaE1_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722018,ACQ43_gp021,ACQ43_gp021,VpaE1_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722019,ACQ43_gp022,ACQ43_gp022,VpaE1_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722020,ACQ43_gp023,ACQ43_gp023,VpaE1_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722021,ACQ43_gp024,ACQ43_gp024,VpaE1_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722022,ACQ43_gp025,ACQ43_gp025,VpaE1_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722023,ACQ43_gp026,ACQ43_gp026,VpaE1_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722024,ACQ43_gp027,ACQ43_gp027,VpaE1_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722025,ACQ43_gp028,ACQ43_gp028,VpaE1_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722026,ACQ43_gp029,ACQ43_gp029,VpaE1_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722027,ACQ43_gp030,ACQ43_gp030,VpaE1_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722028,ACQ43_gp031,ACQ43_gp031,VpaE1_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722029,ACQ43_gp032,ACQ43_gp032,VpaE1_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722030,ACQ43_gp033,ACQ43_gp033,VpaE1_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722031,ACQ43_gp034,ACQ43_gp034,VpaE1_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722032,ACQ43_gp035,ACQ43_gp035,VpaE1_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722033,ACQ43_gp036,ACQ43_gp036,VpaE1_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722034,ACQ43_gp037,ACQ43_gp037,VpaE1_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722035,ACQ43_gp038,ACQ43_gp038,VpaE1_038,-,-,-,lysin,protein-coding,-,-,-,lysin,20200910,-
1555238,24722036,ACQ43_gp039,ACQ43_gp039,VpaE1_039,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200910,-
1555238,24722037,ACQ43_gp040,ACQ43_gp040,VpaE1_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722038,ACQ43_gp041,ACQ43_gp041,VpaE1_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722039,ACQ43_gp042,ACQ43_gp042,VpaE1_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722040,ACQ43_gp043,ACQ43_gp043,VpaE1_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722041,ACQ43_gp044,ACQ43_gp044,VpaE1_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722042,ACQ43_gp045,ACQ43_gp045,VpaE1_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722043,ACQ43_gt001,ACQ43_gt001,VpaE1_gt001,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1555238,24722044,ACQ43_gt002,ACQ43_gt002,VpaE1_gt002,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1555238,24722045,ACQ43_gt003,ACQ43_gt003,VpaE1_gt003,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1555238,24722046,ACQ43_gt004,ACQ43_gt004,VpaE1_gt004,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1555238,24722047,ACQ43_gt005,ACQ43_gt005,VpaE1_gt005,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1555238,24722048,ACQ43_gt006,ACQ43_gt006,VpaE1_gt006,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1555238,24722049,ACQ43_gt007,ACQ43_gt007,VpaE1_gt007,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1555238,24722050,ACQ43_gt008,ACQ43_gt008,VpaE1_gt008,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1555238,24722051,ACQ43_gt009,ACQ43_gt009,VpaE1_gt009,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1555238,24722052,ACQ43_gt010,ACQ43_gt010,VpaE1_gt010,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1555238,24722053,ACQ43_gt011,ACQ43_gt011,VpaE1_gt011,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1555238,24722054,ACQ43_gt012,ACQ43_gt012,VpaE1_gt012,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1555238,24722055,ACQ43_gt013,ACQ43_gt013,VpaE1_gt013,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1555238,24722056,ACQ43_gt014,ACQ43_gt014,VpaE1_gt014,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1555238,24722057,ACQ43_gp132,ACQ43_gp132,VpaE1_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722058,ACQ43_gt016,ACQ43_gt016,VpaE1_gt016,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1555238,24722059,ACQ43_gt017,ACQ43_gt017,VpaE1_gt017,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1555238,24722060,ACQ43_gt018,ACQ43_gt018,VpaE1_gt018,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1555238,24722061,ACQ43_gt019,ACQ43_gt019,VpaE1_gt019,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1555238,24722062,ACQ43_gp131,ACQ43_gp131,VpaE1_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722063,ACQ43_gp001,ACQ43_gp001,VpaE1_001,-,-,-,rIIA,protein-coding,-,-,-,rIIA,20200910,-
1555238,24722064,ACQ43_gp129,ACQ43_gp129,VpaE1_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722065,ACQ43_gt015,ACQ43_gt015,VpaE1_gt015,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1555238,24722066,ACQ43_gp130,ACQ43_gp130,VpaE1_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722067,ACQ43_gt020,ACQ43_gt020,VpaE1_gt020,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1555238,24722068,ACQ43_gp128,ACQ43_gp128,VpaE1_050,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210212,-
1555238,24722069,ACQ43_gp127,ACQ43_gp127,VpaE1_051,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
1555238,24722070,ACQ43_gp126,ACQ43_gp126,VpaE1_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722071,ACQ43_gp125,ACQ43_gp125,VpaE1_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722072,ACQ43_gp124,ACQ43_gp124,VpaE1_054,-,-,-,head maturation protease,protein-coding,-,-,-,head maturation protease,20200910,-
1555238,24722073,ACQ43_gp123,ACQ43_gp123,VpaE1_055,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200910,-
1555238,24722074,ACQ43_gp122,ACQ43_gp122,VpaE1_056,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200910,-
1555238,24722075,ACQ43_gp121,ACQ43_gp121,VpaE1_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722076,ACQ43_gp120,ACQ43_gp120,VpaE1_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722077,ACQ43_gp119,ACQ43_gp119,VpaE1_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722078,ACQ43_gp118,ACQ43_gp118,VpaE1_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722079,ACQ43_gp117,ACQ43_gp117,VpaE1_061,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200910,-
1555238,24722080,ACQ43_gp116,ACQ43_gp116,VpaE1_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
1555238,24722081,ACQ43_gp115,ACQ43_gp115,VpaE1_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722082,ACQ43_gp114,ACQ43_gp114,VpaE1_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722083,ACQ43_gp113,ACQ43_gp113,VpaE1_065,-,-,-,tail tape-measure protein,protein-coding,-,-,-,tail tape-measure protein,20200910,-
1555238,24722084,ACQ43_gp112,ACQ43_gp112,VpaE1_066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722085,ACQ43_gp111,ACQ43_gp111,VpaE1_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722086,ACQ43_gp110,ACQ43_gp110,VpaE1_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722087,ACQ43_gp109,ACQ43_gp109,VpaE1_069,-,-,-,baseplate assembly protein,protein-coding,-,-,-,baseplate assembly protein,20210123,-
1555238,24722088,ACQ43_gp108,ACQ43_gp108,VpaE1_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722089,ACQ43_gp107,ACQ43_gp107,VpaE1_071,-,-,-,baseplate component,protein-coding,-,-,-,baseplate component,20200910,-
1555238,24722090,ACQ43_gp106,ACQ43_gp106,VpaE1_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722091,ACQ43_gp105,ACQ43_gp105,VpaE1_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722092,ACQ43_gp104,ACQ43_gp104,VpaE1_074,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200910,-
1555238,24722093,ACQ43_gp103,ACQ43_gp103,VpaE1_075,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200910,-
1555238,24722094,ACQ43_gp102,ACQ43_gp102,VpaE1_076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722095,ACQ43_gp101,ACQ43_gp101,VpaE1_077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722096,ACQ43_gp100,ACQ43_gp100,VpaE1_078,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20200910,-
1555238,24722097,ACQ43_gp099,ACQ43_gp099,VpaE1_079,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20200910,-
1555238,24722098,ACQ43_gp098,ACQ43_gp098,VpaE1_080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722099,ACQ43_gp097,ACQ43_gp097,VpaE1_081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722100,ACQ43_gp096,ACQ43_gp096,VpaE1_082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722101,ACQ43_gp095,ACQ43_gp095,VpaE1_083,-,-,-,transcriptional regulatory protein,protein-coding,-,-,-,transcriptional regulatory protein,20200910,-
1555238,24722102,ACQ43_gp094,ACQ43_gp094,VpaE1_084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722103,ACQ43_gp093,ACQ43_gp093,VpaE1_085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722104,ACQ43_gp092,ACQ43_gp092,VpaE1_086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722105,ACQ43_gp091,ACQ43_gp091,VpaE1_087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722106,ACQ43_gp090,ACQ43_gp090,VpaE1_088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722107,ACQ43_gp089,ACQ43_gp089,VpaE1_089,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20200910,-
1555238,24722108,ACQ43_gp088,ACQ43_gp088,VpaE1_090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722109,ACQ43_gp087,ACQ43_gp087,VpaE1_091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722110,ACQ43_gp086,ACQ43_gp086,VpaE1_092,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200910,-
1555238,24722111,ACQ43_gp085,ACQ43_gp085,VpaE1_093,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20200910,-
1555238,24722112,ACQ43_gp084,ACQ43_gp084,VpaE1_094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722113,ACQ43_gp083,ACQ43_gp083,VpaE1_095,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200910,-
1555238,24722114,ACQ43_gp082,ACQ43_gp082,VpaE1_096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722115,ACQ43_gp081,ACQ43_gp081,VpaE1_097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722116,ACQ43_gp080,ACQ43_gp080,VpaE1_098,-,-,-,dNMP kinase,protein-coding,-,-,-,dNMP kinase,20200910,-
1555238,24722117,ACQ43_gp079,ACQ43_gp079,VpaE1_099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722118,ACQ43_gp078,ACQ43_gp078,VpaE1_100,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20200910,-
1555238,24722119,ACQ43_gp077,ACQ43_gp077,VpaE1_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722120,ACQ43_gp076,ACQ43_gp076,VpaE1_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722121,ACQ43_gp075,ACQ43_gp075,VpaE1_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722122,ACQ43_gp074,ACQ43_gp074,VpaE1_104,-,-,-,exodeoxyribonuclease,protein-coding,-,-,-,exodeoxyribonuclease,20200910,-
1555238,24722123,ACQ43_gp073,ACQ43_gp073,VpaE1_105,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200910,-
1555238,24722124,ACQ43_gp072,ACQ43_gp072,VpaE1_106,-,-,-,NAD synthetase,protein-coding,-,-,-,NAD synthetase,20210313,-
1555238,24722125,ACQ43_gp071,ACQ43_gp071,VpaE1_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722126,ACQ43_gp070,ACQ43_gp070,VpaE1_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722127,ACQ43_gp069,ACQ43_gp069,VpaE1_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722128,ACQ43_gp068,ACQ43_gp068,VpaE1_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722129,ACQ43_gp067,ACQ43_gp067,VpaE1_111,-,-,-,ribonucleoside triphosphate reductase alpha subunit,protein-coding,-,-,-,ribonucleoside triphosphate reductase alpha subunit,20210129,-
1555238,24722130,ACQ43_gp066,ACQ43_gp066,VpaE1_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722131,ACQ43_gp065,ACQ43_gp065,VpaE1_113,-,-,-,ribonucleoside triphosphate reductase beta subunit,protein-coding,-,-,-,ribonucleoside triphosphate reductase beta subunit,20200910,-
1555238,24722132,ACQ43_gp064,ACQ43_gp064,VpaE1_114,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20200910,-
1555238,24722133,ACQ43_gp063,ACQ43_gp063,VpaE1_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722134,ACQ43_gp062,ACQ43_gp062,VpaE1_116,-,-,-,anaerobic NDP reductase,protein-coding,-,-,-,anaerobic NDP reductase,20200910,-
1555238,24722135,ACQ43_gp061,ACQ43_gp061,VpaE1_117,-,-,-,MobE-like HNH homing endonuclease,protein-coding,-,-,-,MobE-like HNH homing endonuclease,20200910,-
1555238,24722136,ACQ43_gp060,ACQ43_gp060,VpaE1_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722137,ACQ43_gp059,ACQ43_gp059,VpaE1_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722138,ACQ43_gp058,ACQ43_gp058,VpaE1_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722139,ACQ43_gp057,ACQ43_gp057,VpaE1_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722140,ACQ43_gp056,ACQ43_gp056,VpaE1_122,-,-,-,anaerobic NTP reductase small subunit,protein-coding,-,-,-,anaerobic NTP reductase small subunit,20200910,-
1555238,24722141,ACQ43_gp055,ACQ43_gp055,VpaE1_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722142,ACQ43_gp054,ACQ43_gp054,VpaE1_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722143,ACQ43_gp053,ACQ43_gp053,VpaE1_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722144,ACQ43_gp052,ACQ43_gp052,VpaE1_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722145,ACQ43_gp051,ACQ43_gp051,VpaE1_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722146,ACQ43_gp050,ACQ43_gp050,VpaE1_128,-,-,-,ribose-phosphate pyrophosphokinase,protein-coding,-,-,-,ribose-phosphate pyrophosphokinase,20200910,-
1555238,24722147,ACQ43_gp049,ACQ43_gp049,VpaE1_129,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200910,-
1555238,24722148,ACQ43_gp048,ACQ43_gp048,VpaE1_130,-,-,-,nicotinamide phosphoribosyltransferase,protein-coding,-,-,-,nicotinamide phosphoribosyltransferase,20200910,-
1555238,24722149,ACQ43_gp047,ACQ43_gp047,VpaE1_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722150,ACQ43_gp046,ACQ43_gp046,VpaE1_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24936586,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
