#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1285382,40102548,FDJ58_gp002,FDJ58_gp002,SIOphi_00010,-,-,-,RNA polymerase,protein-coding,-,-,-,RNA polymerase,20200629,-
1285382,40102587,FDJ58_gp041,FDJ58_gp041,SIOphi_00205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102588,FDJ58_gp042,FDJ58_gp042,SIOphi_00210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102589,thyA,FDJ58_gp043,SIOphi_00215,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20200629,-
1285382,40102590,FDJ58_gp044,FDJ58_gp044,SIOphi_00220,-,-,-,dephospho-CoA kinase dephosphocoenzyme A kinase,protein-coding,-,-,-,dephospho-CoA kinase dephosphocoenzyme A kinase,20200629,-
1285382,40102591,FDJ58_gp045,FDJ58_gp045,SIOphi_00225,-,-,-,dihydrofolate reductase subunit,protein-coding,-,-,-,dihydrofolate reductase subunit,20200629,-
1285382,40102592,FDJ58_gp046,FDJ58_gp046,SIOphi_00230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102593,FDJ58_gp047,FDJ58_gp047,SIOphi_00235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102594,FDJ58_gp048,FDJ58_gp048,SIOphi_00240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102595,FDJ58_gp049,FDJ58_gp049,SIOphi_00245,-,-,-,SPBc2 prophage-derived protein YorA,protein-coding,-,-,-,SPBc2 prophage-derived protein YorA,20200629,-
1285382,40102596,FDJ58_gp050,FDJ58_gp050,SIOphi_00250,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102597,FDJ58_gp051,FDJ58_gp051,SIOphi_00255,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102598,FDJ58_gp052,FDJ58_gp052,SIOphi_00260,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102599,FDJ58_gp053,FDJ58_gp053,SIOphi_00265,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102600,FDJ58_gp054,FDJ58_gp054,SIOphi_00270,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102601,FDJ58_gp055,FDJ58_gp055,SIOphi_00275,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102602,FDJ58_gp056,FDJ58_gp056,SIOphi_00280,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102603,FDJ58_gp057,FDJ58_gp057,SIOphi_00285,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102604,FDJ58_gp058,FDJ58_gp058,SIOphi_00290,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102605,FDJ58_gp059,FDJ58_gp059,SIOphi_00295,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102606,FDJ58_gp060,FDJ58_gp060,SIOphi_00300,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102607,FDJ58_gp061,FDJ58_gp061,SIOphi_00305,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102608,FDJ58_gp062,FDJ58_gp062,SIOphi_00310,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102609,FDJ58_gp063,FDJ58_gp063,SIOphi_00315,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102610,FDJ58_gp064,FDJ58_gp064,SIOphi_00320,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102611,FDJ58_gp065,FDJ58_gp065,SIOphi_00325,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102612,FDJ58_gp066,FDJ58_gp066,SIOphi_00330,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102613,FDJ58_gp067,FDJ58_gp067,SIOphi_00335,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102614,FDJ58_gp068,FDJ58_gp068,SIOphi_00340,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102615,FDJ58_gp069,FDJ58_gp069,SIOphi_00345,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102616,FDJ58_gp070,FDJ58_gp070,SIOphi_00350,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102617,FDJ58_gp071,FDJ58_gp071,SIOphi_00355,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102618,FDJ58_gp072,FDJ58_gp072,SIOphi_00360,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102619,FDJ58_gp073,FDJ58_gp073,SIOphi_00365,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102620,FDJ58_gp074,FDJ58_gp074,SIOphi_00370,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102621,FDJ58_gp075,FDJ58_gp075,SIOphi_00375,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102622,FDJ58_gp076,FDJ58_gp076,SIOphi_00380,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102623,FDJ58_gp077,FDJ58_gp077,SIOphi_00385,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102624,FDJ58_gp078,FDJ58_gp078,SIOphi_00390,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102625,FDJ58_gp079,FDJ58_gp079,SIOphi_00395,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102626,FDJ58_gp080,FDJ58_gp080,SIOphi_00400,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102627,FDJ58_gp081,FDJ58_gp081,SIOphi_00405,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102628,FDJ58_gp082,FDJ58_gp082,SIOphi_00410,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102629,FDJ58_gp083,FDJ58_gp083,SIOphi_00415,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102630,FDJ58_gp084,FDJ58_gp084,SIOphi_00420,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102631,FDJ58_gp085,FDJ58_gp085,SIOphi_00425,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102632,FDJ58_gp086,FDJ58_gp086,SIOphi_00430,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102633,FDJ58_gp087,FDJ58_gp087,SIOphi_00435,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102634,FDJ58_gp088,FDJ58_gp088,SIOphi_00440,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102635,FDJ58_gp089,FDJ58_gp089,SIOphi_00445,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102636,FDJ58_gp090,FDJ58_gp090,SIOphi_00450,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102637,FDJ58_gp091,FDJ58_gp091,SIOphi_00455,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102638,FDJ58_gp092,FDJ58_gp092,SIOphi_00460,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102639,FDJ58_gp093,FDJ58_gp093,SIOphi_00465,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102640,FDJ58_gp094,FDJ58_gp094,SIOphi_00470,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102641,FDJ58_gp095,FDJ58_gp095,SIOphi_00475,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102642,FDJ58_gp096,FDJ58_gp096,SIOphi_00480,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102643,FDJ58_gp097,FDJ58_gp097,SIOphi_00485,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102644,FDJ58_gp098,FDJ58_gp098,SIOphi_00490,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102645,FDJ58_gp099,FDJ58_gp099,SIOphi_00495,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102646,FDJ58_gp100,FDJ58_gp100,SIOphi_00500,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102647,FDJ58_gp101,FDJ58_gp101,SIOphi_00505,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102648,FDJ58_gp102,FDJ58_gp102,SIOphi_00510,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102649,FDJ58_gp103,FDJ58_gp103,SIOphi_00515,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102650,FDJ58_gp104,FDJ58_gp104,SIOphi_00520,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102651,FDJ58_gp105,FDJ58_gp105,SIOphi_00525,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102652,FDJ58_gp106,FDJ58_gp106,SIOphi_00530,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102653,FDJ58_gp107,FDJ58_gp107,SIOphi_00535,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102654,FDJ58_gp108,FDJ58_gp108,SIOphi_00540,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102655,FDJ58_gp109,FDJ58_gp109,SIOphi_00545,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102656,FDJ58_gp110,FDJ58_gp110,SIOphi_00550,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102657,FDJ58_gp111,FDJ58_gp111,SIOphi_00555,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102658,FDJ58_gp112,FDJ58_gp112,SIOphi_00560,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102659,FDJ58_gp113,FDJ58_gp113,SIOphi_00565,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102660,FDJ58_gp114,FDJ58_gp114,SIOphi_00570,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20210417,-
1285382,40102661,FDJ58_gp115,FDJ58_gp115,SIOphi_00575,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102662,FDJ58_gp116,FDJ58_gp116,SIOphi_00580,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102663,FDJ58_gp117,FDJ58_gp117,SIOphi_00585,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102664,FDJ58_gp118,FDJ58_gp118,SIOphi_00590,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102665,FDJ58_gp119,FDJ58_gp119,SIOphi_00595,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102666,FDJ58_gp120,FDJ58_gp120,SIOphi_00600,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102667,FDJ58_gp121,FDJ58_gp121,SIOphi_00605,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102668,FDJ58_gp122,FDJ58_gp122,SIOphi_00610,-,-,-,DNA translocase,protein-coding,-,-,-,DNA translocase,20200629,-
1285382,40102669,FDJ58_gp123,FDJ58_gp123,SIOphi_00615,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102670,FDJ58_gp124,FDJ58_gp124,SIOphi_00620,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102671,FDJ58_gp125,FDJ58_gp125,SIOphi_00625,-,-,-,metalloendopeptidase-like membrane protein,protein-coding,-,-,-,metalloendopeptidase-like membrane protein,20200629,-
1285382,40102672,FDJ58_gp126,FDJ58_gp126,SIOphi_00630,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102673,FDJ58_gp127,FDJ58_gp127,SIOphi_00635,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102674,FDJ58_gp128,FDJ58_gp128,SIOphi_00640,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102675,FDJ58_gp129,FDJ58_gp129,SIOphi_00645,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102676,FDJ58_gp130,FDJ58_gp130,SIOphi_00650,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102677,FDJ58_gp131,FDJ58_gp131,SIOphi_00655,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102678,FDJ58_gp132,FDJ58_gp132,SIOphi_00660,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102679,FDJ58_gp133,FDJ58_gp133,SIOphi_00665,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102680,FDJ58_gp134,FDJ58_gp134,SIOphi_00670,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102681,FDJ58_gp135,FDJ58_gp135,SIOphi_00675,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102682,FDJ58_gp136,FDJ58_gp136,SIOphi_00680,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102683,FDJ58_gp137,FDJ58_gp137,SIOphi_00685,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102684,FDJ58_gp138,FDJ58_gp138,SIOphi_00690,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102685,FDJ58_gp139,FDJ58_gp139,SIOphi_00695,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102686,FDJ58_gp140,FDJ58_gp140,SIOphi_00700,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102687,FDJ58_gp141,FDJ58_gp141,SIOphi_00705,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102688,FDJ58_gp142,FDJ58_gp142,SIOphi_00710,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102689,FDJ58_gp143,FDJ58_gp143,SIOphi_00715,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102690,FDJ58_gp144,FDJ58_gp144,SIOphi_00720,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102691,FDJ58_gp145,FDJ58_gp145,SIOphi_00725,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102692,FDJ58_gp146,FDJ58_gp146,SIOphi_00730,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102693,FDJ58_gp147,FDJ58_gp147,SIOphi_00735,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102694,FDJ58_gp148,FDJ58_gp148,SIOphi_00740,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102695,FDJ58_gp149,FDJ58_gp149,SIOphi_00745,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102696,FDJ58_gp150,FDJ58_gp150,SIOphi_00750,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102697,FDJ58_gp151,FDJ58_gp151,SIOphi_00755,-,-,-,sce7726 family protein,protein-coding,-,-,-,sce7726 family protein,20201221,-
1285382,40102698,FDJ58_gp152,FDJ58_gp152,SIOphi_00760,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102699,FDJ58_gp153,FDJ58_gp153,SIOphi_00765,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102700,FDJ58_gp154,FDJ58_gp154,SIOphi_00770,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102701,FDJ58_gp155,FDJ58_gp155,SIOphi_00775,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102702,FDJ58_gp156,FDJ58_gp156,SIOphi_00780,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102703,FDJ58_gp157,FDJ58_gp157,SIOphi_00785,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102704,FDJ58_gp158,FDJ58_gp158,SIOphi_00790,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102705,FDJ58_gp159,FDJ58_gp159,SIOphi_00795,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102706,FDJ58_gp160,FDJ58_gp160,SIOphi_00800,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102707,recA,FDJ58_gp161,SIOphi_00805,-,-,-,recombinase A,protein-coding,-,-,-,recombinase A,20200629,-
1285382,40102708,FDJ58_gp162,FDJ58_gp162,SIOphi_00810,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102709,FDJ58_gp163,FDJ58_gp163,SIOphi_00815,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102710,FDJ58_gp164,FDJ58_gp164,SIOphi_00820,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102711,FDJ58_gp165,FDJ58_gp165,SIOphi_00825,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102712,FDJ58_gp166,FDJ58_gp166,SIOphi_00830,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200629,-
1285382,40102713,FDJ58_gp167,FDJ58_gp167,SIOphi_00835,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200629,-
1285382,40102714,FDJ58_gp168,FDJ58_gp168,SIOphi_00840,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102715,FDJ58_gp169,FDJ58_gp169,SIOphi_00845,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200629,-
1285382,40102716,FDJ58_gp170,FDJ58_gp170,SIOphi_00850,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102717,FDJ58_gp171,FDJ58_gp171,SIOphi_00855,-,-,-,HU family DNA-binding protein,protein-coding,-,-,-,HU family DNA-binding protein,20201221,-
1285382,40102718,FDJ58_gp172,FDJ58_gp172,SIOphi_00860,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102719,FDJ58_gp173,FDJ58_gp173,SIOphi_00865,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102720,FDJ58_gp174,FDJ58_gp174,SIOphi_00870,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102721,FDJ58_gp175,FDJ58_gp175,SIOphi_00875,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102722,FDJ58_gp176,FDJ58_gp176,SIOphi_00880,-,-,-,SPBc2 prophage-derived thioredoxin-like protein yosR,protein-coding,-,-,-,SPBc2 prophage-derived thioredoxin-like protein yosR,20200629,-
