#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1815972,29126631,2,BJD71_gp02,SEA_ARCHERNM_2,-,-,-,VIP2-like toxin,protein-coding,-,-,-,VIP2-like toxin,20200927,-
1815972,29126654,25,BJD71_gp25,SEA_ARCHERNM_25,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1815972,29126655,27,BJD71_gp26,SEA_ARCHERNM_27,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1815972,29126656,28,BJD71_gp28,SEA_ARCHERNM_28,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1815972,29126657,26,BJD71_gp27,SEA_ARCHERNM_26,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1815972,29126658,29,BJD71_gp29,SEA_ARCHERNM_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1815972,29126659,30,BJD71_gp30,SEA_ARCHERNM_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1815972,29126660,31,BJD71_gp31,SEA_ARCHERNM_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1815972,29126661,32,BJD71_gp32,SEA_ARCHERNM_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1815972,29126662,33,BJD71_gp33,SEA_ARCHERNM_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1815972,29126663,34,BJD71_gp34,SEA_ARCHERNM_34,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1815972,29126664,35,BJD71_gp35,SEA_ARCHERNM_35,-,-,-,dsDNA partitioning protein,protein-coding,-,-,-,dsDNA partitioning protein,20200927,-
1815972,29126665,36,BJD71_gp36,SEA_ARCHERNM_36,-,-,-,dsDNA partitioning protein,protein-coding,-,-,-,dsDNA partitioning protein,20200927,-
1815972,29126666,37,BJD71_gp37,SEA_ARCHERNM_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126667,38,BJD71_gp38,SEA_ARCHERNM_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126668,39,BJD71_gp39,SEA_ARCHERNM_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126669,40,BJD71_gp40,SEA_ARCHERNM_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126670,41,BJD71_gp41,SEA_ARCHERNM_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126671,42,BJD71_gp42,SEA_ARCHERNM_42,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200927,-
1815972,29126672,43,BJD71_gp43,SEA_ARCHERNM_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126673,44,BJD71_gp44,SEA_ARCHERNM_44,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20200927,-
1815972,29126674,45,BJD71_gp45,SEA_ARCHERNM_45,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200927,-
1815972,29126675,46,BJD71_gp46,SEA_ARCHERNM_46,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20200927,-
1815972,29126676,47,BJD71_gp47,SEA_ARCHERNM_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126677,48,BJD71_gp48,SEA_ARCHERNM_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126678,49,BJD71_gp49,SEA_ARCHERNM_49,-,-,-,putative transcription factor,protein-coding,-,-,-,putative transcription factor,20200927,-
1815972,29126679,50,BJD71_gp50,SEA_ARCHERNM_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126680,51,BJD71_gp51,SEA_ARCHERNM_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126681,52,BJD71_gp52,SEA_ARCHERNM_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126682,53,BJD71_gp53,SEA_ARCHERNM_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126683,54,BJD71_gp54,SEA_ARCHERNM_54,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200927,-
1815972,29126684,55,BJD71_gp55,SEA_ARCHERNM_55,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200927,-
1815972,29126685,56,BJD71_gp56,SEA_ARCHERNM_56,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20200927,-
1815972,29126686,57,BJD71_gp57,SEA_ARCHERNM_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126687,58,BJD71_gp58,SEA_ARCHERNM_58,-,-,-,esterase/lipase,protein-coding,-,-,-,esterase/lipase,20200927,-
1815972,29126688,59,BJD71_gp59,SEA_ARCHERNM_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126689,60,BJD71_gp60,SEA_ARCHERNM_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126690,61,BJD71_gp61,SEA_ARCHERNM_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126691,62,BJD71_gp62,SEA_ARCHERNM_62,-,-,-,dsDNA helicase,protein-coding,-,-,-,dsDNA helicase,20200927,-
1815972,29126692,63,BJD71_gp63,SEA_ARCHERNM_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126693,64,BJD71_gp64,SEA_ARCHERNM_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126694,65,BJD71_gp65,SEA_ARCHERNM_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126695,66,BJD71_gp66,SEA_ARCHERNM_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126696,67,BJD71_gp67,SEA_ARCHERNM_67,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20200927,-
1815972,29126697,68,BJD71_gp68,SEA_ARCHERNM_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126698,69,BJD71_gp69,SEA_ARCHERNM_69,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200927,-
1815972,29126699,70,BJD71_gp70,SEA_ARCHERNM_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126700,71,BJD71_gp71,SEA_ARCHERNM_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126701,72,BJD71_gp72,SEA_ARCHERNM_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126702,73,BJD71_gp73,SEA_ARCHERNM_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126703,74,BJD71_gp74,SEA_ARCHERNM_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126704,75,BJD71_gp75,SEA_ARCHERNM_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126705,76,BJD71_gp76,SEA_ARCHERNM_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126706,77,BJD71_gp77,SEA_ARCHERNM_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126707,78,BJD71_gp78,SEA_ARCHERNM_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126708,79,BJD71_gp79,SEA_ARCHERNM_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126709,80,BJD71_gp80,SEA_ARCHERNM_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126710,81,BJD71_gp81,SEA_ARCHERNM_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126711,82,BJD71_gp82,SEA_ARCHERNM_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126712,83,BJD71_gp83,SEA_ARCHERNM_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126713,84,BJD71_gp84,SEA_ARCHERNM_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126714,85,BJD71_gp85,SEA_ARCHERNM_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126715,86,BJD71_gp86,SEA_ARCHERNM_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126716,87,BJD71_gp87,SEA_ARCHERNM_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126717,88,BJD71_gp88,SEA_ARCHERNM_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126718,89,BJD71_gp89,SEA_ARCHERNM_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126719,90,BJD71_gp90,SEA_ARCHERNM_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126720,91,BJD71_gp91,SEA_ARCHERNM_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126721,1,BJD71_gp01,SEA_ARCHERNM_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29140822,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage ArcherNM).,other,-,-,-,-,20200513,-
