#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
444859,10327389,gp33,SSM1_240,-,-,-,-,late promoter transcription accessory protein,protein-coding,-,-,-,late promoter transcription accessory protein,20200909,-
444859,10327423,talC,SSM1_205,-,-,-,-,transaldolase-like protein,protein-coding,-,-,-,transaldolase-like protein,20200909,-
444859,10327424,SSM1_204,SSM1_204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327425,SSM1_203,SSM1_203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327426,SSM1_202,SSM1_202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327427,nrdB,SSM1_201,-,-,-,-,ribonucleotide reductase class Ia beta subunit,protein-coding,-,-,-,ribonucleotide reductase class Ia beta subunit,20200909,-
444859,10327428,nrdA,SSM1_200,-,-,-,-,ribonucleotide reductase class Ia alpha subunit,protein-coding,-,-,-,ribonucleotide reductase class Ia alpha subunit,20200909,-
444859,10327429,gp61,SSM1_199,-,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20200909,-
444859,10327430,SSM1_198,SSM1_198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327431,SSM1_197,SSM1_197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327432,SSM1_196,SSM1_196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327433,SSM1_195,SSM1_195,-,-,-,-,S-layer domain protein,protein-coding,-,-,-,S-layer domain protein,20200909,-
444859,10327434,SSM1_194,SSM1_194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327435,SSM1_193,SSM1_193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327436,SSM1_192,SSM1_192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327437,SSM1_191,SSM1_191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327438,SSM1_190,SSM1_190,-,-,-,-,cytitidyltransferase,protein-coding,-,-,-,cytitidyltransferase,20200909,-
444859,10327439,SSM1_189,SSM1_189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327440,SSM1_188,SSM1_188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327441,SSM1_187,SSM1_187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327442,SSM1_186,SSM1_186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327443,SSM1_185,SSM1_185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327444,mazG,SSM1_184,-,-,-,-,pyrophosphatase,protein-coding,-,-,-,pyrophosphatase,20200909,-
444859,10327445,gp41,SSM1_183,-,-,-,-,DNA primase-helicase,protein-coding,-,-,-,DNA primase-helicase,20200909,-
444859,10327446,SSM1_182,SSM1_182,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20200909,-
444859,10327447,uvsX,SSM1_181,-,-,-,-,UvsX RecA-like protein,protein-coding,-,-,-,UvsX RecA-like protein,20200909,-
444859,10327448,SSM1_180,SSM1_180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327449,gp43,SSM1_179,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200909,-
444859,10327450,SSM1_178,SSM1_178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327451,SSM1_177,SSM1_177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327452,SSM1_176,SSM1_176,-,-,-,-,DUF1583 domain-containing protein,protein-coding,-,-,-,DUF1583 domain-containing protein,20200909,-
444859,10327453,SSM1_175,SSM1_175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327454,phoA,SSM1_174,-,-,-,-,alkaline phosphatase,protein-coding,-,-,-,alkaline phosphatase,20200909,-
444859,10327455,pstS,SSM1_173,-,-,-,-,phosphate transporter subunit,protein-coding,-,-,-,phosphate transporter subunit,20200909,-
444859,10327456,SSM1_172,SSM1_172,-,-,-,-,DUF680 domain-containing protein,protein-coding,-,-,-,DUF680 domain-containing protein,20200909,-
444859,10327457,hsp20,SSM1_170,-,-,-,-,heat shock protein,protein-coding,-,-,-,heat shock protein,20200909,-
444859,10327458,SSM1_171,SSM1_171,-,-,-,-,heat shock protein,protein-coding,-,-,-,heat shock protein,20200909,-
444859,10327459,SSM1_169,SSM1_169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327460,SSM1_168,SSM1_168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327461,SSM1_167,SSM1_167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327462,SSM1_166,SSM1_166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327463,SSM1_165,SSM1_165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327464,SSM1_164,SSM1_164,-,-,-,-,plasmid stability protein,protein-coding,-,-,-,plasmid stability protein,20200909,-
444859,10327465,SSM1_163,SSM1_163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327466,regA,SSM1_162,-,-,-,-,translational repressor,protein-coding,-,-,-,translational repressor,20200909,-
444859,10327467,gp62,SSM1_161,-,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20200909,-
444859,10327468,dam,SSM1_160,-,-,-,-,DNA adenine methylase,protein-coding,-,-,-,DNA adenine methylase,20200909,-
444859,10327469,SSM1_159,SSM1_159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327470,SSM1_158,SSM1_158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327471,gp44,SSM1_157,-,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20200909,-
444859,10327472,speD,SSM1_156,-,-,-,-,SpeD,protein-coding,-,-,-,SpeD,20200909,-
444859,10327473,gp45,SSM1_155,-,-,-,-,sliding clamp DNA polymerase accessory protein,protein-coding,-,-,-,sliding clamp DNA polymerase accessory protein,20200909,-
444859,10327474,SSM1_154,SSM1_154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327475,cobS,SSM1_153,-,-,-,-,putative cobalt chelatase subunit CobS,protein-coding,-,-,-,putative cobalt chelatase subunit CobS,20200909,-
444859,10327476,SSM1_152,SSM1_152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327477,SSM1_151,SSM1_151,-,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20200909,-
444859,10327478,SSM1_150,SSM1_150,-,-,-,-,Rnf-Nqr,protein-coding,-,-,-,Rnf-Nqr,20200909,-
444859,10327479,gp46,SSM1_149,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20200909,-
444859,10327480,SSM1_148,SSM1_148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327481,gp47,SSM1_147,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20200909,-
444859,10327482,gp55,SSM1_146,-,-,-,-,sigma factor for late transcription,protein-coding,-,-,-,sigma factor for late transcription,20200909,-
444859,10327483,SSM1_145,SSM1_145,-,-,-,-,methylamine utilization protein,protein-coding,-,-,-,methylamine utilization protein,20200909,-
444859,10327484,uvsW,SSM1_144,-,-,-,-,RNA-DNA + DNA-DNA helicase,protein-coding,-,-,-,RNA-DNA + DNA-DNA helicase,20200909,-
444859,10327485,SSM1_143,SSM1_143,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20200909,-
444859,10327486,uvsY,SSM1_142,-,-,-,-,UvsY,protein-coding,-,-,-,UvsY,20200909,-
444859,10327487,SSM1_141,SSM1_141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327488,gp3,SSM1_140,-,-,-,-,head-proximal tip of tail tube tail completion + sheath stabilizer protein,protein-coding,-,-,-,head-proximal tip of tail tube tail completion + sheath stabilizer protein,20200909,-
444859,10327489,SSM1_139,SSM1_139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327490,SSM1_138,SSM1_138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327491,SSM1_137,SSM1_137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327492,SSM1_136,SSM1_136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327493,SSM1_135,SSM1_135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327494,SSM1_134,SSM1_134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327495,gp23,SSM1_133,-,-,-,-,precursor of major head subunit,protein-coding,-,-,-,precursor of major head subunit,20200909,-
444859,10327496,gp22,SSM1_132,-,-,-,-,scaffold prohead core protein,protein-coding,-,-,-,scaffold prohead core protein,20200909,-
444859,10327497,gp21,SSM1_131,-,-,-,-,prohead core scaffold and protease,protein-coding,-,-,-,prohead core scaffold and protease,20200909,-
444859,10327498,SSM1_130,SSM1_130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327499,gp20,SSM1_129,-,-,-,-,portal vertex protein of head,protein-coding,-,-,-,portal vertex protein of head,20200909,-
444859,10327500,gp19,SSM1_128,-,-,-,-,tail tube monomer,protein-coding,-,-,-,tail tube monomer,20200909,-
444859,10327501,gp18,SSM1_127,-,-,-,-,tail sheath monomer,protein-coding,-,-,-,tail sheath monomer,20200909,-
444859,10327502,gp17,SSM1_126,-,-,-,-,terminase DNA packaging enzyme large subunit,protein-coding,-,-,-,terminase DNA packaging enzyme large subunit,20200909,-
444859,10327503,SSM1_125,SSM1_125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327504,SSM1_124,SSM1_124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327505,SSM1_123,SSM1_123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327506,SSM1_122,SSM1_122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327507,zwf,SSM1_121,-,-,-,-,glucose-6-phosphate dehydrogenase,protein-coding,-,-,-,glucose-6-phosphate dehydrogenase,20200909,-
444859,10327508,gnd,SSM1_120,-,-,-,-,6-phosphogluconate dehydrogenase,protein-coding,-,-,-,6-phosphogluconate dehydrogenase,20200909,-
444859,10327509,SSM1_119,SSM1_119,-,-,-,-,plastoquinol terminal oxidase,protein-coding,-,-,-,plastoquinol terminal oxidase,20200909,-
444859,10327510,SSM1_118,SSM1_118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327511,petE,SSM1_117,-,-,-,-,plastocyanin,protein-coding,-,-,-,plastocyanin,20200909,-
444859,10327512,SSM1_116,SSM1_116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327513,SSM1_115,SSM1_115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327514,SSM1_114,SSM1_114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327515,gp16,SSM1_113,-,-,-,-,terminase DNA packaging enzyme small subunit,protein-coding,-,-,-,terminase DNA packaging enzyme small subunit,20200909,-
444859,10327516,gp15,SSM1_112,-,-,-,-,proximal tail sheath stabilization,protein-coding,-,-,-,proximal tail sheath stabilization,20200909,-
444859,10327517,gp14,SSM1_111,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200909,-
444859,10327518,gp13,SSM1_110,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200909,-
444859,10327519,SSM1_109,SSM1_109,-,-,-,-,YadA domain-containing structural protein,protein-coding,-,-,-,YadA domain-containing structural protein,20200909,-
444859,10327520,SSM1_108,SSM1_108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327521,SSM1_107,SSM1_107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327522,SSM1_106,SSM1_106,-,-,-,-,VrlC protein,protein-coding,-,-,-,VrlC protein,20200909,-
444859,10327523,gp8,SSM1_105,-,-,-,-,baseplate wedge,protein-coding,-,-,-,baseplate wedge,20200909,-
444859,10327524,SSM1_104,SSM1_104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327525,gp9,SSM1_103,-,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20200909,-
444859,10327526,SSM1_102,SSM1_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327527,gp6,SSM1_101,-,-,-,-,baseplate wedge,protein-coding,-,-,-,baseplate wedge,20200909,-
444859,10327528,gp25,SSM1_100,-,-,-,-,base plate wedge subunit,protein-coding,-,-,-,base plate wedge subunit,20200909,-
444859,10327529,SSM1_099,SSM1_099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327530,SSM1_098,SSM1_098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327531,SSM1_097,SSM1_097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327532,SSM1_096,SSM1_096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327533,SSM1_095,SSM1_095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327534,SSM1_094,SSM1_094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327535,SSM1_093,SSM1_093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327536,SSM1_092,SSM1_092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327537,SSM1_091,SSM1_091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327538,SSM1_090,SSM1_090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327539,SSM1_089,SSM1_089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327540,SSM1_088,SSM1_088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327541,SSM1_087,SSM1_087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327542,SSM1_086,SSM1_086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327543,SSM1_085,SSM1_085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327544,SSM1_084,SSM1_084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327545,SSM1_083,SSM1_083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327546,SSM1_082,SSM1_082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327547,SSM1_081,SSM1_081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327548,SSM1_080,SSM1_080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327549,SSM1_079,SSM1_079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327550,SSM1_078,SSM1_078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327551,SSM1_077,SSM1_077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327552,SSM1_076,SSM1_076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327553,SSM1_075,SSM1_075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327554,SSM1_074,SSM1_074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327555,SSM1_073,SSM1_073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327556,SSM1_072,SSM1_072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327557,SSM1_071,SSM1_071,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20200909,-
444859,10327558,SSM1_070,SSM1_070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327559,SSM1_069,SSM1_069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327560,SSM1_068,SSM1_068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327561,SSM1_067,SSM1_067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327562,SSM1_066,SSM1_066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327563,SSM1_065,SSM1_065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327564,SSM1_064,SSM1_064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327565,SSM1_063,SSM1_063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327566,SSM1_062,SSM1_062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327567,SSM1_061,SSM1_061,-,-,-,-,ferrochelatase,protein-coding,-,-,-,ferrochelatase,20200909,-
444859,10327568,SSM1_060,SSM1_060,-,-,-,-,ferrochelatase,protein-coding,-,-,-,ferrochelatase,20200909,-
444859,10327569,SSM1_059,SSM1_059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327570,SSM1_058,SSM1_058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327571,SSM1_057,SSM1_057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327572,SSM1_056,SSM1_056,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20200909,-
444859,10327573,SSM1_055,SSM1_055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327574,denV,SSM1_054,-,-,-,-,DNA endonuclease V,protein-coding,-,-,-,DNA endonuclease V,20200909,-
444859,10327575,SSM1_053,SSM1_053,-,-,-,-,leprecan protein,protein-coding,-,-,-,leprecan protein,20200909,-
444859,10327576,SSM1_052,SSM1_052,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20200909,-
444859,10327577,SSM1_051,SSM1_051,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20200909,-
444859,10327578,SSM1_050,SSM1_050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327579,SSM1_049,SSM1_049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327580,SSM1_048,SSM1_048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327581,SSM1_047,SSM1_047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327582,SSM1_046,SSM1_046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327583,SSM1_045,SSM1_045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327584,SSM1_044,SSM1_044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327585,SSM1_043,SSM1_043,-,-,-,-,fiber,protein-coding,-,-,-,fiber,20200909,-
444859,10327586,SSM1_042,SSM1_042,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200909,-
444859,10327587,SSM1_041,SSM1_041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327588,SSM1_040,SSM1_040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327589,SSM1_039,SSM1_039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327590,SSM1_038,SSM1_038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327591,nrdC,SSM1_037,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20200909,-
444859,10327592,purM,SSM1_036,-,-,-,-,phosphoribosylaminoimidazole synthetase,protein-coding,-,-,-,phosphoribosylaminoimidazole synthetase,20200909,-
444859,10327593,SSM1_035,SSM1_035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327594,SSM1_034,SSM1_034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327595,SSM1_031,SSM1_031,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
444859,10327596,SSM1_029,SSM1_029,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
444859,10327597,SSM1_028,SSM1_028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327598,SSM1_026,SSM1_026,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
444859,10327599,SSM1_025,SSM1_025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327600,SSM1_024,SSM1_024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
