#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1572716,40076150,FDH40_gp001,FDH40_gp001,CPT_Mushroom1,-,-,-,rIIa protein,protein-coding,-,-,-,rIIa protein,20200629,-
1572716,40076181,FDH40_gp032,FDH40_gp032,CPT_Mushroom32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076182,FDH40_gp033,FDH40_gp033,CPT_Mushroom33,-,-,-,deoxynucleoside monophosphate kinase,protein-coding,-,-,-,deoxynucleoside monophosphate kinase,20200629,-
1572716,40076183,FDH40_gp034,FDH40_gp034,CPT_Mushroom34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076184,FDH40_gp035,FDH40_gp035,CPT_Mushroom35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076185,FDH40_gp036,FDH40_gp036,CPT_Mushroom36,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200629,-
1572716,40076186,FDH40_gp037,FDH40_gp037,CPT_Mushroom37,-,-,-,DNA polymerase subunit,protein-coding,-,-,-,DNA polymerase subunit,20200629,-
1572716,40076187,FDH40_gp038,FDH40_gp038,CPT_Mushroom38,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20210424,-
1572716,40076188,FDH40_gp039,FDH40_gp039,CPT_Mushroom39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076189,FDH40_gp040,FDH40_gp040,CPT_Mushroom40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076190,FDH40_gp041,FDH40_gp041,CPT_Mushroom41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076191,FDH40_gp042,FDH40_gp042,CPT_Mushroom42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076192,FDH40_gp043,FDH40_gp043,CPT_Mushroom43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076193,FDH40_gp044,FDH40_gp044,CPT_Mushroom44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076194,FDH40_gp045,FDH40_gp045,CPT_Mushroom45,-,-,-,ATP-dependent DNA ligase,protein-coding,-,-,-,ATP-dependent DNA ligase,20210424,-
1572716,40076195,FDH40_gp046,FDH40_gp046,CPT_Mushroom46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076196,FDH40_gp047,FDH40_gp047,CPT_Mushroom47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076197,FDH40_gp048,FDH40_gp048,CPT_Mushroom48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
1572716,40076198,FDH40_gp049,FDH40_gp049,CPT_Mushroom49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076199,FDH40_gp050,FDH40_gp050,CPT_Mushroom50,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200629,-
1572716,40076200,FDH40_gp051,FDH40_gp051,CPT_Mushroom51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076201,FDH40_gp052,FDH40_gp052,CPT_Mushroom52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076202,FDH40_gp053,FDH40_gp053,CPT_Mushroom53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076203,FDH40_gp054,FDH40_gp054,CPT_Mushroom54,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20200629,-
1572716,40076204,FDH40_gp055,FDH40_gp055,CPT_Mushroom55,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20200629,-
1572716,40076205,FDH40_gp056,FDH40_gp056,CPT_Mushroom56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076206,FDH40_gp057,FDH40_gp057,CPT_Mushroom57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076207,FDH40_gp058,FDH40_gp058,CPT_Mushroom58,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200629,-
1572716,40076208,FDH40_gp059,FDH40_gp059,CPT_Mushroom59,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200629,-
1572716,40076209,FDH40_gp060,FDH40_gp060,CPT_Mushroom60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076210,FDH40_gp061,FDH40_gp061,CPT_Mushroom61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076211,FDH40_gp062,FDH40_gp062,CPT_Mushroom62,-,-,-,baseplate assembly protein,protein-coding,-,-,-,baseplate assembly protein,20200629,-
1572716,40076212,FDH40_gp063,FDH40_gp063,CPT_Mushroom63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076213,FDH40_gp064,FDH40_gp064,CPT_Mushroom64,-,-,-,baseplate assembly protein,protein-coding,-,-,-,baseplate assembly protein,20210130,-
1572716,40076214,FDH40_gp065,FDH40_gp065,CPT_Mushroom65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076215,FDH40_gp066,FDH40_gp066,CPT_Mushroom66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076216,FDH40_gp067,FDH40_gp067,CPT_Mushroom67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076217,FDH40_gp068,FDH40_gp068,CPT_Mushroom68,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200629,-
1572716,40076218,FDH40_gp069,FDH40_gp069,CPT_Mushroom69,-,-,-,tape measure chaperone,protein-coding,-,-,-,tape measure chaperone,20200629,-
1572716,40076219,FDH40_gp070,FDH40_gp070,CPT_Mushroom70,-,-,-,tape measure chaperone,protein-coding,-,-,-,tape measure chaperone,20200629,-
1572716,40076220,FDH40_gp071,FDH40_gp071,CPT_Mushroom71,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210417,-
1572716,40076221,FDH40_gp072,FDH40_gp072,CPT_Mushroom72,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200629,-
1572716,40076222,FDH40_gp073,FDH40_gp073,CPT_Mushroom73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076223,FDH40_gp074,FDH40_gp074,CPT_Mushroom74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076224,FDH40_gp075,FDH40_gp075,CPT_Mushroom75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076225,FDH40_gp076,FDH40_gp076,CPT_Mushroom76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076226,FDH40_gp077,FDH40_gp077,CPT_Mushroom77,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20200629,-
1572716,40076227,FDH40_gp078,FDH40_gp078,CPT_Mushroom78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076228,FDH40_gp079,FDH40_gp079,CPT_Mushroom79,-,-,-,signal peptide peptidase SppA,protein-coding,-,-,-,signal peptide peptidase SppA,20201221,-
1572716,40076229,FDH40_gp080,FDH40_gp080,CPT_Mushroom80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076230,FDH40_gp081,FDH40_gp081,CPT_Mushroom81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076231,FDH40_gp082,FDH40_gp082,CPT_Mushroom82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076232,FDH40_gp083,FDH40_gp083,CPT_Mushroom83,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1572716,40076233,FDH40_gp084,FDH40_gp084,CPT_Mushroom84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076234,FDH40_gp085,FDH40_gp085,CPT_Mushroom85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076235,FDH40_gp086,FDH40_gp086,CPT_Mushroom86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076236,FDH40_gt001,FDH40_gt001,CPT_Mushroomgt1,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1572716,40076237,FDH40_gt002,FDH40_gt002,CPT_Mushroomgt2,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1572716,40076238,FDH40_gt003,FDH40_gt003,CPT_Mushroomgt3,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1572716,40076239,FDH40_gt004,FDH40_gt004,CPT_Mushroomgt4,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1572716,40076240,FDH40_gt005,FDH40_gt005,CPT_Mushroomgt5,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1572716,40076241,FDH40_gp128,FDH40_gp128,CPT_Mushroom87,-,-,-,holin,protein-coding,-,-,-,holin,20200629,-
1572716,40076242,FDH40_gt006,FDH40_gt006,CPT_Mushroomgt6,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1572716,40076243,FDH40_gt007,FDH40_gt007,CPT_Mushroomgt7,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1572716,40076244,FDH40_gt008,FDH40_gt008,CPT_Mushroomgt8,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1572716,40076245,FDH40_gt009,FDH40_gt009,CPT_Mushroomgt9,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1572716,40076246,FDH40_gt010,FDH40_gt010,CPT_Mushroomgt10,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1572716,40076247,FDH40_gt011,FDH40_gt011,CPT_Mushroomgt11,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1572716,40076248,FDH40_gt012,FDH40_gt012,CPT_Mushroomgt12,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1572716,40076249,FDH40_gt013,FDH40_gt013,CPT_Mushroomgt13,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1572716,40076250,FDH40_gt014,FDH40_gt014,CPT_Mushroomgt14,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1572716,40076251,FDH40_gt015,FDH40_gt015,CPT_Mushroomgt15,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1572716,40076252,FDH40_gt016,FDH40_gt016,CPT_Mushroomgt16,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1572716,40076253,FDH40_gt017,FDH40_gt017,CPT_Mushroomgt17,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1572716,40076254,FDH40_gt018,FDH40_gt018,CPT_Mushroomgt18,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1572716,40076255,FDH40_gt019,FDH40_gt019,CPT_Mushroomgt19,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1572716,40076256,FDH40_gt020,FDH40_gt020,CPT_Mushroomgt20,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1572716,40076257,FDH40_gt021,FDH40_gt021,CPT_Mushroomgt21,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1572716,40076258,FDH40_gt022,FDH40_gt022,CPT_Mushroomgt22,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1572716,40076259,FDH40_gp127,FDH40_gp127,CPT_Mushroom88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076260,FDH40_gp126,FDH40_gp126,CPT_Mushroom89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076261,FDH40_gp125,FDH40_gp125,CPT_Mushroom90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076262,FDH40_gp124,FDH40_gp124,CPT_Mushroom91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076263,FDH40_gp123,FDH40_gp123,CPT_Mushroom92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076264,FDH40_gp122,FDH40_gp122,CPT_Mushroom93,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200629,-
1572716,40076265,FDH40_gp121,FDH40_gp121,CPT_Mushroom94,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20200629,-
1572716,40076266,FDH40_gp120,FDH40_gp120,CPT_Mushroom95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076267,FDH40_gp119,FDH40_gp119,CPT_Mushroom96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076268,FDH40_gp118,FDH40_gp118,CPT_Mushroom97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076269,FDH40_gp117,FDH40_gp117,CPT_Mushroom98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076270,FDH40_gp116,FDH40_gp116,CPT_Mushroom99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076271,FDH40_gp115,FDH40_gp115,CPT_Mushroom100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076272,FDH40_gp114,FDH40_gp114,CPT_Mushroom101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076273,FDH40_gp113,FDH40_gp113,CPT_Mushroom102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076274,FDH40_gp112,FDH40_gp112,CPT_Mushroom103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076275,FDH40_gp111,FDH40_gp111,CPT_Mushroom104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076276,FDH40_gp110,FDH40_gp110,CPT_Mushroom105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076277,FDH40_gp109,FDH40_gp109,CPT_Mushroom106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076278,FDH40_gp108,FDH40_gp108,CPT_Mushroom107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076279,FDH40_gp107,FDH40_gp107,CPT_Mushroom108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076280,FDH40_gp106,FDH40_gp106,CPT_Mushroom109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076281,FDH40_gp105,FDH40_gp105,CPT_Mushroom110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076282,FDH40_gp104,FDH40_gp104,CPT_Mushroom111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076283,FDH40_gp103,FDH40_gp103,CPT_Mushroom112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076284,FDH40_gp102,FDH40_gp102,CPT_Mushroom113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076285,FDH40_gp101,FDH40_gp101,CPT_Mushroom114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076286,FDH40_gp100,FDH40_gp100,CPT_Mushroom115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076287,FDH40_gp099,FDH40_gp099,CPT_Mushroom116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076288,FDH40_gp098,FDH40_gp098,CPT_Mushroom117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076289,FDH40_gp097,FDH40_gp097,CPT_Mushroom118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076290,FDH40_gp096,FDH40_gp096,CPT_Mushroom119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076291,FDH40_gp095,FDH40_gp095,CPT_Mushroom120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076292,FDH40_gp094,FDH40_gp094,CPT_Mushroom121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076293,FDH40_gp093,FDH40_gp093,CPT_Mushroom122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076294,FDH40_gp092,FDH40_gp092,CPT_Mushroom123,-,-,-,o-spanin,protein-coding,-,-,-,o-spanin,20200629,-
1572716,40076295,FDH40_gp091,FDH40_gp091,CPT_Mushroom124,-,-,-,i-spanin,protein-coding,-,-,-,i-spanin,20200629,-
1572716,40076296,FDH40_gp090,FDH40_gp090,CPT_Mushroom125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076297,FDH40_gp089,FDH40_gp089,CPT_Mushroom126,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20200629,-
1572716,40076298,FDH40_gp088,FDH40_gp088,CPT_Mushroom127,-,-,-,endoribonuclease,protein-coding,-,-,-,endoribonuclease,20200629,-
1572716,40076299,FDH40_gp087,FDH40_gp087,CPT_Mushroom128,-,-,-,rIIb protein,protein-coding,-,-,-,rIIb protein,20200629,-
1572716,40120176,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
