#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1885242,55600956,HWB00_gp002,HWB00_gp002,B_002,-,-,-,rIIA,protein-coding,-,-,-,rIIA,20200620,-
1885242,55600986,HWB00_gp032,HWB00_gp032,B_032,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210424,-
1885242,55600987,HWB00_gp033,HWB00_gp033,B_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55600988,HWB00_gp034,HWB00_gp034,B_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55600989,HWB00_gp035,HWB00_gp035,B_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55600990,HWB00_gp036,HWB00_gp036,B_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55600991,HWB00_gp037,HWB00_gp037,B_037,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210424,-
1885242,55600992,HWB00_gp038,HWB00_gp038,B_038,-,-,-,head vertex assembly chaperone,protein-coding,-,-,-,head vertex assembly chaperone,20210424,-
1885242,55600993,HWB00_gp039,HWB00_gp039,B_039,-,-,-,recombination protein,protein-coding,-,-,-,recombination protein,20210424,-
1885242,55600994,HWB00_gp040,HWB00_gp040,B_040,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210424,-
1885242,55600995,HWB00_gp041,HWB00_gp041,B_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55600996,HWB00_gp042,HWB00_gp042,B_042,-,-,-,early gene translational repressor,protein-coding,-,-,-,early gene translational repressor,20210116,-
1885242,55600997,HWB00_gp043,HWB00_gp043,B_043,-,-,-,clamp laoder subunit,protein-coding,-,-,-,clamp laoder subunit,20210116,-
1885242,55600998,HWB00_gp044,HWB00_gp044,B_044,-,-,-,clamp laoder subunit,protein-coding,-,-,-,clamp laoder subunit,20210327,-
1885242,55600999,HWB00_gp045,HWB00_gp045,B_045,-,-,-,sliding clamp DNA polymerase,protein-coding,-,-,-,sliding clamp DNA polymerase,20210116,-
1885242,55601000,HWB00_gp046,HWB00_gp046,B_046,-,-,-,RNA polymerase binding protein,protein-coding,-,-,-,RNA polymerase binding protein,20210406,-
1885242,55601001,HWB00_gp047,HWB00_gp047,B_047,-,-,-,ssDNA-binding protein,protein-coding,-,-,-,ssDNA-binding protein,20210424,-
1885242,55601002,HWB00_gp048,HWB00_gp048,B_048,-,-,-,loader of DNA helicase,protein-coding,-,-,-,loader of DNA helicase,20210406,-
1885242,55601003,HWB00_gp049,HWB00_gp049,B_049,-,-,-,transcriptopnal regulator,protein-coding,-,-,-,transcriptopnal regulator,20210327,-
1885242,55601004,HWB00_gp050,HWB00_gp050,B_050,-,-,-,dsDNA binding protein late transcription,protein-coding,-,-,-,dsDNA binding protein late transcription,20210116,-
1885242,55601005,HWB00_gp051,HWB00_gp051,B_051,-,-,-,ribonuclease,protein-coding,-,-,-,ribonuclease,20210116,-
1885242,55601006,HWB00_gp052,HWB00_gp052,B_052,-,-,-,sigma factor for late transcription,protein-coding,-,-,-,sigma factor for late transcription,20210116,-
1885242,55601007,HWB00_gp053,HWB00_gp053,B_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601008,HWB00_gp054,HWB00_gp054,B_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
1885242,55601009,HWB00_gp055,HWB00_gp055,B_055,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210116,-
1885242,55601010,HWB00_gp056,HWB00_gp056,B_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601011,HWB00_gp057,HWB00_gp057,B_057,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210424,-
1885242,55601012,HWB00_gp058,HWB00_gp058,B_058,-,-,-,putative Mob-like HNH homing endonuclease,protein-coding,-,-,-,putative Mob-like HNH homing endonuclease,20210424,-
1885242,55601013,HWB00_gp059,HWB00_gp059,B_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601014,HWB00_gp060,HWB00_gp060,B_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1885242,55601015,HWB00_gp061,HWB00_gp061,B_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601016,HWB00_gp062,HWB00_gp062,B_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601017,HWB00_gp063,HWB00_gp063,B_063,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20210424,-
1885242,55601018,HWB00_gp064,HWB00_gp064,B_064,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210424,-
1885242,55601019,HWB00_gp065,HWB00_gp065,B_065,-,-,-,ribonucleotide reductase large subunit,protein-coding,-,-,-,ribonucleotide reductase large subunit,20210424,-
1885242,55601020,HWB00_gp066,HWB00_gp066,B_066,-,-,-,ribonucleotide reductase large subunit,protein-coding,-,-,-,ribonucleotide reductase large subunit,20210424,-
1885242,55601021,HWB00_gp067,HWB00_gp067,B_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1885242,55601022,HWB00_gp068,HWB00_gp068,B_068,-,-,-,endonuclease II,protein-coding,-,-,-,endonuclease II,20210424,-
1885242,55601023,HWB00_gp069,HWB00_gp069,B_069,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210424,-
1885242,55601024,HWB00_gp070,HWB00_gp070,B_070,-,-,-,i-spanin,protein-coding,-,-,-,i-spanin,20200620,-
1885242,55601025,HWB00_gp071,HWB00_gp071,B_071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601026,HWB00_gp072,HWB00_gp072,B_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601027,HWB00_gp073,HWB00_gp073,B_073,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20210424,-
1885242,55601028,HWB00_gp074,HWB00_gp074,B_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601029,HWB00_gp075,HWB00_gp075,B_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601030,HWB00_gp076,HWB00_gp076,B_076,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20210424,-
1885242,55601031,HWB00_gp077,HWB00_gp077,B_077,-,-,-,co-chaperonin for GroEL,protein-coding,-,-,-,co-chaperonin for GroEL,20210406,-
1885242,55601032,HWB00_gp078,HWB00_gp078,B_078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601033,HWB00_gp079,HWB00_gp079,B_079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601034,HWB00_gp080,HWB00_gp080,B_080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601035,HWB00_gp081,HWB00_gp081,B_081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601036,HWB00_gp082,HWB00_gp082,B_082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1885242,55601037,HWB00_gp083,HWB00_gp083,B_083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601038,HWB00_gp084,HWB00_gp084,B_084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601039,HWB00_gp085,HWB00_gp085,B_085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601040,HWB00_gp086,HWB00_gp086,B_086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601041,HWB00_gp087,HWB00_gp087,B_087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601042,HWB00_gp088,HWB00_gp088,B_088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601043,HWB00_gp089,HWB00_gp089,B_089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601044,HWB00_gp090,HWB00_gp090,B_090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601045,HWB00_gp091,HWB00_gp091,B_091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601046,HWB00_gp092,HWB00_gp092,B_092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601047,HWB00_gp093,HWB00_gp093,B_093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1885242,55601048,HWB00_gp094,HWB00_gp094,B_094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601049,HWB00_gp095,HWB00_gp095,B_095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601050,HWB00_gp096,HWB00_gp096,B_096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601051,HWB00_gp097,HWB00_gp097,B_097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1885242,55601052,HWB00_gp098,HWB00_gp098,B_098,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210424,-
1885242,55601053,HWB00_gp099,HWB00_gp099,B_099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601054,HWB00_gp100,HWB00_gp100,B_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601055,HWB00_gp101,HWB00_gp101,B_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1885242,55601056,HWB00_gp102,HWB00_gp102,B_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601057,HWB00_gp103,HWB00_gp103,B_103,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210424,-
1885242,55601058,HWB00_gp104,HWB00_gp104,B_104,-,-,-,baseplate distal hub subunit,protein-coding,-,-,-,baseplate distal hub subunit,20210424,-
1885242,55601059,HWB00_gp105,HWB00_gp105,B_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1885242,55601060,HWB00_gp106,HWB00_gp106,B_106,-,-,-,tail-tube assembly protein,protein-coding,-,-,-,tail-tube assembly protein,20210327,-
1885242,55601061,HWB00_gp107,HWB00_gp107,B_107,-,-,-,baseplate-tail tube initiator,protein-coding,-,-,-,baseplate-tail tube initiator,20210406,-
1885242,55601062,HWB00_gp108,HWB00_gp108,B_108,-,-,-,baseplate hub assembly catalyst,protein-coding,-,-,-,baseplate hub assembly catalyst,20210116,-
1885242,55601063,HWB00_gp109,HWB00_gp109,B_109,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210424,-
1885242,55601064,HWB00_gp110,HWB00_gp110,B_110,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210116,-
1885242,55601065,HWB00_gp111,HWB00_gp111,B_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601066,HWB00_gp112,HWB00_gp112,B_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601067,HWB00_gp113,HWB00_gp113,B_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601068,HWB00_gp114,HWB00_gp114,B_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601069,HWB00_gp115,HWB00_gp115,B_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601070,HWB00_gp116,HWB00_gp116,B_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601071,HWB00_gp117,HWB00_gp117,B_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601072,HWB00_gp118,HWB00_gp118,B_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601073,HWB00_gp119,HWB00_gp119,B_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601074,HWB00_gp120,HWB00_gp120,B_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
1885242,55601075,HWB00_gp121,HWB00_gp121,B_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601076,HWB00_gp122,HWB00_gp122,B_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601077,HWB00_gp123,HWB00_gp123,B_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601078,HWB00_gp124,HWB00_gp124,B_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601079,HWB00_gp125,HWB00_gp125,B_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601080,HWB00_gp126,HWB00_gp126,B_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601081,HWB00_gp127,HWB00_gp127,B_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601082,HWB00_gp128,HWB00_gp128,B_128,-,-,-,DNA-methyltransferase type II restriction modification system,protein-coding,-,-,-,DNA-methyltransferase type II restriction modification system,20210424,-
1885242,55601083,HWB00_gp129,HWB00_gp129,B_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601084,HWB00_gp130,HWB00_gp130,B_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601085,HWB00_gp131,HWB00_gp131,B_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601086,HWB00_gp132,HWB00_gp132,B_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1885242,55601087,HWB00_gp133,HWB00_gp133,B_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601088,HWB00_gp134,HWB00_gp134,B_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601089,HWB00_gp135,HWB00_gp135,B_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601090,HWB00_gp136,HWB00_gp136,B_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601091,HWB00_gp137,HWB00_gp137,B_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601092,HWB00_gp138,HWB00_gp138,B_138,-,-,-,NMN adenylyltransferase/NUDIX hydrolase,protein-coding,-,-,-,NMN adenylyltransferase/NUDIX hydrolase,20210424,-
1885242,55601093,HWB00_gp139,HWB00_gp139,B_139,-,-,-,putative SPFH domain containing protein,protein-coding,-,-,-,putative SPFH domain containing protein,20210424,-
1885242,55601094,HWB00_gp140,HWB00_gp140,B_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1885242,55601095,HWB00_gp141,HWB00_gp141,B_141,-,-,-,lysis inhibition regulator,protein-coding,-,-,-,lysis inhibition regulator,20210406,-
1885242,55601096,HWB00_gp142,HWB00_gp142,B_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601097,HWB00_gp143,HWB00_gp143,B_143,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20210116,-
1885242,55601098,HWB00_gp144,HWB00_gp144,B_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601099,HWB00_gp145,HWB00_gp145,B_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601100,HWB00_gp146,HWB00_gp146,B_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601101,HWB00_gp147,HWB00_gp147,B_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1885242,55601102,HWB00_gp148,HWB00_gp148,B_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601103,HWB00_gp149,HWB00_gp149,B_149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601104,HWB00_gp150,HWB00_gp150,B_150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601105,HWB00_gp151,HWB00_gp151,B_151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601106,HWB00_gp152,HWB00_gp152,B_152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601107,HWB00_gp153,HWB00_gp153,B_153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1885242,55601108,HWB00_gp154,HWB00_gp154,B_154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601109,HWB00_gp155,HWB00_gp155,B_155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601110,HWB00_gp156,HWB00_gp156,B_156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601111,HWB00_gp157,HWB00_gp157,B_157,-,-,-,PhoH domain containing protein,protein-coding,-,-,-,PhoH domain containing protein,20210424,-
1885242,55601112,HWB00_gp158,HWB00_gp158,B_158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601113,HWB00_gp159,HWB00_gp159,B_159,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20210424,-
1885242,55601114,HWB00_gp160,HWB00_gp160,B_160,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20200620,-
1885242,55601115,HWB00_gp161,HWB00_gp161,B_161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601116,HWB00_gp162,HWB00_gp162,B_162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601117,HWB00_gp163,HWB00_gp163,B_163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601118,HWB00_gp164,HWB00_gp164,B_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601119,HWB00_gp165,HWB00_gp165,B_165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601120,HWB00_gp166,HWB00_gp166,B_166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1885242,55601121,HWB00_gp167,HWB00_gp167,B_167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601122,HWB00_gp168,HWB00_gp168,B_168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601123,HWB00_gp169,HWB00_gp169,B_169,-,-,-,radical SAM protein,protein-coding,-,-,-,radical SAM protein,20210424,-
1885242,55601124,HWB00_gp170,HWB00_gp170,B_170,-,-,-,radical SAM protein,protein-coding,-,-,-,radical SAM protein,20200620,-
1885242,55601125,HWB00_gp171,HWB00_gp171,B_171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601126,HWB00_gp172,HWB00_gp172,B_172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601127,HWB00_gp173,HWB00_gp173,B_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601128,HWB00_gp174,HWB00_gp174,B_174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601129,HWB00_gp175,HWB00_gp175,B_175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601130,HWB00_gp176,HWB00_gp176,B_176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601131,HWB00_gp177,HWB00_gp177,B_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1885242,55601132,HWB00_gp178,HWB00_gp178,B_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601133,HWB00_gp179,HWB00_gp179,B_179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601134,HWB00_gp180,HWB00_gp180,B_180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601135,HWB00_gp181,HWB00_gp181,B_181,-,-,-,NUDIX hydrolase,protein-coding,-,-,-,NUDIX hydrolase,20210424,-
1885242,55601136,HWB00_gp182,HWB00_gp182,B_182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601137,HWB00_gp183,HWB00_gp183,B_183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601138,HWB00_gp184,HWB00_gp184,B_184,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601139,HWB00_gp185,HWB00_gp185,B_185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1885242,55601140,HWB00_gp186,HWB00_gp186,B_186,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601141,HWB00_gp187,HWB00_gp187,B_187,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601142,HWB00_gp188,HWB00_gp188,B_188,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55601143,HWB00_gp189,HWB00_gp189,B_189,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1885242,55601144,HWB00_gp190,HWB00_gp190,B_190,-,-,-,chaperone for tail fiber formation,protein-coding,-,-,-,chaperone for tail fiber formation,20200620,-
1885242,55601145,HWB00_gp191,HWB00_gp191,B_191,-,-,-,dNMP kinase,protein-coding,-,-,-,dNMP kinase,20210424,-
1885242,55601146,HWB00_gp192,HWB00_gp192,B_192,-,-,-,head-proximal tip of tail tube,protein-coding,-,-,-,head-proximal tip of tail tube,20210424,-
