#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
209559,43621699,BDW43DRAFT_100089,BDW43DRAFT_100089,-,-,Unknown,-,XRCC4-like factor-domain-containing protein,protein-coding,-,-,-,XRCC4-like factor-domain-containing protein,20210306,-
209559,43621715,BDW43DRAFT_100856,BDW43DRAFT_100856,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200918,-
209559,43621716,BDW43DRAFT_10086,BDW43DRAFT_10086,-,-,Unknown,-,carotenoid oxygenase,protein-coding,-,-,-,carotenoid oxygenase,20210306,-
209559,43621717,BDW43DRAFT_100874,BDW43DRAFT_100874,-,-,Unknown,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20201217,-
209559,43621718,BDW43DRAFT_100920,BDW43DRAFT_100920,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201217,-
209559,43621719,BDW43DRAFT_100957,BDW43DRAFT_100957,-,-,Unknown,-,Golgi apparatus membrane protein TVP15,protein-coding,-,-,-,Golgi apparatus membrane protein TVP15,20210306,-
209559,43621720,BDW43DRAFT_100985,BDW43DRAFT_100985,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200918,-
209559,43621721,BDW43DRAFT_101019,BDW43DRAFT_101019,-,-,Unknown,-,kinase-like domain-containing protein,protein-coding,-,-,-,kinase-like domain-containing protein,20201217,-
209559,43621722,BDW43DRAFT_10107,BDW43DRAFT_10107,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
209559,43621723,BDW43DRAFT_101078,BDW43DRAFT_101078,-,-,Unknown,-,ureidoglycolate hydrolase,protein-coding,-,-,-,ureidoglycolate hydrolase,20210306,-
209559,43621724,BDW43DRAFT_101079,BDW43DRAFT_101079,-,-,Unknown,-,major facilitator superfamily domain-containing protein,protein-coding,-,-,-,major facilitator superfamily domain-containing protein,20210306,-
209559,43621725,BDW43DRAFT_101080,BDW43DRAFT_101080,-,-,Unknown,-,amidase signature domain-containing protein,protein-coding,-,-,-,amidase signature domain-containing protein,20210306,-
209559,43621726,BDW43DRAFT_101165,BDW43DRAFT_101165,-,-,Unknown,-,putative MFS transporter,protein-coding,-,-,-,putative MFS transporter,20210306,-
209559,43621727,BDW43DRAFT_10119,BDW43DRAFT_10119,-,-,Unknown,-,DNA polymerase ligase-domain-containing protein,protein-coding,-,-,-,DNA polymerase ligase-domain-containing protein,20210306,-
209559,43621728,BDW43DRAFT_101212,BDW43DRAFT_101212,-,-,Unknown,-,acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase-domain-containing protein,protein-coding,-,-,-,acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase-domain-containing protein,20210306,-
209559,43621729,BDW43DRAFT_10127,BDW43DRAFT_10127,-,-,Unknown,-,glycoside hydrolase superfamily,protein-coding,-,-,-,glycoside hydrolase superfamily,20210306,-
209559,43621730,BDW43DRAFT_101358,BDW43DRAFT_101358,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
209559,43621731,BDW43DRAFT_101395,BDW43DRAFT_101395,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
209559,43621732,BDW43DRAFT_101546,BDW43DRAFT_101546,-,-,Unknown,-,S-adenosyl-L-methionine-dependent methyltransferase,protein-coding,-,-,-,S-adenosyl-L-methionine-dependent methyltransferase,20210306,-
209559,43621733,BDW43DRAFT_101566,BDW43DRAFT_101566,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
209559,43621734,BDW43DRAFT_101588,BDW43DRAFT_101588,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
209559,43621735,BDW43DRAFT_101635,BDW43DRAFT_101635,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
209559,43621736,BDW43DRAFT_101715,BDW43DRAFT_101715,-,-,Unknown,-,V-ATPase proteolipid subunit C-like domain-containing protein,protein-coding,-,-,-,V-ATPase proteolipid subunit C-like domain-containing protein,20201217,-
209559,43621737,BDW43DRAFT_101720,BDW43DRAFT_101720,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
209559,43621738,BDW43DRAFT_101862,BDW43DRAFT_101862,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
209559,43621739,BDW43DRAFT_101868,BDW43DRAFT_101868,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
209559,43621740,BDW43DRAFT_101937,BDW43DRAFT_101937,-,-,Unknown,-,HAD-like domain-containing protein,protein-coding,-,-,-,HAD-like domain-containing protein,20201217,-
209559,43621741,BDW43DRAFT_10195,BDW43DRAFT_10195,-,-,Unknown,-,GPI transamidase component PIG-U,protein-coding,-,-,-,GPI transamidase component PIG-U,20210306,-
209559,43621742,BDW43DRAFT_101980,BDW43DRAFT_101980,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
209559,43621743,BDW43DRAFT_102023,BDW43DRAFT_102023,-,-,Unknown,-,recombination hotspot-binding protein,protein-coding,-,-,-,recombination hotspot-binding protein,20201217,-
209559,43621744,BDW43DRAFT_102028,BDW43DRAFT_102028,-,-,Unknown,-,thioredoxin-like protein,protein-coding,-,-,-,thioredoxin-like protein,20201217,-
209559,43621745,BDW43DRAFT_102112,BDW43DRAFT_102112,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
209559,43621746,BDW43DRAFT_102134,BDW43DRAFT_102134,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
209559,43621747,BDW43DRAFT_102294,BDW43DRAFT_102294,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
209559,43621748,BDW43DRAFT_102325,BDW43DRAFT_102325,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
209559,43621749,BDW43DRAFT_102343,BDW43DRAFT_102343,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
209559,43621750,BDW43DRAFT_102359,BDW43DRAFT_102359,-,-,Unknown,-,heme peroxidase,protein-coding,-,-,-,heme peroxidase,20210306,-
209559,43621751,BDW43DRAFT_102391,BDW43DRAFT_102391,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
209559,43621752,BDW43DRAFT_102418,BDW43DRAFT_102418,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
209559,43621753,BDW43DRAFT_102470,BDW43DRAFT_102470,-,-,Unknown,-,ADP-ribosylation factor family-domain-containing protein,protein-coding,-,-,-,ADP-ribosylation factor family-domain-containing protein,20201217,-
209559,43621754,BDW43DRAFT_102518,BDW43DRAFT_102518,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
209559,43621755,BDW43DRAFT_102529,BDW43DRAFT_102529,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
209559,43621756,BDW43DRAFT_102539,BDW43DRAFT_102539,-,-,Unknown,-,general substrate transporter,protein-coding,-,-,-,general substrate transporter,20210306,-
209559,43621757,BDW43DRAFT_102586,BDW43DRAFT_102586,-,-,Unknown,-,putative C6 transcription factor,protein-coding,-,-,-,putative C6 transcription factor,20201217,-
209559,43621758,BDW43DRAFT_102605,BDW43DRAFT_102605,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
209559,43621759,BDW43DRAFT_102817,BDW43DRAFT_102817,-,-,Unknown,-,WD40-repeat-containing domain protein,protein-coding,-,-,-,WD40-repeat-containing domain protein,20210306,-
209559,43621760,BDW43DRAFT_102841,BDW43DRAFT_102841,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
209559,43621761,BDW43DRAFT_102843,BDW43DRAFT_102843,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
209559,43621762,BDW43DRAFT_10290,BDW43DRAFT_10290,-,-,Unknown,-,hypoxia induced protein conserved region-domain-containing protein,protein-coding,-,-,-,hypoxia induced protein conserved region-domain-containing protein,20210306,-
209559,43621763,BDW43DRAFT_102927,BDW43DRAFT_102927,-,-,Unknown,-,phosphoglucomutase,protein-coding,-,-,-,phosphoglucomutase,20201217,-
209559,43621764,BDW43DRAFT_102945,BDW43DRAFT_102945,-,-,Unknown,-,ribonuclease H-like domain-containing protein,protein-coding,-,-,-,ribonuclease H-like domain-containing protein,20201217,-
209559,43621765,BDW43DRAFT_103137,BDW43DRAFT_103137,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
209559,43621766,BDW43DRAFT_103212,BDW43DRAFT_103212,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
209559,43621767,BDW43DRAFT_103216,BDW43DRAFT_103216,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
209559,43621768,BDW43DRAFT_103241,BDW43DRAFT_103241,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
209559,43621769,BDW43DRAFT_10333,BDW43DRAFT_10333,-,-,Unknown,-,"Elongation factor G, mitochondrial",protein-coding,-,-,-,"Elongation factor G, mitochondrial",20201217,-
209559,43621770,BDW43DRAFT_103376,BDW43DRAFT_103376,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
209559,43621771,BDW43DRAFT_10345,BDW43DRAFT_10345,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
209559,43621772,BDW43DRAFT_104177,BDW43DRAFT_104177,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
209559,43621773,BDW43DRAFT_104218,BDW43DRAFT_104218,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
209559,43621774,BDW43DRAFT_104220,BDW43DRAFT_104220,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
209559,43621775,BDW43DRAFT_104224,BDW43DRAFT_104224,-,-,Unknown,-,SMAD/FHA domain-containing protein,protein-coding,-,-,-,SMAD/FHA domain-containing protein,20201217,-
209559,43621776,BDW43DRAFT_104251,BDW43DRAFT_104251,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
209559,43621777,BDW43DRAFT_104254,BDW43DRAFT_104254,-,-,Unknown,-,mannosyltransferase putative-domain-containing protein,protein-coding,-,-,-,mannosyltransferase putative-domain-containing protein,20210306,-
209559,43621778,BDW43DRAFT_104350,BDW43DRAFT_104350,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
209559,43621779,BDW43DRAFT_104392,BDW43DRAFT_104392,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
209559,43621780,BDW43DRAFT_10447,BDW43DRAFT_10447,-,-,Unknown,-,SacI homology domain-containing protein,protein-coding,-,-,-,SacI homology domain-containing protein,20201217,-
209559,43621781,BDW43DRAFT_104474,BDW43DRAFT_104474,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20201217,-
209559,43621782,BDW43DRAFT_1045,BDW43DRAFT_1045,-,-,Unknown,-,major facilitator superfamily domain-containing protein,protein-coding,-,-,-,major facilitator superfamily domain-containing protein,20210306,-
209559,43621783,BDW43DRAFT_104501,BDW43DRAFT_104501,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
209559,43621784,BDW43DRAFT_104504,BDW43DRAFT_104504,-,-,Unknown,-,putative ARID/BRIGHT domain protein,protein-coding,-,-,-,putative ARID/BRIGHT domain protein,20210306,-
209559,43621785,BDW43DRAFT_10454,BDW43DRAFT_10454,-,-,Unknown,-,ras family-domain-containing protein,protein-coding,-,-,-,ras family-domain-containing protein,20200918,-
209559,43621786,BDW43DRAFT_104596,BDW43DRAFT_104596,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
209559,43621787,BDW43DRAFT_104598,BDW43DRAFT_104598,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
209559,43621788,BDW43DRAFT_104665,BDW43DRAFT_104665,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
209559,43621789,BDW43DRAFT_104667,BDW43DRAFT_104667,-,-,Unknown,-,ATPase get3,protein-coding,-,-,-,ATPase get3,20210306,-
209559,43621790,BDW43DRAFT_104806,BDW43DRAFT_104806,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
209559,43621791,BDW43DRAFT_104924,BDW43DRAFT_104924,-,-,Unknown,-,ubiquitin-related domain-containing protein,protein-coding,-,-,-,ubiquitin-related domain-containing protein,20210129,-
209559,43621792,BDW43DRAFT_104991,BDW43DRAFT_104991,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
209559,43621793,BDW43DRAFT_105071,BDW43DRAFT_105071,-,-,Unknown,-,adaptin N terminal region-domain-containing protein,protein-coding,-,-,-,adaptin N terminal region-domain-containing protein,20210306,-
209559,43621794,BDW43DRAFT_105079,BDW43DRAFT_105079,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210306,-
209559,43621795,BDW43DRAFT_105140,BDW43DRAFT_105140,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201217,-
209559,43621796,BDW43DRAFT_105278,BDW43DRAFT_105278,-,-,Unknown,-,kinesin motor domain-containing protein,protein-coding,-,-,-,kinesin motor domain-containing protein,20210306,-
209559,43621797,BDW43DRAFT_105319,BDW43DRAFT_105319,-,-,Unknown,-,kinase-like domain-containing protein,protein-coding,-,-,-,kinase-like domain-containing protein,20201217,-
209559,43621798,BDW43DRAFT_105322,BDW43DRAFT_105322,-,-,Unknown,-,IGR protein motif-domain-containing protein,protein-coding,-,-,-,IGR protein motif-domain-containing protein,20210306,-
209559,43621799,BDW43DRAFT_105434,BDW43DRAFT_105434,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200918,-
209559,43621800,BDW43DRAFT_10557,BDW43DRAFT_10557,-,-,Unknown,-,pyridoxal-dependent decarboxylase,protein-coding,-,-,-,pyridoxal-dependent decarboxylase,20201217,-
209559,43621801,BDW43DRAFT_105803,BDW43DRAFT_105803,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201217,-
209559,43621802,BDW43DRAFT_106113,BDW43DRAFT_106113,-,-,Unknown,-,HotDog domain-containing protein,protein-coding,-,-,-,HotDog domain-containing protein,20201217,-
209559,43621803,BDW43DRAFT_10615,BDW43DRAFT_10615,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
209559,43621804,BDW43DRAFT_106308,BDW43DRAFT_106308,-,-,Unknown,-,CCAAT-binding transcription factor (CBF-B/NF-YA) subunit B-domain-containing protein,protein-coding,-,-,-,CCAAT-binding transcription factor (CBF-B/NF-YA) subunit B-domain-containing protein,20210306,-
209559,43621805,BDW43DRAFT_106450,BDW43DRAFT_106450,-,-,Unknown,-,glycosyl hydrolase,protein-coding,-,-,-,glycosyl hydrolase,20201217,-
209559,43621806,BDW43DRAFT_10661,BDW43DRAFT_10661,-,-,Unknown,-,"Metalloenzyme, LuxS/M16 peptidase-like protein",protein-coding,-,-,-,"Metalloenzyme, LuxS/M16 peptidase-like protein",20201217,-
209559,43621807,BDW43DRAFT_106631,BDW43DRAFT_106631,-,-,Unknown,-,chromatin associated protein KTI12,protein-coding,-,-,-,chromatin associated protein KTI12,20210306,-
209559,43621808,BDW43DRAFT_10664,BDW43DRAFT_10664,-,-,Unknown,-,myosin-like coiled-coil protein-domain-containing protein,protein-coding,-,-,-,myosin-like coiled-coil protein-domain-containing protein,20210306,-
209559,43621809,BDW43DRAFT_106673,BDW43DRAFT_106673,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200918,-
209559,43621810,BDW43DRAFT_106674,BDW43DRAFT_106674,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200918,-
209559,43621811,BDW43DRAFT_106682,BDW43DRAFT_106682,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201217,-
209559,43621812,BDW43DRAFT_107058,BDW43DRAFT_107058,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200918,-
209559,43621813,BDW43DRAFT_10708,BDW43DRAFT_10708,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
209559,43621814,BDW43DRAFT_107089,BDW43DRAFT_107089,-,-,Unknown,-,NUDIX hydrolase domain-like protein,protein-coding,-,-,-,NUDIX hydrolase domain-like protein,20210306,-
209559,43621815,BDW43DRAFT_107178,BDW43DRAFT_107178,-,-,Unknown,-,thioredoxin-like protein,protein-coding,-,-,-,thioredoxin-like protein,20210306,-
209559,43621816,BDW43DRAFT_10728,BDW43DRAFT_10728,-,-,Unknown,-,glycoside hydrolase,protein-coding,-,-,-,glycoside hydrolase,20210306,-
209559,43621817,BDW43DRAFT_107295,BDW43DRAFT_107295,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200918,-
209559,43621818,BDW43DRAFT_107347,BDW43DRAFT_107347,-,-,Unknown,-,WLM domain-containing protein,protein-coding,-,-,-,WLM domain-containing protein,20210306,-
209559,43621819,BDW43DRAFT_107350,BDW43DRAFT_107350,-,-,Unknown,-,DASH complex subunit Ask1-domain-containing protein,protein-coding,-,-,-,DASH complex subunit Ask1-domain-containing protein,20210306,-
209559,43621820,BDW43DRAFT_107507,BDW43DRAFT_107507,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201217,-
209559,43621821,BDW43DRAFT_107517,BDW43DRAFT_107517,-,-,Unknown,-,"Thiolase, N-terminal domain-containing protein",protein-coding,-,-,-,"Thiolase, N-terminal domain-containing protein",20201217,-
209559,43621822,BDW43DRAFT_107619,BDW43DRAFT_107619,-,-,Unknown,-,clasp N terminal-domain-containing protein,protein-coding,-,-,-,clasp N terminal-domain-containing protein,20210306,-
209559,43621823,BDW43DRAFT_107639,BDW43DRAFT_107639,-,-,Unknown,-,BSP-domain-containing protein,protein-coding,-,-,-,BSP-domain-containing protein,20210306,-
209559,43621824,BDW43DRAFT_107646,BDW43DRAFT_107646,-,-,Unknown,-,ribonuclease III domain-containing protein,protein-coding,-,-,-,ribonuclease III domain-containing protein,20201217,-
209559,43621825,BDW43DRAFT_107704,BDW43DRAFT_107704,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200918,-
209559,43621826,BDW43DRAFT_107713,BDW43DRAFT_107713,-,-,Unknown,-,exocyst complex component Sec5-domain-containing protein,protein-coding,-,-,-,exocyst complex component Sec5-domain-containing protein,20210306,-
209559,43621827,BDW43DRAFT_107837,BDW43DRAFT_107837,-,-,Unknown,-,major facilitator superfamily domain-containing protein,protein-coding,-,-,-,major facilitator superfamily domain-containing protein,20201217,-
209559,43621828,BDW43DRAFT_108016,BDW43DRAFT_108016,-,-,Unknown,-,cora family metal ion transporter,protein-coding,-,-,-,cora family metal ion transporter,20201217,-
209559,43621829,BDW43DRAFT_108142,BDW43DRAFT_108142,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200918,-
209559,43621830,BDW43DRAFT_108225,BDW43DRAFT_108225,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200918,-
209559,43621831,BDW43DRAFT_108259,BDW43DRAFT_108259,-,-,Unknown,-,multidrug resistance-associated protein,protein-coding,-,-,-,multidrug resistance-associated protein,20201217,-
209559,43621832,BDW43DRAFT_10832,BDW43DRAFT_10832,-,-,Unknown,-,tRNA synthetases class I (M)-domain-containing protein,protein-coding,-,-,-,tRNA synthetases class I (M)-domain-containing protein,20201217,-
209559,43621833,BDW43DRAFT_108359,BDW43DRAFT_108359,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200918,-
209559,43621834,BDW43DRAFT_108368,BDW43DRAFT_108368,-,-,Unknown,-,amino acid/polyamine transporter I,protein-coding,-,-,-,amino acid/polyamine transporter I,20201217,-
209559,43621835,BDW43DRAFT_10841,BDW43DRAFT_10841,-,-,Unknown,-,tryptophan synthase beta subunit-like PLP-dependent enzyme,protein-coding,-,-,-,tryptophan synthase beta subunit-like PLP-dependent enzyme,20201217,-
209559,43621836,BDW43DRAFT_108436,BDW43DRAFT_108436,-,-,Unknown,-,heterokaryon incompatibility protein-domain-containing protein,protein-coding,-,-,-,heterokaryon incompatibility protein-domain-containing protein,20201217,-
209559,43621837,BDW43DRAFT_10848,BDW43DRAFT_10848,-,-,Unknown,-,Zn(II)2Cys6 transcription factor,protein-coding,-,-,-,Zn(II)2Cys6 transcription factor,20210306,-
209559,43621838,BDW43DRAFT_10849,BDW43DRAFT_10849,-,-,Unknown,-,ribosomal protein S5 domain 2-type protein,protein-coding,-,-,-,ribosomal protein S5 domain 2-type protein,20210306,-
209559,43621839,BDW43DRAFT_1085,BDW43DRAFT_1085,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
209559,43621840,BDW43DRAFT_108628,BDW43DRAFT_108628,-,-,Unknown,-,Mre11 DNA-binding presumed domain-containing protein,protein-coding,-,-,-,Mre11 DNA-binding presumed domain-containing protein,20210306,-
209559,43621841,BDW43DRAFT_108632,BDW43DRAFT_108632,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210306,-
209559,43621842,BDW43DRAFT_108645,BDW43DRAFT_108645,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200918,-
209559,43621843,BDW43DRAFT_108675,BDW43DRAFT_108675,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200918,-
209559,43621844,BDW43DRAFT_108700,BDW43DRAFT_108700,-,-,Unknown,-,Alpha/Beta hydrolase protein,protein-coding,-,-,-,Alpha/Beta hydrolase protein,20210306,-
209559,43621845,BDW43DRAFT_108708,BDW43DRAFT_108708,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200918,-
209559,43621846,BDW43DRAFT_108839,BDW43DRAFT_108839,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200918,-
209559,43621847,BDW43DRAFT_108844,BDW43DRAFT_108844,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210306,-
209559,43621848,BDW43DRAFT_108888,BDW43DRAFT_108888,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201217,-
209559,43621849,BDW43DRAFT_108913,BDW43DRAFT_108913,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210306,-
209559,43621850,BDW43DRAFT_108957,BDW43DRAFT_108957,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210306,-
209559,43621851,BDW43DRAFT_108986,BDW43DRAFT_108986,-,-,Unknown,-,AEX-3 domain protein,protein-coding,-,-,-,AEX-3 domain protein,20210306,-
209559,43621852,BDW43DRAFT_109051,BDW43DRAFT_109051,-,-,Unknown,-,general substrate transporter,protein-coding,-,-,-,general substrate transporter,20210306,-
209559,43621853,BDW43DRAFT_10907,BDW43DRAFT_10907,-,-,Unknown,-,transmembrane amino acid transporter protein-domain-containing protein,protein-coding,-,-,-,transmembrane amino acid transporter protein-domain-containing protein,20201217,-
209559,43621854,BDW43DRAFT_109104,BDW43DRAFT_109104,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200918,-
