#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1327952,15957104,M695_gp02,M695_gp02,Leo_002,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1327952,15957146,M695_gp44,M695_gp44,Leo_0044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957147,M695_gp45,M695_gp45,Leo_0045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957148,M695_gp46,M695_gp46,Leo_0046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957149,M695_gp47,M695_gp47,Leo_0047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957150,M695_gp48,M695_gp48,Leo_0048,-,-,-,RuvC,protein-coding,-,-,-,RuvC,20201221,-
1327952,15957151,M695_gp49,M695_gp49,Leo_0049,-,-,-,RuvC,protein-coding,-,-,-,RuvC,20201221,-
1327952,15957152,M695_gp50,M695_gp50,Leo_0050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957153,M695_gp51,M695_gp51,Leo_0051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957154,M695_gp52,M695_gp52,Leo_0052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957155,M695_gp53,M695_gp53,Leo_0053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957156,M695_gp54,M695_gp54,Leo_0054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957157,M695_gp55,M695_gp55,Leo_0055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957158,M695_gp56,M695_gp56,Leo_0056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1327952,15957159,M695_gp57,M695_gp57,Leo_0057,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1327952,15957160,M695_gp58,M695_gp58,Leo_0058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1327952,15957161,M695_gp59,M695_gp59,Leo_0059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957162,M695_gp01,M695_gp01,Leo_001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,16216388,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
