#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2708630,60326396,2,I5H17_gp002,SEA_BODEINWOHNER17_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2708630,60326443,49,I5H17_gp049,SEA_BODEINWOHNER17_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326444,50,I5H17_gp050,SEA_BODEINWOHNER17_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2708630,60326445,51,I5H17_gp051,SEA_BODEINWOHNER17_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326446,52,I5H17_gp052,SEA_BODEINWOHNER17_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2708630,60326447,53,I5H17_gp053,SEA_BODEINWOHNER17_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326448,54,I5H17_gp054,SEA_BODEINWOHNER17_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326449,55,I5H17_gp055,SEA_BODEINWOHNER17_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326450,56,I5H17_gp056,SEA_BODEINWOHNER17_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2708630,60326451,57,I5H17_gp057,SEA_BODEINWOHNER17_57,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210403,-
2708630,60326452,58,I5H17_gp058,SEA_BODEINWOHNER17_58,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20201217,-
2708630,60326453,59,I5H17_gp059,SEA_BODEINWOHNER17_59,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210403,-
2708630,60326454,60,I5H17_gp060,SEA_BODEINWOHNER17_60,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210212,-
2708630,60326455,61,I5H17_gp061,SEA_BODEINWOHNER17_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326456,62,I5H17_gp062,SEA_BODEINWOHNER17_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326457,63,I5H17_gp063,SEA_BODEINWOHNER17_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326458,64,I5H17_gp064,SEA_BODEINWOHNER17_64,-,-,-,RecA-like DNA recombinase,protein-coding,-,-,-,RecA-like DNA recombinase,20210212,-
2708630,60326459,65,I5H17_gp065,SEA_BODEINWOHNER17_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326460,66,I5H17_gp066,SEA_BODEINWOHNER17_66,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210327,-
2708630,60326461,67,I5H17_gp067,SEA_BODEINWOHNER17_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326462,68,I5H17_gp068,SEA_BODEINWOHNER17_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326463,69,I5H17_gp069,SEA_BODEINWOHNER17_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326464,70,I5H17_gp070,SEA_BODEINWOHNER17_70,-,-,-,DNA helicase/DNA methylase,protein-coding,-,-,-,DNA helicase/DNA methylase,20210320,-
2708630,60326465,71,I5H17_gp071,SEA_BODEINWOHNER17_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326466,73,I5H17_gp073,SEA_BODEINWOHNER17_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326467,74,I5H17_gp074,SEA_BODEINWOHNER17_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326468,75,I5H17_gp075,SEA_BODEINWOHNER17_75,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210320,-
2708630,60326469,76,I5H17_gp076,SEA_BODEINWOHNER17_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326470,77,I5H17_gp077,SEA_BODEINWOHNER17_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326471,78,I5H17_gp078,SEA_BODEINWOHNER17_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326472,79,I5H17_gp079,SEA_BODEINWOHNER17_79,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2708630,60326473,80,I5H17_gp080,SEA_BODEINWOHNER17_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326474,81,I5H17_gp081,SEA_BODEINWOHNER17_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326475,82,I5H17_gp082,SEA_BODEINWOHNER17_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326476,83,I5H17_gp083,SEA_BODEINWOHNER17_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326477,84,I5H17_gp084,SEA_BODEINWOHNER17_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326478,85,I5H17_gp085,SEA_BODEINWOHNER17_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326479,86,I5H17_gp086,SEA_BODEINWOHNER17_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326480,87,I5H17_gp087,SEA_BODEINWOHNER17_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326481,88,I5H17_gp088,SEA_BODEINWOHNER17_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326482,89,I5H17_gp089,SEA_BODEINWOHNER17_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326483,90,I5H17_gp090,SEA_BODEINWOHNER17_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326484,91,I5H17_gp091,SEA_BODEINWOHNER17_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326485,92,I5H17_gp092,SEA_BODEINWOHNER17_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326486,93,I5H17_gp093,SEA_BODEINWOHNER17_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326487,94,I5H17_gp094,SEA_BODEINWOHNER17_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326488,95,I5H17_gp095,SEA_BODEINWOHNER17_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326489,96,I5H17_gp096,SEA_BODEINWOHNER17_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326490,97,I5H17_gp097,SEA_BODEINWOHNER17_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326491,98,I5H17_gp098,SEA_BODEINWOHNER17_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326492,101,I5H17_gp101,SEA_BODEINWOHNER17_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326493,102,I5H17_gp102,SEA_BODEINWOHNER17_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326494,103,I5H17_gp103,SEA_BODEINWOHNER17_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326495,104,I5H17_gp104,SEA_BODEINWOHNER17_104,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,20210129,-
2708630,60326496,105,I5H17_gp105,SEA_BODEINWOHNER17_105,-,-,-,ribbon-helix-helix DNA binding domain protein,protein-coding,-,-,-,ribbon-helix-helix DNA binding domain protein,20210123,-
2708630,60326497,106,I5H17_gp106,SEA_BODEINWOHNER17_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326498,107,I5H17_gp107,SEA_BODEINWOHNER17_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326499,108,I5H17_gp108,SEA_BODEINWOHNER17_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326500,109,I5H17_gp109,SEA_BODEINWOHNER17_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326501,110,I5H17_gp110,SEA_BODEINWOHNER17_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326502,111,I5H17_gp111,SEA_BODEINWOHNER17_111,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210320,-
2708630,60326503,112,I5H17_gp112,SEA_BODEINWOHNER17_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326504,113,I5H17_gp113,SEA_BODEINWOHNER17_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326505,114,I5H17_gp114,SEA_BODEINWOHNER17_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326506,115,I5H17_gp115,SEA_BODEINWOHNER17_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2708630,60326507,116,I5H17_gp116,SEA_BODEINWOHNER17_116,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210212,-
2708630,60326508,72,I5H17_gp072,SEA_BODEINWOHNER17_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2708630,60326509,99,I5H17_gp099,SEA_BODEINWOHNER17_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326510,100,I5H17_gp100,SEA_BODEINWOHNER17_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326511,1,I5H17_gp001,SEA_BODEINWOHNER17_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2708630,60338829,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
