#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2545435,55012381,HOV28_gp02,HOV28_gp02,-,-,-,-,endonuclease holin,protein-coding,-,-,-,endonuclease holin,20210403,-
2545435,55012400,HOV28_gp21,HOV28_gp21,-,-,-,-,membrane-bound lytic murein transglycosylase D precursor,protein-coding,-,-,-,membrane-bound lytic murein transglycosylase D precursor,20210403,-
2545435,55012401,HOV28_gp22,HOV28_gp22,-,-,-,-,photosystem II protein D1,protein-coding,-,-,-,photosystem II protein D1,20210403,-
2545435,55012402,HOV28_gp23,HOV28_gp23,-,-,-,-,ribonucleotide reductase A subunit,protein-coding,-,-,-,ribonucleotide reductase A subunit,20201222,-
2545435,55012403,HOV28_gp24,HOV28_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2545435,55012404,HOV28_gp25,HOV28_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2545435,55012405,HOV28_gp26,HOV28_gp26,-,-,-,-,high light-inducible protein,protein-coding,-,-,-,high light-inducible protein,20210403,-
2545435,55012406,HOV28_gp27,HOV28_gp27,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210403,-
2545435,55012407,HOV28_gp28,HOV28_gp28,-,-,-,-,head-to-tail joining protein,protein-coding,-,-,-,head-to-tail joining protein,20210403,-
2545435,55012408,HOV28_gp29,HOV28_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2545435,55012409,HOV28_gp30,HOV28_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2545435,55012410,HOV28_gp31,HOV28_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2545435,55012411,HOV28_gp32,HOV28_gp32,-,-,-,-,periplasmic thiol:disulfide oxidoreductase,protein-coding,-,-,-,periplasmic thiol:disulfide oxidoreductase,20201222,-
2545435,55012412,HOV28_gp33,HOV28_gp33,-,-,-,-,ribonucleotide reductase of class II,protein-coding,-,-,-,ribonucleotide reductase of class II,20210403,-
2545435,55012413,HOV28_gp34,HOV28_gp34,-,-,-,-,putative secreted protein,protein-coding,-,-,-,putative secreted protein,20210403,-
2545435,55012414,HOV28_gp35,HOV28_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2545435,55012415,HOV28_gp36,HOV28_gp36,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210403,-
2545435,55012416,HOV28_gp37,HOV28_gp37,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210403,-
2545435,55012417,HOV28_gp38,HOV28_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2545435,55012418,HOV28_gp39,HOV28_gp39,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210403,-
2545435,55012419,HOV28_gp40,HOV28_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2545435,55012420,HOV28_gp41,HOV28_gp41,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210403,-
2545435,55012421,HOV28_gp42,HOV28_gp42,-,-,-,-,single stranded DNA-binding protein,protein-coding,-,-,-,single stranded DNA-binding protein,20201222,-
2545435,55012422,HOV28_gp43,HOV28_gp43,-,-,-,-,DNA-directed RNA polymerase,protein-coding,-,-,-,DNA-directed RNA polymerase,20210403,-
2545435,55012423,HOV28_gp44,HOV28_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2545435,55012424,HOV28_gp45,HOV28_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2545435,55012425,HOV28_gp46,HOV28_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2545435,55012426,HOV28_gp47,HOV28_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2545435,55012427,HOV28_gp48,HOV28_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2545435,55012428,HOV28_gp49,HOV28_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2545435,55012429,HOV28_gp50,HOV28_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2545435,55012430,HOV28_gp51,HOV28_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2545435,55012431,HOV28_gp52,HOV28_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2545435,55012432,HOV28_gp53,HOV28_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2545435,55012433,HOV28_gp54,HOV28_gp54,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210403,-
2545435,55012434,HOV28_gp55,HOV28_gp55,-,-,-,-,DNA packaging protein,protein-coding,-,-,-,DNA packaging protein,20210403,-
2545435,55012435,HOV28_gp01,HOV28_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2545435,55154362,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200629,-
