#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2653756,60328714,2,I5H39_gp002,SEA_FLATHEAD_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2653756,60328725,14,I5H39_gp013,SEA_FLATHEAD_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2653756,60328726,15,I5H39_gp015,SEA_FLATHEAD_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201202,-
2653756,60328727,13,I5H39_gp014,SEA_FLATHEAD_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2653756,60328728,16,I5H39_gp016,SEA_FLATHEAD_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2653756,60328729,17,I5H39_gp017,SEA_FLATHEAD_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2653756,60328730,18,I5H39_gp018,SEA_FLATHEAD_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328731,19,I5H39_gp019,SEA_FLATHEAD_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2653756,60328732,20,I5H39_gp020,SEA_FLATHEAD_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2653756,60328733,21,I5H39_gp021,SEA_FLATHEAD_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2653756,60328734,22,I5H39_gp022,SEA_FLATHEAD_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328735,23,I5H39_gp023,SEA_FLATHEAD_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328736,24,I5H39_gp024,SEA_FLATHEAD_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328737,25,I5H39_gp025,SEA_FLATHEAD_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328738,26,I5H39_gp026,SEA_FLATHEAD_26,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201203,-
2653756,60328739,27,I5H39_gp027,SEA_FLATHEAD_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328740,28,I5H39_gp028,SEA_FLATHEAD_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328741,29,I5H39_gp029,SEA_FLATHEAD_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328742,30,I5H39_gp030,SEA_FLATHEAD_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201202,-
2653756,60328743,31,I5H39_gp031,SEA_FLATHEAD_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2653756,60328744,32,I5H39_gp032,SEA_FLATHEAD_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2653756,60328745,33,I5H39_gp033,SEA_FLATHEAD_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2653756,60328746,34,I5H39_gp034,SEA_FLATHEAD_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328747,35,I5H39_gp035,SEA_FLATHEAD_35,-,-,-,DnaQ-like DNA polymerase III subunit,protein-coding,-,-,-,DnaQ-like DNA polymerase III subunit,20201129,-
2653756,60328748,36,I5H39_gp036,SEA_FLATHEAD_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328749,37,I5H39_gp037,SEA_FLATHEAD_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328750,38,I5H39_gp038,SEA_FLATHEAD_38,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2653756,60328751,39,I5H39_gp039,SEA_FLATHEAD_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328752,40,I5H39_gp040,SEA_FLATHEAD_40,-,-,-,HicB-like antitoxin,protein-coding,-,-,-,HicB-like antitoxin,20201129,-
2653756,60328753,41,I5H39_gp041,SEA_FLATHEAD_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328754,42,I5H39_gp042,SEA_FLATHEAD_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328755,45,I5H39_gp045,SEA_FLATHEAD_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328756,46,I5H39_gp046,SEA_FLATHEAD_46,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
2653756,60328757,47,I5H39_gp047,SEA_FLATHEAD_47,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20201202,-
2653756,60328758,48,I5H39_gp048,SEA_FLATHEAD_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328759,49,I5H39_gp049,SEA_FLATHEAD_49,-,-,-,excise,protein-coding,-,-,-,excise,20201129,-
2653756,60328760,50,I5H39_gp050,SEA_FLATHEAD_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2653756,60328761,51,I5H39_gp051,SEA_FLATHEAD_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328762,52,I5H39_gp052,SEA_FLATHEAD_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328763,53,I5H39_gp053,SEA_FLATHEAD_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328764,54,I5H39_gp054,SEA_FLATHEAD_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328765,55,I5H39_gp055,SEA_FLATHEAD_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328766,56,I5H39_gp056,SEA_FLATHEAD_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328767,57,I5H39_gp057,SEA_FLATHEAD_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2653756,60328768,58,I5H39_gp058,SEA_FLATHEAD_58,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2653756,60328769,59,I5H39_gp059,SEA_FLATHEAD_59,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2653756,60328770,60,I5H39_gp060,SEA_FLATHEAD_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2653756,60328771,61,I5H39_gp061,SEA_FLATHEAD_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328772,62,I5H39_gp062,SEA_FLATHEAD_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328773,63,I5H39_gp063,SEA_FLATHEAD_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328774,64,I5H39_gp064,SEA_FLATHEAD_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
2653756,60328775,65,I5H39_gp065,SEA_FLATHEAD_65,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20201217,-
2653756,60328776,66,I5H39_gp066,SEA_FLATHEAD_66,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201202,-
2653756,60328777,69,I5H39_gp069,SEA_FLATHEAD_69,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201202,-
2653756,60328778,70,I5H39_gp070,SEA_FLATHEAD_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328779,71,I5H39_gp071,SEA_FLATHEAD_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2653756,60328780,72,I5H39_gp072,SEA_FLATHEAD_72,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2653756,60328781,73,I5H39_gp073,SEA_FLATHEAD_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328782,74,I5H39_gp074,SEA_FLATHEAD_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328783,75,I5H39_gp075,SEA_FLATHEAD_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328784,76,I5H39_gp076,SEA_FLATHEAD_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328785,77,I5H39_gp077,SEA_FLATHEAD_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328786,78,I5H39_gp078,SEA_FLATHEAD_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328787,79,I5H39_gp079,SEA_FLATHEAD_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328788,80,I5H39_gp080,SEA_FLATHEAD_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328789,81,I5H39_gp081,SEA_FLATHEAD_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328790,82,I5H39_gp082,SEA_FLATHEAD_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328791,83,I5H39_gp083,SEA_FLATHEAD_83,-,-,-,MPME1-like protein,protein-coding,-,-,-,MPME1-like protein,20201129,-
2653756,60328792,84,I5H39_gp084,SEA_FLATHEAD_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328793,85,I5H39_gp085,SEA_FLATHEAD_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328794,86,I5H39_gp086,SEA_FLATHEAD_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328795,87,I5H39_gp087,SEA_FLATHEAD_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328796,88,I5H39_gp088,SEA_FLATHEAD_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328797,90,I5H39_gp090,SEA_FLATHEAD_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328798,91,I5H39_gp091,SEA_FLATHEAD_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328799,92,I5H39_gp092,SEA_FLATHEAD_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328800,93,I5H39_gp093,SEA_FLATHEAD_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328801,94,I5H39_gp094,SEA_FLATHEAD_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328802,95,I5H39_gp095,SEA_FLATHEAD_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328803,97,I5H39_gp097,SEA_FLATHEAD_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328804,98,I5H39_gp098,SEA_FLATHEAD_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328805,99,I5H39_gp099,SEA_FLATHEAD_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328806,100,I5H39_gp100,SEA_FLATHEAD_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328807,101,I5H39_gp101,SEA_FLATHEAD_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328808,102,I5H39_gp102,SEA_FLATHEAD_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328809,103,I5H39_gp103,SEA_FLATHEAD_103,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201202,-
2653756,60328810,104,I5H39_gp104,SEA_FLATHEAD_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328811,105,I5H39_gp105,SEA_FLATHEAD_105,-,-,-,serine/threonine kinase,protein-coding,-,-,-,serine/threonine kinase,20210306,-
2653756,60328812,106,I5H39_gp106,SEA_FLATHEAD_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328813,107,I5H39_gp107,SEA_FLATHEAD_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328814,108,I5H39_gp108,SEA_FLATHEAD_108,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201202,-
2653756,60328815,44,I5H39_gp044,SEA_FLATHEAD_44,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210424,-
2653756,60328816,43,I5H39_gp043,SEA_FLATHEAD_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328817,67,I5H39_gp067,SEA_FLATHEAD_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2653756,60328818,68,I5H39_gp068,SEA_FLATHEAD_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328819,89,I5H39_gp089,SEA_FLATHEAD_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653756,60328820,96,I5H39_gp096,SEA_FLATHEAD_96,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210406,-
2653756,60328821,1,I5H39_gp001,SEA_FLATHEAD_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210327,-
2653756,60338795,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
