#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
881953,10358820,LaPh949_gp001,LaPh949_gp001,-,-,-,-,putative integrase-recombinase,protein-coding,-,-,-,putative integrase-recombinase,20200909,-
881953,10358841,LaPh949_gp016,LaPh949_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358842,LaPh949_gp017,LaPh949_gp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358843,LaPh949_gp018,LaPh949_gp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358844,LaPh949_gp019,LaPh949_gp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358845,LaPh949_gp020,LaPh949_gp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358846,LaPh949_gp021,LaPh949_gp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358847,LaPh949_gp022,LaPh949_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358848,LaPh949_gp023,LaPh949_gp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358849,LaPh949_gp024,LaPh949_gp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358850,LaPh949_gp025,LaPh949_gp025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358851,LaPh949_gp026,LaPh949_gp026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358852,LaPh949_gp027,LaPh949_gp027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358853,LaPh949_gp028,LaPh949_gp028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358854,LaPh949_gp029,LaPh949_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358855,LaPh949_gp030,LaPh949_gp030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358856,LaPh949_gp031,LaPh949_gp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358857,LaPh949_gp032,LaPh949_gp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358858,LaPh949_gp033,LaPh949_gp033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358859,LaPh949_gp034,LaPh949_gp034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358860,LaPh949_gp035,LaPh949_gp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358861,LaPh949_gp036,LaPh949_gp036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358862,LaPh949_gp037,LaPh949_gp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358863,LaPh949_gp038,LaPh949_gp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358864,LaPh949_gp039,LaPh949_gp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358865,LaPh949_gp040,LaPh949_gp040,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20200909,-
881953,10358866,LaPh949_gp041,LaPh949_gp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358867,LaPh949_gp042,LaPh949_gp042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358868,LaPh949_gp043,LaPh949_gp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358869,LaPh949_gp044,LaPh949_gp044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358870,LaPh949_gp045,LaPh949_gp045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358871,LaPh949_gp046,LaPh949_gp046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358872,LaPh949_gp047,LaPh949_gp047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358873,LaPh949_gp048,LaPh949_gp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358874,LaPh949_gp049,LaPh949_gp049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358875,LaPh949_gp050,LaPh949_gp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358876,LaPh949_gp051,LaPh949_gp051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358877,LaPh949_gp052,LaPh949_gp052,-,-,-,-,putative nucleotidase,protein-coding,-,-,-,putative nucleotidase,20200909,-
881953,10358878,LaPh949_gp053,LaPh949_gp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358879,LaPh949_gp054,LaPh949_gp054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358880,LaPh949_gp055,LaPh949_gp055,-,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20200909,-
881953,10358881,LaPh949_gp056,LaPh949_gp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358882,LaPh949_gp057,LaPh949_gp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358883,LaPh949_gp058,LaPh949_gp058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358884,LaPh949_gp059,LaPh949_gp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358885,LaPh949_gp060,LaPh949_gp060,-,-,-,-,putative replicative DNA helicase,protein-coding,-,-,-,putative replicative DNA helicase,20200909,-
881953,10358886,LaPh949_gp061,LaPh949_gp061,-,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20200909,-
881953,10358887,LaPh949_gp062,LaPh949_gp062,-,-,-,-,putative single-stranded DNA exonuclease,protein-coding,-,-,-,putative single-stranded DNA exonuclease,20200909,-
881953,10358888,LaPh949_gp063,LaPh949_gp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358889,LaPh949_gp064,LaPh949_gp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358890,LaPh949_gp065,LaPh949_gp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358891,LaPh949_gp066,LaPh949_gp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358892,LaPh949_gp067,LaPh949_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358893,LaPh949_gp068,LaPh949_gp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358894,LaPh949_gp069,LaPh949_gp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358895,LaPh949_gp070,LaPh949_gp070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358896,LaPh949_gp071,LaPh949_gp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358897,LaPh949_gp072,LaPh949_gp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358898,LaPh949_gp073,LaPh949_gp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358899,LaPh949_gp074,LaPh949_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358900,LaPh949_gp075,LaPh949_gp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358901,LaPh949_gp076,LaPh949_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358902,LaPh949_gp077,LaPh949_gp077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358903,LaPh949_gp078,LaPh949_gp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358904,LaPh949_gp079,LaPh949_gp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358905,LaPh949_gp080,LaPh949_gp080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358906,LaPh949_gp081,LaPh949_gp081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358907,LaPh949_gp082,LaPh949_gp082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358908,LaPh949_gt001,LaPh949_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
881953,10358909,LaPh949_gp084,LaPh949_gp084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358910,LaPh949_gp085,LaPh949_gp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358911,LaPh949_gp086,LaPh949_gp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358912,LaPh949_gp087,LaPh949_gp087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358913,LaPh949_gt002,LaPh949_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
881953,10358914,LaPh949_gt003,LaPh949_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
881953,10358915,LaPh949_gt005,LaPh949_gt005,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
881953,10358916,LaPh949_gp091,LaPh949_gp091,-,-,-,-,putative transposase,protein-coding,-,-,-,putative transposase,20200909,-
881953,10358917,LaPh949_gp092,LaPh949_gp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358918,LaPh949_gp093,LaPh949_gp093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358919,LaPh949_gp094,LaPh949_gp094,-,-,-,-,putative DNA gyrase subunit B-topoisomerase,protein-coding,-,-,-,putative DNA gyrase subunit B-topoisomerase,20200909,-
881953,10358920,LaPh949_gp095,LaPh949_gp095,-,-,-,-,putative DNA gyrase subunit A-topoisomerase,protein-coding,-,-,-,putative DNA gyrase subunit A-topoisomerase,20200909,-
881953,10358921,LaPh949_gp096,LaPh949_gp096,-,-,-,-,putative adenine methyltransferase,protein-coding,-,-,-,putative adenine methyltransferase,20200909,-
881953,10358922,LaPh949_gp097,LaPh949_gp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358923,LaPh949_gp098,LaPh949_gp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358924,LaPh949_gp099,LaPh949_gp099,-,-,-,-,putative nucleoside-2-deoxyribosyltransferase,protein-coding,-,-,-,putative nucleoside-2-deoxyribosyltransferase,20200909,-
881953,10358925,LaPh949_gp100,LaPh949_gp100,-,-,-,-,putative nicotinamide mononucleotide transporter,protein-coding,-,-,-,putative nicotinamide mononucleotide transporter,20200909,-
881953,10358926,LaPh949_gp101,LaPh949_gp101,-,-,-,-,putative anaerobic ribonucleoside triphosphate reductase,protein-coding,-,-,-,putative anaerobic ribonucleoside triphosphate reductase,20200909,-
881953,10358927,LaPh949_gp102,LaPh949_gp102,-,-,-,-,putative anaerobic ribonucleoside reductase large subunit,protein-coding,-,-,-,putative anaerobic ribonucleoside reductase large subunit,20200909,-
881953,10358928,LaPh949_gp103,LaPh949_gp103,-,-,-,-,putative ribonucleoside triphosphate reductase activator small subunit,protein-coding,-,-,-,putative ribonucleoside triphosphate reductase activator small subunit,20200909,-
881953,10358929,LaPh949_gp104,LaPh949_gp104,-,-,-,-,hypothetical group I intron protein,protein-coding,-,-,-,hypothetical group I intron protein,20200909,-
881953,10358930,LaPh949_gp105,LaPh949_gp105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358931,LaPh949_gp106,LaPh949_gp106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358932,LaPh949_gp107,LaPh949_gp107,-,-,-,-,putative ribonucleotide diphosphate reductase glutaredoxin subunit,protein-coding,-,-,-,putative ribonucleotide diphosphate reductase glutaredoxin subunit,20200909,-
881953,10358933,LaPh949_gp108,LaPh949_gp108,-,-,-,-,putative ribonucleotide reductase stimulatory protein,protein-coding,-,-,-,putative ribonucleotide reductase stimulatory protein,20200909,-
881953,10358934,LaPh949_gp109,LaPh949_gp109,-,-,-,-,putative ribonucleotide diphosphate reductase alpha subunit,protein-coding,-,-,-,putative ribonucleotide diphosphate reductase alpha subunit,20200909,-
881953,10358935,LaPh949_gp110,LaPh949_gp110,-,-,-,-,putative guanylate kinase,protein-coding,-,-,-,putative guanylate kinase,20200909,-
881953,10358936,LaPh949_gp111,LaPh949_gp111,-,-,-,-,putative deoxyuridine 5'-triphosphate nucleotidohydrolase,protein-coding,-,-,-,putative deoxyuridine 5'-triphosphate nucleotidohydrolase,20200909,-
881953,10358937,LaPh949_gp112,LaPh949_gp112,-,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20200909,-
881953,10358938,LaPh949_gp113,LaPh949_gp113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358939,LaPh949_gp114,LaPh949_gp114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358940,LaPh949_gp115,LaPh949_gp115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358941,LaPh949_gp116,LaPh949_gp116,-,-,-,-,putative DNA polymerase III alpha subunit,protein-coding,-,-,-,putative DNA polymerase III alpha subunit,20200909,-
881953,10358942,LaPh949_gp117,LaPh949_gp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358943,LaPh949_gp118,LaPh949_gp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358944,LaPh949_gp119,LaPh949_gp119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358945,LaPh949_gp120,LaPh949_gp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358946,LaPh949_gp121,LaPh949_gp121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358947,LaPh949_gp122,LaPh949_gp122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358948,LaPh949_gp123,LaPh949_gp123,-,-,-,-,putative Holliday junction resolvase,protein-coding,-,-,-,putative Holliday junction resolvase,20200909,-
881953,10358949,LaPh949_gp124,LaPh949_gp124,-,-,-,-,putative phage holin,protein-coding,-,-,-,putative phage holin,20200909,-
881953,10358950,LaPh949_gp125,LaPh949_gp125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358951,LaPh949_gp126,LaPh949_gp126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358952,LaPh949_gp127,LaPh949_gp127,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200909,-
881953,10358953,LaPh949_gp128,LaPh949_gp128,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200909,-
881953,10358954,LaPh949_gp129,LaPh949_gp129,-,-,-,-,putative phage tail component,protein-coding,-,-,-,putative phage tail component,20200909,-
881953,10358955,LaPh949_gp130,LaPh949_gp130,-,-,-,-,putative tail tape measure protein,protein-coding,-,-,-,putative tail tape measure protein,20200909,-
881953,10358956,LaPh949_gp131,LaPh949_gp131,-,-,-,-,putative site specific recombinase,protein-coding,-,-,-,putative site specific recombinase,20200909,-
881953,10358957,LaPh949_gp132,LaPh949_gp132,-,-,-,-,putative phage structural protein,protein-coding,-,-,-,putative phage structural protein,20200909,-
881953,10358958,LaPh949_gp133,LaPh949_gp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358959,LaPh949_gp134,LaPh949_gp134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358960,LaPh949_gp135,LaPh949_gp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358961,LaPh949_gp136,LaPh949_gp136,-,-,-,-,putative phage structural protein,protein-coding,-,-,-,putative phage structural protein,20200909,-
881953,10358962,LaPh949_gp137,LaPh949_gp137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358963,LaPh949_gp138,LaPh949_gp138,-,-,-,-,putative phage structural protein,protein-coding,-,-,-,putative phage structural protein,20200909,-
881953,10358964,LaPh949_gp139,LaPh949_gp139,-,-,-,-,putative phage structural protein,protein-coding,-,-,-,putative phage structural protein,20200909,-
881953,10358965,LaPh949_gp140,LaPh949_gp140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358966,LaPh949_gp141,LaPh949_gp141,-,-,-,-,putative phage structural protein,protein-coding,-,-,-,putative phage structural protein,20200909,-
881953,10358967,LaPh949_gp142,LaPh949_gp142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358968,LaPh949_gp143,LaPh949_gp143,-,-,-,-,putative phage structural protein,protein-coding,-,-,-,putative phage structural protein,20200909,-
881953,10358969,LaPh949_gp144,LaPh949_gp144,-,-,-,-,putative phage structural protein,protein-coding,-,-,-,putative phage structural protein,20200909,-
881953,10358970,LaPh949_gp145,LaPh949_gp145,-,-,-,-,putative phage structural protein,protein-coding,-,-,-,putative phage structural protein,20200909,-
881953,10358971,LaPh949_gp146,LaPh949_gp146,-,-,-,-,putative phage structural protein,protein-coding,-,-,-,putative phage structural protein,20200909,-
881953,10358972,LaPh949_gp147,LaPh949_gp147,-,-,-,-,putative terminase ATPase subunit,protein-coding,-,-,-,putative terminase ATPase subunit,20200909,-
881953,10358973,LaPh949_gp148,LaPh949_gp148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358974,LaPh949_gp149,LaPh949_gp149,-,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20200909,-
881953,10358975,LaPh949_gp150,LaPh949_gp150,-,-,-,-,putative phosphate starvation-inducible protein PhoH/ATPase,protein-coding,-,-,-,putative phosphate starvation-inducible protein PhoH/ATPase,20200909,-
881953,10358976,LaPh949_gp151,LaPh949_gp151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358977,LaPh949_gp152,LaPh949_gp152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358978,LaPh949_gp153,LaPh949_gp153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358979,LaPh949_gp154,LaPh949_gp154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10415118,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Lactococcus lactis phage 949).,other,-,-,-,-,20200513,-
