#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1654717,65066632,KMC40_gp179,KMC40_gp179,-,-,-,-,queuosine biosynthesis QueD,protein-coding,-,-,-,queuosine biosynthesis QueD,20210607,-
1654717,65066648,KMC40_gt004,KMC40_gt004,-,-,-,-,tRNA-Pseudo,tRNA,-,-,-,-,20210607,-
1654717,65066649,KMC40_gp202,KMC40_gp202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066650,KMC40_gt007,KMC40_gt007,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
1654717,65066651,KMC40_gt008,KMC40_gt008,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
1654717,65066652,KMC40_gt009,KMC40_gt009,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
1654717,65066653,KMC40_gt010,KMC40_gt010,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
1654717,65066654,KMC40_gt011,KMC40_gt011,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
1654717,65066655,KMC40_gp201,KMC40_gp201,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066656,KMC40_gt013,KMC40_gt013,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
1654717,65066657,KMC40_gt014,KMC40_gt014,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
1654717,65066658,KMC40_gt015,KMC40_gt015,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
1654717,65066659,KMC40_gt016,KMC40_gt016,-,-,-,-,tRNA-Pseudo,tRNA,-,-,-,-,20210607,-
1654717,65066660,KMC40_gp199,KMC40_gp199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066661,KMC40_gt019,KMC40_gt019,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
1654717,65066662,KMC40_gt020,KMC40_gt020,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
1654717,65066663,KMC40_gp016,KMC40_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066664,KMC40_gp002,KMC40_gp002,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066665,KMC40_gp003,KMC40_gp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066666,KMC40_gt001,KMC40_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
1654717,65066667,KMC40_gt006,KMC40_gt006,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
1654717,65066668,KMC40_gt012,KMC40_gt012,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
1654717,65066669,KMC40_gt017,KMC40_gt017,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
1654717,65066670,KMC40_gp198,KMC40_gp198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066671,KMC40_gp197,KMC40_gp197,-,-,-,-,phosphohydrolase,protein-coding,-,-,-,phosphohydrolase,20210609,-
1654717,65066672,KMC40_gp196,KMC40_gp196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066673,KMC40_gp195,KMC40_gp195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066674,KMC40_gp194,KMC40_gp194,-,-,-,-,3'-phosphatase 5'-polynucleotide kinase,protein-coding,-,-,-,3'-phosphatase 5'-polynucleotide kinase,20210607,-
1654717,65066675,KMC40_gp193,KMC40_gp193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066676,KMC40_gp192,KMC40_gp192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066677,KMC40_gp191,KMC40_gp191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066678,KMC40_gp190,KMC40_gp190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066679,KMC40_gp189,KMC40_gp189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066680,KMC40_gp188,KMC40_gp188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066681,KMC40_gp187,KMC40_gp187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066682,KMC40_gp186,KMC40_gp186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066683,KMC40_gp185,KMC40_gp185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066684,KMC40_gp184,KMC40_gp184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066685,KMC40_gp183,KMC40_gp183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066686,KMC40_gp182,KMC40_gp182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066687,KMC40_gp181,KMC40_gp181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066688,ybiA,KMC40_gp180,-,-,-,-,swarming motility protein,protein-coding,-,-,-,swarming motility protein,20210607,-
1654717,65066689,KMC40_gp178,KMC40_gp178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066690,KMC40_gp177,KMC40_gp177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066691,KMC40_gp176,KMC40_gp176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066692,KMC40_gp175,KMC40_gp175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066693,KMC40_gp174,KMC40_gp174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066694,KMC40_gp173,KMC40_gp173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066695,KMC40_gp172,KMC40_gp172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066696,KMC40_gp171,KMC40_gp171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066697,KMC40_gp170,KMC40_gp170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066698,KMC40_gp169,KMC40_gp169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066699,KMC40_gp168,KMC40_gp168,-,-,-,-,putative glycoprotein,protein-coding,-,-,-,putative glycoprotein,20210607,-
1654717,65066700,KMC40_gp167,KMC40_gp167,-,-,-,-,cell wall hydrolyse,protein-coding,-,-,-,cell wall hydrolyse,20210607,-
1654717,65066701,KMC40_gp166,KMC40_gp166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066702,KMC40_gp165,KMC40_gp165,-,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210607,-
1654717,65066703,KMC40_gp164,KMC40_gp164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066704,KMC40_gp163,KMC40_gp163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066705,KMC40_gp162,KMC40_gp162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066706,KMC40_gp161,KMC40_gp161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066707,KMC40_gp160,KMC40_gp160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066708,KMC40_gp159,KMC40_gp159,-,-,-,-,DNA end protector during packaging,protein-coding,-,-,-,DNA end protector during packaging,20210607,-
1654717,65066709,KMC40_gp158,KMC40_gp158,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210609,-
1654717,65066710,KMC40_gp157,KMC40_gp157,-,-,-,-,putative tail tube associated base plate protein,protein-coding,-,-,-,putative tail tube associated base plate protein,20210607,-
1654717,65066711,KMC40_gp156,KMC40_gp156,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210609,-
1654717,65066712,KMC40_gp155,KMC40_gp155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066713,KMC40_gp154,KMC40_gp154,-,-,-,-,baseplate hub + tail lysozyme,protein-coding,-,-,-,baseplate hub + tail lysozyme,20210607,-
1654717,65066714,KMC40_gp153,KMC40_gp153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066715,KMC40_gp152,KMC40_gp152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
1654717,65066716,KMC40_gp151,KMC40_gp151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066717,KMC40_gp150,KMC40_gp150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066718,KMC40_gp149,KMC40_gp149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066719,KMC40_gp148,KMC40_gp148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066720,KMC40_gp147,KMC40_gp147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066721,KMC40_gp146,KMC40_gp146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066722,KMC40_gp145,KMC40_gp145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066723,KMC40_gp144,KMC40_gp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066724,KMC40_gp143,KMC40_gp143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066725,KMC40_gp142,KMC40_gp142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066726,KMC40_gp141,KMC40_gp141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066727,KMC40_gp140,KMC40_gp140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066728,KMC40_gp139,KMC40_gp139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066729,KMC40_gp138,KMC40_gp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066730,KMC40_gp137,KMC40_gp137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066731,KMC40_gp136,KMC40_gp136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066732,KMC40_gp135,KMC40_gp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066733,KMC40_gp134,KMC40_gp134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066734,KMC40_gp133,KMC40_gp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066735,KMC40_gp132,KMC40_gp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066736,KMC40_gp131,KMC40_gp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066737,KMC40_gp130,KMC40_gp130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066738,KMC40_gp129,KMC40_gp129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066739,KMC40_gp128,KMC40_gp128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066740,KMC40_gp127,KMC40_gp127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066741,KMC40_gp126,KMC40_gp126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066742,KMC40_gp125,KMC40_gp125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066743,KMC40_gp124,KMC40_gp124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066744,KMC40_gp123,KMC40_gp123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066745,KMC40_gp122,KMC40_gp122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066746,KMC40_gp121,KMC40_gp121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066747,KMC40_gp120,KMC40_gp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066748,KMC40_gp119,KMC40_gp119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066749,KMC40_gp118,KMC40_gp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066750,KMC40_gp117,KMC40_gp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066751,KMC40_gp116,KMC40_gp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066752,KMC40_gp115,KMC40_gp115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066753,KMC40_gp114,KMC40_gp114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066754,KMC40_gp113,KMC40_gp113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066755,KMC40_gp112,KMC40_gp112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066756,KMC40_gp111,KMC40_gp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066757,KMC40_gp110,KMC40_gp110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066758,KMC40_gp109,KMC40_gp109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066759,KMC40_gp108,KMC40_gp108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066760,KMC40_gp107,KMC40_gp107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066761,KMC40_gp106,KMC40_gp106,-,-,-,-,virulence associated protein VrlC,protein-coding,-,-,-,virulence associated protein VrlC,20210607,-
1654717,65066762,KMC40_gp105,KMC40_gp105,-,-,-,-,virulence-associated VriC protein,protein-coding,-,-,-,virulence-associated VriC protein,20210607,-
1654717,65066763,KMC40_gp104,KMC40_gp104,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210609,-
1654717,65066764,KMC40_gp103,KMC40_gp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066765,KMC40_gp102,KMC40_gp102,-,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20210607,-
1654717,65066766,KMC40_gp101,KMC40_gp101,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210607,-
1654717,65066767,KMC40_gp100,KMC40_gp100,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
1654717,65066768,KMC40_gp099,KMC40_gp099,-,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210607,-
1654717,65066769,KMC40_gp098,KMC40_gp098,-,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20210609,-
1654717,65066770,KMC40_gp097,KMC40_gp097,-,-,-,-,portal vertex of the head,protein-coding,-,-,-,portal vertex of the head,20210607,-
1654717,65066771,KMC40_gp096,KMC40_gp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
1654717,65066772,KMC40_gp095,KMC40_gp095,-,-,-,-,prohead assembly (scaffolding) protein,protein-coding,-,-,-,prohead assembly (scaffolding) protein,20210607,-
1654717,65066773,KMC40_gp094,KMC40_gp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
1654717,65066774,KMC40_gp093,KMC40_gp093,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210609,-
1654717,65066775,KMC40_gp092,KMC40_gp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066776,KMC40_gp091,KMC40_gp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066777,KMC40_gp090,KMC40_gp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
1654717,65066778,KMC40_gp089,KMC40_gp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066779,KMC40_gp088,KMC40_gp088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066780,KMC40_gp087,KMC40_gp087,-,-,-,-,putative deoxynucleotide monophosphate kinase,protein-coding,-,-,-,putative deoxynucleotide monophosphate kinase,20210607,-
1654717,65066781,KMC40_gp086,KMC40_gp086,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20210607,-
1654717,65066782,KMC40_gp085,KMC40_gp085,-,-,-,-,single stranded DNA-binding protein,protein-coding,-,-,-,single stranded DNA-binding protein,20210609,-
1654717,65066783,yejH,KMC40_gp084,-,-,-,-,DNA/RNA repair helicase,protein-coding,-,-,-,DNA/RNA repair helicase,20210609,-
1654717,65066784,KMC40_gp082,KMC40_gp082,-,-,-,-,recombination-related endonuclease,protein-coding,-,-,-,recombination-related endonuclease,20210609,-
1654717,65066785,rad50,KMC40_gp081,-,-,-,-,recombination-related endonuclease,protein-coding,-,-,-,recombination-related endonuclease,20210607,-
1654717,65066786,KMC40_gp079,KMC40_gp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066787,rfcS,KMC40_gp078,-,-,-,-,replication factor C small subunit,protein-coding,-,-,-,replication factor C small subunit,20210609,-
1654717,65066788,KMC40_gp076,KMC40_gp076,-,-,-,-,endoribonuclease,protein-coding,-,-,-,endoribonuclease,20210609,-
1654717,65066789,dut,KMC40_gp075,-,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,protein-coding,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,20210607,-
1654717,65066790,dpo1,KMC40_gp073,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210607,-
1654717,65066791,KMC40_gp070,KMC40_gp070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066792,folE,KMC40_gp069,-,-,-,-,GTP cyclohydrolase I type 1,protein-coding,-,-,-,GTP cyclohydrolase I type 1,20210607,-
1654717,65066793,KMC40_gp066,KMC40_gp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
1654717,65066794,KMC40_gp065,KMC40_gp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066795,KMC40_gp064,KMC40_gp064,-,-,-,-,queuosine biosynthesis QueE radical SAM,protein-coding,-,-,-,queuosine biosynthesis QueE radical SAM,20210607,-
1654717,65066796,KMC40_gp063,KMC40_gp063,-,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210609,-
1654717,65066797,KMC40_gp062,KMC40_gp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066798,KMC40_gp061,KMC40_gp061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066799,KMC40_gp060,KMC40_gp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066800,KMC40_gp059,KMC40_gp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066801,KMC40_gp058,KMC40_gp058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066802,KMC40_gp057,KMC40_gp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
1654717,65066803,KMC40_gp056,KMC40_gp056,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210607,-
1654717,65066804,KMC40_gp055,KMC40_gp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066805,KMC40_gp054,KMC40_gp054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066806,KMC40_gp053,KMC40_gp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066807,KMC40_gp052,KMC40_gp052,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210607,-
1654717,65066808,KMC40_gp051,KMC40_gp051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066809,KMC40_gp050,KMC40_gp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066810,KMC40_gp049,KMC40_gp049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066811,KMC40_gp048,KMC40_gp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066812,KMC40_gp047,KMC40_gp047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066813,KMC40_gp046,KMC40_gp046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
1654717,65066814,KMC40_gp045,KMC40_gp045,-,-,-,-,single stranded DNA-binding protein,protein-coding,-,-,-,single stranded DNA-binding protein,20210609,-
1654717,65066815,KMC40_gp044,KMC40_gp044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066816,KMC40_gp043,KMC40_gp043,-,-,-,-,exonuclease A,protein-coding,-,-,-,exonuclease A,20210609,-
1654717,65066817,KMC40_gp042,KMC40_gp042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066818,KMC40_gp041,KMC40_gp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066819,KMC40_gp040,KMC40_gp040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066820,KMC40_gp039,KMC40_gp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066821,KMC40_gp038,KMC40_gp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066822,KMC40_gp037,KMC40_gp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066823,KMC40_gp036,KMC40_gp036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066824,KMC40_gp035,KMC40_gp035,-,-,-,-,ADP-ribose pyrophosphatase,protein-coding,-,-,-,ADP-ribose pyrophosphatase,20210609,-
1654717,65066825,KMC40_gp034,KMC40_gp034,-,-,-,-,nicotinamide phosphoribosyltransferase,protein-coding,-,-,-,nicotinamide phosphoribosyltransferase,20210607,-
1654717,65066826,KMC40_gp033,KMC40_gp033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066827,KMC40_gp032,KMC40_gp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066828,KMC40_gp031,KMC40_gp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066829,KMC40_gp030,KMC40_gp030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066830,KMC40_gp029,KMC40_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
