#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
696472,10020984,OtV2_027,OtV2_027,-,-,-,-,putative TPR domain-containing protein,protein-coding,-,-,-,putative TPR domain-containing protein,20201220,-
696472,10021069,OtV2_087,OtV2_087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021070,OtV2_088,OtV2_088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021071,OtV2_089,OtV2_089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021072,OtV2_090,OtV2_090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021073,OtV2_091,OtV2_091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021074,OtV2_092,OtV2_092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021075,OtV2_093,OtV2_093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021076,OtV2_094,OtV2_094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021077,OtV2_095,OtV2_095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021078,OtV2_096,OtV2_096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021079,OtV2_097,OtV2_097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021080,OtV2_098,OtV2_098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021081,OtV2_099,OtV2_099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021082,OtV2_100,OtV2_100,-,-,-,-,PCNA,protein-coding,-,-,-,PCNA,20201220,-
696472,10021083,OtV2_101,OtV2_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021084,OtV2_102,OtV2_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021085,OtV2_103,OtV2_103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021086,OtV2_104,OtV2_104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021087,OtV2_105,OtV2_105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021088,OtV2_106,OtV2_106,-,-,-,-,prolyl 4-hydroxylase,protein-coding,-,-,-,prolyl 4-hydroxylase,20201220,-
696472,10021089,OtV2_107,OtV2_107,-,-,-,-,NTPase/helicase,protein-coding,-,-,-,NTPase/helicase,20201220,-
696472,10021090,OtV2_108,OtV2_108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021091,OtV2_109,OtV2_109,-,-,-,-,putative virus inclusion body,protein-coding,-,-,-,putative virus inclusion body,20201220,-
696472,10021092,OtV2_110,OtV2_110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021093,OtV2_111,OtV2_111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021094,OtV2_112,OtV2_112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021095,OtV2_113,OtV2_113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021096,OtV2_114,OtV2_114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021097,OtV2_115,OtV2_115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021098,OtV2_116,OtV2_116,-,-,-,-,DNA adenine methyltransferase,protein-coding,-,-,-,DNA adenine methyltransferase,20201220,-
696472,10021099,OtV2_117,OtV2_117,-,-,-,-,ribonuclease III,protein-coding,-,-,-,ribonuclease III,20201220,-
696472,10021100,OtV2_118,OtV2_118,-,-,-,-,putative Lambda-type exonuclease (host has too),protein-coding,-,-,-,putative Lambda-type exonuclease (host has too),20201220,-
696472,10021101,OtV2_119,OtV2_119,-,-,-,-,SNF2/helicase domain protein,protein-coding,-,-,-,SNF2/helicase domain protein,20201220,-
696472,10021102,OtV2_120,OtV2_120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021103,OtV2_121,OtV2_121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021104,OtV2_122,OtV2_122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021105,OtV2_123,OtV2_123,-,-,-,-,"ribonucleoside-diphosphate reductase, alpha subunit",protein-coding,-,-,-,"ribonucleoside-diphosphate reductase, alpha subunit",20201220,-
696472,10021106,OtV2_124,OtV2_124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021107,OtV2_125,OtV2_125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021108,OtV2_126,OtV2_126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021109,OtV2_127,OtV2_127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021110,OtV2_128,OtV2_128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021111,OtV2_129,OtV2_129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021112,OtV2_130,OtV2_130,-,-,-,-,TATA-box binding protein (TBP),protein-coding,-,-,-,TATA-box binding protein (TBP),20201220,-
696472,10021113,OtV2_131,OtV2_131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021114,OtV2_132,OtV2_132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021115,OtV2_133,OtV2_133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021116,OtV2_134,OtV2_134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021117,OtV2_135,OtV2_135,-,-,-,-,serine/threonine protein kinase,protein-coding,-,-,-,serine/threonine protein kinase,20201220,-
696472,10021118,OtV2_136,OtV2_136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021119,OtV2_137,OtV2_137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021120,OtV2_138,OtV2_138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021121,OtV2_139,OtV2_139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021122,OtV2_140,OtV2_140,-,-,-,-,ribonucleoside-diphosphate reductase small subunit-possible host origin,protein-coding,-,-,-,ribonucleoside-diphosphate reductase small subunit-possible host origin,20201220,-
696472,10021123,OtV2_141,OtV2_141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021124,OtV2_142,OtV2_142,-,-,-,-,transcription initiation factor IIB,protein-coding,-,-,-,transcription initiation factor IIB,20201220,-
696472,10021125,OtV2_143,OtV2_143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021126,OtV2_144,OtV2_144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021127,OtV2_145,OtV2_145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021128,OtV2_146,OtV2_146,-,-,-,-,ubiquitin C-terminal hydrolase,protein-coding,-,-,-,ubiquitin C-terminal hydrolase,20201220,-
696472,10021129,OtV2_147,OtV2_147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021130,OtV2_148,OtV2_148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021131,OtV2_149,OtV2_149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021132,OtV2_150,OtV2_150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021133,OtV2_151,OtV2_151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021134,OtV2_152,OtV2_152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021135,OtV2_153,OtV2_153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021136,OtV2_154,OtV2_154,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
696472,10021137,OtV2_155,OtV2_155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021138,OtV2_156,OtV2_156,-,-,-,-,ribonuclease H,protein-coding,-,-,-,ribonuclease H,20201220,-
696472,10021139,OtV2_157,OtV2_157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021140,OtV2_158,OtV2_158,-,-,-,-,"putative procollagen-lysine, 2-oxoglutarate 5-dioxygenase",protein-coding,-,-,-,"putative procollagen-lysine, 2-oxoglutarate 5-dioxygenase",20201220,-
696472,10021141,OtV2_159,OtV2_159,-,-,-,-,6-phosphofructokinase,protein-coding,-,-,-,6-phosphofructokinase,20201220,-
696472,10021142,OtV2_160,OtV2_160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021143,OtV2_161,OtV2_161,-,-,-,-,putative DNA topoisomerase I,protein-coding,-,-,-,putative DNA topoisomerase I,20201220,-
696472,10021144,OtV2_162,OtV2_162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021145,OtV2_163,OtV2_163,-,-,-,-,"Glycosyl transferase, family 25",protein-coding,-,-,-,"Glycosyl transferase, family 25",20201220,-
696472,10021146,OtV2_164,OtV2_164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021147,OtV2_165,OtV2_165,-,-,-,-,putative dioxygenase,protein-coding,-,-,-,putative dioxygenase,20201220,-
696472,10021148,OtV2_166,OtV2_166,-,-,-,-,Aspartyl/Asparaginyl beta-hydroxylase,protein-coding,-,-,-,Aspartyl/Asparaginyl beta-hydroxylase,20201220,-
696472,10021149,OtV2_167,OtV2_167,-,-,-,-,6-phosphogluconate dehydrogenase,protein-coding,-,-,-,6-phosphogluconate dehydrogenase,20201220,-
696472,10021150,OtV2_168,OtV2_168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021151,OtV2_169,OtV2_169,-,-,-,-,"DNA ligase, putative",protein-coding,-,-,-,"DNA ligase, putative",20201220,-
696472,10021152,OtV2_170,OtV2_170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021153,OtV2_171,OtV2_171,-,-,-,-,putative ATP-dependent protease proteolytic subunit,protein-coding,-,-,-,putative ATP-dependent protease proteolytic subunit,20201220,-
696472,10021154,OtV2_172,OtV2_172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021155,OtV2_173,OtV2_173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021156,OtV2_174,OtV2_174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021157,OtV2_175,OtV2_175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021158,OtV2_176,OtV2_176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021159,OtV2_177,OtV2_177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021160,OtV2_178,OtV2_178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021161,OtV2_179,OtV2_179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021162,OtV2_180,OtV2_180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021163,OtV2_181,OtV2_181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021164,OtV2_182,OtV2_182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021165,OtV2_183,OtV2_183,-,-,-,-,possible host origin unnamed protein product,protein-coding,-,-,-,possible host origin unnamed protein product,20201220,-
696472,10021166,OtV2_184,OtV2_184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021167,OtV2_185,OtV2_185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021168,OtV2_186,OtV2_186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021169,OtV2_187,OtV2_187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021170,OtV2_188,OtV2_188,-,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20201220,-
696472,10021171,OtV2_189,OtV2_189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021172,OtV2_190,OtV2_190,-,-,-,-,putative CMP/dCMP deaminase zinc-binding,protein-coding,-,-,-,putative CMP/dCMP deaminase zinc-binding,20201220,-
696472,10021173,OtV2_191,OtV2_191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021174,OtV2_192,OtV2_192,-,-,-,-,predicted host protein,protein-coding,-,-,-,predicted host protein,20201220,-
696472,10021175,OtV2_193,OtV2_193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021176,OtV2_194,OtV2_194,-,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20201220,-
696472,10021177,OtV2_195,OtV2_195,-,-,-,-,predicted protein Ostreococcus lucimarinus,protein-coding,-,-,-,predicted protein Ostreococcus lucimarinus,20201220,-
696472,10021178,OtV2_196,OtV2_196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021179,OtV2_197,OtV2_197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021180,OtV2_198,OtV2_198,-,-,-,-,2OG-Fe(II) oxygenase family protein,protein-coding,-,-,-,2OG-Fe(II) oxygenase family protein,20201220,-
696472,10021181,OtV2_199,OtV2_199,-,-,-,-,fibronectin-binding A-like protein-possible host origin,protein-coding,-,-,-,fibronectin-binding A-like protein-possible host origin,20201220,-
696472,10021182,OtV2_200,OtV2_200,-,-,-,-,2OG-Fe(II) oxygenase family protein,protein-coding,-,-,-,2OG-Fe(II) oxygenase family protein,20201220,-
696472,10021183,OtV2_201,OtV2_201,-,-,-,-,Cytochrome b5-host origin,protein-coding,-,-,-,Cytochrome b5-host origin,20201220,-
696472,10021184,OtV2_202,OtV2_202,-,-,-,-,RNA-polymerase sigma factor-possible host origin,protein-coding,-,-,-,RNA-polymerase sigma factor-possible host origin,20201220,-
696472,10021185,OtV2_203,OtV2_203,-,-,-,-,Rhodanese domain protein,protein-coding,-,-,-,Rhodanese domain protein,20201220,-
696472,10021186,OtV2_204,OtV2_204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
