#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2590877,55618081,2,HWC34_gp02,SEA_ALEX44_2,-,-,-,DNA primase/polymerase,protein-coding,-,-,-,DNA primase/polymerase,20210417,-
2590877,55618108,29,HWC34_gp29,SEA_ALEX44_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618109,30,HWC34_gp30,SEA_ALEX44_30,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2590877,55618110,31,HWC34_gp31,SEA_ALEX44_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618111,32,HWC34_gp32,SEA_ALEX44_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618112,33,HWC34_gp33,SEA_ALEX44_33,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200620,-
2590877,55618113,34,HWC34_gp34,SEA_ALEX44_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618114,35,HWC34_gp35,SEA_ALEX44_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618115,36,HWC34_gp36,SEA_ALEX44_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618116,37,HWC34_gp37,SEA_ALEX44_37,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210417,-
2590877,55618117,38,HWC34_gp38,SEA_ALEX44_38,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
2590877,55618118,39,HWC34_gp39,SEA_ALEX44_39,-,-,-,Membrane Protein,protein-coding,-,-,-,Membrane Protein,20200620,-
2590877,55618119,40,HWC34_gp40,SEA_ALEX44_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618120,41,HWC34_gp41,SEA_ALEX44_41,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2590877,55618121,42,HWC34_gp42,SEA_ALEX44_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618122,43,HWC34_gp43,SEA_ALEX44_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618123,44,HWC34_gp44,SEA_ALEX44_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618124,45,HWC34_gp45,SEA_ALEX44_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618125,46,HWC34_gp46,SEA_ALEX44_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618126,47,HWC34_gp47,SEA_ALEX44_47,-,-,-,phosphoesterase,protein-coding,-,-,-,phosphoesterase,20210417,-
2590877,55618127,48,HWC34_gp48,SEA_ALEX44_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618128,49,HWC34_gp49,SEA_ALEX44_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618129,50,HWC34_gp50,SEA_ALEX44_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618130,51,HWC34_gp51,SEA_ALEX44_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618131,52,HWC34_gp52,SEA_ALEX44_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618132,53,HWC34_gp53,SEA_ALEX44_53,-,-,-,terminase,protein-coding,-,-,-,terminase,20200620,-
2590877,55618133,54,HWC34_gp54,SEA_ALEX44_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618134,55,HWC34_gp55,SEA_ALEX44_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618135,1,HWC34_gp01,SEA_ALEX44_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55635992,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
