#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301608,64946532,2,KIY72_gp02,SEA_WIZARD007_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210516,-
2301608,64946567,37,KIY72_gp37,SEA_WIZARD007_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
2301608,64946568,38,KIY72_gp38,SEA_WIZARD007_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
2301608,64946569,39,KIY72_gp39,SEA_WIZARD007_39,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210516,-
2301608,64946570,40,KIY72_gp40,SEA_WIZARD007_40,-,-,-,helix-turn-helix DNA-binding protein,protein-coding,-,-,-,helix-turn-helix DNA-binding protein,20210522,-
2301608,64946571,41,KIY72_gp41,SEA_WIZARD007_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
2301608,64946572,42,KIY72_gp42,SEA_WIZARD007_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
2301608,64946573,43,KIY72_gp43,SEA_WIZARD007_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
2301608,64946574,44,KIY72_gp44,SEA_WIZARD007_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
2301608,64946575,45,KIY72_gp45,SEA_WIZARD007_45,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210516,-
2301608,64946576,46,KIY72_gp46,SEA_WIZARD007_46,-,-,-,helix-turn-helix DNA-binding protein,protein-coding,-,-,-,helix-turn-helix DNA-binding protein,20210516,-
2301608,64946577,47,KIY72_gp47,SEA_WIZARD007_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
2301608,64946578,48,KIY72_gp48,SEA_WIZARD007_48,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20210522,-
2301608,64946579,49,KIY72_gp49,SEA_WIZARD007_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
2301608,64946580,50,KIY72_gp50,SEA_WIZARD007_50,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20210529,-
2301608,64946581,51,KIY72_gp51,SEA_WIZARD007_51,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210516,-
2301608,64946582,52,KIY72_gp52,SEA_WIZARD007_52,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20210516,-
2301608,64946583,53,KIY72_gp53,SEA_WIZARD007_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
2301608,64946584,54,KIY72_gp54,SEA_WIZARD007_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
2301608,64946585,55,KIY72_gp55,SEA_WIZARD007_55,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210522,-
2301608,64946586,56,KIY72_gp56,SEA_WIZARD007_56,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210522,-
2301608,64946587,57,KIY72_gp57,SEA_WIZARD007_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
2301608,64946588,58,KIY72_gp58,SEA_WIZARD007_58,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210516,-
2301608,64946589,59,KIY72_gp59,SEA_WIZARD007_59,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20210516,-
2301608,64946590,60,KIY72_gp60,SEA_WIZARD007_60,-,-,-,DprA-like DNA processing chain A,protein-coding,-,-,-,DprA-like DNA processing chain A,20210516,-
2301608,64946591,61,KIY72_gp61,SEA_WIZARD007_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
2301608,64946592,62,KIY72_gp62,SEA_WIZARD007_62,-,-,-,phosphoribosyl transferase,protein-coding,-,-,-,phosphoribosyl transferase,20210516,-
2301608,64946593,63,KIY72_gp63,SEA_WIZARD007_63,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210516,-
2301608,64946594,64,KIY72_gp64,SEA_WIZARD007_64,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210516,-
2301608,64946595,65,KIY72_gp65,SEA_WIZARD007_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
2301608,64946596,66,KIY72_gp66,SEA_WIZARD007_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
2301608,64946597,67,KIY72_gp67,SEA_WIZARD007_67,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210516,-
2301608,64946598,68,KIY72_gp68,SEA_WIZARD007_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
2301608,64946599,69,KIY72_gp69,SEA_WIZARD007_69,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210516,-
2301608,64946600,70,KIY72_gp70,SEA_WIZARD007_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
2301608,64946601,71,KIY72_gp71,SEA_WIZARD007_71,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210516,-
2301608,64946602,72,KIY72_gp72,SEA_WIZARD007_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
2301608,64946603,73,KIY72_gp73,SEA_WIZARD007_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
2301608,64946604,74,KIY72_gp74,SEA_WIZARD007_74,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210516,-
2301608,64946605,75,KIY72_gp75,SEA_WIZARD007_75,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210516,-
2301608,64946606,76,KIY72_gp76,SEA_WIZARD007_76,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210516,-
2301608,64946607,77,KIY72_gp77,SEA_WIZARD007_77,-,-,-,SprT-like protease,protein-coding,-,-,-,SprT-like protease,20210516,-
2301608,64946608,78,KIY72_gp78,SEA_WIZARD007_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
2301608,64946609,79,KIY72_gp79,SEA_WIZARD007_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
2301608,64946610,80,KIY72_gp80,SEA_WIZARD007_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
2301608,64946611,81,KIY72_gp81,SEA_WIZARD007_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
2301608,64946612,82,KIY72_gp82,SEA_WIZARD007_82,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210516,-
2301608,64946613,83,KIY72_gp83,SEA_WIZARD007_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
2301608,64946614,84,KIY72_gp84,SEA_WIZARD007_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
2301608,64946615,85,KIY72_gp85,SEA_WIZARD007_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
2301608,64946616,86,KIY72_gp86,SEA_WIZARD007_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
2301608,64946617,1,KIY72_gp01,SEA_WIZARD007_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210522,-
2301608,64953891,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Wizard007).,other,-,-,-,-,20210517,-
