#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
262968,3197002,ORF052L,ORF052L,-,-,-,-,D5 family NTPase,protein-coding,-,-,-,D5 family NTPase,20201220,-
262968,3197091,ORF032L,ORF032L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197092,ORF159R,ORF159R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197093,ORF019R,ORF019R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197094,ORF142L,ORF142L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197095,ORF025L,ORF025L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197096,ORF030L,ORF030L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197097,ORF020L,ORF020L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197098,ORF066R,ORF066R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197099,ORF117L,ORF117L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197100,ORF147L,ORF147L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197101,ORF135L,ORF135L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197102,ORF059L,ORF059L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197103,ORF112R,ORF112R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197104,ORF068L,ORF068L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197105,ORF076L,ORF076L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197106,ORF116R,ORF116R,-,-,-,-,putative replication factor,protein-coding,-,-,-,putative replication factor,20201220,-
262968,3197107,ORF008L,ORF008L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197108,ORF099R,ORF099R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197109,ORF056R,ORF056R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197110,ORF009L,ORF009L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197111,ORF078L,ORF078L,-,-,-,-,tyrosine kinase,protein-coding,-,-,-,tyrosine kinase,20201220,-
262968,3197112,ORF077L,ORF077L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197113,ORF031L,ORF031L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197114,ORF010L,ORF010L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197115,ORF016L,ORF016L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197116,ORF067L,ORF067L,-,-,-,-,deoxynucleoside kinase,protein-coding,-,-,-,deoxynucleoside kinase,20201220,-
262968,3197117,ORF154R,ORF154R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197118,ORF113L,ORF113L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197119,ORF132R,ORF132R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197120,ORF111R,ORF111R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197121,ORF129L,ORF129L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197122,ORF085R,ORF085R,-,-,-,-,transcription elongation factor TFIIS,protein-coding,-,-,-,transcription elongation factor TFIIS,20201220,-
262968,3197123,ORF027L,ORF027L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197124,ORF095R,ORF095R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197125,ORF126R,ORF126R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197126,ORF045L,ORF045L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197127,ORF094L,ORF094L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197128,ORF024L,ORF024L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197129,ORF029L,ORF029L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197130,ORF082L,ORF082L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197131,ORF083R,ORF083R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197132,ORF158L,ORF158L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197133,ORF092L,ORF092L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197134,ORF151L,ORF151L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197135,ORF101R,ORF101R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197136,ORF122L,ORF122L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197137,ORF110L,ORF110L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197138,ORF014L,ORF014L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197139,ORF115R,ORF115R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197140,ORF049L,ORF049L,-,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20201220,-
262968,3197141,ORF017R,ORF017R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197142,ORF136R,ORF136R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197143,ORF157R,ORF157R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197144,ORF127R,ORF127R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197145,ORF128R,ORF128R,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201220,-
262968,3197146,ORF123L,ORF123L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197147,ORF121R,ORF121R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197148,ORF133R,ORF133R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197149,ORF162L,ORF162L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197150,ORF118R,ORF118R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197151,ORF102L,ORF102L,-,-,-,-,ubiqutin/ribosomal protein,protein-coding,-,-,-,ubiqutin/ribosomal protein,20201220,-
262968,3197152,ORF149R,ORF149R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197153,ORF084L,ORF084L,-,-,-,-,RNase III,protein-coding,-,-,-,RNase III,20201220,-
262968,3197154,ORF143L,ORF143L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197155,ORF120L,ORF120L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197156,ORF130L,ORF130L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197157,ORF145R,ORF145R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197158,ORF152R,ORF152R,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20201220,-
262968,3197159,ORF086R,ORF086R,-,-,-,-,putative immediate-early protein,protein-coding,-,-,-,putative immediate-early protein,20201220,-
262968,3197160,ORF001L,ORF001L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197161,ORF003R,ORF003R,-,-,-,-,3-beta-hydroxy-delta-5-C27-steroid oxidoreductase,protein-coding,-,-,-,3-beta-hydroxy-delta-5-C27-steroid oxidoreductase,20201220,-
262968,3197162,ORF004L,ORF004L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197163,ORF002R,ORF002R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3293605,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
