#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1838077,28378766,2,BEN61_gp002,PBI_ROSALIND_2,-,-,-,ADP-ribosyltransferase,protein-coding,-,-,-,ADP-ribosyltransferase,20210424,-
1838077,28378827,67,BEN61_gp044,PBI_ROSALIND_67,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20200719,-
1838077,28378828,68,BEN61_gp043,PBI_ROSALIND_68,-,-,-,EndoVII,protein-coding,-,-,-,EndoVII,20200912,-
1838077,28378829,69,BEN61_gp042,PBI_ROSALIND_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378830,70,BEN61_gp041,PBI_ROSALIND_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378831,71,BEN61_gp040,PBI_ROSALIND_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378832,72,BEN61_gp039,PBI_ROSALIND_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378833,73,BEN61_gp038,PBI_ROSALIND_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378834,74,BEN61_gp037,PBI_ROSALIND_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378835,75,BEN61_gp036,PBI_ROSALIND_75,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210424,-
1838077,28378836,76,BEN61_gp035,PBI_ROSALIND_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378837,77,BEN61_gp034,PBI_ROSALIND_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1838077,28378838,78,BEN61_gp033,PBI_ROSALIND_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378839,79,BEN61_gp032,PBI_ROSALIND_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378840,80,BEN61_gp031,PBI_ROSALIND_80,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20200912,-
1838077,28378841,81,BEN61_gp030,PBI_ROSALIND_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1838077,28378842,82,BEN61_gp029,PBI_ROSALIND_82,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200719,-
1838077,28378843,83,BEN61_gp028,PBI_ROSALIND_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378844,84,BEN61_gp027,PBI_ROSALIND_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378845,85,BEN61_gp026,PBI_ROSALIND_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378846,86,BEN61_gp025,PBI_ROSALIND_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378847,87,BEN61_gp024,PBI_ROSALIND_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378848,88,BEN61_gp023,PBI_ROSALIND_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378849,89,BEN61_gp022,PBI_ROSALIND_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378850,90,BEN61_gp021,PBI_ROSALIND_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378851,91,BEN61_gp020,PBI_ROSALIND_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378852,92,BEN61_gp019,PBI_ROSALIND_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378853,93,BEN61_gp018,PBI_ROSALIND_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378854,94,BEN61_gp017,PBI_ROSALIND_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378855,95,BEN61_gp016,PBI_ROSALIND_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378856,96,BEN61_gp015,PBI_ROSALIND_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378857,97,BEN61_gp014,PBI_ROSALIND_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378858,98,BEN61_gp013,PBI_ROSALIND_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378859,99,BEN61_gp012,PBI_ROSALIND_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378860,100,BEN61_gp011,PBI_ROSALIND_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378861,101,BEN61_gp010,PBI_ROSALIND_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378862,102,BEN61_gp009,PBI_ROSALIND_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378863,10,BEN61_gt002,PBI_ROSALIND_10,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1838077,28378864,11,BEN61_gt003,PBI_ROSALIND_11,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1838077,28378865,12,BEN61_gp099,PBI_ROSALIND_12,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200719,-
1838077,28378866,55,BEN61_gp056,PBI_ROSALIND_55,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20200719,-
1838077,28378867,1,BEN61_gp001,PBI_ROSALIND_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28417740,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
