#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656590,65123183,2,KNU83_gp002,SEA_LILMOOLAH_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210608,-
2656590,65123218,38,KNU83_gp038,SEA_LILMOOLAH_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123219,39,KNU83_gp039,SEA_LILMOOLAH_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123220,40,KNU83_gp040,SEA_LILMOOLAH_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123221,41,KNU83_gp041,SEA_LILMOOLAH_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123222,42,KNU83_gp042,SEA_LILMOOLAH_42,-,-,-,integrase,protein-coding,-,-,-,integrase,20210608,-
2656590,65123223,43,KNU83_gp043,SEA_LILMOOLAH_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123224,44,KNU83_gp044,SEA_LILMOOLAH_44,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210608,-
2656590,65123225,45,KNU83_gp045,SEA_LILMOOLAH_45,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210608,-
2656590,65123226,46,KNU83_gp046,SEA_LILMOOLAH_46,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210608,-
2656590,65123227,48,KNU83_gp047,SEA_LILMOOLAH_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123228,49,KNU83_gp048,SEA_LILMOOLAH_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123229,50,KNU83_gp050,SEA_LILMOOLAH_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123230,51,KNU83_gp051,SEA_LILMOOLAH_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123231,52,KNU83_gp052,SEA_LILMOOLAH_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123232,53,KNU83_gp053,SEA_LILMOOLAH_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123233,54,KNU83_gp054,SEA_LILMOOLAH_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123234,55,KNU83_gp055,SEA_LILMOOLAH_55,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210608,-
2656590,65123235,56,KNU83_gp056,SEA_LILMOOLAH_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123236,57,KNU83_gp057,SEA_LILMOOLAH_57,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210608,-
2656590,65123237,58,KNU83_gp058,SEA_LILMOOLAH_58,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20210608,-
2656590,65123238,59,KNU83_gp059,SEA_LILMOOLAH_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123239,60,KNU83_gp060,SEA_LILMOOLAH_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123240,61,KNU83_gp061,SEA_LILMOOLAH_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123241,62,KNU83_gp062,SEA_LILMOOLAH_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123242,63,KNU83_gp063,SEA_LILMOOLAH_63,-,-,-,DNA recombinase,protein-coding,-,-,-,DNA recombinase,20210608,-
2656590,65123243,64,KNU83_gp064,SEA_LILMOOLAH_64,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210608,-
2656590,65123244,65,KNU83_gp065,SEA_LILMOOLAH_65,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210608,-
2656590,65123245,66,KNU83_gp066,SEA_LILMOOLAH_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123246,67,KNU83_gp067,SEA_LILMOOLAH_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123247,68,KNU83_gp068,SEA_LILMOOLAH_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123248,69,KNU83_gp069,SEA_LILMOOLAH_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123249,70,KNU83_gp070,SEA_LILMOOLAH_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123250,71,KNU83_gp071,SEA_LILMOOLAH_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123251,72,KNU83_gp072,SEA_LILMOOLAH_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123252,73,KNU83_gp073,SEA_LILMOOLAH_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123253,74,KNU83_gp074,SEA_LILMOOLAH_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123254,75,KNU83_gp075,SEA_LILMOOLAH_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123255,76,KNU83_gp076,SEA_LILMOOLAH_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123256,77,KNU83_gp077,SEA_LILMOOLAH_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123257,78,KNU83_gp078,SEA_LILMOOLAH_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123258,79,KNU83_gp079,SEA_LILMOOLAH_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123259,80,KNU83_gp080,SEA_LILMOOLAH_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123260,81,KNU83_gp081,SEA_LILMOOLAH_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123261,82,KNU83_gp082,SEA_LILMOOLAH_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123262,83,KNU83_gp083,SEA_LILMOOLAH_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123263,84,KNU83_gp084,SEA_LILMOOLAH_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123264,85,KNU83_gp085,SEA_LILMOOLAH_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123265,86,KNU83_gp086,SEA_LILMOOLAH_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123266,87,KNU83_gp087,SEA_LILMOOLAH_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123267,88,KNU83_gp088,SEA_LILMOOLAH_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123268,89,KNU83_gp089,SEA_LILMOOLAH_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123269,90,KNU83_gp090,SEA_LILMOOLAH_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123270,91,KNU83_gp091,SEA_LILMOOLAH_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123271,92,KNU83_gp092,SEA_LILMOOLAH_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123272,94,KNU83_gp094,SEA_LILMOOLAH_94,-,-,-,G-I-Y-Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y-Y-I-G endonuclease,20210608,-
2656590,65123273,95,KNU83_gp095,SEA_LILMOOLAH_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123274,96,KNU83_gp096,SEA_LILMOOLAH_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123275,97,KNU83_gp097,SEA_LILMOOLAH_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123276,98,KNU83_gp098,SEA_LILMOOLAH_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123277,99,KNU83_gp099,SEA_LILMOOLAH_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123278,100,KNU83_gp100,SEA_LILMOOLAH_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123279,101,KNU83_gp101,SEA_LILMOOLAH_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123280,102,KNU83_gp102,SEA_LILMOOLAH_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123281,103,KNU83_gp103,SEA_LILMOOLAH_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123282,104,KNU83_gp104,SEA_LILMOOLAH_104,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210608,-
2656590,65123283,105,KNU83_gp105,SEA_LILMOOLAH_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123284,106,KNU83_gp106,SEA_LILMOOLAH_106,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210608,-
2656590,65123285,49,KNU83_gp049,SEA_LILMOOLAH_49,-,-,-,excise,protein-coding,-,-,-,excise,20210612,-
2656590,65123286,93,KNU83_gp093,SEA_LILMOOLAH_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123287,14,KNU83_gp014,SEA_LILMOOLAH_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210608,-
2656590,65123288,1,KNU83_gp001,SEA_LILMOOLAH_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210608,-
2656590,65243265,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
