#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
741942,24366503,ABG43_gp02,ABG43_gp02,-,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20201220,-
741942,24366517,ABG43_gp16,ABG43_gp16,-,-,-,-,putative tail tape measure protein,protein-coding,-,-,-,putative tail tape measure protein,20201220,-
741942,24366518,ABG43_gp17,ABG43_gp17,-,-,-,-,putative phage structural protein,protein-coding,-,-,-,putative phage structural protein,20201220,-
741942,24366519,ABG43_gp18,ABG43_gp18,-,-,-,-,putative phage structural protein,protein-coding,-,-,-,putative phage structural protein,20201220,-
741942,24366520,ABG43_gp19,ABG43_gp19,-,-,-,-,putative phage structural protein,protein-coding,-,-,-,putative phage structural protein,20201220,-
741942,24366521,ABG43_gp20,ABG43_gp20,-,-,-,-,putative phage structural protein,protein-coding,-,-,-,putative phage structural protein,20201220,-
741942,24366522,ABG43_gp21,ABG43_gp21,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201220,-
741942,24366523,ABG43_gp22,ABG43_gp22,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201220,-
741942,24366524,ABG43_gp23,ABG43_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
741942,24366525,ABG43_gp24,ABG43_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
741942,24366526,ABG43_gp25,ABG43_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
741942,24366527,ABG43_gp26,ABG43_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
741942,24366528,ABG43_gp27,ABG43_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
741942,24366529,ABG43_gp28,ABG43_gp28,-,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20201220,-
741942,24366530,ABG43_gp29,ABG43_gp29,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20201220,-
741942,24366531,ABG43_gp30,ABG43_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
741942,24366532,ABG43_gp31,ABG43_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
741942,24366533,ABG43_gp32,ABG43_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
741942,24366534,ABG43_gp33,ABG43_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
741942,24366535,ABG43_gp34,ABG43_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
741942,24366536,ABG43_gp35,ABG43_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
741942,24366537,ABG43_gp36,ABG43_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
741942,24366538,ABG43_gp37,ABG43_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
741942,24366539,ABG43_gp38,ABG43_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
741942,24366540,ABG43_gp39,ABG43_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
741942,24366541,ABG43_gp40,ABG43_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
741942,24366542,ABG43_gp41,ABG43_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
741942,24366543,ABG43_gp42,ABG43_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
741942,24366544,ABG43_gp43,ABG43_gp43,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20201220,-
741942,24366545,ABG43_gp01,ABG43_gp01,-,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20201220,-
741942,24420037,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Lactococcus lactis phage 1358).,other,-,-,-,-,20200513,-
