#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1654781,29058381,MOYASHI_3,MOYASHI_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1654781,29058399,MOYASHI_21,MOYASHI_21,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1654781,29058400,MOYASHI_22,MOYASHI_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654781,29058401,MOYASHI_23,MOYASHI_23,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1654781,29058402,MOYASHI_24,MOYASHI_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654781,29058403,MOYASHI_25,MOYASHI_25,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1654781,29058404,MOYASHI_26,MOYASHI_26,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1654781,29058405,MOYASHI_27,MOYASHI_27,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1654781,29058406,MOYASHI_28,MOYASHI_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654781,29058407,MOYASHI_29,MOYASHI_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654781,29058408,MOYASHI_30,MOYASHI_30,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1654781,29058409,MOYASHI_31,MOYASHI_31,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1654781,29058410,MOYASHI_33,MOYASHI_33,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
1654781,29058411,MOYASHI_34,MOYASHI_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654781,29058412,MOYASHI_35,MOYASHI_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654781,29058413,MOYASHI_36,MOYASHI_36,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1654781,29058414,MOYASHI_37,MOYASHI_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654781,29058415,MOYASHI_38,MOYASHI_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654781,29058416,MOYASHI_39,MOYASHI_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654781,29058417,MOYASHI_40,MOYASHI_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654781,29058418,MOYASHI_41,MOYASHI_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654781,29058419,MOYASHI_42,MOYASHI_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654781,29058420,MOYASHI_43,MOYASHI_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654781,29058421,MOYASHI_44,MOYASHI_44,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1654781,29058422,MOYASHI_2,MOYASHI_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1654781,29058423,MOYASHI_32,MOYASHI_32,-,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20201221,-
1654781,29058424,MOYASHI_1,MOYASHI_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1654781,29139850,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Propionibacterium acnes bacteriophage Moyashi).,other,-,-,-,-,20200513,-
