#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1582157,26647085,PHIMMP03_20003,PHIMMP03_20003,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210529,-
1582157,26647115,PHIMMP03_20033,PHIMMP03_20033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647116,PHIMMP03_20034,PHIMMP03_20034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647117,PHIMMP03_20035,PHIMMP03_20035,-,-,-,-,XkdX family protein,protein-coding,-,-,-,XkdX family protein,20201221,-
1582157,26647118,PHIMMP03_20036,PHIMMP03_20036,-,-,-,-,glycine rich family protein,protein-coding,-,-,-,glycine rich family protein,20210212,-
1582157,26647119,PHIMMP03_20037,PHIMMP03_20037,-,-,-,-,hemolysin XhlA family protein,protein-coding,-,-,-,hemolysin XhlA family protein,20210212,-
1582157,26647120,PHIMMP03_20038,PHIMMP03_20038,-,-,-,-,holin family protein,protein-coding,-,-,-,holin family protein,20210403,-
1582157,26647121,PHIMMP03_20039,PHIMMP03_20039,-,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20200629,-
1582157,26647122,PHIMMP03_20040,PHIMMP03_20040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647123,PHIMMP03_20041,PHIMMP03_20041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647124,PHIMMP03_29041,PHIMMP03_29041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647125,PHIMMP03_29042,PHIMMP03_29042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647126,PHIMMP03_20044,PHIMMP03_20044,-,-,-,-,BlaI/MecI/CopY family transcriptional regulator,protein-coding,-,-,-,BlaI/MecI/CopY family transcriptional regulator,20210212,-
1582157,26647127,PHIMMP03_20045,PHIMMP03_20045,-,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20210212,-
1582157,26647128,PHIMMP03_20046,PHIMMP03_20046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647129,PHIMMP03_20047,PHIMMP03_20047,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1582157,26647130,PHIMMP03_20048,PHIMMP03_20048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647131,PHIMMP03_20049,PHIMMP03_20049,-,-,-,-,putative repressor,protein-coding,-,-,-,putative repressor,20200801,-
1582157,26647132,PHIMMP03_20050,PHIMMP03_20050,-,-,-,-,DUF739 family protein,protein-coding,-,-,-,DUF739 family protein,20210212,-
1582157,26647133,yoqD,PHIMMP03_20051,-,-,-,-,regulatory protein,protein-coding,-,-,-,regulatory protein,20210424,-
1582157,26647134,PHIMMP03_20053,PHIMMP03_20053,-,-,-,-,Arc family DNA-binding protein,protein-coding,-,-,-,Arc family DNA-binding protein,20210212,-
1582157,26647135,PHIMMP03_20054,PHIMMP03_20054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647136,PHIMMP03_20055,PHIMMP03_20055,-,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20201221,-
1582157,26647137,PHIMMP03_20056,PHIMMP03_20056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647138,PHIMMP03_20057,PHIMMP03_20057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647139,PHIMMP03_20058,PHIMMP03_20058,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20210424,-
1582157,26647140,PHIMMP03_20059,PHIMMP03_20059,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210212,-
1582157,26647141,PHIMMP03_29059,PHIMMP03_29059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647142,PHIMMP03_29060,PHIMMP03_29060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647143,PHIMMP03_20062,PHIMMP03_20062,-,-,-,-,Arc family DNA-binding protein,protein-coding,-,-,-,Arc family DNA-binding protein,20210129,-
1582157,26647144,PHIMMP03_20063,PHIMMP03_20063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647145,PHIMMP03_20064,PHIMMP03_20064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647146,PHIMMP03_20065,PHIMMP03_20065,-,-,-,-,siphovirus Gp157 family protein,protein-coding,-,-,-,siphovirus Gp157 family protein,20210129,-
1582157,26647147,erf,PHIMMP03_20066,-,-,-,-,ERF family protein,protein-coding,-,-,-,ERF family protein,20210129,-
1582157,26647148,PHIMMP03_20068,PHIMMP03_20068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647149,PHIMMP03_20069,PHIMMP03_20069,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20201221,-
1582157,26647150,PHIMMP03_20070,PHIMMP03_20070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647151,PHIMMP03_20071,PHIMMP03_20071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647152,PHIMMP03_20072,PHIMMP03_20072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647153,PHIMMP03_20073,PHIMMP03_20073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647154,PHIMMP03_20074,PHIMMP03_20074,-,-,-,-,DNA cytosine methyltransferase,protein-coding,-,-,-,DNA cytosine methyltransferase,20210424,-
1582157,26647155,PHIMMP03_20075,PHIMMP03_20075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1582157,26647156,PHIMMP03_20076,PHIMMP03_20076,-,-,-,-,nucleoid-associated protein,protein-coding,-,-,-,nucleoid-associated protein,20201221,-
1582157,26647157,PHIMMP03_20077,PHIMMP03_20077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647158,PHIMMP03_20078,PHIMMP03_20078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647159,PHIMMP03_20079,PHIMMP03_20079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647160,PHIMMP03_20080,PHIMMP03_20080,-,-,-,-,peptide chain release factor-like protein,protein-coding,-,-,-,peptide chain release factor-like protein,20210212,-
1582157,26647161,PHIMMP03_29080,PHIMMP03_29080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647162,PHIMMP03_20082,PHIMMP03_20082,-,-,-,-,ORF6C domain-containing protein,protein-coding,-,-,-,ORF6C domain-containing protein,20210129,-
1582157,26647163,PHIMMP03_20083,PHIMMP03_20083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647164,PHIMMP03_20084,PHIMMP03_20084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647165,PHIMMP03_20085,PHIMMP03_20085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647166,PHIMMP03_29085,PHIMMP03_29085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647167,PHIMMP03_20087,PHIMMP03_20087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647168,PHIMMP03_20042,PHIMMP03_20042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647169,PHIMMP03_20043,PHIMMP03_20043,-,-,-,-,BlaI/MecI/CopY family transcriptional regulator,protein-coding,-,-,-,BlaI/MecI/CopY family transcriptional regulator,20210212,-
1582157,26647170,PHIMMP03_20060,PHIMMP03_20060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647171,PHIMMP03_20061,PHIMMP03_20061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647172,PHIMMP03_20081,PHIMMP03_20081,-,-,-,-,RusA family crossover junction endodeoxyribonuclease,protein-coding,-,-,-,RusA family crossover junction endodeoxyribonuclease,20210129,-
1582157,26647173,PHIMMP03_20086,PHIMMP03_20086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647174,PHIMMP03_20067,PHIMMP03_20067,-,-,-,-,DnaD domain protein,protein-coding,-,-,-,DnaD domain protein,20210212,-
1582157,26647175,PHIMMP03_20052,PHIMMP03_20052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647176,PHIMMP03_20002,PHIMMP03_20002,-,-,-,-,PBSX familygterminase large subunit,protein-coding,-,-,-,PBSX familygterminase large subunit,20201221,-
1582157,26647177,yqaS,PHIMMP03_20001,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201221,-
1582157,26683521,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
