#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2250367,60333611,2,I5H86_gp002,SEA_SANDALPHON_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2250367,60333624,15,I5H86_gp015,SEA_SANDALPHON_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210417,-
2250367,60333625,16,I5H86_gp016,SEA_SANDALPHON_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2250367,60333626,17,I5H86_gp017,SEA_SANDALPHON_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2250367,60333627,18,I5H86_gp018,SEA_SANDALPHON_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2250367,60333628,19,I5H86_gp019,SEA_SANDALPHON_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2250367,60333629,20,I5H86_gp020,SEA_SANDALPHON_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210417,-
2250367,60333630,21,I5H86_gp021,SEA_SANDALPHON_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2250367,60333631,22,I5H86_gp022,SEA_SANDALPHON_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2250367,60333632,23,I5H86_gp023,SEA_SANDALPHON_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2250367,60333633,24,I5H86_gp024,SEA_SANDALPHON_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2250367,60333634,25,I5H86_gp025,SEA_SANDALPHON_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2250367,60333635,26,I5H86_gp026,SEA_SANDALPHON_26,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2250367,60333636,27,I5H86_gp027,SEA_SANDALPHON_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333637,28,I5H86_gp028,SEA_SANDALPHON_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333638,29,I5H86_gp029,SEA_SANDALPHON_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333639,30,I5H86_gp030,SEA_SANDALPHON_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333640,31,I5H86_gp031,SEA_SANDALPHON_31,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2250367,60333641,32,I5H86_gp032,SEA_SANDALPHON_32,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2250367,60333642,33,I5H86_gp033,SEA_SANDALPHON_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2250367,60333643,34,I5H86_gp034,SEA_SANDALPHON_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2250367,60333644,35,I5H86_gp035,SEA_SANDALPHON_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333645,36,I5H86_gp036,SEA_SANDALPHON_36,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20210417,-
2250367,60333646,37,I5H86_gp037,SEA_SANDALPHON_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333647,38,I5H86_gp038,SEA_SANDALPHON_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333648,39,I5H86_gp039,SEA_SANDALPHON_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333649,40,I5H86_gp040,SEA_SANDALPHON_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333650,41,I5H86_gp041,SEA_SANDALPHON_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333651,42,I5H86_gp042,SEA_SANDALPHON_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333652,43,I5H86_gp043,SEA_SANDALPHON_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333653,44,I5H86_gp044,SEA_SANDALPHON_44,-,-,-,excise,protein-coding,-,-,-,excise,20210313,-
2250367,60333654,45,I5H86_gp045,SEA_SANDALPHON_45,-,-,-,integrase,protein-coding,-,-,-,integrase,20210417,-
2250367,60333655,46,I5H86_gp046,SEA_SANDALPHON_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333656,47,I5H86_gp047,SEA_SANDALPHON_47,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
2250367,60333657,48,I5H86_gp048,SEA_SANDALPHON_48,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210424,-
2250367,60333658,49,I5H86_gp049,SEA_SANDALPHON_49,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210417,-
2250367,60333659,50,I5H86_gp050,SEA_SANDALPHON_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333660,51,I5H86_gp051,SEA_SANDALPHON_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333661,52,I5H86_gp052,SEA_SANDALPHON_52,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210417,-
2250367,60333662,53,I5H86_gp053,SEA_SANDALPHON_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2250367,60333663,54,I5H86_gp054,SEA_SANDALPHON_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333664,55,I5H86_gp055,SEA_SANDALPHON_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333665,56,I5H86_gp056,SEA_SANDALPHON_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333666,57,I5H86_gp057,SEA_SANDALPHON_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333667,58,I5H86_gp058,SEA_SANDALPHON_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2250367,60333668,59,I5H86_gp059,SEA_SANDALPHON_59,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210417,-
2250367,60333669,60,I5H86_gp060,SEA_SANDALPHON_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2250367,60333670,61,I5H86_gp061,SEA_SANDALPHON_61,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210417,-
2250367,60333671,62,I5H86_gp062,SEA_SANDALPHON_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333672,63,I5H86_gp063,SEA_SANDALPHON_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333673,64,I5H86_gp064,SEA_SANDALPHON_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333674,65,I5H86_gp065,SEA_SANDALPHON_65,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210417,-
2250367,60333675,66,I5H86_gp066,SEA_SANDALPHON_66,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2250367,60333676,67,I5H86_gp067,SEA_SANDALPHON_67,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210417,-
2250367,60333677,68,I5H86_gp068,SEA_SANDALPHON_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333678,69,I5H86_gp069,SEA_SANDALPHON_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333679,70,I5H86_gp070,SEA_SANDALPHON_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333680,71,I5H86_gp071,SEA_SANDALPHON_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333681,72,I5H86_gp072,SEA_SANDALPHON_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333682,73,I5H86_gp073,SEA_SANDALPHON_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333683,74,I5H86_gp074,SEA_SANDALPHON_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333684,75,I5H86_gp075,SEA_SANDALPHON_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333685,76,I5H86_gp076,SEA_SANDALPHON_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333686,77,I5H86_gp077,SEA_SANDALPHON_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333687,78,I5H86_gp078,SEA_SANDALPHON_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333688,79,I5H86_gp079,SEA_SANDALPHON_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333689,80,I5H86_gp080,SEA_SANDALPHON_80,-,-,-,peptidyl tRNA hydrolase,protein-coding,-,-,-,peptidyl tRNA hydrolase,20210417,-
2250367,60333690,81,I5H86_gp081,SEA_SANDALPHON_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333691,82,I5H86_gp082,SEA_SANDALPHON_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333692,83,I5H86_gp083,SEA_SANDALPHON_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333693,84,I5H86_gp084,SEA_SANDALPHON_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333694,85,I5H86_gp085,SEA_SANDALPHON_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333695,86,I5H86_gp086,SEA_SANDALPHON_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333696,87,I5H86_gp087,SEA_SANDALPHON_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333697,88,I5H86_gp088,SEA_SANDALPHON_88,-,-,-,MPME 2 protein,protein-coding,-,-,-,MPME 2 protein,20201129,-
2250367,60333698,89,I5H86_gp089,SEA_SANDALPHON_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333699,90,I5H86_gp090,SEA_SANDALPHON_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333700,91,I5H86_gp091,SEA_SANDALPHON_91,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210406,-
2250367,60333701,92,I5H86_gp092,SEA_SANDALPHON_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333702,93,I5H86_gp093,SEA_SANDALPHON_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333703,94,I5H86_gp094,SEA_SANDALPHON_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333704,95,I5H86_gp095,SEA_SANDALPHON_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333705,96,I5H86_gp096,SEA_SANDALPHON_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333706,97,I5H86_gp097,SEA_SANDALPHON_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333707,98,I5H86_gp098,SEA_SANDALPHON_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333708,99,I5H86_gp099,SEA_SANDALPHON_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333709,100,I5H86_gp100,SEA_SANDALPHON_100,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210417,-
2250367,60333710,101,I5H86_gp101,SEA_SANDALPHON_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250367,60333711,102,I5H86_gp102,SEA_SANDALPHON_102,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210417,-
2250367,60333712,103,I5H86_gp103,SEA_SANDALPHON_103,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2250367,60333713,104,I5H86_gp104,SEA_SANDALPHON_104,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2250367,60333714,1,I5H86_gp001,SEA_SANDALPHON_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2250367,60338681,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
