#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2483665,65116763,2,KNU17_gp02,SEA_AILEE_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210607,-
2483665,65116786,25,KNU17_gp25,SEA_AILEE_25,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210607,-
2483665,65116787,26,KNU17_gp26,SEA_AILEE_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116788,27,KNU17_gp27,SEA_AILEE_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116789,28,KNU17_gp28,SEA_AILEE_28,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210607,-
2483665,65116790,29,KNU17_gp29,SEA_AILEE_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116791,30,KNU17_gp30,SEA_AILEE_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116792,31,KNU17_gp31,SEA_AILEE_31,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210607,-
2483665,65116793,32,KNU17_gp32,SEA_AILEE_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2483665,65116794,33,KNU17_gp33,SEA_AILEE_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2483665,65116795,34,KNU17_gp34,SEA_AILEE_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116796,35,KNU17_gp35,SEA_AILEE_35,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2483665,65116797,36,KNU17_gp36,SEA_AILEE_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116798,37,KNU17_gp37,SEA_AILEE_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116799,38,KNU17_gp38,SEA_AILEE_38,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210607,-
2483665,65116800,39,KNU17_gp39,SEA_AILEE_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116801,40,KNU17_gp40,SEA_AILEE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116802,41,KNU17_gp41,SEA_AILEE_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116803,42,KNU17_gp42,SEA_AILEE_42,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210607,-
2483665,65116804,43,KNU17_gp43,SEA_AILEE_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116805,44,KNU17_gp44,SEA_AILEE_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116806,45,KNU17_gp45,SEA_AILEE_45,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210607,-
2483665,65116807,46,KNU17_gp46,SEA_AILEE_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116808,47,KNU17_gp47,SEA_AILEE_47,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
2483665,65116809,48,KNU17_gp48,SEA_AILEE_48,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210607,-
2483665,65116810,49,KNU17_gp49,SEA_AILEE_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116811,50,KNU17_gp50,SEA_AILEE_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116812,51,KNU17_gp51,SEA_AILEE_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116813,52,KNU17_gp52,SEA_AILEE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116814,53,KNU17_gp53,SEA_AILEE_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116815,54,KNU17_gp54,SEA_AILEE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116816,56,KNU17_gp56,SEA_AILEE_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116817,57,KNU17_gp57,SEA_AILEE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2483665,65116818,58,KNU17_gp58,SEA_AILEE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116819,59,KNU17_gp59,SEA_AILEE_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116820,60,KNU17_gp60,SEA_AILEE_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116821,61,KNU17_gp61,SEA_AILEE_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116822,62,KNU17_gp62,SEA_AILEE_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116823,63,KNU17_gp63,SEA_AILEE_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116824,64,KNU17_gp64,SEA_AILEE_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116825,65,KNU17_gp65,SEA_AILEE_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116826,67,KNU17_gp67,SEA_AILEE_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116827,68,KNU17_gp68,SEA_AILEE_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116828,69,KNU17_gp69,SEA_AILEE_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116829,70,KNU17_gp70,SEA_AILEE_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116830,71,KNU17_gp71,SEA_AILEE_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116831,72,KNU17_gp72,SEA_AILEE_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116832,73,KNU17_gp73,SEA_AILEE_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116833,74,KNU17_gp74,SEA_AILEE_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116834,75,KNU17_gp75,SEA_AILEE_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116835,76,KNU17_gp76,SEA_AILEE_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116836,77,KNU17_gp77,SEA_AILEE_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116837,78,KNU17_gp78,SEA_AILEE_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116838,79,KNU17_gp79,SEA_AILEE_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116839,80,KNU17_gp80,SEA_AILEE_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116840,81,KNU17_gp81,SEA_AILEE_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116841,82,KNU17_gp82,SEA_AILEE_82,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210607,-
2483665,65116842,83,KNU17_gp83,SEA_AILEE_83,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210607,-
2483665,65116843,66,KNU17_gp66,SEA_AILEE_66,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210607,-
2483665,65116844,55,KNU17_gp55,SEA_AILEE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116845,1,KNU17_gp01,SEA_AILEE_1,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210607,-
2483665,65242948,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
