#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
77775,2658887,12,Felix01p072,-,-,-,-,Putative tail protein,protein-coding,-,-,-,Putative tail protein,20200629,-
77775,2743923,Felix01p216,Felix01p216,-,-,-,-,Putative phage glutaredoxin,protein-coding,-,-,-,Putative phage glutaredoxin,20200629,-
77775,2743924,Felix01p218,Felix01p218,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20200629,-
77775,2743925,Felix01p220,Felix01p220,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20200629,-
77775,2743928,Felix01p227,Felix01p227,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2743929,Felix01p229,Felix01p229,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2743934,Felix01p237,Felix01p237,-,-,-,-,Putative HNH endonuclease,protein-coding,-,-,-,Putative HNH endonuclease,20201009,-
77775,2743937,Felix01p243,Felix01p243,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20200926,-
77775,2743939,Felix01p011,Felix01p011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2743940,Felix01p014,Felix01p014,-,-,-,-,Phage conserved protein,protein-coding,-,-,-,Phage conserved protein,20200629,-
77775,2743941,Felix01p017,Felix01p017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2743942,Felix01p019,Felix01p019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2743943,Felix01p024,Felix01p024,-,-,-,-,Phage conserved protein,protein-coding,-,-,-,Phage conserved protein,20200629,-
77775,2743944,Felix01p025,Felix01p025,-,-,-,-,Phage conserved protein,protein-coding,-,-,-,Phage conserved protein,20201009,-
77775,2743945,Felix01p032,Felix01p032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2743947,Felix01p016,Felix01p016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2743950,Felix01p021,Felix01p021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2743957,Felix01p030,Felix01p030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2743960,Felix01p034,Felix01p034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2743961,Felix01p035,Felix01p035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2743963,Felix01p037,Felix01p037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2743971,Felix01p053,Felix01p053,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20200629,-
77775,2743974,Felix01p056,Felix01p056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2743975,Felix01p057,Felix01p057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2743984,Felix01p073,Felix01p073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
77775,2743985,Felix01p076,Felix01p076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2743986,Felix01p077,Felix01p077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2743992,Felix01p085,Felix01p085,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200629,-
77775,2743995,Felix01p088,Felix01p088,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200629,-
77775,2743996,Felix01p090,Felix01p090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2743999,Felix01p093,Felix01p093,-,-,-,-,Phage conserved protein; putative endonuclease VII,protein-coding,-,-,-,Phage conserved protein|putative endonuclease VII,20200629,-
77775,2744003,Felix01p097,Felix01p097,-,-,-,-,Phage conserved protein,protein-coding,-,-,-,Phage conserved protein,20200629,-
77775,2744008,Felix01p109,Felix01p109,-,-,-,-,signal peptide peptidase SppA,protein-coding,-,-,-,signal peptide peptidase SppA,20201220,-
77775,2744022,Felix01p049,Felix01p049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744023,Felix01p050,Felix01p050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744024,Felix01p051,Felix01p051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744025,Felix01p052,Felix01p052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744026,Felix01p060,Felix01p060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744027,Felix01p062,Felix01p062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744028,Felix01p064,Felix01p064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744029,Felix01p066,Felix01p066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744030,Felix01p068,Felix01p068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744032,Felix01p075,Felix01p075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744033,Felix01p078,Felix01p078,-,-,-,-,Phage conserved protein,protein-coding,-,-,-,Phage conserved protein,20200629,-
77775,2744034,Felix01p079,Felix01p079,-,-,-,-,Phage conserved protein,protein-coding,-,-,-,Phage conserved protein,20201009,-
77775,2744037,Felix01p103,Felix01p103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
77775,2744038,Felix01p105,Felix01p105,-,-,-,-,"Terminase, large subunit",protein-coding,-,-,-,"Terminase, large subunit",20210212,-
77775,2744039,Felix01p106,Felix01p106,-,-,-,-,Phage conserved protein,protein-coding,-,-,-,Phage conserved protein,20200629,-
77775,2744040,Felix01p107,Felix01p107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744041,Felix01p108,Felix01p108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
77775,2744043,Felix01p111,Felix01p111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744044,Felix01p112,Felix01p112,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201003,-
77775,2744045,Felix01p113,Felix01p113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
77775,2744046,Felix01p114,Felix01p114,-,-,-,-,Phage conserved protein,protein-coding,-,-,-,Phage conserved protein,20200629,-
77775,2744047,Felix01p115,Felix01p115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744048,Felix01p116,Felix01p116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744049,Felix01p117,Felix01p117,-,-,-,-,Phage conserved structural protein,protein-coding,-,-,-,Phage conserved structural protein,20200629,-
77775,2744050,Felix01p118,Felix01p118,-,-,-,-,Phage conserved protein,protein-coding,-,-,-,Phage conserved protein,20210417,-
77775,2744051,Felix01p120,Felix01p120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744052,Felix01p121,Felix01p121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744053,Felix01p122,Felix01p122,-,-,-,-,Phage conserved protein,protein-coding,-,-,-,Phage conserved protein,20200629,-
77775,2744054,Felix01p127,Felix01p127,-,-,-,-,Phage conserved protein,protein-coding,-,-,-,Phage conserved protein,20200629,-
77775,2744055,Felix01p130,Felix01p130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744056,Felix01p131,Felix01p131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
77775,2744057,Felix01p133,Felix01p133,-,-,-,-,putative baseplate protein,protein-coding,-,-,-,putative baseplate protein,20210212,-
77775,2744058,Felix01p135,Felix01p135,-,-,-,-,Phage conserved protein,protein-coding,-,-,-,Phage conserved protein,20200629,-
77775,2744059,Felix01p136,Felix01p136,-,-,-,-,Phage conserved protein,protein-coding,-,-,-,Phage conserved protein,20200629,-
77775,2744060,Felix01p139,Felix01p139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744061,Felix01p141,Felix01p141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
77775,2744062,Felix01p142,Felix01p142,-,-,-,-,Putative tail fiber protein GP37,protein-coding,-,-,-,Putative tail fiber protein GP37,20201009,-
77775,2744063,Felix01p144,Felix01p144,-,-,-,-,Putative tail fiber protein,protein-coding,-,-,-,Putative tail fiber protein,20201009,-
77775,2744065,Felix01p148,Felix01p148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744066,Felix01p153,Felix01p153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744067,Felix01p154,Felix01p154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744068,Felix01p158,Felix01p158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744069,Felix01p159,Felix01p159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
77775,2744070,Felix01p163,Felix01p163,-,-,-,-,Putative DNA ligase,protein-coding,-,-,-,Putative DNA ligase,20200629,-
77775,2744071,Felix01p166,Felix01p166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744072,Felix01p168,Felix01p168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744073,Felix01p173,Felix01p173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744074,Felix01p179,Felix01p179,-,-,-,-,Putative DNA polymerase,protein-coding,-,-,-,Putative DNA polymerase,20201009,-
77775,2744075,Felix01p180,Felix01p180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744076,Felix01p181,Felix01p181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744077,Felix01p191,Felix01p191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744078,Felix01p201,Felix01p201,-,-,-,-,Phage conserved protein,protein-coding,-,-,-,Phage conserved protein,20200629,-
77775,2744079,Felix01p204,Felix01p204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744080,Felix01p205,Felix01p205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744082,Felix01p222,Felix01p222,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744083,Felix01p225,Felix01p225,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
77775,2744084,Felix01p226,Felix01p226,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744087,Felix01p233,Felix01p233,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744088,Felix01p236,Felix01p236,-,-,-,-,Putative ribose-phosphate pyrophosphokinase,protein-coding,-,-,-,Putative ribose-phosphate pyrophosphokinase,20200629,-
77775,2744090,nadV,Felix01p239,-,-,-,-,nicotinamide phosphoribosyl transferase,protein-coding,-,-,-,nicotinamide phosphoribosyl transferase,20201220,-
77775,2744091,Felix01p241,Felix01p241,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744092,Felix01t004,Felix01t004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
77775,2744093,Felix01t005,Felix01t005,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
77775,2744094,Felix01t006,Felix01t006,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
77775,2744095,Felix01t007,Felix01t007,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
77775,2744096,Felix01t008,Felix01t008,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
77775,2744097,Felix01t009,Felix01t009,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
77775,2744098,Felix01t010,Felix01t010,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
77775,2744099,Felix01t011,Felix01t011,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
77775,2744100,Felix01t012,Felix01t012,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
77775,2744101,Felix01t013,Felix01t013,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
77775,2744102,Felix01t014,Felix01t014,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
77775,2744103,Felix01t015,Felix01t015,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
77775,2744104,Felix01t016,Felix01t016,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
77775,2744105,Felix01t017,Felix01t017,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
77775,2744106,Felix01t018,Felix01t018,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
77775,2744107,Felix01t019,Felix01t019,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
77775,2744108,Felix01t020,Felix01t020,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
77775,2744109,Felix01t021,Felix01t021,-,-,-,-,-,other,-,-,-,-,20200909,-
77775,2744110,Felix01t022,Felix01t022,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
77775,2744111,Felix01p041,Felix01p041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744112,Felix01p044,Felix01p044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2744113,Felix01p046,Felix01p046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2829813,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacteriophage Felix 01; Enterobacteria phage Felix 01; Salmonella phage Felix 01; Salmonella phage Felix O1; Salmonella phage Felix01).,other,-,-,-,-,20200513,-
77775,5666711,FelixO1p245,FelixO1p245,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,5666712,FelixO1p244,FelixO1p244,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
