#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1747289,26642974,AVT93_gp02,AVT93_gp02,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1747289,26643016,AVT93_gp44,AVT93_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26643017,AVT93_gp45,AVT93_gp45,-,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20201221,-
1747289,26643018,AVT93_gp46,AVT93_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26643019,AVT93_gp47,AVT93_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26643020,AVT93_gp48,AVT93_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26643021,AVT93_gp49,AVT93_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26643022,AVT93_gp50,AVT93_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26643023,AVT93_gp51,AVT93_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26643024,AVT93_gp52,AVT93_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26643025,AVT93_gp53,AVT93_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26643026,AVT93_gp54,AVT93_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26643027,AVT93_gp55,AVT93_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26643028,AVT93_gp56,AVT93_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26643029,AVT93_gp57,AVT93_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26643030,AVT93_gp01,AVT93_gp01,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1747289,26681019,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Enterococcus faecalis phage vB_IME196; Enterococcus phage vB_IME196).,other,-,-,-,-,20200513,-
