#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2599868,63926164,2,KDW76_gp02,PBI_LEMURIA_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210422,-
2599868,63926195,33,KDW76_gp33,PBI_LEMURIA_33,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,20210422,-
2599868,63926196,34,KDW76_gp34,PBI_LEMURIA_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926197,35,KDW76_gp35,PBI_LEMURIA_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926198,36,KDW76_gp36,PBI_LEMURIA_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926199,37,KDW76_gp37,PBI_LEMURIA_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926200,38,KDW76_gp38,PBI_LEMURIA_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926201,39,KDW76_gp39,PBI_LEMURIA_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926202,40,KDW76_gp40,PBI_LEMURIA_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926203,41,KDW76_gp41,PBI_LEMURIA_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926204,42,KDW76_gp42,PBI_LEMURIA_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926205,43,KDW76_gp43,PBI_LEMURIA_43,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210422,-
2599868,63926206,44,KDW76_gp44,PBI_LEMURIA_44,-,-,-,RecB-like exonuclease/helicase,protein-coding,-,-,-,RecB-like exonuclease/helicase,20210422,-
2599868,63926207,45,KDW76_gp45,PBI_LEMURIA_45,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210422,-
2599868,63926208,46,KDW76_gp46,PBI_LEMURIA_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926209,47,KDW76_gp47,PBI_LEMURIA_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926210,48,KDW76_gp48,PBI_LEMURIA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926211,49,KDW76_gp49,PBI_LEMURIA_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926212,50,KDW76_gp50,PBI_LEMURIA_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926213,51,KDW76_gp51,PBI_LEMURIA_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926214,52,KDW76_gp52,PBI_LEMURIA_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926215,53,KDW76_gp53,PBI_LEMURIA_53,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210422,-
2599868,63926216,54,KDW76_gp54,PBI_LEMURIA_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926217,55,KDW76_gp55,PBI_LEMURIA_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926218,56,KDW76_gp56,PBI_LEMURIA_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926219,57,KDW76_gp57,PBI_LEMURIA_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926220,58,KDW76_gp58,PBI_LEMURIA_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926221,59,KDW76_gp59,PBI_LEMURIA_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926222,61,KDW76_gp61,PBI_LEMURIA_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926223,62,KDW76_gp62,PBI_LEMURIA_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926224,64,KDW76_gp64,PBI_LEMURIA_64,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210422,-
2599868,63926225,65,KDW76_gp65,PBI_LEMURIA_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926226,63,KDW76_gp63,PBI_LEMURIA_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926227,60,KDW76_gp60,PBI_LEMURIA_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926228,1,KDW76_gp01,PBI_LEMURIA_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,64409763,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210426,-
