#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1838070,28378364,2,BEN62_gp002,PBI_KATHERINEG_2,-,-,-,ADP-ribosyltransferase,protein-coding,-,-,-,ADP-ribosyltransferase,20210424,-
1838070,28378393,34,BEN62_gp076,PBI_KATHERINEG_34,-,-,-,Lsr2-like DNA bridging protein,protein-coding,-,-,-,Lsr2-like DNA bridging protein,20210424,-
1838070,28378394,35,BEN62_gp075,PBI_KATHERINEG_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378395,36,BEN62_gp074,PBI_KATHERINEG_36,-,-,-,ParA-like dsDNA partitioning protein,protein-coding,-,-,-,ParA-like dsDNA partitioning protein,20200719,-
1838070,28378396,37,BEN62_gp073,PBI_KATHERINEG_37,-,-,-,ParB,protein-coding,-,-,-,ParB,20200719,-
1838070,28378397,38,BEN62_gp072,PBI_KATHERINEG_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378398,39,BEN62_gp071,PBI_KATHERINEG_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378399,40,BEN62_gp070,PBI_KATHERINEG_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378400,41,BEN62_gp069,PBI_KATHERINEG_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378401,42,BEN62_gp068,PBI_KATHERINEG_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378402,43,BEN62_gp067,PBI_KATHERINEG_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378403,44,BEN62_gp066,PBI_KATHERINEG_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378404,45,BEN62_gp065,PBI_KATHERINEG_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378405,46,BEN62_gp064,PBI_KATHERINEG_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378406,47,BEN62_gp063,PBI_KATHERINEG_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1838070,28378407,48,BEN62_gp062,PBI_KATHERINEG_48,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210424,-
1838070,28378408,49,BEN62_gp061,PBI_KATHERINEG_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378409,50,BEN62_gp060,PBI_KATHERINEG_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378410,51,BEN62_gp059,PBI_KATHERINEG_51,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20200912,-
1838070,28378411,52,BEN62_gp058,PBI_KATHERINEG_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378412,53,BEN62_gp057,PBI_KATHERINEG_53,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20200719,-
1838070,28378413,54,BEN62_gp056,PBI_KATHERINEG_54,-,-,-,MazG-like nucleotide pyrophosphohydrolase,protein-coding,-,-,-,MazG-like nucleotide pyrophosphohydrolase,20200719,-
1838070,28378414,55,BEN62_gp055,PBI_KATHERINEG_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378415,56,BEN62_gp054,PBI_KATHERINEG_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378416,57,BEN62_gp053,PBI_KATHERINEG_57,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20200719,-
1838070,28378417,58,BEN62_gp052,PBI_KATHERINEG_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378418,59,BEN62_gp051,PBI_KATHERINEG_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378419,60,BEN62_gp050,PBI_KATHERINEG_60,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200719,-
1838070,28378420,61,BEN62_gp049,PBI_KATHERINEG_61,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20200912,-
1838070,28378421,62,BEN62_gp048,PBI_KATHERINEG_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1838070,28378422,63,BEN62_gp047,PBI_KATHERINEG_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378423,64,BEN62_gp046,PBI_KATHERINEG_64,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210424,-
1838070,28378424,65,BEN62_gp045,PBI_KATHERINEG_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378425,66,BEN62_gp044,PBI_KATHERINEG_66,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200719,-
1838070,28378426,67,BEN62_gp043,PBI_KATHERINEG_67,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200912,-
1838070,28378427,68,BEN62_gp042,PBI_KATHERINEG_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378428,69,BEN62_gp041,PBI_KATHERINEG_69,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20200912,-
1838070,28378429,70,BEN62_gp040,PBI_KATHERINEG_70,-,-,-,EndoVII,protein-coding,-,-,-,EndoVII,20200912,-
1838070,28378430,71,BEN62_gp039,PBI_KATHERINEG_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378431,72,BEN62_gp038,PBI_KATHERINEG_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378432,73,BEN62_gp037,PBI_KATHERINEG_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378433,74,BEN62_gp036,PBI_KATHERINEG_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378434,75,BEN62_gp035,PBI_KATHERINEG_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378435,76,BEN62_gp034,PBI_KATHERINEG_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378436,77,BEN62_gp033,PBI_KATHERINEG_77,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20200912,-
1838070,28378437,78,BEN62_gp032,PBI_KATHERINEG_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378438,79,BEN62_gp031,PBI_KATHERINEG_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1838070,28378439,80,BEN62_gp030,PBI_KATHERINEG_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378440,81,BEN62_gp029,PBI_KATHERINEG_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378441,82,BEN62_gp028,PBI_KATHERINEG_82,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20200719,-
1838070,28378442,83,BEN62_gp027,PBI_KATHERINEG_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378443,84,BEN62_gp026,PBI_KATHERINEG_84,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200719,-
1838070,28378444,85,BEN62_gp025,PBI_KATHERINEG_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378445,86,BEN62_gp024,PBI_KATHERINEG_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378446,87,BEN62_gp023,PBI_KATHERINEG_87,-,-,-,SprT-like protein,protein-coding,-,-,-,SprT-like protein,20200912,-
1838070,28378447,88,BEN62_gp022,PBI_KATHERINEG_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378448,89,BEN62_gp021,PBI_KATHERINEG_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378449,90,BEN62_gp020,PBI_KATHERINEG_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378450,91,BEN62_gp019,PBI_KATHERINEG_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378451,92,BEN62_gp018,PBI_KATHERINEG_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378452,93,BEN62_gp017,PBI_KATHERINEG_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378453,94,BEN62_gp016,PBI_KATHERINEG_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378454,95,BEN62_gp015,PBI_KATHERINEG_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378455,96,BEN62_gp014,PBI_KATHERINEG_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378456,97,BEN62_gp013,PBI_KATHERINEG_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378457,98,BEN62_gp012,PBI_KATHERINEG_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378458,99,BEN62_gp011,PBI_KATHERINEG_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378459,100,BEN62_gp010,PBI_KATHERINEG_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378460,101,BEN62_gp009,PBI_KATHERINEG_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378461,10,BEN62_gt002,PBI_KATHERINEG_10,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1838070,28378462,11,BEN62_gt003,PBI_KATHERINEG_11,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1838070,28378463,12,BEN62_gp098,PBI_KATHERINEG_12,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200719,-
1838070,28378464,1,BEN62_gp001,PBI_KATHERINEG_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28417738,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
