#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1852641,29065769,FROZEN_2,FROZEN_2,-,-,-,-,putative RNAP1 subunit A,protein-coding,-,-,-,putative RNAP1 subunit A,20200910,-
1852641,29065795,FROZEN_29,FROZEN_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065796,FROZEN_30,FROZEN_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065797,FROZEN_31,FROZEN_31,-,-,-,-,putative ATP-dependent CLP protease,protein-coding,-,-,-,putative ATP-dependent CLP protease,20200910,-
1852641,29065798,FROZEN_32,FROZEN_32,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20200910,-
1852641,29065799,FROZEN_33,FROZEN_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065800,FROZEN_34,FROZEN_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065801,FROZEN_36,FROZEN_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065802,FROZEN_37,FROZEN_37,-,-,-,-,putative ATP-dependent 26S proteasome regulatory subunit,protein-coding,-,-,-,putative ATP-dependent 26S proteasome regulatory subunit,20200910,-
1852641,29065803,FROZEN_38,FROZEN_38,-,-,-,-,putative AAA domain protein,protein-coding,-,-,-,putative AAA domain protein,20200910,-
1852641,29065804,FROZEN_39,FROZEN_39,-,-,-,-,putative metallopeptidase domain protein,protein-coding,-,-,-,putative metallopeptidase domain protein,20200910,-
1852641,29065805,FROZEN_40,FROZEN_40,-,-,-,-,putative dCTP deaminase,protein-coding,-,-,-,putative dCTP deaminase,20200910,-
1852641,29065806,FROZEN_42,FROZEN_42,-,-,-,-,putative DNA adenine methylase,protein-coding,-,-,-,putative DNA adenine methylase,20200910,-
1852641,29065807,FROZEN_43,FROZEN_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065808,FROZEN_44,FROZEN_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065809,FROZEN_45,FROZEN_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065810,FROZEN_46,FROZEN_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065811,FROZEN_47,FROZEN_47,-,-,-,-,putative thymidylate synthase,protein-coding,-,-,-,putative thymidylate synthase,20200910,-
1852641,29065812,FROZEN_48,FROZEN_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065813,FROZEN_50,FROZEN_50,-,-,-,-,putative rIIB-like protein,protein-coding,-,-,-,putative rIIB-like protein,20200910,-
1852641,29065814,FROZEN_51,FROZEN_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065815,FROZEN_52,FROZEN_52,-,-,-,-,putative phosphoribosyl-ATP pyrophosphohydrolase,protein-coding,-,-,-,putative phosphoribosyl-ATP pyrophosphohydrolase,20200910,-
1852641,29065816,FROZEN_53,FROZEN_53,-,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20200910,-
1852641,29065817,FROZEN_54,FROZEN_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065818,FROZEN_55,FROZEN_55,-,-,-,-,putative DNA polymerase I,protein-coding,-,-,-,putative DNA polymerase I,20200910,-
1852641,29065819,FROZEN_56,FROZEN_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065820,FROZEN_57,FROZEN_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065821,FROZEN_58,FROZEN_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065822,FROZEN_59,FROZEN_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065823,FROZEN_60,FROZEN_60,-,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20200910,-
1852641,29065824,FROZEN_61,FROZEN_61,-,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20200910,-
1852641,29065825,FROZEN_62,FROZEN_62,-,-,-,-,putative AAA domain protein,protein-coding,-,-,-,putative AAA domain protein,20200910,-
1852641,29065826,FROZEN_63,FROZEN_63,-,-,-,-,putative ssDNA-binding protein,protein-coding,-,-,-,putative ssDNA-binding protein,20200910,-
1852641,29065827,FROZEN_64,FROZEN_64,-,-,-,-,putative holliday junction resolvase,protein-coding,-,-,-,putative holliday junction resolvase,20200910,-
1852641,29065828,FROZEN_65,FROZEN_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065829,FROZEN_66,FROZEN_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065830,FROZEN_67,FROZEN_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065831,FROZEN_68,FROZEN_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065832,FROZEN_69,FROZEN_69,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1852641,29065833,FROZEN_70,FROZEN_70,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1852641,29065834,FROZEN_71,FROZEN_71,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1852641,29065835,FROZEN_72,FROZEN_72,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1852641,29065836,FROZEN_73,FROZEN_73,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1852641,29065837,FROZEN_74,FROZEN_74,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1852641,29065838,FROZEN_75,FROZEN_75,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1852641,29065839,FROZEN_76,FROZEN_76,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1852641,29065840,FROZEN_77,FROZEN_77,-,-,-,-,putative RyR domain-containing protein,protein-coding,-,-,-,putative RyR domain-containing protein,20200910,-
1852641,29065841,FROZEN_78,FROZEN_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065842,FROZEN_79,FROZEN_79,-,-,-,-,putative virion RNA polymerase,protein-coding,-,-,-,putative virion RNA polymerase,20200910,-
1852641,29065843,FROZEN_80,FROZEN_80,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
1852641,29065844,FROZEN_81,FROZEN_81,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
1852641,29065845,FROZEN_82,FROZEN_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065846,FROZEN_83,FROZEN_83,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
1852641,29065847,FROZEN_84,FROZEN_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065848,FROZEN_85,FROZEN_85,-,-,-,-,putative major coat protein,protein-coding,-,-,-,putative major coat protein,20200910,-
1852641,29065849,FROZEN_86,FROZEN_86,-,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20200910,-
1852641,29065850,FROZEN_87,FROZEN_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065851,FROZEN_88,FROZEN_88,-,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20200910,-
1852641,29065852,FROZEN_89,FROZEN_89,-,-,-,-,putative Rz/Rzl spanin protein,protein-coding,-,-,-,putative Rz/Rzl spanin protein,20200910,-
1852641,29065853,FROZEN_90,FROZEN_90,-,-,-,-,putative N-acetylmuramidase,protein-coding,-,-,-,putative N-acetylmuramidase,20200910,-
1852641,29065854,FROZEN_91,FROZEN_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065855,FROZEN_92,FROZEN_92,-,-,-,-,putative tail-length tape measure protein,protein-coding,-,-,-,putative tail-length tape measure protein,20200910,-
1852641,29065856,FROZEN_93,FROZEN_93,-,-,-,-,putative coagulation factor 5/8 domain-containing protein,protein-coding,-,-,-,putative coagulation factor 5/8 domain-containing protein,20200910,-
1852641,29065857,FROZEN_94,FROZEN_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065858,FROZEN_95,FROZEN_95,-,-,-,-,putative EPS-depolymerase,protein-coding,-,-,-,putative EPS-depolymerase,20200910,-
1852641,29065859,FROZEN_96,FROZEN_96,-,-,-,-,putative 30 kDa protein,protein-coding,-,-,-,putative 30 kDa protein,20200910,-
1852641,29065860,FROZEN_97,FROZEN_97,-,-,-,-,putative terminase subunit A,protein-coding,-,-,-,putative terminase subunit A,20200910,-
1852641,29065861,FROZEN_98,FROZEN_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065862,FROZEN_99,FROZEN_99,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065863,FROZEN_100,FROZEN_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065864,FROZEN_4,FROZEN_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065865,FROZEN_35,FROZEN_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065866,FROZEN_41,FROZEN_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065867,FROZEN_49,FROZEN_49,-,-,-,-,putative rIIA-like protein,protein-coding,-,-,-,putative rIIA-like protein,20200910,-
1852641,29065868,FROZEN_1,FROZEN_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29139948,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
