#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1916098,62681980,JT344_gp03,JT344_gp03,Utah_04,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210215,-
1916098,62682026,JT344_gp48,JT344_gp48,Utah_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1916098,62682027,JT344_gp49,JT344_gp49,Utah_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682028,JT344_gp50,JT344_gp50,Utah_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682029,JT344_gp51,JT344_gp51,Utah_052,-,-,-,DNA methylase domain protein,protein-coding,-,-,-,DNA methylase domain protein,20210417,-
1916098,62682030,JT344_gp52,JT344_gp52,Utah_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682031,JT344_gp53,JT344_gp53,Utah_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682032,JT344_gp54,JT344_gp54,Utah_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682033,JT344_gp55,JT344_gp55,Utah_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682034,JT344_gp56,JT344_gp56,Utah_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682035,JT344_gp57,JT344_gp57,Utah_058,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210417,-
1916098,62682036,JT344_gp58,JT344_gp58,Utah_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682037,JT344_gp59,JT344_gp59,Utah_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682038,JT344_gp60,JT344_gp60,Utah_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682039,JT344_gp61,JT344_gp61,Utah_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682040,JT344_gp62,JT344_gp62,Utah_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682041,JT344_gp63,JT344_gp63,Utah_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682042,JT344_gp64,JT344_gp64,Utah_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682043,JT344_gp65,JT344_gp65,Utah_066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682044,JT344_gp66,JT344_gp66,Utah_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682045,JT344_gp67,JT344_gp67,Utah_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682046,JT344_gp68,JT344_gp68,Utah_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682047,JT344_gp69,JT344_gp69,Utah_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682048,JT344_gp70,JT344_gp70,Utah_071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682049,JT344_gp71,JT344_gp71,Utah_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682050,JT344_gp72,JT344_gp72,Utah_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682051,JT344_gp73,JT344_gp73,Utah_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682052,JT344_gp01,JT344_gp01,Utah_02,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20210417,-
1916098,62714169,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Enterobacteria phage Utah).,other,-,-,-,-,20210217,-
