#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2743781,65127089,KNV10_gp02,KNV10_gp02,elemo79Aphanotate_2,-,-,-,A1-like protein,protein-coding,-,-,-,A1-like protein,20210608,-
2743781,65127122,KNV10_gp76,KNV10_gp76,elemo79Aphanotate_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127123,KNV10_gp75,KNV10_gp75,elemo79Aphanotate_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127124,KNV10_gp74,KNV10_gp74,elemo79Aphanotate_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127125,KNV10_gp73,KNV10_gp73,elemo79Aphanotate_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127126,KNV10_gp72,KNV10_gp72,elemo79Aphanotate_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127127,KNV10_gp71,KNV10_gp71,elemo79Aphanotate_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127128,KNV10_gp70,KNV10_gp70,elemo79Aphanotate_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127129,KNV10_gp69,KNV10_gp69,elemo79Aphanotate_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127130,KNV10_gp68,KNV10_gp68,elemo79Aphanotate_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127131,KNV10_gp67,KNV10_gp67,elemo79Aphanotate_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127132,KNV10_gp66,KNV10_gp66,elemo79Aphanotate_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127133,KNV10_gp65,KNV10_gp65,elemo79Aphanotate_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127134,KNV10_gp64,KNV10_gp64,elemo79Aphanotate_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127135,KNV10_gp63,KNV10_gp63,elemo79Aphanotate_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127136,KNV10_gp62,KNV10_gp62,elemo79Aphanotate_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127137,KNV10_gp61,KNV10_gp61,elemo79Aphanotate_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127138,KNV10_gp60,KNV10_gp60,elemo79Aphanotate_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127139,KNV10_gp59,KNV10_gp59,elemo79Aphanotate_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127140,KNV10_gp58,KNV10_gp58,elemo79Aphanotate_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127141,KNV10_gp57,KNV10_gp57,elemo79Aphanotate_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127142,KNV10_gp56,KNV10_gp56,elemo79Aphanotate_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127143,KNV10_gp55,KNV10_gp55,elemo79Aphanotate_56,-,-,-,PE-PGRS family protein,protein-coding,-,-,-,PE-PGRS family protein,20210608,-
2743781,65127144,KNV10_gp54,KNV10_gp54,elemo79Aphanotate_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127145,KNV10_gp53,KNV10_gp53,elemo79Aphanotate_58,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210608,-
2743781,65127146,KNV10_gp52,KNV10_gp52,elemo79Aphanotate_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127147,KNV10_gp51,KNV10_gp51,elemo79Aphanotate_60,-,-,-,HAD family hydrolase,protein-coding,-,-,-,HAD family hydrolase,20210608,-
2743781,65127148,KNV10_gp50,KNV10_gp50,elemo79Aphanotate_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127149,KNV10_gp49,KNV10_gp49,elemo79Aphanotate_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127150,KNV10_gp48,KNV10_gp48,elemo79Aphanotate_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127151,KNV10_gp47,KNV10_gp47,elemo79Aphanotate_64,-,-,-,co-chaperonin GroES,protein-coding,-,-,-,co-chaperonin GroES,20210608,-
2743781,65127152,KNV10_gp46,KNV10_gp46,elemo79Aphanotate_65,-,-,-,chaperonin GroEL,protein-coding,-,-,-,chaperonin GroEL,20210608,-
2743781,65127153,KNV10_gp45,KNV10_gp45,elemo79Aphanotate_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127154,KNV10_gp44,KNV10_gp44,elemo79Aphanotate_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127155,KNV10_gp43,KNV10_gp43,elemo79Aphanotate_68,-,-,-,putative YapH protein,protein-coding,-,-,-,putative YapH protein,20210608,-
2743781,65127156,KNV10_gp42,KNV10_gp42,elemo79Aphanotate_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127157,KNV10_gp41,KNV10_gp41,elemo79Aphanotate_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127158,KNV10_gp40,KNV10_gp40,elemo79Aphanotate_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127159,KNV10_gp39,KNV10_gp39,elemo79Aphanotate_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127160,KNV10_gp38,KNV10_gp38,elemo79Aphanotate_73,-,-,-,D-alanyl-D-alanine carboxypeptidase,protein-coding,-,-,-,D-alanyl-D-alanine carboxypeptidase,20210608,-
2743781,65127161,KNV10_gp37,KNV10_gp37,elemo79Aphanotate_74,-,-,-,DUF285 domain-containing protein,protein-coding,-,-,-,DUF285 domain-containing protein,20210608,-
2743781,65127162,KNV10_gp36,KNV10_gp36,elemo79Aphanotate_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127163,KNV10_gp35,KNV10_gp35,elemo79Aphanotate_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127164,KNV10_gp34,KNV10_gp34,elemo79Aphanotate_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127165,KNV10_gp33,KNV10_gp33,elemo79Aphanotate_78,-,-,-,chaperonin cpn10,protein-coding,-,-,-,chaperonin cpn10,20210608,-
2743781,65127166,KNV10_gp32,KNV10_gp32,elemo79Aphanotate_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127167,KNV10_gp31,KNV10_gp31,elemo79Aphanotate_80,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210608,-
2743781,65127168,KNV10_gp30,KNV10_gp30,elemo79Aphanotate_81,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210608,-
2743781,65127169,KNV10_gp29,KNV10_gp29,elemo79Aphanotate_82,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210608,-
2743781,65127170,KNV10_gp28,KNV10_gp28,elemo79Aphanotate_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127171,KNV10_gp27,KNV10_gp27,elemo79Aphanotate_84,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210608,-
2743781,65127172,KNV10_gp26,KNV10_gp26,elemo79Aphanotate_85,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210608,-
2743781,65127173,KNV10_gp25,KNV10_gp25,elemo79Aphanotate_86,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210608,-
2743781,65127174,KNV10_gp24,KNV10_gp24,elemo79Aphanotate_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127175,KNV10_gp23,KNV10_gp23,elemo79Aphanotate_88,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210608,-
2743781,65127176,KNV10_gp22,KNV10_gp22,elemo79Aphanotate_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127177,KNV10_gp21,KNV10_gp21,elemo79Aphanotate_90,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210608,-
2743781,65127178,KNV10_gp90,KNV10_gp90,elemo79Aphanotate_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127179,KNV10_gp01,KNV10_gp01,elemo79Aphanotate_1,-,-,-,phosphoribosyl-ATP pyrophosphohydrolase,protein-coding,-,-,-,phosphoribosyl-ATP pyrophosphohydrolase,20210608,-
2743781,65243435,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Flavobacterium phage vB_Fsp_elemo7-9A).,other,-,-,-,-,20210609,-
