#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1414739,18503100,SHOU24_02,SHOU24_02,-,-,-,-,PhoH,protein-coding,-,-,-,PhoH,20201221,-
1414739,18503120,SHOU24_22,SHOU24_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503121,SHOU24_23,SHOU24_23,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201221,-
1414739,18503122,SHOU24_24,SHOU24_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503123,SHOU24_25,SHOU24_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503124,SHOU24_26,SHOU24_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503125,SHOU24_27,SHOU24_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503126,SHOU24_28,SHOU24_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503127,SHOU24_29,SHOU24_29,-,-,-,-,K1E myramoyl peptidase,protein-coding,-,-,-,K1E myramoyl peptidase,20201221,-
1414739,18503128,SHOU24_30,SHOU24_30,-,-,-,-,ATP-dependent DNA helicase,protein-coding,-,-,-,ATP-dependent DNA helicase,20201221,-
1414739,18503129,SHOU24_31,SHOU24_31,-,-,-,-,nucleotide pyrophosphohydrolase,protein-coding,-,-,-,nucleotide pyrophosphohydrolase,20201221,-
1414739,18503130,SHOU24_32,SHOU24_32,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
1414739,18503131,SHOU24_33,SHOU24_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503132,SHOU24_34,SHOU24_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503133,SHOU24_35,SHOU24_35,-,-,-,-,modification methylase BamHII,protein-coding,-,-,-,modification methylase BamHII,20201221,-
1414739,18503134,SHOU24_36,SHOU24_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503135,SHOU24_37,SHOU24_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503136,SHOU24_38,SHOU24_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503137,SHOU24_39,SHOU24_39,-,-,-,-,DNA mismatch repair protein,protein-coding,-,-,-,DNA mismatch repair protein,20201221,-
1414739,18503138,SHOU24_40,SHOU24_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503139,SHOU24_41,SHOU24_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503140,SHOU24_42,SHOU24_42,-,-,-,-,isopentenyl-diphosphate delta-isomerase,protein-coding,-,-,-,isopentenyl-diphosphate delta-isomerase,20201221,-
1414739,18503141,SHOU24_43,SHOU24_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503142,SHOU24_44,SHOU24_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503143,SHOU24_45,SHOU24_45,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1414739,18503144,SHOU24_46,SHOU24_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503145,SHOU24_47,SHOU24_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503146,SHOU24_48,SHOU24_48,-,-,-,-,phenazine biosynthesis protein PhzF,protein-coding,-,-,-,phenazine biosynthesis protein PhzF,20201221,-
1414739,18503147,SHOU24_49,SHOU24_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503148,SHOU24_50,SHOU24_50,-,-,-,-,RDD domain containing protein,protein-coding,-,-,-,RDD domain containing protein,20201221,-
1414739,18503149,SHOU24_51,SHOU24_51,-,-,-,-,double-stranded DNA repair protein Rad50,protein-coding,-,-,-,double-stranded DNA repair protein Rad50,20201221,-
1414739,18503150,SHOU24_52,SHOU24_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503151,SHOU24_53,SHOU24_53,-,-,-,-,molecular chaperone GroES,protein-coding,-,-,-,molecular chaperone GroES,20201221,-
1414739,18503152,SHOU24_54,SHOU24_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503153,SHOU24_55,SHOU24_55,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
1414739,18503154,SHOU24_56,SHOU24_56,-,-,-,-,host specificity protein J,protein-coding,-,-,-,host specificity protein J,20201221,-
1414739,18503155,SHOU24_57,SHOU24_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503156,SHOU24_58,SHOU24_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503157,SHOU24_59,SHOU24_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503158,SHOU24_60,SHOU24_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503159,SHOU24_61,SHOU24_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503160,SHOU24_62,SHOU24_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503161,SHOU24_63,SHOU24_63,-,-,-,-,two-component system histidine kinase,protein-coding,-,-,-,two-component system histidine kinase,20201221,-
1414739,18503162,SHOU24_64,SHOU24_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503163,SHOU24_65,SHOU24_65,-,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20201221,-
1414739,18503164,SHOU24_66,SHOU24_66,-,-,-,-,hydrophobe/amphiphile efflux-1 (HAE1) family transporter,protein-coding,-,-,-,hydrophobe/amphiphile efflux-1 (HAE1) family transporter,20201221,-
1414739,18503165,SHOU24_67,SHOU24_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503166,SHOU24_68,SHOU24_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503167,SHOU24_69,SHOU24_69,-,-,-,-,amino acid adenylation protein,protein-coding,-,-,-,amino acid adenylation protein,20201221,-
1414739,18503168,SHOU24_70,SHOU24_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503169,SHOU24_71,SHOU24_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503170,SHOU24_72,SHOU24_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503171,SHOU24_73,SHOU24_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503172,SHOU24_74,SHOU24_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503173,SHOU24_75,SHOU24_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503174,SHOU24_76,SHOU24_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503175,SHOU24_77,SHOU24_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503176,SHOU24_78,SHOU24_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503177,SHOU24_79,SHOU24_79,-,-,-,-,deoxyribose-phosphate aldolase,protein-coding,-,-,-,deoxyribose-phosphate aldolase,20201221,-
1414739,18503178,SHOU24_80,SHOU24_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503179,SHOU24_81,SHOU24_81,-,-,-,-,topoisomerase IV subunit A,protein-coding,-,-,-,topoisomerase IV subunit A,20201221,-
1414739,18503180,SHOU24_82,SHOU24_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503181,SHOU24_83,SHOU24_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503182,SHOU24_84,SHOU24_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503183,SHOU24_85,SHOU24_85,-,-,-,-,protein NnrU,protein-coding,-,-,-,protein NnrU,20201221,-
1414739,18503184,SHOU24_86,SHOU24_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503185,SHOU24_87,SHOU24_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503186,SHOU24_88,SHOU24_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503187,SHOU24_89,SHOU24_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503188,SHOU24_90,SHOU24_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503189,SHOU24_91,SHOU24_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503190,SHOU24_92,SHOU24_92,-,-,-,-,putative 5-formyltetrahydrofolate cyclo-ligase,protein-coding,-,-,-,putative 5-formyltetrahydrofolate cyclo-ligase,20201221,-
1414739,18503191,SHOU24_93,SHOU24_93,-,-,-,-,carbon monoxide dehydrogenase large subunit,protein-coding,-,-,-,carbon monoxide dehydrogenase large subunit,20201221,-
1414739,18503192,SHOU24_94,SHOU24_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503193,SHOU24_95,SHOU24_95,-,-,-,-,phosphatidylglycerol--membrane-oligosaccharide glycerophosphotransferase,protein-coding,-,-,-,phosphatidylglycerol--membrane-oligosaccharide glycerophosphotransferase,20201221,-
1414739,18503194,SHOU24_96,SHOU24_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503195,SHOU24_01,SHOU24_01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18558765,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Vibrio bacteriophage SHOU24).,other,-,-,-,-,20200513,-
