#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2163889,65112030,KNT85_gp002,KNT85_gp002,-,-,-,-,rIIA lysis inhibitor,protein-coding,-,-,-,rIIA lysis inhibitor,20210607,-
2163889,65112055,KNT85_gp027,KNT85_gp027,-,-,-,-,long tail fiber proximal subunit,protein-coding,-,-,-,long tail fiber proximal subunit,20210607,-
2163889,65112056,KNT85_gp028,KNT85_gp028,-,-,-,-,ribonuclease H,protein-coding,-,-,-,ribonuclease H,20210607,-
2163889,65112057,KNT85_gp029,KNT85_gp029,-,-,-,-,double-stranded DNA binding protein,protein-coding,-,-,-,double-stranded DNA binding protein,20210612,-
2163889,65112058,KNT85_gp030,KNT85_gp030,-,-,-,-,late transcriptional regulator,protein-coding,-,-,-,late transcriptional regulator,20210607,-
2163889,65112059,KNT85_gp031,KNT85_gp031,-,-,-,-,DNA helicase loader,protein-coding,-,-,-,DNA helicase loader,20210607,-
2163889,65112060,KNT85_gp032,KNT85_gp032,-,-,-,-,single stranded DNA-binding protein,protein-coding,-,-,-,single stranded DNA-binding protein,20210607,-
2163889,65112061,KNT85_gp033,KNT85_gp033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112062,KNT85_gp034,KNT85_gp034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112063,KNT85_gp035,KNT85_gp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112064,KNT85_gp036,KNT85_gp036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112065,KNT85_gp037,KNT85_gp037,-,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20210607,-
2163889,65112066,KNT85_gp038,KNT85_gp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112067,KNT85_gp039,KNT85_gp039,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210607,-
2163889,65112068,KNT85_gp040,KNT85_gp040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112069,KNT85_gp041,KNT85_gp041,-,-,-,-,ribonucleotide reductase A subunit,protein-coding,-,-,-,ribonucleotide reductase A subunit,20210607,-
2163889,65112070,KNT85_gp042,KNT85_gp042,-,-,-,-,ribonucleotide reductase B subunit,protein-coding,-,-,-,ribonucleotide reductase B subunit,20210607,-
2163889,65112071,KNT85_gp043,KNT85_gp043,-,-,-,-,endonuclease II,protein-coding,-,-,-,endonuclease II,20210607,-
2163889,65112072,KNT85_gp044,KNT85_gp044,-,-,-,-,RNA ligase 1 and tail fiber attachment catalyst,protein-coding,-,-,-,RNA ligase 1 and tail fiber attachment catalyst,20210607,-
2163889,65112073,KNT85_gp045,KNT85_gp045,-,-,-,-,putative Alc inhibitor of host transcription,protein-coding,-,-,-,putative Alc inhibitor of host transcription,20210607,-
2163889,65112074,KNT85_gp046,KNT85_gp046,-,-,-,-,spanin Rz,protein-coding,-,-,-,spanin Rz,20210607,-
2163889,65112075,KNT85_gp047,KNT85_gp047,-,-,-,-,outer membrane lipoprotein Rz1,protein-coding,-,-,-,outer membrane lipoprotein Rz1,20210607,-
2163889,65112076,KNT85_gp048,KNT85_gp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112077,KNT85_gp049,KNT85_gp049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112078,KNT85_gp050,KNT85_gp050,-,-,-,-,"3'-phosphatase, 5'-polynucleotide kinase",protein-coding,-,-,-,"3'-phosphatase, 5'-polynucleotide kinase",20210607,-
2163889,65112079,KNT85_gp051,KNT85_gp051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112080,KNT85_gp052,KNT85_gp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112081,KNT85_gp053,KNT85_gp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112082,KNT85_gp054,KNT85_gp054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112083,KNT85_gp055,KNT85_gp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112084,KNT85_gp056,KNT85_gp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112085,KNT85_gp057,KNT85_gp057,-,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210607,-
2163889,65112086,KNT85_gp058,KNT85_gp058,-,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20210607,-
2163889,65112087,KNT85_gp059,KNT85_gp059,-,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20210607,-
2163889,65112088,KNT85_gp060,KNT85_gp060,-,-,-,-,head assembly chaperone protein,protein-coding,-,-,-,head assembly chaperone protein,20210607,-
2163889,65112089,KNT85_gp061,KNT85_gp061,-,-,-,-,rIII lysis inhibition accessory protein,protein-coding,-,-,-,rIII lysis inhibition accessory protein,20210607,-
2163889,65112090,KNT85_gp062,KNT85_gp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112091,KNT85_gp063,KNT85_gp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112092,KNT85_gp064,KNT85_gp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112093,KNT85_gp065,KNT85_gp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112094,KNT85_gp066,KNT85_gp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112095,KNT85_gp067,KNT85_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112096,KNT85_gp068,KNT85_gp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112097,KNT85_gp069,KNT85_gp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112098,KNT85_gp070,KNT85_gp070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2163889,65112099,KNT85_gp071,KNT85_gp071,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210607,-
2163889,65112100,KNT85_gp072,KNT85_gp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112101,KNT85_gp073,KNT85_gp073,-,-,-,-,RNA polymerase-ADP-ribosyltransferase Alt,protein-coding,-,-,-,RNA polymerase-ADP-ribosyltransferase Alt,20210607,-
2163889,65112102,KNT85_gp074,KNT85_gp074,-,-,-,-,RNA polymerase-ADP-ribosyltransferase Alt,protein-coding,-,-,-,RNA polymerase-ADP-ribosyltransferase Alt,20210607,-
2163889,65112103,KNT85_gp075,KNT85_gp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2163889,65112104,KNT85_gp076,KNT85_gp076,-,-,-,-,putative baseplate-tail tube initiator,protein-coding,-,-,-,putative baseplate-tail tube initiator,20210607,-
2163889,65112105,KNT85_gp077,KNT85_gp077,-,-,-,-,putative baseplate tail tube cap,protein-coding,-,-,-,putative baseplate tail tube cap,20210607,-
2163889,65112106,KNT85_gp078,KNT85_gp078,-,-,-,-,putative baseplate hub subunit tail length determinator,protein-coding,-,-,-,putative baseplate hub subunit tail length determinator,20210607,-
2163889,65112107,KNT85_gp079,KNT85_gp079,-,-,-,-,putative baseplate distal hub subunit,protein-coding,-,-,-,putative baseplate distal hub subunit,20210607,-
2163889,65112108,KNT85_gp080,KNT85_gp080,-,-,-,-,putative baseplate distal hub subunit,protein-coding,-,-,-,putative baseplate distal hub subunit,20210607,-
2163889,65112109,KNT85_gp081,KNT85_gp081,-,-,-,-,baseplate protein,protein-coding,-,-,-,baseplate protein,20210607,-
2163889,65112110,KNT85_gp082,KNT85_gp082,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210607,-
2163889,65112111,KNT85_gp083,KNT85_gp083,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2163889,65112112,KNT85_gp084,KNT85_gp084,-,-,-,-,"recombination, repair and ssDNA-binding protein",protein-coding,-,-,-,"recombination, repair and ssDNA-binding protein",20210607,-
2163889,65112113,KNT85_gp085,KNT85_gp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112114,KNT85_gp086,KNT85_gp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112115,KNT85_gp087,KNT85_gp087,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210607,-
2163889,65112116,KNT85_gp088,KNT85_gp088,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210607,-
2163889,65112117,KNT85_gp089,KNT85_gp089,-,-,-,-,minor capsid protein inhibitor of protease,protein-coding,-,-,-,minor capsid protein inhibitor of protease,20210607,-
2163889,65112118,KNT85_gp090,KNT85_gp090,-,-,-,-,putative large head outer capsid protein,protein-coding,-,-,-,putative large head outer capsid protein,20210607,-
2163889,65112119,KNT85_gp091,KNT85_gp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112120,KNT85_gp092,KNT85_gp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112121,KNT85_gp093,KNT85_gp093,-,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210607,-
2163889,65112122,KNT85_gp094,KNT85_gp094,-,-,-,-,capsid vertex,protein-coding,-,-,-,capsid vertex,20210607,-
2163889,65112123,KNT85_gp095,KNT85_gp095,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
2163889,65112124,KNT85_gp096,KNT85_gp096,-,-,-,-,prohead assembly (scaffolding) protein,protein-coding,-,-,-,prohead assembly (scaffolding) protein,20210607,-
2163889,65112125,KNT85_gp097,KNT85_gp097,-,-,-,-,prohead core scaffold protein and protease,protein-coding,-,-,-,prohead core scaffold protein and protease,20210612,-
2163889,65112126,KNT85_gp098,KNT85_gp098,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210607,-
2163889,65112127,KNT85_gp099,KNT85_gp099,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20210607,-
2163889,65112128,KNT85_gp100,KNT85_gp100,-,-,-,-,portal vertex of the head,protein-coding,-,-,-,portal vertex of the head,20210607,-
2163889,65112129,KNT85_gp101,KNT85_gp101,-,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20210607,-
2163889,65112130,KNT85_gp102,KNT85_gp102,-,-,-,-,tail sheath monomer,protein-coding,-,-,-,tail sheath monomer,20210607,-
2163889,65112131,KNT85_gp103,KNT85_gp103,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
2163889,65112132,KNT85_gp104,KNT85_gp104,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210607,-
2163889,65112133,KNT85_gp105,KNT85_gp105,-,-,-,-,proximal tail sheath stabilization protein,protein-coding,-,-,-,proximal tail sheath stabilization protein,20210607,-
2163889,65112134,KNT85_gp106,KNT85_gp106,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210607,-
2163889,65112135,KNT85_gp107,KNT85_gp107,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210607,-
2163889,65112136,KNT85_gp108,KNT85_gp108,-,-,-,-,neck whiskers protein,protein-coding,-,-,-,neck whiskers protein,20210607,-
2163889,65112137,KNT85_gp109,KNT85_gp109,-,-,-,-,short tail fibers,protein-coding,-,-,-,short tail fibers,20210607,-
2163889,65112138,KNT85_gp110,KNT85_gp110,-,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210607,-
2163889,65112139,KNT85_gp111,KNT85_gp111,-,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210607,-
2163889,65112140,KNT85_gp112,KNT85_gp112,-,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20210607,-
2163889,65112141,KNT85_gp113,KNT85_gp113,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2163889,65112142,KNT85_gp114,KNT85_gp114,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2163889,65112143,KNT85_gp115,KNT85_gp115,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2163889,65112144,KNT85_gp116,KNT85_gp116,-,-,-,-,phospholipase,protein-coding,-,-,-,phospholipase,20210612,-
2163889,65112145,KNT85_gp117,KNT85_gp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112146,KNT85_gp118,KNT85_gp118,-,-,-,-,baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,baseplate hub subunit and tail lysozyme,20210607,-
2163889,65112147,KNT85_gp119,KNT85_gp119,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2163889,65112148,KNT85_gp120,KNT85_gp120,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210607,-
2163889,65112149,KNT85_gp121,KNT85_gp121,-,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20210607,-
2163889,65112150,KNT85_gp122,KNT85_gp122,-,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20210612,-
2163889,65112151,KNT85_gp123,KNT85_gp123,-,-,-,-,deoxynucleotide monophosphate kinase,protein-coding,-,-,-,deoxynucleotide monophosphate kinase,20210607,-
2163889,65112152,KNT85_gp124,KNT85_gp124,-,-,-,-,tail fiber assembly protein,protein-coding,-,-,-,tail fiber assembly protein,20210607,-
2163889,65112153,KNT85_gp125,KNT85_gp125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2163889,65112154,KNT85_gp126,KNT85_gp126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112155,KNT85_gp127,KNT85_gp127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112156,KNT85_gp128,KNT85_gp128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112157,KNT85_gp129,KNT85_gp129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112158,KNT85_gp130,KNT85_gp130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112159,KNT85_gp131,KNT85_gp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112160,KNT85_gp132,KNT85_gp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112161,KNT85_gp133,KNT85_gp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112162,KNT85_gp134,KNT85_gp134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112163,KNT85_gp135,KNT85_gp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112164,KNT85_gp136,KNT85_gp136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112165,KNT85_gp137,KNT85_gp137,-,-,-,-,transmembrane region domain-containing protein,protein-coding,-,-,-,transmembrane region domain-containing protein,20210607,-
2163889,65112166,KNT85_gp138,KNT85_gp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112167,KNT85_gp139,KNT85_gp139,-,-,-,-,nudix hydrolase,protein-coding,-,-,-,nudix hydrolase,20210607,-
2163889,65112168,KNT85_gp140,KNT85_gp140,-,-,-,-,baseplate hub and tail lysozyme,protein-coding,-,-,-,baseplate hub and tail lysozyme,20210607,-
2163889,65112169,KNT85_gp141,KNT85_gp141,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210607,-
2163889,65112170,KNT85_gp142,KNT85_gp142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112171,KNT85_gp143,KNT85_gp143,-,-,-,-,endoribonuclease RegB domain-containing protein,protein-coding,-,-,-,endoribonuclease RegB domain-containing protein,20210607,-
2163889,65112172,KNT85_gp144,KNT85_gp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112173,KNT85_gp145,KNT85_gp145,-,-,-,-,pyruvate formate-lyase,protein-coding,-,-,-,pyruvate formate-lyase,20210607,-
2163889,65112174,KNT85_gp146,KNT85_gp146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112175,KNT85_gp147,KNT85_gp147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112176,KNT85_gp148,KNT85_gp148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112177,KNT85_gp149,KNT85_gp149,-,-,-,-,site-specific RNA endonuclease,protein-coding,-,-,-,site-specific RNA endonuclease,20210607,-
2163889,65112178,KNT85_gp150,KNT85_gp150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112179,KNT85_gp151,KNT85_gp151,-,-,-,-,valyl-tRNA synthetase modifier,protein-coding,-,-,-,valyl-tRNA synthetase modifier,20210607,-
2163889,65112180,KNT85_gp152,KNT85_gp152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2163889,65112181,KNT85_gp153,KNT85_gp153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112182,KNT85_gp154,KNT85_gp154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112183,KNT85_gp155,KNT85_gp155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112184,KNT85_gp156,KNT85_gp156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112185,KNT85_gp157,KNT85_gp157,-,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20210607,-
2163889,65112186,KNT85_gp158,KNT85_gp158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112187,KNT85_gp159,KNT85_gp159,-,-,-,-,rI lysis inhibition regulator,protein-coding,-,-,-,rI lysis inhibition regulator,20210607,-
2163889,65112188,KNT85_gp160,KNT85_gp160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112189,KNT85_gp161,KNT85_gp161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112190,KNT85_gp162,KNT85_gp162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112191,KNT85_gp163,KNT85_gp163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112192,KNT85_gp164,KNT85_gp164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112193,KNT85_gp165,KNT85_gp165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112194,KNT85_gp166,KNT85_gp166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112195,KNT85_gp167,KNT85_gp167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112196,KNT85_gp168,KNT85_gp168,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2163889,65112197,KNT85_gp169,KNT85_gp169,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2163889,65112198,KNT85_gp170,KNT85_gp170,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2163889,65112199,KNT85_gp171,KNT85_gp171,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2163889,65112200,KNT85_gp172,KNT85_gp172,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2163889,65112201,KNT85_gp173,KNT85_gp173,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2163889,65112202,KNT85_gp174,KNT85_gp174,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2163889,65112203,KNT85_gp175,KNT85_gp175,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2163889,65112204,KNT85_gp176,KNT85_gp176,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2163889,65112205,KNT85_gp177,KNT85_gp177,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2163889,65112206,KNT85_gp178,KNT85_gp178,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2163889,65112207,KNT85_gp179,KNT85_gp179,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2163889,65112208,KNT85_gp180,KNT85_gp180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112209,KNT85_gp181,KNT85_gp181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112210,KNT85_gp182,KNT85_gp182,-,-,-,-,nucleotide reductase subunit C,protein-coding,-,-,-,nucleotide reductase subunit C,20210607,-
2163889,65112211,KNT85_gp183,KNT85_gp183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112212,KNT85_gp184,KNT85_gp184,-,-,-,-,protease inhibitor,protein-coding,-,-,-,protease inhibitor,20210607,-
2163889,65112213,KNT85_gp185,KNT85_gp185,-,-,-,-,recombinase endonuclease VII,protein-coding,-,-,-,recombinase endonuclease VII,20210607,-
2163889,65112214,KNT85_gp186,KNT85_gp186,-,-,-,-,ribonucleotide reductase of class III large subunit,protein-coding,-,-,-,ribonucleotide reductase of class III large subunit,20210607,-
2163889,65112215,KNT85_gp187,KNT85_gp187,-,-,-,-,ribonucleotide reductase of class III activating protein,protein-coding,-,-,-,ribonucleotide reductase of class III activating protein,20210607,-
2163889,65112216,KNT85_gp188,KNT85_gp188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112217,KNT85_gp189,KNT85_gp189,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210612,-
2163889,65112218,KNT85_gp190,KNT85_gp190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
