#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1089108,18564760,2,VISTA_2,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20210123,-
1089108,18564778,20,VISTA_20,-,-,-,-,queuine tRNA-ribosyltransferase,protein-coding,-,-,-,queuine tRNA-ribosyltransferase,20201220,-
1089108,18564779,21,VISTA_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564780,22,VISTA_22,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201220,-
1089108,18564781,23,VISTA_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564782,24,VISTA_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564783,25,VISTA_25,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201220,-
1089108,18564784,26,VISTA_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564785,27,VISTA_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564786,28,VISTA_28,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201220,-
1089108,18564787,29,VISTA_29,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
1089108,18564788,30,VISTA_30,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
1089108,18564789,31,VISTA_31,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201220,-
1089108,18564790,32,VISTA_32,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
1089108,18564791,33,VISTA_33,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
1089108,18564792,34,VISTA_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564793,35,VISTA_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564794,36,VISTA_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564795,37,VISTA_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564796,38,VISTA_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564797,39,VISTA_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564798,40,VISTA_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564799,41,VISTA_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564800,42,VISTA_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564801,43,VISTA_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564802,44,VISTA_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564803,45,VISTA_45,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201220,-
1089108,18564804,46,VISTA_46,-,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201220,-
1089108,18564805,47,VISTA_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564806,48,VISTA_48,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201220,-
1089108,18564807,49,VISTA_49,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201220,-
1089108,18564808,50,VISTA_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564809,51,VISTA_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564810,52,VISTA_52,-,-,-,-,helicase type III subunit,protein-coding,-,-,-,helicase type III subunit,20201220,-
1089108,18564811,53,VISTA_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564812,54,VISTA_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564813,55,VISTA_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564814,56,VISTA_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564815,57,VISTA_57,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20210424,-
1089108,18564816,58,VISTA_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564817,60,VISTA_60,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201220,-
1089108,18564818,61,VISTA_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564819,62,VISTA_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564820,63,VISTA_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564821,64,VISTA_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564822,65,VISTA_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564823,66,VISTA_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564824,67,VISTA_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564825,68,VISTA_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564826,69,VISTA_69,-,-,-,-,RNaseE,protein-coding,-,-,-,RNaseE,20210417,-
1089108,18564827,70,VISTA_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564828,71,VISTA_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564829,72,VISTA_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
1089108,18564830,73,VISTA_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564831,74,VISTA_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564832,75,VISTA_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564833,76,VISTA_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564834,77,VISTA_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564835,78,VISTA_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564836,79,VISTA_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564837,80,VISTA_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564838,81,VISTA_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564839,82,VISTA_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564840,83,VISTA_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564841,84,VISTA_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564842,85,VISTA_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564843,86,VISTA_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564844,87,VISTA_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564845,88,VISTA_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564846,89,VISTA_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564847,90,VISTA_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564848,91,VISTA_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564849,92,VISTA_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564850,93,VISTA_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564851,94,VISTA_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564852,95,VISTA_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564853,96,VISTA_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564854,97,VISTA_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564855,98,VISTA_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564856,99,VISTA_99,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564857,100,VISTA_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564858,101,VISTA_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564859,59,VISTA_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564860,1,VISTA_1,-,-,-,-,adenylate kinase,protein-coding,-,-,-,adenylate kinase,20210129,-
1089108,18669581,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Vista).,other,-,-,-,-,20200513,-
