#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2767576,64470641,KGG72_gp02,KGG72_gp02,CPT_Salutena_002,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210529,-
2767576,64470658,KGG72_gp19,KGG72_gp19,CPT_Salutena_019,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210529,-
2767576,64470659,KGG72_gp20,KGG72_gp20,CPT_Salutena_020,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210529,-
2767576,64470660,KGG72_gp21,KGG72_gp21,CPT_Salutena_021,-,-,-,endolysin amidase,protein-coding,-,-,-,endolysin amidase,20210529,-
2767576,64470661,KGG72_gp22,KGG72_gp22,CPT_Salutena_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470662,KGG72_gp23,KGG72_gp23,CPT_Salutena_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470663,KGG72_gp24,KGG72_gp24,CPT_Salutena_024,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210505,-
2767576,64470664,KGG72_gp25,KGG72_gp25,CPT_Salutena_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470665,KGG72_gp26,KGG72_gp26,CPT_Salutena_026,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210505,-
2767576,64470666,KGG72_gp27,KGG72_gp27,CPT_Salutena_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470667,KGG72_gp28,KGG72_gp28,CPT_Salutena_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470668,KGG72_gp29,KGG72_gp29,CPT_Salutena_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470669,KGG72_gp30,KGG72_gp30,CPT_Salutena_030,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210529,-
2767576,64470670,KGG72_gp31,KGG72_gp31,CPT_Salutena_031,-,-,-,DnaB-like helicase,protein-coding,-,-,-,DnaB-like helicase,20210529,-
2767576,64470671,KGG72_gp32,KGG72_gp32,CPT_Salutena_032,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20210505,-
2767576,64470672,KGG72_gp33,KGG72_gp33,CPT_Salutena_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470673,KGG72_gp34,KGG72_gp34,CPT_Salutena_034,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210529,-
2767576,64470674,KGG72_gp35,KGG72_gp35,CPT_Salutena_035,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210529,-
2767576,64470675,KGG72_gp36,KGG72_gp36,CPT_Salutena_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470676,KGG72_gp37,KGG72_gp37,CPT_Salutena_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470677,KGG72_gp38,KGG72_gp38,CPT_Salutena_038,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20210505,-
2767576,64470678,KGG72_gp39,KGG72_gp39,CPT_Salutena_039,-,-,-,nuclease,protein-coding,-,-,-,nuclease,20210505,-
2767576,64470679,KGG72_gp40,KGG72_gp40,CPT_Salutena_040,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20210505,-
2767576,64470680,KGG72_gp41,KGG72_gp41,CPT_Salutena_041,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20210529,-
2767576,64470681,KGG72_gp42,KGG72_gp42,CPT_Salutena_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470682,KGG72_gp43,KGG72_gp43,CPT_Salutena_043,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20210529,-
2767576,64470683,KGG72_gp44,KGG72_gp44,CPT_Salutena_044,-,-,-,helix-turn-helix domain-containing transcriptional regulator,protein-coding,-,-,-,helix-turn-helix domain-containing transcriptional regulator,20210529,-
2767576,64470684,KGG72_gp45,KGG72_gp45,CPT_Salutena_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470685,KGG72_gp46,KGG72_gp46,CPT_Salutena_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470686,KGG72_gp47,KGG72_gp47,CPT_Salutena_047,-,-,-,integrase,protein-coding,-,-,-,integrase,20210529,-
2767576,64470687,KGG72_gp48,KGG72_gp48,CPT_Salutena_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470688,KGG72_gp49,KGG72_gp49,CPT_Salutena_049,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210529,-
2767576,64470689,KGG72_gp50,KGG72_gp50,CPT_Salutena_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470690,KGG72_gp51,KGG72_gp51,CPT_Salutena_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470691,KGG72_gp52,KGG72_gp52,CPT_Salutena_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470692,KGG72_gp53,KGG72_gp53,CPT_Salutena_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470693,KGG72_gp54,KGG72_gp54,CPT_Salutena_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470694,KGG72_gp55,KGG72_gp55,CPT_Salutena_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470695,KGG72_gp56,KGG72_gp56,CPT_Salutena_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470696,KGG72_gp57,KGG72_gp57,CPT_Salutena_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470697,KGG72_gp58,KGG72_gp58,CPT_Salutena_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470698,KGG72_gp59,KGG72_gp59,CPT_Salutena_059,-,-,-,dNMP kinase,protein-coding,-,-,-,dNMP kinase,20210529,-
2767576,64470699,KGG72_gp60,KGG72_gp60,CPT_Salutena_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470700,KGG72_gp61,KGG72_gp61,CPT_Salutena_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470701,KGG72_gp62,KGG72_gp62,CPT_Salutena_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470702,KGG72_gp63,KGG72_gp63,CPT_Salutena_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2767576,64470703,KGG72_gp64,KGG72_gp64,CPT_Salutena_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470704,KGG72_gp65,KGG72_gp65,CPT_Salutena_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470705,KGG72_gp66,KGG72_gp66,CPT_Salutena_066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470706,KGG72_gp67,KGG72_gp67,CPT_Salutena_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470707,KGG72_gp68,KGG72_gp68,CPT_Salutena_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470708,KGG72_gp69,KGG72_gp69,CPT_Salutena_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470709,KGG72_gp70,KGG72_gp70,CPT_Salutena_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470710,KGG72_gp71,KGG72_gp71,CPT_Salutena_071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470711,KGG72_gp72,KGG72_gp72,CPT_Salutena_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470712,KGG72_gp73,KGG72_gp73,CPT_Salutena_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470713,KGG72_gp74,KGG72_gp74,CPT_Salutena_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470714,KGG72_gp75,KGG72_gp75,CPT_Salutena_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470715,KGG72_gp76,KGG72_gp76,CPT_Salutena_076,-,-,-,acetyltransferase,protein-coding,-,-,-,acetyltransferase,20210505,-
2767576,64470716,KGG72_gp77,KGG72_gp77,CPT_Salutena_077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470717,KGG72_gp78,KGG72_gp78,CPT_Salutena_078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470718,KGG72_gp79,KGG72_gp79,CPT_Salutena_079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470719,KGG72_gp80,KGG72_gp80,CPT_Salutena_080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470720,KGG72_gp81,KGG72_gp81,CPT_Salutena_081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470721,KGG72_gp82,KGG72_gp82,CPT_Salutena_082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470722,KGG72_gp83,KGG72_gp83,CPT_Salutena_083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470723,KGG72_gp84,KGG72_gp84,CPT_Salutena_084,-,-,-,helix-turn-helix domain-containing transcriptional regulator,protein-coding,-,-,-,helix-turn-helix domain-containing transcriptional regulator,20210529,-
2767576,64470724,KGG72_gp85,KGG72_gp85,CPT_Salutena_085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470725,KGG72_gp86,KGG72_gp86,CPT_Salutena_086,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210529,-
2767576,64470726,KGG72_gt01,KGG72_gt01,CPT_Salutena_087,-,-,-,tRNA,tRNA,-,-,-,-,20210505,-
2767576,64470727,KGG72_gp90,KGG72_gp90,CPT_Salutena_088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470728,KGG72_gp89,KGG72_gp89,CPT_Salutena_089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470729,KGG72_gp88,KGG72_gp88,CPT_Salutena_090,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210529,-
2767576,64470730,KGG72_gp87,KGG72_gp87,CPT_Salutena_091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470731,KGG72_gp01,KGG72_gp01,CPT_Salutena_001,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210529,-
2767576,64792269,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210510,-
