#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1527463,23680658,PBI_CERASUM_2,PBI_CERASUM_2,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200629,-
1527463,23680694,PBI_CERASUM_38,PBI_CERASUM_38,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20210529,-
1527463,23680695,PBI_CERASUM_39,PBI_CERASUM_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680696,PBI_CERASUM_40,PBI_CERASUM_40,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200629,-
1527463,23680697,PBI_CERASUM_41,PBI_CERASUM_41,-,-,-,-,CRO protein,protein-coding,-,-,-,CRO protein,20200629,-
1527463,23680698,PBI_CERASUM_42,PBI_CERASUM_42,-,-,-,-,DNA damage inducible protein D-like protein,protein-coding,-,-,-,DNA damage inducible protein D-like protein,20210529,-
1527463,23680699,PBI_CERASUM_43,PBI_CERASUM_43,-,-,-,-,HTH domain DNA binding protein,protein-coding,-,-,-,HTH domain DNA binding protein,20200629,-
1527463,23680700,PBI_CERASUM_44,PBI_CERASUM_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680701,PBI_CERASUM_45,PBI_CERASUM_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680702,PBI_CERASUM_46,PBI_CERASUM_46,-,-,-,-,Xis,protein-coding,-,-,-,Xis,20200629,-
1527463,23680703,PBI_CERASUM_47,PBI_CERASUM_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680704,PBI_CERASUM_48,PBI_CERASUM_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680705,PBI_CERASUM_49,PBI_CERASUM_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680706,PBI_CERASUM_50,PBI_CERASUM_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680707,PBI_CERASUM_51,PBI_CERASUM_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680708,PBI_CERASUM_52,PBI_CERASUM_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
1527463,23680709,PBI_CERASUM_53,PBI_CERASUM_53,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20200629,-
1527463,23680710,PBI_CERASUM_54,PBI_CERASUM_54,-,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20210212,-
1527463,23680711,PBI_CERASUM_55,PBI_CERASUM_55,-,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20200629,-
1527463,23680712,PBI_CERASUM_56,PBI_CERASUM_56,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210529,-
1527463,23680713,PBI_CERASUM_57,PBI_CERASUM_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680714,PBI_CERASUM_58,PBI_CERASUM_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680715,PBI_CERASUM_59,PBI_CERASUM_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680716,PBI_CERASUM_60,PBI_CERASUM_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680717,PBI_CERASUM_61,PBI_CERASUM_61,-,-,-,-,RecA,protein-coding,-,-,-,RecA,20210529,-
1527463,23680718,PBI_CERASUM_62,PBI_CERASUM_62,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200629,-
1527463,23680719,PBI_CERASUM_63,PBI_CERASUM_63,-,-,-,-,DNA helicase/methylase,protein-coding,-,-,-,DNA helicase/methylase,20210529,-
1527463,23680720,PBI_CERASUM_64,PBI_CERASUM_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680721,PBI_CERASUM_65,PBI_CERASUM_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680722,PBI_CERASUM_66,PBI_CERASUM_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680723,PBI_CERASUM_67,PBI_CERASUM_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680724,PBI_CERASUM_68,PBI_CERASUM_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680725,PBI_CERASUM_69,PBI_CERASUM_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680726,PBI_CERASUM_70,PBI_CERASUM_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680727,PBI_CERASUM_71,PBI_CERASUM_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680728,PBI_CERASUM_72,PBI_CERASUM_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680729,PBI_CERASUM_73,PBI_CERASUM_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680730,PBI_CERASUM_74,PBI_CERASUM_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680731,PBI_CERASUM_75,PBI_CERASUM_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680732,PBI_CERASUM_76,PBI_CERASUM_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680733,PBI_CERASUM_77,PBI_CERASUM_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680734,PBI_CERASUM_78,PBI_CERASUM_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680735,PBI_CERASUM_79,PBI_CERASUM_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680736,PBI_CERASUM_80,PBI_CERASUM_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680737,PBI_CERASUM_81,PBI_CERASUM_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680738,PBI_CERASUM_82,PBI_CERASUM_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680739,PBI_CERASUM_83,PBI_CERASUM_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680740,PBI_CERASUM_84,PBI_CERASUM_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680741,PBI_CERASUM_85,PBI_CERASUM_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680742,PBI_CERASUM_86,PBI_CERASUM_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680743,PBI_CERASUM_87,PBI_CERASUM_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680744,PBI_CERASUM_88,PBI_CERASUM_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680745,PBI_CERASUM_89,PBI_CERASUM_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680746,PBI_CERASUM_90,PBI_CERASUM_90,-,-,-,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210406,-
1527463,23680747,PBI_CERASUM_91,PBI_CERASUM_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680748,PBI_CERASUM_92,PBI_CERASUM_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680749,PBI_CERASUM_93,PBI_CERASUM_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680750,PBI_CERASUM_94,PBI_CERASUM_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680751,PBI_CERASUM_95,PBI_CERASUM_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680752,PBI_CERASUM_96,PBI_CERASUM_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680753,PBI_CERASUM_97,PBI_CERASUM_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680754,PBI_CERASUM_98,PBI_CERASUM_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680755,PBI_CERASUM_99,PBI_CERASUM_99,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680756,PBI_CERASUM_100,PBI_CERASUM_100,-,-,-,-,polypeptide-N-acetylgalactosaminyltransferase,protein-coding,-,-,-,polypeptide-N-acetylgalactosaminyltransferase,20200629,-
1527463,23680757,PBI_CERASUM_101,PBI_CERASUM_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680758,PBI_CERASUM_102,PBI_CERASUM_102,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210529,-
1527463,23680759,PBI_CERASUM_1,PBI_CERASUM_1,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210406,-
1527463,23711111,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Cerasum).,other,-,-,-,-,20200513,-
