#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2315616,60321072,2,I5G60_gp02,SEA_SAGUARO_2,-,-,-,queuine tRNA-ribosyltransferase,protein-coding,-,-,-,queuine tRNA-ribosyltransferase,20201129,-
2315616,60321085,15,I5G60_gp15,SEA_SAGUARO_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321086,16,I5G60_gp16,SEA_SAGUARO_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321087,17,I5G60_gp17,SEA_SAGUARO_17,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210424,-
2315616,60321088,18,I5G60_gp18,SEA_SAGUARO_18,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201129,-
2315616,60321089,19,I5G60_gp19,SEA_SAGUARO_19,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201129,-
2315616,60321090,20,I5G60_gp20,SEA_SAGUARO_20,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2315616,60321091,21,I5G60_gp21,SEA_SAGUARO_21,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201129,-
2315616,60321092,22,I5G60_gp22,SEA_SAGUARO_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321093,23,I5G60_gp23,SEA_SAGUARO_23,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2315616,60321094,24,I5G60_gp24,SEA_SAGUARO_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321095,25,I5G60_gp25,SEA_SAGUARO_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321096,26,I5G60_gp26,SEA_SAGUARO_26,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2315616,60321097,27,I5G60_gp27,SEA_SAGUARO_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321098,28,I5G60_gp28,SEA_SAGUARO_28,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2315616,60321099,29,I5G60_gp29,SEA_SAGUARO_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2315616,60321100,30,I5G60_gp30,SEA_SAGUARO_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2315616,60321101,31,I5G60_gp31,SEA_SAGUARO_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2315616,60321102,32,I5G60_gp32,SEA_SAGUARO_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2315616,60321103,33,I5G60_gp33,SEA_SAGUARO_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321104,34,I5G60_gp34,SEA_SAGUARO_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321105,35,I5G60_gp35,SEA_SAGUARO_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321106,36,I5G60_gp36,SEA_SAGUARO_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321107,37,I5G60_gp37,SEA_SAGUARO_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321108,38,I5G60_gp38,SEA_SAGUARO_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321109,39,I5G60_gp39,SEA_SAGUARO_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321110,40,I5G60_gp40,SEA_SAGUARO_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321111,41,I5G60_gp41,SEA_SAGUARO_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321112,42,I5G60_gp42,SEA_SAGUARO_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321113,43,I5G60_gp43,SEA_SAGUARO_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321114,44,I5G60_gp44,SEA_SAGUARO_44,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201129,-
2315616,60321115,45,I5G60_gp45,SEA_SAGUARO_45,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201129,-
2315616,60321116,46,I5G60_gp46,SEA_SAGUARO_46,-,-,-,helix-turn-helix DNA-binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA-binding domain protein,20210424,-
2315616,60321117,47,I5G60_gp47,SEA_SAGUARO_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321118,50,I5G60_gp50,SEA_SAGUARO_50,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2315616,60321119,49,I5G60_gp49,SEA_SAGUARO_49,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2315616,60321120,51,I5G60_gp51,SEA_SAGUARO_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321121,52,I5G60_gp52,SEA_SAGUARO_52,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2315616,60321122,53,I5G60_gp53,SEA_SAGUARO_53,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201129,-
2315616,60321123,54,I5G60_gp54,SEA_SAGUARO_54,-,-,-,helicase,protein-coding,-,-,-,helicase,20210424,-
2315616,60321124,55,I5G60_gp55,SEA_SAGUARO_55,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201129,-
2315616,60321125,56,I5G60_gp56,SEA_SAGUARO_56,-,-,-,DNA primase/polymerase,protein-coding,-,-,-,DNA primase/polymerase,20210424,-
2315616,60321126,57,I5G60_gp57,SEA_SAGUARO_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321127,58,I5G60_gp58,SEA_SAGUARO_58,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210424,-
2315616,60321128,59,I5G60_gp59,SEA_SAGUARO_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321129,60,I5G60_gp60,SEA_SAGUARO_60,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201129,-
2315616,60321130,61,I5G60_gp61,SEA_SAGUARO_61,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201129,-
2315616,60321131,62,I5G60_gp62,SEA_SAGUARO_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321132,63,I5G60_gp63,SEA_SAGUARO_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321133,64,I5G60_gp64,SEA_SAGUARO_64,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201129,-
2315616,60321134,65,I5G60_gp65,SEA_SAGUARO_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2315616,60321135,66,I5G60_gp66,SEA_SAGUARO_66,-,-,-,helix-turn-helix DNA-binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA-binding domain protein,20210424,-
2315616,60321136,67,I5G60_gp67,SEA_SAGUARO_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321137,68,I5G60_gp68,SEA_SAGUARO_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321138,69,I5G60_gp69,SEA_SAGUARO_69,-,-,-,cysteine protease,protein-coding,-,-,-,cysteine protease,20210424,-
2315616,60321139,70,I5G60_gp70,SEA_SAGUARO_70,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201129,-
2315616,60321140,71,I5G60_gp71,SEA_SAGUARO_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321141,72,I5G60_gp72,SEA_SAGUARO_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321142,75,I5G60_gp75,SEA_SAGUARO_75,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201129,-
2315616,60321143,76,I5G60_gp76,SEA_SAGUARO_76,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201129,-
2315616,60321144,77,I5G60_gp77,SEA_SAGUARO_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321145,78,I5G60_gp78,SEA_SAGUARO_78,-,-,-,HicA-like toxin,protein-coding,-,-,-,HicA-like toxin,20201129,-
2315616,60321146,79,I5G60_gp79,SEA_SAGUARO_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321147,80,I5G60_gp80,SEA_SAGUARO_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321148,81,I5G60_gp81,SEA_SAGUARO_81,-,-,-,helix-turn-helix DNA-binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA-binding domain protein,20201129,-
2315616,60321149,82,I5G60_gp82,SEA_SAGUARO_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321150,83,I5G60_gp83,SEA_SAGUARO_83,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201129,-
2315616,60321151,84,I5G60_gp84,SEA_SAGUARO_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2315616,60321152,85,I5G60_gp85,SEA_SAGUARO_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321153,86,I5G60_gp86,SEA_SAGUARO_86,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201129,-
2315616,60321154,87,I5G60_gp87,SEA_SAGUARO_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321155,88,I5G60_gp88,SEA_SAGUARO_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321156,89,I5G60_gp89,SEA_SAGUARO_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321157,90,I5G60_gp90,SEA_SAGUARO_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321158,91,I5G60_gp91,SEA_SAGUARO_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321159,92,I5G60_gp92,SEA_SAGUARO_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321160,93,I5G60_gp93,SEA_SAGUARO_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321161,48,I5G60_gp48,SEA_SAGUARO_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321162,73,I5G60_gp73,SEA_SAGUARO_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321163,74,I5G60_gp74,SEA_SAGUARO_74,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201129,-
2315616,60321164,1,I5G60_gp01,SEA_SAGUARO_1,-,-,-,ParB-like nuclease domain,protein-coding,-,-,-,ParB-like nuclease domain,20201129,-
2315616,60338725,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
