#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1087482,14675238,I133_gp268,I133_gp268,-,-,-,-,RIIA,protein-coding,-,-,-,RIIA,20201026,-
1087482,14675262,I133_gp247,I133_gp247,-,-,-,-,postulated decoy of simga32,protein-coding,-,-,-,postulated decoy of simga32,20200909,-
1087482,14675263,I133_gp246,I133_gp246,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675264,I133_gp245,I133_gp245,-,-,-,-,small outer capsid protein,protein-coding,-,-,-,small outer capsid protein,20201026,-
1087482,14675265,I133_gp244,I133_gp244,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675266,I133_gp243,I133_gp243,-,-,-,-,dCTP pyrophosphatase,protein-coding,-,-,-,dCTP pyrophosphatase,20200909,-
1087482,14675267,I133_gp242,I133_gp242,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675268,I133_gp241,I133_gp241,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201026,-
1087482,14675269,I133_gp240,I133_gp240,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675270,I133_gp239,I133_gp239,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675271,I133_gp238,I133_gp238,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675272,I133_gp237,I133_gp237,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675273,I133_gp236,I133_gp236,-,-,-,-,DNA primase-helicase,protein-coding,-,-,-,DNA primase-helicase,20201026,-
1087482,14675274,I133_gp235,I133_gp235,-,-,-,-,head vertex assembly chaperone,protein-coding,-,-,-,head vertex assembly chaperone,20201026,-
1087482,14675275,I133_gp234,I133_gp234,-,-,-,-,RecA-like recombinase protein UvsX,protein-coding,-,-,-,RecA-like recombinase protein UvsX,20201026,-
1087482,14675276,I133_gp233,I133_gp233,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675277,I133_gp232,I133_gp232,-,-,-,-,beta-glucosyl-transferase,protein-coding,-,-,-,beta-glucosyl-transferase,20201026,-
1087482,14675278,I133_gp231,I133_gp231,-,-,-,-,beta-glucosyl-HMC-alpha-glucosyl-transferase,protein-coding,-,-,-,beta-glucosyl-HMC-alpha-glucosyl-transferase,20200909,-
1087482,14675279,I133_gp230,I133_gp230,-,-,-,-,dCMP hydroxymethylase,protein-coding,-,-,-,dCMP hydroxymethylase,20201026,-
1087482,14675280,I133_gp229,I133_gp229,-,-,-,-,immunity to superinfection membrane protein,protein-coding,-,-,-,immunity to superinfection membrane protein,20201026,-
1087482,14675281,I133_gp228,I133_gp228,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675282,I133_gp227,I133_gp227,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201026,-
1087482,14675283,I133_gp226,I133_gp226,-,-,-,-,translational repressor protein,protein-coding,-,-,-,translational repressor protein,20200909,-
1087482,14675284,I133_gp225,I133_gp225,-,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20201026,-
1087482,14675285,I133_gp224,I133_gp224,-,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20201026,-
1087482,14675286,I133_gp223,I133_gp223,-,-,-,-,sliding clamp,protein-coding,-,-,-,sliding clamp,20200909,-
1087482,14675287,I133_gp222,I133_gp222,-,-,-,-,RNA polymerase binding protein,protein-coding,-,-,-,RNA polymerase binding protein,20201026,-
1087482,14675288,I133_gp221,I133_gp221,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675289,I133_gp220,I133_gp220,-,-,-,-,endonuclease subunit,protein-coding,-,-,-,endonuclease subunit,20201026,-
1087482,14675290,I133_gp219,I133_gp219,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675291,I133_gp218,I133_gp218,-,-,-,-,endonuclease subunit,protein-coding,-,-,-,endonuclease subunit,20201026,-
1087482,14675292,I133_gp217,I133_gp217,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675293,I133_gp216,I133_gp216,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675294,I133_gp215,I133_gp215,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675295,I133_gp214,I133_gp214,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675296,I133_gp213,I133_gp213,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675297,I133_gp212,I133_gp212,-,-,-,-,sigma factor for late transcription,protein-coding,-,-,-,sigma factor for late transcription,20200909,-
1087482,14675298,I133_gp211,I133_gp211,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675299,I133_gp210,I133_gp210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675300,I133_gp209,I133_gp209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675301,I133_gp208,I133_gp208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675302,I133_gp207,I133_gp207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675303,I133_gp206,I133_gp206,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675304,I133_gp205,I133_gp205,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20200909,-
1087482,14675305,I133_gp203,I133_gp203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675306,I133_gp202,I133_gp202,-,-,-,-,anaerobic ribonucleotide reductase,protein-coding,-,-,-,anaerobic ribonucleotide reductase,20201026,-
1087482,14675307,I133_gp204,I133_gp204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675308,I133_gp201,I133_gp201,-,-,-,-,anaerobic ribonucleotide reductase,protein-coding,-,-,-,anaerobic ribonucleotide reductase,20201026,-
1087482,14675309,I133_gp200,I133_gp200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675310,I133_gp198,I133_gp198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675311,I133_gp196,I133_gp196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675312,I133_gp197,I133_gp197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675313,I133_gp199,I133_gp199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675314,I133_gp195,I133_gp195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675315,I133_gp194,I133_gp194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675316,I133_gp192,I133_gp192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675317,I133_gp191,I133_gp191,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20201026,-
1087482,14675318,I133_gp193,I133_gp193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675319,I133_gp190,I133_gp190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675320,I133_gp187,I133_gp187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675321,I133_gp188,I133_gp188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675322,I133_gp186,I133_gp186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675323,I133_gp189,I133_gp189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675324,I133_gp185,I133_gp185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675325,I133_gp184,I133_gp184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675326,I133_gp183,I133_gp183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675327,I133_gp182,I133_gp182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675328,I133_gp181,I133_gp181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675329,I133_gp180,I133_gp180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675330,I133_gp179,I133_gp179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675331,I133_gp178,I133_gp178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675332,I133_gp177,I133_gp177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675333,I133_gp176,I133_gp176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675334,I133_gp175,I133_gp175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675335,I133_gp174,I133_gp174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675336,I133_gp173,I133_gp173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675337,I133_gp172,I133_gp172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675338,I133_gp171,I133_gp171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675339,I133_gp170,I133_gp170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675340,I133_gp169,I133_gp169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675341,I133_gp168,I133_gp168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675342,I133_gp167,I133_gp167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675343,I133_gp166,I133_gp166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675344,I133_gp165,I133_gp165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675345,I133_gp164,I133_gp164,-,-,-,-,rI lysis inhibition regulator,protein-coding,-,-,-,rI lysis inhibition regulator,20200926,-
1087482,14675346,I133_gp163,I133_gp163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675347,I133_gp162,I133_gp162,-,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20200909,-
1087482,14675348,I133_gp161,I133_gp161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675349,I133_gp160,I133_gp160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675350,I133_gp159,I133_gp159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675351,I133_gp158,I133_gp158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675352,I133_gp157,I133_gp157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675353,I133_gp156,I133_gp156,-,-,-,-,valyl tRNA synthetase modifier,protein-coding,-,-,-,valyl tRNA synthetase modifier,20200909,-
1087482,14675354,I133_gp155,I133_gp155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675355,I133_gp154,I133_gp154,-,-,-,-,site-specific RNA endonuclease,protein-coding,-,-,-,site-specific RNA endonuclease,20201026,-
1087482,14675356,I133_gp153,I133_gp153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675357,I133_gp152,I133_gp152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675358,I133_gp151,I133_gp151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675359,I133_gp150,I133_gp150,-,-,-,-,Ip4 protein,protein-coding,-,-,-,Ip4 protein,20200909,-
1087482,14675360,I133_gp149,I133_gp149,-,-,-,-,e lysozyme murein hydrolase,protein-coding,-,-,-,e lysozyme murein hydrolase,20201026,-
1087482,14675361,I133_gp148,I133_gp148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675362,I133_gp147,I133_gp147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675363,I133_gp146,I133_gp146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675364,I133_gp145,I133_gp145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675365,I133_gp143,I133_gp143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675366,I133_gt001,I133_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1087482,14675367,I133_gp144,I133_gp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675368,I133_gt002,I133_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1087482,14675369,I133_gp140,I133_gp140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675370,I133_gp137,I133_gp137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675371,I133_gp138,I133_gp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675372,I133_gp136,I133_gp136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675373,I133_gp139,I133_gp139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675374,I133_gp135,I133_gp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675375,I133_gp134,I133_gp134,-,-,-,-,57A chaperone for long tail fiber formation,protein-coding,-,-,-,57A chaperone for long tail fiber formation,20200909,-
1087482,14675376,I133_gp133,I133_gp133,-,-,-,-,deoxynucleoside monophosphate kinase,protein-coding,-,-,-,deoxynucleoside monophosphate kinase,20201026,-
1087482,14675377,I133_gp132,I133_gp132,-,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20200909,-
1087482,14675378,I133_gp131,I133_gp131,-,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20200909,-
1087482,14675379,I133_gp130,I133_gp130,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20200909,-
1087482,14675380,I133_gp129,I133_gp129,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200909,-
1087482,14675381,I133_gp128,I133_gp128,-,-,-,-,baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,baseplate hub subunit and tail lysozyme,20201026,-
1087482,14675382,I133_gp127,I133_gp127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675383,I133_gp126,I133_gp126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675384,I133_gp125,I133_gp125,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200909,-
1087482,14675385,I133_gp124,I133_gp124,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20201026,-
1087482,14675386,I133_gp123,I133_gp123,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200909,-
1087482,14675387,I133_gp122,I133_gp122,-,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20201026,-
1087482,14675388,I133_gp121,I133_gp121,-,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20201026,-
1087482,14675389,I133_gp120,I133_gp120,-,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20200909,-
1087482,14675390,I133_gp119,I133_gp119,-,-,-,-,short tail fiber,protein-coding,-,-,-,short tail fiber,20201026,-
1087482,14675391,I133_gp118,I133_gp118,-,-,-,-,fibritin neck whiskers,protein-coding,-,-,-,fibritin neck whiskers,20201026,-
1087482,14675392,I133_gp117,I133_gp117,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20201026,-
1087482,14675393,I133_gp116,I133_gp116,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200909,-
1087482,14675394,I133_gp115,I133_gp115,-,-,-,-,tail sheath stabilizer and completion protein,protein-coding,-,-,-,tail sheath stabilizer and completion protein,20200909,-
1087482,14675395,I133_gp114,I133_gp114,-,-,-,-,small terminase protein,protein-coding,-,-,-,small terminase protein,20201026,-
1087482,14675396,I133_gp113,I133_gp113,-,-,-,-,large terminase protein,protein-coding,-,-,-,large terminase protein,20200909,-
1087482,14675397,I133_gp112,I133_gp112,-,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20201026,-
1087482,14675398,I133_gp111,I133_gp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675399,I133_gp110,I133_gp110,-,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20200909,-
1087482,14675400,I133_gp109,I133_gp109,-,-,-,-,portal vertex protein,protein-coding,-,-,-,portal vertex protein,20200909,-
1087482,14675401,I133_gp108,I133_gp108,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20201026,-
1087482,14675402,I133_gp107,I133_gp107,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20200909,-
1087482,14675403,I133_gp106,I133_gp106,-,-,-,-,I-TevIII-like protein,protein-coding,-,-,-,I-TevIII-like protein,20200926,-
1087482,14675404,I133_gp105,I133_gp105,-,-,-,-,prohead core scaffolding protein and protease,protein-coding,-,-,-,prohead core scaffolding protein and protease,20200909,-
1087482,14675405,I133_gp104,I133_gp104,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20200909,-
1087482,14675406,I133_gp103,I133_gp103,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200909,-
1087482,14675407,I133_gp102,I133_gp102,-,-,-,-,head vertex protein,protein-coding,-,-,-,head vertex protein,20200909,-
1087482,14675408,I133_gp101,I133_gp101,-,-,-,-,head vertex protein,protein-coding,-,-,-,head vertex protein,20200909,-
1087482,14675409,I133_gp100,I133_gp100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675410,I133_gp099,I133_gp099,-,-,-,-,RNA ligase 2,protein-coding,-,-,-,RNA ligase 2,20201026,-
1087482,14675411,I133_gp097,I133_gp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675412,I133_gp096,I133_gp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675413,I133_gp098,I133_gp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675414,I133_gp095,I133_gp095,-,-,-,-,head outer capsid protein,protein-coding,-,-,-,head outer capsid protein,20200909,-
1087482,14675415,I133_gp094,I133_gp094,-,-,-,-,inhibitor of prohead protease,protein-coding,-,-,-,inhibitor of prohead protease,20200909,-
1087482,14675416,I133_gp093,I133_gp093,-,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20201026,-
1087482,14675417,I133_gp092,I133_gp092,-,-,-,-,ATP-dependent DNA helicase,protein-coding,-,-,-,ATP-dependent DNA helicase,20201026,-
1087482,14675418,I133_gp091,I133_gp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675419,I133_gp090,I133_gp090,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20201026,-
1087482,14675420,I133_gp089,I133_gp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675421,I133_gp088,I133_gp088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675422,I133_gp087,I133_gp087,-,-,-,-,"recombination, repair and ssDNA binding protein",protein-coding,-,-,-,"recombination, repair and ssDNA binding protein",20200909,-
1087482,14675423,I133_gp086,I133_gp086,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200909,-
1087482,14675424,I133_gp085,I133_gp085,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20200909,-
1087482,14675425,I133_gp084,I133_gp084,-,-,-,-,baseplate hub assembly protein,protein-coding,-,-,-,baseplate hub assembly protein,20201026,-
1087482,14675426,I133_gp083,I133_gp083,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20201026,-
1087482,14675427,I133_gp082,I133_gp082,-,-,-,-,baseplate hub distal subunit,protein-coding,-,-,-,baseplate hub distal subunit,20201026,-
1087482,14675428,I133_gp081,I133_gp081,-,-,-,-,baseplate hub,protein-coding,-,-,-,baseplate hub,20200909,-
1087482,14675429,I133_gp080,I133_gp080,-,-,-,-,baseplate subunit,protein-coding,-,-,-,baseplate subunit,20201026,-
1087482,14675430,I133_gp079,I133_gp079,-,-,-,-,baseplate subunit,protein-coding,-,-,-,baseplate subunit,20200909,-
1087482,14675431,I133_gp078,I133_gp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675432,I133_gp077,I133_gp077,-,-,-,-,ADP-ribosyltransferase,protein-coding,-,-,-,ADP-ribosyltransferase,20201026,-
1087482,14675433,I133_gp076,I133_gp076,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20201026,-
1087482,14675434,I133_gp075,I133_gp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675435,I133_gp074,I133_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675436,I133_gp073,I133_gp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675437,I133_gp072,I133_gp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675438,I133_gp071,I133_gp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675439,I133_gp070,I133_gp070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675440,I133_gp069,I133_gp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675441,I133_gp068,I133_gp068,-,-,-,-,RIII lysis inhibition accessory protein,protein-coding,-,-,-,RIII lysis inhibition accessory protein,20200909,-
1087482,14675442,I133_gp067,I133_gp067,-,-,-,-,head assembly cochaperone,protein-coding,-,-,-,head assembly cochaperone,20200909,-
1087482,14675443,I133_gp066,I133_gp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
