#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1150990,14013997,F418_p01,F418_p01,-,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20201221,-
1150990,14014033,F418_p35,F418_p35,-,-,-,-,putative Rz1 protein,protein-coding,-,-,-,putative Rz1 protein,20201221,-
1150990,14014034,F418_p36,F418_p36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014035,F418_p37,F418_p37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014036,F418_p38,F418_p38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014037,F418_p39,F418_p39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014038,F418_p40,F418_p40,-,-,-,-,exodeoxyribonuclease VIII,protein-coding,-,-,-,exodeoxyribonuclease VIII,20201221,-
1150990,14014039,F418_p41,F418_p41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014040,F418_p42,F418_p42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014041,F418_p43,F418_p43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014042,F418_p44,F418_p44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014043,F418_p45,F418_p45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014044,F418_p46,F418_p46,-,-,-,-,DNA methyltransferase,protein-coding,-,-,-,DNA methyltransferase,20201221,-
1150990,14014045,F418_p47,F418_p47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014046,F418_p48,F418_p48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014047,F418_p49,F418_p49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014048,F418_p50,F418_p50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014049,F418_p51,F418_p51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014050,F418_p52,F418_p52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014051,F418_p53,F418_p53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014052,F418_p54,F418_p54,-,-,-,-,recombination-associated protein,protein-coding,-,-,-,recombination-associated protein,20201221,-
1150990,14014053,F418_p55,F418_p55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014054,F418_p56,F418_p56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014055,F418_p57,F418_p57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014056,F418_p58,F418_p58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014057,F418_p59,F418_p59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014058,F418_p60,F418_p60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014059,F418_p61,F418_p61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014060,F418_p62,F418_p62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014061,F418_p63,F418_p63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014062,F418_p64,F418_p64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014063,F418_p65,F418_p65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014064,F418_p66,F418_p66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014065,F418_p67,F418_p67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014066,F418_p68,F418_p68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014067,F418_p69,F418_p69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014068,F418_p70,F418_p70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014069,F418_p71,F418_p71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014070,F418_p72,F418_p72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014071,F418_p73,F418_p73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014072,F418_p74,F418_p74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014073,F418_p17,F418_p17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014074,F418_p19,F418_p19,-,-,-,-,pre-tape measure frameshift protein,protein-coding,-,-,-,pre-tape measure frameshift protein,20201221,-
1150990,14014075,F418_p13,F418_p13,-,-,-,-,major capsid protein E,protein-coding,-,-,-,major capsid protein E,20201221,-
1150990,14014076,F418_gp01,F418_gp01,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1150990,14023584,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200817,-
