#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1527512,23679057,2,PBI_SQUIRTY_2,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1527512,23679103,48,PBI_SQUIRTY_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679104,49,PBI_SQUIRTY_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679105,50,PBI_SQUIRTY_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679106,51,PBI_SQUIRTY_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679107,52,PBI_SQUIRTY_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679108,53,PBI_SQUIRTY_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679109,54,PBI_SQUIRTY_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679110,55,PBI_SQUIRTY_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679111,56,PBI_SQUIRTY_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679112,57,PBI_SQUIRTY_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679113,58,PBI_SQUIRTY_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679114,59,PBI_SQUIRTY_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1527512,23679115,60,PBI_SQUIRTY_60,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210417,-
1527512,23679116,61,PBI_SQUIRTY_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679117,62,PBI_SQUIRTY_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679118,63,PBI_SQUIRTY_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679119,64,PBI_SQUIRTY_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679120,65,PBI_SQUIRTY_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679121,66,PBI_SQUIRTY_66,-,-,-,-,AAA ATPase,protein-coding,-,-,-,AAA ATPase,20201221,-
1527512,23679122,67,PBI_SQUIRTY_67,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1527512,23679123,68,PBI_SQUIRTY_68,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1527512,23679124,69,PBI_SQUIRTY_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679125,70,PBI_SQUIRTY_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679126,71,PBI_SQUIRTY_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679127,72,PBI_SQUIRTY_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679128,73,PBI_SQUIRTY_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679129,74,PBI_SQUIRTY_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679130,75,PBI_SQUIRTY_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679131,76,PBI_SQUIRTY_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679132,77,PBI_SQUIRTY_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679133,78,PBI_SQUIRTY_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679134,79,PBI_SQUIRTY_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679135,80,PBI_SQUIRTY_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679136,81,PBI_SQUIRTY_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679137,82,PBI_SQUIRTY_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679138,83,PBI_SQUIRTY_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679139,84,PBI_SQUIRTY_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679140,85,PBI_SQUIRTY_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679141,86,PBI_SQUIRTY_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679142,87,PBI_SQUIRTY_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679143,88,PBI_SQUIRTY_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679144,89,PBI_SQUIRTY_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679145,90,PBI_SQUIRTY_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679146,91,PBI_SQUIRTY_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679147,92,PBI_SQUIRTY_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679148,93,PBI_SQUIRTY_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679149,94,PBI_SQUIRTY_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679150,95,PBI_SQUIRTY_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679151,96,PBI_SQUIRTY_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679152,97,PBI_SQUIRTY_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679153,98,PBI_SQUIRTY_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679154,99,PBI_SQUIRTY_99,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679155,100,PBI_SQUIRTY_100,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201221,-
1527512,23679156,101,PBI_SQUIRTY_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679157,102,PBI_SQUIRTY_102,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201221,-
1527512,23679158,1,PBI_SQUIRTY_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1527512,23711117,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Squirty).,other,-,-,-,-,20200513,-
